-0.0091061-0.00030831i,-0.0087399+0.00040487i,-0.007846+0.003519i,-0.0043326+0.0044713i,0.00036293+0.0031251i,0.0017434+0.00071105i,0.00081766+2.8005e-05i,0.0011315+0.0011434i,0.0014983+0.0014054i,0.0021742+0.0008711i,0.0023379+0.00061881i,0.0018548-7.3044e-05i,0.001048-0.00075322i,0.00065773-0.00080644i,0.00025132-0.00071752i,-0.00046493-0.00060591i,-0.0001436+0.00016586i,0.00044826+0.00084038i,-4.9839e-05+0.0014523i,-0.0004995+0.0010728i,-0.00044758-0.00019481i,-0.00041261-0.00028903i,0.00020304+0.0007396i
-0.00052453-0.00029497i,-0.00010141-0.0003965i,0.00021988+8.6648e-05i,0.00078418-0.00034706i,0.00088323-0.0011235i,0.00038658-0.0016162i,0.00037296-0.0013731i,0.0008786-0.00047351i,0.00066675+7.1875e-05i,0.00011936+0.000452i,-0.00015568+0.00014192i,-0.00045679-0.00065087i,-0.00077117-0.00054534i,-0.00035826-0.00010238i,0.00034089+0.00042317i,6.2487e-05+0.00068704i,-0.00074253+0.00043419i,-0.00025589+0.00039727i,-4.9337e-05+0.00079329i,-0.00057813+0.00092097i,-0.00061297+0.00070138i,-0.00013386+0.00022429i,0.0001849+0.00019061i
0.0019374+0.0013804i,0.001558+0.0011412i,0.0011569-0.00085017i,0.00055154-0.0016794i,-0.00095617-0.0022168i,-0.0016983-0.0015474i,-0.00090452+0.00054215i,-0.00031671+0.0014915i,5.2528e-05+0.00068225i,0.00020766+0.000153i,-0.00036154+0.00061048i,-0.0003424+0.00041823i,-0.00024577-0.00089173i,-0.00021965-0.0013347i,0.00035676-0.00031275i,-1.7975e-05+8.2309e-05i,-8.9831e-05-0.00048405i,0.00032589-0.00039409i,0.00028008+0.0004532i,-0.00013843+0.0010589i,-0.00019801+0.00057804i,0.00072984+6.3455e-05i,0.00089659+0.00093893i
-0.00072123+4.3306e-05i,-0.00037049+0.00066933i,0.0006036+0.00089174i,0.00026529+0.00032365i,-0.0008824-0.0010425i,-0.0012854-0.00086087i,-0.001217+0.0001297i,-0.00018433+0.00032805i,0.00084434+0.00031203i,0.00057969+0.00055118i,-0.00014001+7.174e-05i,-0.00031604-0.0010056i,-0.00025759-0.00073829i,-0.00067528-3.2446e-05i,-0.00041579-1.5297e-05i,0.00022143+0.00039749i,0.00016194+0.00045772i,-6.3929e-05+2.7605e-05i,-0.00015561-1.9947e-05i,9.9185e-05+7.9788e-05i,0.00048583+0.0002458i,0.00017887+0.00076206i,0.00032746+0.0012111i
-0.000712-0.00020587i,-4.906e-05-0.0005144i,0.00063735-0.00023939i,0.0017166-0.00048997i,0.0011888-0.0012001i,0.00061232-0.0016098i,0.00090054-0.0012377i,0.00026008-0.0003575i,-0.00011213+0.00036574i,0.00020178+0.00093963i,0.0011817+0.00058761i,0.0013849+0.00032727i,0.00054761+0.00075094i,-0.00041722+0.0002496i,-0.00028931-0.00068856i,0.00027726-0.0012756i,0.00046458-0.0010242i,0.00064978-0.00046212i,0.00081697-0.00058226i,0.00021672-0.00024375i,-8.0236e-05+0.00033807i,0.00064208+0.00022346i,0.00036099+0.00044532i
0.0041538+0.00029844i,0.0030906-0.00086964i,0.0013406-0.002439i,-0.0015747-0.0030773i,-0.0033515-0.0029027i,-0.0024843-0.0012161i,-0.00085149+0.00030905i,0.00027697+0.00027692i,0.00058452-0.00024029i,0.00078485-0.00063919i,0.00034274+3.391e-05i,-0.00032592+0.0011787i,-0.00021656+0.0012258i,0.00055236+0.00043918i,0.00074754+0.00033635i,0.00013437+0.00031297i,-0.00045767-0.00068534i,-0.00078086-0.00043453i,-0.00099002+0.0004093i,-0.00032675+0.00048146i,0.00046039+2.2706e-05i,0.00025026-7.9547e-06i,9.8763e-05-0.00011055i
-3.6422e-06-0.00099136i,-0.00067062-0.0003954i,-0.00011513-0.00036255i,-7.5034e-05-0.0011388i,-0.00088109-0.0014413i,-0.0020739-0.00088767i,-0.0015622-0.00029851i,0.00041441+0.00043725i,0.00093794-8.6605e-05i,0.00095952-0.0004964i,0.00086091+0.00010701i,0.00028957+0.0011073i,-0.00032347+0.001734i,-0.00027435+0.0012331i,-9.2285e-07-0.00010487i,-0.00044168-0.0010888i,-0.00079356-0.00091505i,-0.00099376-0.00065115i,-0.00060297-0.00063215i,3.573e-05+4.6547e-05i,0.00065759+0.00056298i,0.00029122+0.00030403i,-6.4103e-06+0.00037947i
0.0016383+0.0015231i,0.0022528+0.0012505i,0.0021569+0.00098652i,0.00093495-0.00038885i,-0.00090018-0.002257i,-0.0015657-0.0013851i,-0.00076724-0.00024039i,0.00038938-0.00014034i,0.00098368+0.00021503i,0.0005875+0.00072905i,0.000217+0.00027703i,-0.00023871-0.00055656i,-0.001393-1.1747e-05i,-0.0014559+0.00087925i,-0.00064026+0.001012i,-3.3109e-05+0.00050014i,0.00011306-0.00026142i,-0.00018452-0.00051964i,-0.00043816-0.00023998i,-1.8949e-05+0.00022818i,0.00038676+0.00075161i,0.00048708+0.0012801i,0.00046326+0.00085399i
-0.0015354-0.0015508i,-0.0013004-0.0015969i,-0.0013589-0.0010802i,-0.0018372-0.00080939i,-0.0013563-0.0010849i,-0.00071662-0.00076655i,-0.00018563+0.00011744i,0.00013726+0.00036452i,-0.00019549+0.00031219i,-0.00057923+0.00065261i,-0.00058051+0.0003883i,-0.00026086+0.0010059i,3.2031e-05+0.0016798i,0.00012667+0.0013274i,-0.00032374+0.00029247i,-0.00015622-4.1663e-05i,0.00029547+0.00015788i,-0.00018875+0.00042285i,-0.00032254+0.00037708i,0.00067999+0.00041298i,0.00072704+0.00025432i,-5.2485e-05-8.0371e-05i,-0.00013794-7.8843e-06i
0.0015606-0.00030457i,0.0024636-0.00074034i,0.0028318-0.00185i,0.001121-0.0029269i,-0.00061147-0.0026481i,-0.0015169-0.0013876i,-0.0016385-0.000228i,-0.00043932+0.00010196i,0.00022249+0.00021498i,0.00035933+0.00098582i,0.00071047+0.00082241i,6.6681e-05+0.00058731i,-0.00054501-1.1766e-06i,-0.0004382+0.0004087i,-4.0902e-05+0.0010645i,0.00070548+0.00029847i,-2.3696e-05-0.00052824i,-0.00054098-0.001149i,0.00029934-0.0004462i,0.0006469+0.0003438i,-0.00011668+0.00023703i,-0.0005177-0.00075035i,-3.9871e-05-0.0010654i
-0.00081722+0.0018542i,-0.0012679+0.0024691i,-0.0015433+0.0013198i,-0.0014032+0.00028474i,-0.0018146-0.00027888i,-0.001342-0.00020242i,-4.0231e-05-0.00036266i,0.00088601-0.00032946i,0.00079416+0.00021471i,0.00063177+0.00075308i,0.00044425+0.00036158i,-3.2708e-05-0.00065351i,-0.00050654-0.001552i,-0.00032682-0.0014157i,0.00066027-0.0010082i,0.00049913-0.00062826i,0.00021262+0.00032748i,-0.00011825+0.00081019i,-0.00014077+7.2723e-06i,0.00030124-0.00030746i,0.00027629-0.00054724i,-7.617e-05-0.00037768i,0.00031002-0.0001611i
0.0011981+0.00040734i,0.0011085+0.001228i,0.0021535+0.00022154i,0.0017081-0.0014629i,8.4494e-05-0.0018639i,-0.00044117-0.001134i,-0.00056691-0.00043439i,-0.00014443-0.0004348i,0.00072866+0.00012715i,0.0008328+0.00029849i,0.00038968+1.0945e-06i,-0.00030503-8.6226e-05i,-0.00078856-0.00023431i,-0.00081983+0.00026287i,-0.0010019+0.00057826i,-0.00043022-0.00024138i,0.00013972-0.00034235i,-0.00013352+0.00066305i,0.0004633+0.0015295i,0.00072096+0.0015483i,0.00021406+0.00091954i,0.00014285+0.00067568i,3.5974e-05+0.00047949i
