-0.0055114+0.0025349i,-0.0037172+0.0046046i,-0.003083+0.0058024i,-0.0025785+0.0043158i,-0.00096052+0.0031384i,0.0010009+0.0017878i,0.0013466+0.0017961i,6.5216e-07+0.0025197i,-9.0182e-05+0.0025052i,0.00036662+0.0017388i,0.00024314+0.00022398i,0.00016578-0.00038763i,1.9201e-05-0.00075185i,-0.00040848-0.00089638i,-0.0006757-0.00071779i,-0.00088157-0.0010343i,-9.5236e-05-0.00086151i,0.00060102+0.00031855i,-3.573e-05+0.00047875i,-0.00064648+0.00013573i,-0.00025042+0.00042027i,-9.8853e-05+5.7591e-05i,-1.6449e-05-0.00013582i
0.00037404+0.00059971i,0.00094121-0.00048217i,0.0016751-0.0017584i,0.00084924-0.0019898i,0.00018137-0.0011165i,-0.00021231+0.00017675i,0.00011147+1.586e-05i,0.00036386-0.00047736i,0.00014419-0.00055488i,-0.00018452-0.00076872i,-0.00029851-0.00069302i,0.00038953+0.00024163i,0.00063334+0.00092508i,9.7073e-05+0.00016031i,-0.00025033+2.0672e-05i,-0.00048895+0.00018224i,-0.00033497-0.00011996i,0.00012677-8.6143e-05i,-6.5637e-05+8.9513e-05i,-0.00062123+2.6264e-05i,-0.00038974+6.032e-06i,0.00012284+3.63e-05i,0.00023451-0.00030175i
0.0024867-3.0918e-05i,0.0033567-0.0011254i,0.003021-0.0021885i,0.0014256-0.0012536i,-0.00039152+0.00019664i,-0.00065812+0.00084693i,-0.00029401+0.0012874i,-0.00070424+0.0011517i,-0.00025621+0.00025364i,0.00021712-0.0004485i,-2.5831e-05-0.00051626i,-8.7978e-05-0.00030281i,-2.4653e-05+0.0001181i,-0.00030309+0.00012058i,-3.2023e-05-0.0002387i,-0.00020736-0.00053734i,-0.0001486-0.00061881i,9.0281e-05-0.00086691i,-0.00033351-0.00041597i,-0.00020272-0.00027161i,-0.00020458-0.00026985i,-0.00023294+4.5322e-05i,0.00025574+0.00015331i
0.0011437+0.001332i,0.00045398+0.00060913i,-0.0012033-0.00021726i,-0.00077862-0.0010902i,-0.00018804-0.0014833i,8.9353e-06-0.0011016i,5.6848e-05-0.00048678i,-0.00064279+0.00060542i,-0.0011919+0.00086663i,-0.00036081-0.00017687i,0.00062716-0.00034701i,0.000225-0.00015169i,-9.0973e-05-0.00048837i,-0.00046505-4.3813e-05i,-0.00045542+0.00037111i,7.5556e-05+0.00034757i,-0.00014203+0.00024332i,-0.00039109+8.5755e-05i,-0.00028355+0.00083513i,-0.00074341+0.0010438i,-0.00018682+0.00039602i,0.0010398+0.00049947i,0.0008629+0.00093983i
7.5434e-05-0.0022177i,-0.0015359-0.0017444i,-0.0029872-0.0020356i,-0.0027914-0.00069518i,-0.0022073+0.0017364i,-0.0010678+0.0026283i,-0.0010874+0.0012954i,-0.0012993+0.00046188i,-0.001078-0.00013171i,-0.00060171-0.00026961i,0.00022133-0.00034195i,9.7193e-05-0.00080624i,7.9614e-05-0.00038263i,0.00036116-0.00013268i,0.00063403-0.00040118i,0.00074439-0.0011299i,8.8915e-05-0.00068158i,-0.00098013-0.00027596i,-0.00088678-0.0006339i,-3.4641e-05-0.00030395i,-5.1792e-06+0.00038792i,0.00027641+0.00092684i,0.00093458+0.00091299i
0.0011981+0.00027664i,0.0016024+0.00019447i,0.0014991-0.00046119i,0.001603-0.00053024i,0.0007888-0.0006052i,-0.0001582-0.0011622i,-0.00020625-0.0010825i,-0.0003535+4.2458e-05i,-0.00038274+0.0008321i,-0.00032917+0.00081249i,-0.00031771-0.00033085i,-0.00027197-0.001089i,-0.00038687-0.00034368i,-0.00091073+0.00074916i,-0.0013881+0.00074962i,-0.0014053+0.00045704i,-0.00073556+0.00032785i,4.3677e-05-0.00017805i,-3.9266e-05-0.00052958i,5.3979e-06-0.00010927i,0.00084513+0.00036848i,0.0011565+0.00075084i,0.00022143+0.00055008i
0.00075139+0.0014224i,0.0013206+0.00069398i,0.0018192-0.00082134i,0.0010054-0.0025191i,5.5253e-05-0.0027351i,-0.00083985-0.0019555i,-0.00096983-0.001264i,-0.00058267-0.00042566i,-3.9336e-05+0.00031538i,0.0011886+0.00032316i,0.0015019+0.00028727i,0.00081918+0.00035493i,0.00026215+0.00021403i,-6.1376e-05-1.399e-06i,0.00012768+0.00010843i,1.28e-05+0.00071381i,-0.00056735+0.0010023i,9.9112e-05+0.00015229i,0.00054626-0.00046777i,-0.00011913-0.00069769i,-0.0011344-0.00035148i,-0.00087412+0.00040554i,0.00035856+0.00075725i
-0.00053254+0.001245i,-0.00078498+0.00098049i,-0.00020531+0.00067994i,-0.00024812+0.00092204i,-0.00039251-7.6693e-05i,0.0004214-0.00054429i,0.00065566-0.00020457i,0.00040844+0.00057174i,-0.00028567+0.00080283i,-4.7614e-05-0.00011616i,0.00044429-0.00037459i,-5.9857e-05-0.00035667i,-0.00066613-0.00038404i,-0.001195-0.0004137i,-0.00093575-0.00026456i,-0.00038807-0.0005414i,3.7907e-05-0.00080559i,-2.7706e-07+0.00027909i,-0.00011805+0.00045393i,-0.00015509+9.9814e-05i,0.00013913-0.00053107i,-0.00037194-0.00096802i,-0.00034626-0.00057846i
0.00074624+0.0012941i,0.002281+0.0021404i,0.0031308+0.0016512i,0.0022786+0.00023642i,0.00098514-0.00019452i,0.0001552-0.00011543i,0.00022361-0.00029352i,0.00023558+4.9435e-06i,0.00093101+0.00055123i,0.0014121+5.5878e-05i,0.00095365-0.0011652i,9.6254e-06-0.0012985i,-0.00032062-0.00091351i,-0.00099238-0.00060648i,-0.0020247-0.00060617i,-0.0017349-0.00032655i,-0.00072844-0.00033321i,-0.00033703-0.00072638i,0.00028022-0.00024374i,0.00017163+0.00024198i,-0.00046491-8.4352e-05i,-0.00033847-0.00051119i,-0.00028548+7.0818e-05i
-0.0021685+0.0016705i,-0.00044922+0.0020626i,0.001046+0.0016234i,0.00055239+0.00087318i,-0.00020039+0.00081881i,0.00068711+5.3546e-05i,0.0013851-0.00040267i,0.00079094+8.1732e-05i,0.00034562+0.0010303i,0.0014294+0.0013449i,0.0017614+0.0002859i,0.001049-0.00011123i,0.00018272-0.0002004i,-8.0108e-05-0.0004518i,0.0002502-0.00026183i,0.0004573-0.00028589i,0.00094981-0.00039146i,0.00071763-0.00028858i,0.00026376-2.0991e-05i,0.00019685+0.00038599i,-8.408e-05+0.00050418i,-5.0044e-06+0.00037139i,9.5647e-05+0.00040649i
8.4555e-05+0.0014488i,-2.7662e-05+0.00058348i,0.00055696+0.00098621i,0.00066427+0.00096409i,-8.6101e-06+0.00053683i,-0.00032685+0.00048889i,-0.00089922+0.00053872i,-0.00073597+0.00074702i,0.00029371+0.00089264i,0.00078383+0.00028905i,0.00046189+0.00012425i,-4.2468e-05+9.0677e-05i,-0.00071952-0.00060515i,-0.00078141-0.00029477i,-0.00030656+0.00059421i,-0.00050881+0.00046931i,-0.00029402-0.00018931i,2.3093e-05+0.00078236i,-0.00031978+0.0010228i,-0.00054136+0.00030985i,0.0001961+0.00036779i,0.00053327+0.00036386i,0.00036734-3.5645e-05i
