-0.0031157+6.6827e-05i,-0.0015924+0.00041647i,-0.0011089+0.00083487i,-0.00021131+0.0013816i,0.00026112+0.0023418i,0.00015639+0.0023987i,0.00013434+0.0018371i,3.0305e-05+0.0014614i,-5.1115e-05+0.00050424i,0.00055687-0.00034813i,0.00068518-0.00039019i,0.00071853-0.00056485i,-0.00017247-0.00069014i,-0.00099423-0.0005334i,0.00011933-0.00075686i,0.0002087-0.00034601i,-0.00028334+0.00045497i,-0.00047704+0.0012478i,-0.00079992+0.0011932i,-0.00019051+0.00020482i,0.0003433+0.00022345i,3.5052e-05+0.00067693i,-0.00019079+0.00041189i
0.0012759-0.00029344i,0.0019722-0.00065599i,0.0019425-0.00058541i,0.0012439-0.0013i,0.0016629-0.0014211i,0.0012888-0.00078578i,0.00044317+0.00070097i,0.00087041+0.00094305i,0.00033014+7.3169e-05i,-0.00052551+0.00012782i,0.00025604+0.00072591i,7.8139e-05+0.00094438i,-0.00066448+1.2351e-05i,-0.00046166-0.00093885i,-0.00035041-0.00098639i,-0.00019276-0.00048873i,-0.00010688+0.000171i,-0.00014512+0.00082975i,7.7355e-05+0.0015931i,0.0003405+0.0017589i,0.00035142+0.0008793i,0.00038418+9.8419e-05i,7.3264e-05-0.00018981i
0.0021788+0.0029453i,0.0029566+0.0020708i,0.0026536+0.00095465i,0.0025711-0.00033233i,0.0027238-0.0012135i,0.0018097-0.0010565i,0.00074094-0.00035184i,0.00037802+0.0005821i,0.00041174+0.0016473i,0.000839+0.0013202i,0.00016096+0.00022756i,-0.00047991-0.00041927i,6.843e-05-0.0009066i,0.00023625-0.00107i,0.00017473-0.00065335i,0.00096183-0.00029727i,0.00083266+0.00027264i,0.00027181+0.00052653i,0.00014934-4.8447e-05i,-1.2119e-05-0.00038057i,-0.00023829-0.00028297i,-0.00084489-0.00050708i,-0.0001523-0.00039473i
-0.00013174+0.0017931i,-0.0010237+0.002029i,0.00041266+0.0022035i,0.0015934+0.0022849i,0.0014801+0.0013733i,0.00077232+0.00092612i,-5.7341e-06+0.00096797i,0.00026771+0.0013326i,0.00057635+0.00088587i,8.2361e-05-7.2071e-05i,-0.00076088-0.0002689i,-0.00075612-1.2119e-05i,-0.00031375+5.1357e-05i,0.00058226-0.00012997i,0.0010481-3.2123e-05i,-8.5336e-05-0.00021215i,-0.0011616-0.00046846i,-0.0003483-0.00056251i,0.00094531-0.00018139i,0.0012231+0.00036898i,0.00048506+0.00041692i,-0.00034412+0.00036684i,7.2013e-05+0.00012109i
0.0016302+0.0011279i,0.0012026+0.00080599i,0.0011762+0.0003767i,0.0011563+0.00083893i,0.00055349+0.00090494i,0.00049129+0.00069811i,0.00027959+0.00081902i,-0.00036383+0.00054444i,-0.00053993-0.00023293i,0.00046172-0.00058448i,0.00076963-0.00020265i,-0.00076062+5.3083e-05i,-0.0010317+0.00023899i,-0.00027413-0.00017848i,0.00017137-0.00070992i,0.00017214-4.0695e-05i,-0.0010168+0.00099092i,-0.001193+0.0016626i,2.144e-05+0.0014901i,0.00045477+0.00066561i,0.00052031+0.00024917i,0.00026965-2.7962e-05i,0.00025347-0.0002861i
-0.00025831+0.00064076i,-0.00058724+0.0010465i,-0.0004682+0.0014824i,-0.00059307+0.00081132i,-0.0011249+0.0005969i,-0.00074565+1.1962e-06i,-0.00024676-0.00089336i,8.5944e-05-0.00098598i,0.00074775-0.0009812i,0.00061876-0.001136i,-0.00061213-0.00085541i,-0.0010918-0.00071926i,-0.0007645-0.00064601i,-0.00019705+2.1544e-05i,0.00047956+0.00038271i,-8.9234e-05+0.00049707i,-0.00054446+0.000658i,-0.00094135+0.00053758i,-0.0010895-0.00044832i,-0.00019799-0.00066876i,0.0003028+0.00019095i,0.00026724+0.00069382i,-0.0007277+0.00036639i
-0.00050901+0.0007407i,-4.8051e-05-4.1608e-05i,0.00087111+0.00022529i,0.0015063-0.00010173i,0.002188-0.00038536i,0.0020912-0.00015925i,0.00083876+0.0003148i,-8.8939e-05+0.00037659i,-5.3135e-05+0.00056113i,0.00013938+0.0012737i,0.00028776+0.001236i,5.8065e-06+0.00030086i,-0.00050642-0.00024571i,0.00020608-8.58e-05i,0.0012553+0.00034917i,0.00095383+2.1162e-05i,7.4226e-05+1.9386e-05i,-0.00029654+0.00038702i,-0.00022397+0.00060967i,-0.00039479+0.00038775i,-0.00061981+0.00014611i,-0.00080834-7.7338e-05i,0.00019161+0.00015809i
-0.0011798+0.00021796i,-0.00061968+0.00089109i,0.00048283+0.0014114i,0.0009472+0.0013403i,0.00026836+0.00092551i,0.00011152+0.00055147i,0.00061949+0.0002099i,2.388e-05+0.00022946i,-0.00052322+0.00040005i,-1.5283e-06-6.2085e-05i,0.00044473-0.00030757i,0.00027965+0.00044918i,-0.00010681+0.0011228i,-0.00011963+0.0005064i,-0.00019085+0.00010589i,-0.00043043-8.7628e-05i,-0.00041524-0.00084337i,-0.00056556-0.0010959i,-0.00062759-0.0002009i,-5.8082e-05+0.00011531i,0.0001364-6.1342e-05i,-0.00016666-0.00012444i,-0.00022164-0.00060316i
-0.0018234-6.2912e-05i,-0.0018333+0.0016534i,-0.00098762+0.0025939i,-0.00013442+0.0017269i,0.0005687+0.0017945i,0.00080421+0.0019293i,-4.8058e-05+0.0010823i,-0.00065837+0.00020881i,-0.00028041-1.2014e-05i,-0.00013025+0.00019451i,-0.00042949+0.00048546i,-9.1262e-05+0.000147i,0.00060225-0.00018562i,0.00092262-0.00019344i,0.00065571-0.00068306i,0.00036951-0.00093289i,0.00021941-0.0003323i,0.00011154-0.00014932i,4.8827e-05-0.00030214i,0.00030104+0.00043563i,0.00070228+0.0013167i,0.00089393+0.00091878i,0.00063115+0.00079399i
-4.8413e-05-0.0015679i,-0.00077058-0.00099391i,-0.00067226+0.00022564i,-0.00059037+0.0012829i,-0.00027927+0.0011927i,0.00079507+0.0016536i,0.0010553+0.00086409i,0.00015809-0.00036302i,-0.00025425-0.000537i,0.00016261-0.00079405i,-0.00040023-0.00090382i,-0.0012936-0.00023408i,-0.0008236+0.00029992i,-0.00067968+0.0001205i,-0.00086098-4.792e-05i,-0.00044279+0.00021311i,-0.00063039+0.00062874i,-0.0010999+0.00090595i,-0.0010925+0.00071313i,-0.00016324+5.0495e-06i,0.0002671-8.6209e-05i,-0.00021959+0.00015008i,-0.00053716+4.8897e-05i
-0.00077803-0.00035968i,-0.00054751+0.00054817i,-0.0012812+0.00080001i,-0.0010076+0.00073254i,0.00046647+0.0002231i,0.0010098-0.0005741i,0.00029034-0.00065872i,-0.00011472-0.00036293i,6.9553e-05-0.00017768i,-0.00026274+0.00010179i,-0.00089359+0.00027605i,-0.0012268+0.00072652i,-0.00069263+0.00088319i,0.00049391+0.00068099i,0.00091766+0.00049668i,0.0011146-0.00024437i,0.0011849-0.00097012i,0.00056916-0.00024536i,-0.00031191+0.00035636i,-0.00084506-0.00016922i,-0.0012132-0.00079026i,-0.00081996-0.000881i,-0.00045264-0.00084037i
