-0.00329+0.000577i,-0.0018785-0.00088627i,-0.0026784-0.00082127i,-0.0024636+0.0012567i,-0.0019427+0.0023017i,-0.0013956+0.0020181i,-0.00032491+0.0026378i,0.00076545+0.0020904i,0.0014586+0.00097555i,0.00099255+0.00047818i,0.00031798-0.00052707i,0.00015504-0.0011414i,0.00029033-0.00098751i,7.5025e-05-0.0003206i,-6.8483e-06+0.00040021i,0.00037566+0.00039277i,0.0013053-0.0001567i,0.00057938-0.00059711i,-8.4652e-05-0.00023506i,0.00066905+0.00017535i,0.00033932-5.3815e-05i,-0.0005136-0.0002809i,-0.00036985-0.00048824i
-0.0012363-0.00017768i,-0.00098443-0.00029579i,-0.00078118-0.00060318i,0.00030305+0.0002901i,0.0003648+0.00058736i,0.00064055+0.00031152i,0.00090834+0.00055339i,0.00039292+0.00059249i,9.6747e-05+0.00054687i,0.00051619+0.00051524i,0.0006717+0.00017108i,0.00039463+0.00011978i,0.00017009+1.9011e-05i,0.00035595-0.00045964i,0.00055529-0.0003088i,7.8908e-07-0.00013665i,-0.00049349-9.5206e-06i,-1.9532e-05-0.00045532i,0.00059027-0.00056042i,0.00027365-0.00016015i,0.00016042+6.1326e-05i,0.00084531-0.00017731i,0.00094738+1.7154e-05i
-0.0014988-0.0014213i,-0.0017821-0.0008796i,-0.0026719-9.9507e-05i,-0.0026701+5.7947e-05i,-0.0019972+0.00050005i,-0.0010884+0.0006085i,0.00039395+0.00073706i,0.00066198+0.00058354i,0.00026616-8.2206e-05i,-0.00016323+0.00016387i,-0.00063451+0.00058456i,-0.00071362-6.0897e-05i,-0.00022096-0.00015014i,0.00011762+0.00049173i,0.00020086+0.0005198i,-0.00017066+0.00042623i,-0.00066249+8.727e-05i,-0.00059458+6.8954e-05i,-0.00053181+0.00015748i,7.9535e-05+0.00019609i,0.00068537+0.00049891i,0.00076318+0.00039801i,0.00011225-0.00010492i
0.00058367-0.0003448i,-0.00020405-0.00054925i,-0.0011514-0.00087626i,-0.0013803-0.00077346i,-0.0009451-0.00067094i,-0.00033822-8.4784e-05i,4.0174e-05+8.8182e-05i,0.00031604-0.00020138i,0.00056698-0.00038431i,0.00033807-0.00013293i,0.00010292+7.2444e-05i,-7.9564e-05-0.00045889i,-0.00030126-0.0010026i,-0.00023575-0.00061475i,-0.00016481-0.00018246i,-0.00048102+0.00015583i,-0.0011303-0.00058396i,-0.0010497-0.0014908i,0.00022019-0.00053729i,0.001028+0.00048836i,0.00063247+0.00040983i,-0.00026949+0.00018324i,-0.00061837+0.00050116i
5.2475e-05-0.0027641i,0.0010605-0.003086i,0.0014406-0.003415i,0.00027575-0.0017679i,-0.00038997-0.00039086i,-0.00035344-0.00023699i,-0.0002768+0.00063754i,0.00020882+0.0012607i,0.00034095+2.9641e-05i,0.00026464-0.00091843i,-0.00040557-0.00042998i,-0.001008+3.7539e-05i,-0.00075904-0.00018318i,-0.00042902-0.00066728i,0.00013031-0.00066289i,0.00043926-0.00051468i,0.0011106-0.00067967i,0.00094132-0.00070779i,-0.00013227-0.00036555i,-6.7914e-05-0.00020391i,0.00078234-0.00066536i,0.00091521-0.00099575i,0.00022177-0.0013442i
-0.00063797-0.0013883i,1.6263e-06-0.0013279i,0.0007621-0.00087239i,0.00017402-0.00051775i,-0.0010309-0.00012333i,-0.00097482+0.00081029i,-0.0004678+0.0013744i,4.0355e-05+0.00073553i,-6.4202e-05-0.00024678i,-0.00019754-0.00053047i,-0.00031191+0.0001889i,-0.00053233+0.00083132i,-0.00063454+0.00094686i,-0.00036313+0.00038528i,0.000244+0.00061364i,-7.5362e-05+0.0012517i,-0.00044547+0.0008894i,-0.00019404+0.00050813i,7.8231e-05+0.0006811i,3.6155e-05+0.0010688i,-0.00044129+0.00063339i,0.00013633+0.00028083i,0.00025044+0.00053926i
-0.00049961-0.0012267i,-0.0017994+0.00020326i,-0.0024845+0.0017308i,-0.0018635+0.0024362i,-0.00056564+0.0026155i,0.00044377+0.0018969i,0.00029023+0.00057936i,0.00037342+0.00027855i,0.00037856+7.2359e-05i,0.00036068-0.00052318i,2.6683e-05-0.00073039i,0.0001716-0.00037851i,-0.00033997+0.00036768i,-0.00097852+0.00075545i,-0.00042484+0.00071886i,0.00014987+0.00020827i,8.7454e-05-0.00058343i,0.00022035-0.00068183i,0.00017225-0.00041182i,0.00040915-0.00053208i,0.00078486-7.6013e-05i,0.00084579+0.00014788i,0.00049253-8.9155e-05i
0.0012359-0.0031444i,0.001379-0.0035587i,0.00056613-0.0032445i,-6.7008e-05-0.0017244i,-0.00035219-0.00044723i,-0.00039296+0.00059065i,0.0005625+0.0003056i,0.0012904-0.00050449i,0.0010071-0.00058911i,0.00034002-0.001211i,-0.00034423-0.0014888i,-0.00063087-0.00079388i,-0.00081941-0.00038516i,-0.0015414+0.000131i,-0.0012452+0.00044474i,-0.00062272+4.4357e-06i,-0.00031027-0.00022667i,0.00032194+0.00032991i,0.0001189+0.0013242i,-0.00032038+0.00065252i,-0.00069693-0.00037158i,-0.0010863-0.00091232i,-0.00025157-0.00088006i
0.00016912-0.00081957i,0.0009043-0.00055733i,0.0011756-0.00051767i,0.00041553-0.00044779i,-0.00053912+0.00036905i,-0.00069823+0.0010871i,0.00016081+0.00077788i,-6.6686e-05+1.1272e-05i,-0.0011111+0.00017916i,-0.0010226+0.00036494i,-0.00062546+2.2028e-05i,-0.00036907+0.00036418i,-0.00041422+5.0984e-05i,-0.00024129-0.00062807i,0.00075863-4.6483e-05i,0.0011611+0.00032819i,0.0007775-0.00029454i,4.4329e-05-0.00065907i,-0.0003665-7.9397e-05i,-0.00053454+0.000112i,-0.00043979-2.8138e-05i,8.8981e-05+0.00013066i,0.00033448-0.00027451i
0.00038881+0.0006937i,-0.0011774+0.00014989i,-0.00078997+0.00031406i,-0.00032134+0.00036978i,-0.00056872+0.00070975i,-0.00037303+0.0010166i,0.00021948+0.0010823i,0.00037207+0.00013658i,0.00027377-0.00084869i,7.7597e-05-0.00093065i,2.6525e-05-0.00073585i,-2.1866e-07-0.00077339i,0.00015455-0.00092126i,-0.00014477-0.00038764i,-0.00061551+2.8554e-05i,-0.00049208-6.9461e-05i,-0.00062484+0.00030329i,-0.00045511+0.00066698i,5.8551e-06+0.00077668i,-0.00048636+0.00072244i,-0.00054819+0.00058518i,-0.0001346+0.00044847i,-0.00020088-6.2925e-05i
-6.1698e-05+0.00065881i,3.1095e-06+0.00042757i,-0.0012349+9.5981e-05i,-0.0015389-6.7501e-06i,-0.0009529+0.00078565i,0.00026018+0.00089421i,0.00081744-0.00017077i,0.0013549-0.00016308i,0.0017244+0.00078363i,0.00084584+0.00038822i,0.00028858-0.00031571i,0.00011794-4.9418e-05i,-7.8916e-05+0.00078948i,-0.00023415+0.0009328i,6.6108e-05+0.0003877i,-2.8875e-05+0.00031273i,-0.00028995+0.00040334i,-0.00014171+0.00021298i,3.7699e-05-0.00045123i,0.00024349-0.00097865i,0.00066343-0.0010346i,0.00090385-0.00023901i,0.00037425-5.7094e-05i
