0.001395+0.0013277i,0.00064279-0.00014284i,0.0002309-0.0013813i,0.000256-0.0015226i,-0.0014768-0.0012038i,-0.0026868-0.00062563i,-0.0014781+0.00020263i,-0.00013478+0.00049673i,0.00060849+4.9026e-05i,0.0014462-0.00042275i,0.0014714-0.00077172i,0.00087197-0.00067975i,0.00046238+0.00012632i,-4.2685e-05-0.00010609i,-0.00013832-0.00014869i,-9.0715e-05+0.00026418i,-0.0006041+0.00021532i,-0.00060461+4.2525e-05i,-0.00033377-4.2565e-05i,-0.00067375-0.0002279i,-0.00063506+2.2207e-05i,-0.00037596+0.00055093i,-0.0001572+0.00037499i
0.0027358-0.0014227i,0.002226-0.0024834i,0.00035262-0.0036063i,-0.0015127-0.003293i,-0.001876-0.00202i,-0.0020226-0.00095351i,-0.0012586-0.00061831i,-0.00019029-0.00081954i,0.00015646-0.00063841i,-0.0003323-0.00054778i,-0.00023171-0.00029338i,-0.00024595+0.00030686i,2.5835e-05+0.00029539i,0.00046627+0.00099642i,0.00064937+0.0014845i,0.00073856+0.00075143i,0.00044271+0.00026365i,-0.00014372+0.00042399i,-0.00012798+0.00054264i,0.0002881+0.00052727i,0.0001114+8.2893e-05i,3.9576e-05-0.00086923i,0.00056404-0.00075122i
-0.00062839-1.8258e-06i,-8.6121e-05+0.00055716i,0.00065656+0.00011137i,0.00024834+0.00090662i,-0.00031096+0.00090081i,7.8557e-05+0.0004758i,-0.00027314-0.00021169i,1.3823e-05-0.0007945i,0.00064452-0.00043743i,0.00055971+0.00065855i,0.00030954+0.00076198i,0.00066774+0.00032981i,0.00091171+6.6539e-06i,0.00049512+0.00013102i,9.4388e-05+0.00053719i,0.00049812+0.00059258i,0.00087997+0.00034883i,0.00055339+0.00030929i,-0.00037158+0.00028021i,-0.0011392-0.00014716i,-0.0011239-0.0011419i,4.1486e-05-0.00073047i,0.00062798-7.4107e-05i
0.00080224-0.0015003i,0.00014391-0.00072205i,-0.0001156+0.00022569i,-0.0012592-0.0001662i,-0.0015697-0.0013358i,-0.00053206-0.0011111i,0.00060672-0.0005589i,0.00065568-0.00085832i,0.00027828-0.00065487i,-0.00039011+0.00018221i,-0.00031298+0.00088787i,0.00043004+0.00075064i,-8.0053e-05+0.00071208i,-0.00010217+0.00010611i,-6.3978e-06-0.00058174i,0.00017527-4.9882e-05i,0.00080968+0.00046136i,0.00091001+7.5731e-05i,0.00064435-0.0005484i,6.2527e-05-4.0352e-05i,0.00014199+1.9408e-05i,0.00080729-0.00082683i,0.00057504-0.00054384i
0.00028547+3.0942e-05i,2.121e-05+0.00064767i,0.00025812-0.00072653i,-0.00016974-0.0024433i,-0.0007912-0.0024126i,-0.00094749-0.0016918i,-0.0010518-0.0008409i,-0.00089057-0.00044397i,-0.00061958-9.2595e-05i,-0.000666+0.00017442i,-7.7746e-05+7.988e-05i,0.00018467+0.00015028i,-0.00012397+0.00030378i,-0.00010621+0.00048594i,-0.00027352+0.00068984i,-0.00074888-0.00081548i,-0.00048835-0.0013885i,-0.00029873-0.00027297i,-0.00033586-0.00018638i,0.00028224-0.0003605i,0.00049084+7.7286e-05i,7.4286e-05-0.00018466i,-0.00037128-0.00064893i
0.00029442+0.00030059i,0.00078908-0.00042271i,0.0010439-0.00063406i,0.0011236-0.00010448i,0.00090335-0.00015197i,-0.00017743-0.00026927i,-0.0014027-0.00022778i,-0.0014484-0.00036086i,-0.00043204-0.00027647i,7.0039e-05+7.9072e-05i,0.00055604+5.1759e-05i,0.0012625+0.00035346i,0.00067926+0.00087462i,-6.6111e-05+0.00047248i,-8.3693e-05-0.00039823i,-0.00011874-0.00069931i,0.00040773-0.0007665i,0.00072999-0.00049901i,0.00059807-0.00068364i,0.00012279-0.00037999i,1.5364e-05+0.00021545i,0.00014031+0.00025186i,-0.00039791-0.00032705i
0.0024272-0.00146i,0.0016092-0.0024159i,0.0003597-0.0023536i,-0.00078-0.0013449i,-0.0018355-3.4389e-05i,-0.0015523+0.00066449i,-0.00069366+0.00044439i,-0.00081779-8.0528e-05i,-0.0007023-0.00027458i,-0.00023997+0.00063135i,-0.00096415+0.0013367i,-0.0017789+0.00057559i,-0.0014425-0.00014595i,-0.00062575+0.00022854i,0.00017865+0.00040746i,0.00038957-0.00019327i,0.000295-0.00051196i,0.00051201+0.00013869i,0.00097872+0.0007063i,0.00071264+0.00088573i,-0.00072775+7.3503e-05i,-0.0014907-0.00026831i,-0.0014773-0.00043013i
0.00010326-0.0016588i,-0.00038484-0.00091235i,-0.0013698+3.1991e-05i,-0.0016677+0.00092116i,-0.00083376+0.0011719i,-0.00016125+0.00043251i,4.2573e-05-0.0002553i,-0.00048455-0.00028593i,-0.001028+7.7863e-05i,0.00028993+9.5286e-05i,0.0010281+0.00039612i,0.00046616+0.0007507i,0.00015996+0.0013051i,1.5981e-05+0.0014313i,0.00053613+0.00069326i,-1.4093e-05+7.5037e-05i,0.00021435+0.00028969i,0.00091915+0.00083196i,0.00016004+0.00046896i,0.00010095-0.00028925i,0.00029844-5.3708e-05i,7.6339e-06+0.00057512i,0.00011221+0.00081034i
-0.001088-0.0016735i,-0.0004709-0.0022247i,-0.00078959-0.00052014i,-0.00114+0.00037209i,-0.00048981-0.00038411i,-4.1922e-05-0.00075181i,8.3062e-06-0.00047817i,-7.443e-05-0.00075056i,0.00021482-0.00049044i,0.00072994+0.00015484i,0.00072811+0.00037324i,0.00033449+0.00045273i,-0.00025658+0.00055025i,0.00014223+0.0004373i,0.0011775+9.6467e-05i,0.0014224-0.00019432i,0.00093552-0.00015129i,-0.0001929-0.00010974i,-0.00069456-0.00027902i,-0.0001656-0.00022961i,0.0001658-1.7979e-05i,0.00031759-0.00054288i,2.2299e-05-0.00086284i
-0.0026711-0.0008516i,-0.0020743-0.00039004i,-0.0019755+0.00066722i,-0.00019475+0.00059815i,0.000965-0.00041834i,0.0011891-0.00186i,0.00069416-0.00152i,-0.00031989-0.00056973i,-0.00068413-0.00023088i,-0.0006044+0.00054308i,-0.0005+0.0011763i,-0.00067105+0.00074379i,-0.00024554+0.00055805i,0.00034936+0.00054227i,0.00064518-2.4229e-05i,0.00014414-0.00026025i,-0.00053023-0.00058058i,-0.0009594-0.0007989i,-0.0010426-0.00032232i,-0.00080539+7.7141e-06i,-0.00022044-0.00024575i,0.00084817-0.00020354i,0.00098671+0.00033331i
-0.0031148-0.00062141i,-0.0033661+8.9159e-05i,-0.003005+0.00074779i,-0.0013615+0.00069527i,0.00023084-0.00026087i,0.00060412-0.0013564i,9.4793e-05-0.0024305i,-4.126e-05-0.0023524i,-0.00037481-0.00051792i,1.0572e-05+0.00046425i,0.00093981+0.00044496i,0.0014911+0.00066429i,0.001146+0.0005566i,0.00047607-0.00016423i,0.0001648-0.0010632i,0.00012962-0.0010894i,-9.043e-05-0.00076391i,-5.2479e-05-0.00029785i,0.00028333+0.00012522i,-0.00025149+1.6436e-05i,-0.0010805-0.00026949i,-0.00095573+0.00010057i,-0.00046716+0.00059057i
