-0.0032277-0.00032658i,-0.0023361-0.00086845i,-0.0019955-0.0013679i,-0.001684-0.00095451i,-0.00086599+7.1193e-05i,5.9785e-05+0.0013332i,0.00034444+0.0016297i,0.00015228+0.0013672i,0.00038245+0.00089171i,0.00058058+0.00011496i,0.00036152+0.00014595i,4.3163e-05+0.00049102i,-0.00054159+0.00051188i,-0.00055575+0.00024974i,0.00011192+0.00013449i,-0.00037287+4.9506e-05i,-0.00082455-0.00028063i,0.00029721-0.00013285i,0.0010588+0.00030159i,0.00067697+0.00043483i,0.00016176+8.9226e-05i,-8.8468e-05+4.2273e-05i,-7.0755e-05+0.00017533i
0.0018777-0.00084946i,0.0020087-0.0011798i,0.0005341-0.0021863i,-0.0011319-0.0025962i,-0.0021363-0.0010015i,-0.0008758+0.00041324i,0.00059583+0.00035946i,-3.6539e-05+0.00016454i,-0.0010735+0.00030996i,-0.0011194-0.00019545i,-0.00057406-0.0009668i,-0.00013829-0.00018786i,0.00031128+0.00027067i,0.0013496+7.0362e-05i,0.00074893-0.00029146i,-0.00048122-0.00062017i,-6.5512e-05-0.00010007i,0.00069881+0.0002283i,0.00020421+0.00039623i,-0.00062257+0.00043765i,-0.00076083+0.0006412i,-0.0010249+0.0010282i,-0.00053826+0.0008488i
-0.0017134-0.0013025i,-0.002414-0.0016221i,-0.0011055-0.0014547i,-0.00053427+8.0675e-05i,-0.0010571+0.00095911i,-0.00051346+0.0011266i,6.0192e-05+0.00071233i,-0.00044875+1.9554e-05i,-0.0010923-0.00016059i,-0.00096071-0.00031973i,-0.00031946-0.00054916i,-0.00030485-0.00030323i,-0.00062628+5.8877e-05i,-0.00041684+1.9269e-05i,-0.00037793-0.00026543i,-0.00044224-0.00059613i,-0.00043076-0.00061469i,-0.00033553-0.0011123i,-0.00035819-0.0011731i,-0.00015504-0.0005935i,-0.00041502-0.00058236i,-0.00042275-0.00051331i,-9.5935e-05-0.00016553i
0.00041521-0.00016431i,0.00099462+0.0012338i,0.0012727+0.0017285i,0.0018449+0.0010257i,0.0017026+0.0010829i,0.001057+0.00078092i,0.00017749+2.0251e-05i,1.7604e-06+2.9865e-05i,-0.00043063+0.00012104i,-0.0010131+0.00010464i,-0.00053421+0.00086249i,0.00017286+0.0010275i,-0.00017889+0.00038651i,-0.00089423+0.000119i,-0.001068+0.00069772i,-0.00081087+0.0015098i,0.00043246+0.0011542i,0.0011184+0.00039672i,0.00054299-4.8419e-05i,-0.00025404-0.00023981i,-0.0012543-0.00034812i,-0.0011763-0.00038866i,-6.8868e-05+0.00046462i
0.00065223-0.0010522i,0.00014583-0.000661i,-0.00017567-0.000288i,-0.0014636+0.0005022i,-0.0013068+0.0011327i,0.00066449+0.0017526i,0.0011508+0.0018048i,0.00028439+0.00051822i,-0.00022843+0.0006171i,7.3517e-05+0.00072254i,0.00048528+9.5097e-05i,0.00054456+0.00027902i,0.00028401+0.00060476i,0.00057864+0.00061323i,1.8788e-05-0.00010667i,-0.00057973-0.00045058i,-0.00016621-3.0831e-07i,-0.00067556-0.00011378i,-0.0015842-0.0010116i,-0.001342-0.0016449i,-0.0004213-0.00098548i,-2.0696e-05-1.1689e-05i,-0.00025005+0.0001867i
-0.0036692-1.5726e-05i,-0.0035838+0.00070834i,-0.0025409+0.0022134i,-0.0010866+0.0028844i,-3.7805e-06+0.0022947i,-2.6038e-05+0.00073823i,-0.00065523+0.00023753i,-0.0011362+0.00091046i,-0.0016697+0.0011031i,-0.0015842+0.00094336i,-0.00054281+0.00060695i,0.00046579+9.3868e-05i,0.00060687-0.00049443i,6.4598e-05-0.0012269i,-0.00025029-0.0011854i,-0.00051435-0.00096391i,-0.00048459-0.00034787i,-0.00054875-0.00022379i,-0.00074958-0.00032384i,-0.0004004-0.00010201i,0.00026711-0.00031604i,0.00041596-0.00039095i,-0.00015953-0.00073528i
-0.00030707+0.00064376i,-0.00048797+0.0014878i,0.0001723+0.001939i,0.0011547+0.00030963i,0.0015068-0.00045947i,0.0017398-0.00055433i,0.0013065-0.00052353i,0.00020507+0.00044763i,-0.00084275+0.00061109i,-0.00062877+0.00034397i,0.00061793+0.0003148i,0.00060505+0.00046633i,-0.00027986+0.00091943i,-0.00011137+0.00065003i,-2.5406e-07-0.00071823i,-0.00017635-0.0010022i,-0.00025266-0.00073875i,-2.9154e-05-0.00074103i,0.00013033+7.4041e-05i,-0.00015219+0.00045485i,-0.00038819+0.00057019i,-0.00049277+0.00077569i,-0.00020826+0.00048512i
-2.6349e-05+0.0005531i,-0.00049264-0.00038057i,9.9276e-05-0.00096947i,0.00087167-0.0013973i,0.0017577-0.0015072i,0.0013528-0.00073681i,8.0418e-05-0.0007651i,-0.00049269-0.00056347i,-0.00037177+0.00018034i,-4.2623e-05+0.00058292i,7.2805e-05+0.00066652i,-0.00055383+0.00055941i,-0.00098241+0.00016785i,-0.00043476+0.00058004i,0.00016407+0.00099601i,-0.00031238+0.0009301i,-0.00028198+0.0002682i,1.4605e-05+0.00040777i,-5.6619e-06+0.0010994i,-0.00021762+0.00081669i,-0.00042802+4.666e-05i,-7.7175e-05+0.00033203i,-2.3477e-05+0.0012646i
0.00078076+0.00019571i,0.00087282-0.00013475i,0.0016517-0.00075678i,0.0020229-0.0014496i,0.00077755-0.00171i,-0.00017466-0.0014945i,-5.8503e-05-0.00079682i,0.00025602-0.00071159i,7.1506e-05-0.00020243i,-0.00058802+0.00032789i,-0.00059941-0.00034775i,-0.00028676-0.00054031i,-0.00036154+0.00025218i,-0.00025227+0.00060783i,-0.00069259+0.00083982i,-0.00076612+0.0011053i,5.0438e-06+0.00044276i,0.0007821+4.1781e-05i,-0.00014684-0.00023947i,-0.0010031+4.8836e-05i,-0.00044847+0.00052988i,-0.00037236+0.00055425i,-0.0008999+0.00046812i
-0.00021224+0.0020688i,0.00073972+0.0014295i,0.0022092+0.0013436i,0.0018984+0.00094546i,0.00047955-0.00015636i,0.00033757-0.00029577i,0.00066758+9.9539e-05i,4.9043e-05+0.00066271i,-0.00014643+0.00054287i,-0.0001899-0.0004578i,-0.00041434-0.001298i,-0.0007799-0.00053045i,-0.00079635+0.00031395i,-0.00034983+0.00030663i,5.5248e-05-0.00035147i,8.4277e-05-0.00079346i,0.00011682-0.0003345i,1.1946e-05-0.00019822i,-0.00057218-0.00099916i,-0.00049678-0.0013253i,-0.00058353-0.00078084i,-0.00059519-0.00082195i,0.00026942-0.00029011i
0.0012101+0.00074627i,0.0023309+0.00053327i,0.0029696+9.5801e-05i,0.0024016-0.0005709i,0.0018642-0.00037527i,0.00084181-6.9883e-05i,-5.2119e-05+0.00017311i,0.00030852+0.0003344i,0.00054938+0.00050591i,-5.9029e-06-0.00020628i,-0.00063824-0.00084671i,-0.00084018-0.0001493i,-0.00038685+2.0113e-05i,0.00023748+6.667e-05i,-0.00078471-0.00023532i,-0.00142+0.00019123i,-0.00014114+0.00021069i,0.001149-0.000448i,0.0006077-0.00069836i,-0.00041942-0.00066209i,-0.00084287+0.00040237i,-0.00087877+0.00066378i,-0.0010624+0.0010585i
-0.0011737-0.00020428i,-0.001476+0.0005104i,-0.0015873+0.0010042i,-0.00018389+0.0010883i,0.00014472+0.001447i,0.00057822+0.0012086i,0.00034458+0.00056237i,-0.00053934-0.0003867i,-0.0012171-5.318e-05i,-0.001036+0.00077478i,-5.4659e-05+0.00056354i,0.00035608+0.0001639i,-0.00029285-7.5728e-05i,-0.00082142-0.00078018i,-0.0008417-0.00089614i,-0.00088286+0.00014651i,-0.00050778+0.00020075i,-7.7295e-06-0.0005495i,0.00028092-0.000273i,0.00036132+0.00018633i,0.00028921+0.0009137i,-0.00012105+0.0010823i,-0.00093532+0.000343i
-0.00085394+0.00054381i,5.1104e-05+0.001464i,0.0010284+0.0015828i,0.00048684+0.0011314i,0.00059036+0.0011839i,0.00059875+0.001287i,0.00019848+0.00077816i,8.0565e-05+3.707e-05i,0.00034249+0.00026677i,0.00018663+0.00075319i,-0.00021038+0.0008874i,-0.00011132+0.00081206i,0.00010097+0.00069352i,-0.00045814+0.00071257i,-0.00095419+0.00024041i,-0.00096284-0.00036615i,-0.00076875-0.00049733i,-0.00024184-0.0004368i,0.0004182-7.6691e-05i,0.00044939+0.00021386i,0.00040529+0.00067047i,0.00036651+0.00073901i,-0.0002292+0.00020845i
0.00043062+0.001323i,0.00012911+0.0014172i,0.00081582-0.00017156i,0.00086397-0.0007292i,-0.00058274-0.00062885i,-0.00091758-0.00022891i,-0.00014946-0.00031138i,0.00031702-0.00047914i,-0.00011228-0.00026464i,-0.00081186-0.00021638i,-0.00027044-8.498e-05i,3.237e-05+0.00029709i,3.0029e-05+0.0008938i,-0.00016258+0.00086835i,-0.00070321+0.0005671i,-0.0010309+0.00083654i,-0.00024662+0.0006248i,0.00020868-0.00053999i,-0.00043043-0.00094721i,-0.00012284+0.00037273i,0.00060171+0.0010077i,0.00076442+0.00098547i,0.0010964+0.00047381i
0.00035633-0.0001718i,8.5647e-05-0.00017771i,0.00072683-0.00065023i,0.00097053-0.0016834i,0.0010185-0.001386i,0.00067129-4.6232e-05i,-0.00041326+0.00027978i,-0.0011929+0.00072105i,-0.00071769+0.0015459i,-8.1149e-06+0.00075505i,-0.00025801-0.00051814i,-0.00049843-0.00051433i,7.7679e-05-0.00056495i,0.00081224-0.0009146i,0.00016978-0.00091499i,-0.00029726+5.3015e-05i,-7.0635e-05+0.0006933i,0.00062601+0.00010598i,0.00108+8.0065e-06i,0.00057598+6.9817e-05i,-3.495e-05+0.00035362i,-0.00054803+0.0011854i,-0.00097436+0.0013596i
0.00037027+0.00022198i,-0.00026576+0.00056061i,-0.00076171+0.00183i,-0.00076708+0.0025277i,-0.00037025+0.0017023i,-6.0838e-05+0.0011035i,0.00013877+0.00049721i,-0.00096631-0.00016775i,-0.0013903+3.5892e-05i,0.00014985+0.0004518i,0.00084277+0.00014941i,0.00026583-0.0002972i,-0.00027931-0.00017106i,-8.0775e-05-3.0526e-05i,0.00043963-0.00039528i,0.00020464-0.0012299i,-0.00038195-0.00086411i,-0.00011338+5.962e-05i,0.00014841+3.3028e-05i,4.8713e-06+0.00011617i,-0.00028276+0.00018635i,-0.00036313-0.0010552i,4.6965e-05-0.0014991i
0.0021901+0.0020723i,0.0020224+0.0019936i,0.0023828+0.00035009i,0.002161-0.0011133i,0.001139-0.0012794i,0.0001738+0.00022679i,0.00016108+0.00076485i,0.00039806+0.00058555i,5.5661e-05+0.00092083i,-0.00026401+0.00050782i,-0.00030989-0.000105i,-0.00081706+6.6941e-05i,-0.0013558+0.00030159i,-0.00099231+0.0001892i,0.00026122-0.00015585i,-0.0003495-8.1334e-06i,-0.001376+0.00011768i,-0.00051776+0.00041576i,-0.00039378+0.00050111i,-0.0004075-0.00013101i,0.00024006-0.00047803i,2.012e-05+0.0001598i,-6.4824e-05+8.7097e-05i
-0.0045677-0.00071647i,-0.0051704+0.00050884i,-0.0035956+0.0014458i,-0.00076146+0.0017972i,0.00062553+0.0017191i,0.0010391+0.00069557i,0.0011595-0.00065844i,0.00058048-0.00098865i,0.00036721-9.3109e-06i,0.0002459-1.6126e-05i,-0.00019585-0.0010328i,0.0006296-0.0010496i,0.0017404-0.00067359i,0.0018159-0.00024522i,0.00037631+0.00017293i,-0.00025924+0.00063264i,-0.00017265+0.00075582i,-9.2222e-05+1.6604e-05i,3.3291e-05-0.00031302i,0.00025824-0.0004836i,-5.8881e-05-0.00052141i,-0.00057964-0.00015305i,0.00018709+0.00041389i
-0.00072486+0.0027263i,-0.0011568+0.0023956i,0.00023693+0.0024527i,0.0010787+0.0010996i,0.0002008-0.00024422i,-0.00018991-0.00074051i,-9.461e-05-0.00094344i,-0.00075041-0.0008618i,-0.0010302-0.00019104i,-0.00032618-0.00027062i,0.00027246-0.00052087i,-4.0202e-05-0.00017079i,-0.00077014-0.00030419i,-0.00084947-0.00045543i,-0.00024085-0.00024525i,-0.00040299+0.00024753i,-0.00054382+4.2936e-05i,-0.00082639+8.6011e-05i,-0.00064878+0.00062895i,4.008e-06+7.4282e-05i,-1.0657e-05-0.00083272i,0.00025997-0.00026332i,5.8981e-05+0.00077465i
0.0002259-0.0016914i,-0.00089625-0.0018424i,-0.0002048-0.0018888i,0.00013575-0.0020958i,5.542e-05-0.0018574i,0.00046808-0.00056237i,0.00099207+0.00024208i,0.00047745+0.00036755i,0.00033581-0.0003822i,0.00096457-0.00065558i,0.00058054-0.00055428i,-0.0001138-0.0011494i,0.00026533-0.0010891i,0.00072177-0.00053713i,0.00017078-0.00026465i,-0.00011147-0.00049986i,-0.00049977-0.00078766i,-0.00064699-0.00066404i,-0.00034724-0.00032719i,-0.00036939-0.00077032i,-0.00019712-0.0010547i,0.00018527-0.00059821i,0.00015332+0.00022998i
-0.00037448-0.0009024i,-0.00016774-0.0015893i,-0.00065616-0.0009455i,-0.00044161-0.00055928i,-0.00020408+0.00041846i,0.00026187+0.00024104i,0.0007337-0.00085086i,0.00091246-0.00050312i,0.00092668+0.00042644i,0.00081959+0.00091351i,0.00012633+0.000775i,-0.00032828+0.00081437i,0.00029965+0.00072668i,0.0011231-0.00024161i,0.00069165-0.00080242i,-0.00047391-0.0005145i,-0.00098324-0.00018523i,0.00013688+0.00029201i,0.00076444+0.00068413i,0.00042898+0.00066846i,9.5395e-05-5.3997e-05i,-0.00025781-8.4393e-05i,-0.00066938+0.00029977i
