0.00030446-0.00021947i,0.0013247-0.0015801i,0.00073935-0.0031623i,-0.00089516-0.0022314i,-0.0020555-0.00015682i,-0.0018829+0.0014739i,-0.00077909+0.0024077i,0.00083646+0.0022288i,0.0018594+0.0013768i,0.0017567+0.00049688i,0.00085547+0.0004619i,-0.00061779+0.00066252i,-0.00096745+0.00042566i,-0.00020765-0.00024242i,-0.00050115-0.0012372i,-0.0013859-0.00085151i,-0.0012124+0.00082388i,-0.00049359+0.00050457i,0.00013771-0.00032544i,0.0004091-0.00019568i,0.00013897-0.00013809i,-0.00067597+0.00019807i,-0.00077181+0.00036966i
0.0024733+0.00028618i,0.0025053-0.0005902i,0.003324-0.0014972i,0.0034998-0.0016272i,0.0021718-0.0010496i,0.0010403+0.00065714i,0.0016853+0.0016182i,0.0021619+0.00077833i,0.0013425+5.8026e-05i,0.00072459-0.00012435i,0.000218-0.00032368i,-0.00030677-0.00048182i,-0.00046324+0.00011674i,-0.00014574-0.00016489i,0.00047248-0.00091864i,-0.00019086-0.00068872i,-0.00078452-0.00082748i,-0.00064232-0.00076818i,-0.00055172-0.00023905i,-0.00030013+0.00015987i,-0.00016816+0.00036039i,-0.00014185+1.1619e-06i,-0.0003415-0.0010957i
0.00052112+0.00069533i,0.0009182+0.0014513i,9.4983e-05+0.00028764i,-0.00021805-0.00028213i,-0.00058695+0.00031516i,-0.00069442+0.00061604i,0.00022483+0.00093884i,0.00091855+0.0011065i,0.00028393+0.001082i,-0.0003617+0.00026861i,0.00013816+0.00012082i,0.00018662+0.00054991i,0.00010052+9.74e-05i,0.0010424-0.0002569i,0.0011348-0.00017867i,-0.00025179-0.00010188i,-0.0006659-0.00035065i,-9.3489e-06-0.00037013i,-0.00022641-0.00015507i,-0.00091254-0.00022543i,-0.00089718+0.00063813i,-0.00062783+0.00099294i,-0.00013548+0.00026922i
-0.00022209-7.5924e-05i,-7.9811e-05+0.00044675i,-6.1381e-05+0.00079615i,-7.654e-05+0.00026992i,-0.00075892+0.00034398i,-0.00012996+0.00088877i,0.00076433+0.00027851i,0.0010203-0.00055566i,0.00096375-0.00080579i,0.00058812-0.00066505i,2.0574e-05+0.00024658i,-0.00051736+0.00090827i,2.7597e-06+0.00049755i,0.00044975-9.8329e-05i,0.0007347-0.00074214i,0.00044943-0.00031162i,0.00031369+0.00040739i,0.00054812-0.00039165i,1.5646e-05-0.00051761i,-9.7425e-05-0.00048204i,0.00041286+0.00012279i,0.00012828+0.00062019i,-0.00036432+0.00024029i
-0.00071238-9.3719e-05i,-0.00095564-0.00092234i,-0.00082978-0.0007271i,-0.0014727-0.00022507i,-0.001708+0.00045484i,-0.0010561+0.0011509i,0.00032593+0.00052885i,0.0015388+0.00011985i,0.0010634+0.00045288i,3.2409e-06+0.00068007i,-0.00065613+0.00077058i,-0.00052692+0.00042435i,0.00023994-0.00010624i,9.7453e-05-0.00043584i,-0.00015388-0.00063277i,3.8899e-05-0.00084423i,7.3758e-05-0.00046772i,-0.00032052+0.00025358i,-0.00031079+0.00026342i,0.00034784+0.00012015i,0.0005136-0.00012577i,-0.00021049-0.00041825i,-0.00055749+0.00023964i
0.0017632-0.0010684i,0.0018383-0.0018078i,0.001894-0.0020919i,0.00026686-0.0017794i,-0.00076554-0.0017846i,0.00034457-0.0012272i,0.0021288-0.0001982i,0.0020178-6.0718e-06i,0.00063597-0.00023364i,0.00011496-0.0002887i,-0.00058154-0.00027554i,-0.00054799-8.6186e-05i,0.00027342+0.00025702i,-0.00023011+0.00059212i,-0.0010687-2.7738e-06i,-0.00057545-0.00046922i,-0.00050723-0.00044322i,-0.00061057-0.00043532i,-0.00048793-0.00037973i,-0.00055608-0.0003461i,-0.00017068+0.00017785i,3.7837e-05+0.00017346i,-0.00036118+0.00018985i
0.0015534+0.00085091i,0.0011856+0.0003537i,0.00097268-0.00024251i,0.0011169+0.00024653i,0.00067884+0.00071003i,0.00027551+0.0010464i,0.00063493+0.0014571i,0.0008629+0.00067231i,0.00073685-0.00011531i,0.00033566-7.5666e-05i,0.00024556-3.9563e-05i,0.00040809-1.3446e-05i,0.00024371-0.00039337i,-0.00011782-0.00053685i,7.0442e-05+0.00021214i,0.00076598+0.00011649i,0.00055912+0.00028327i,-0.00019323+0.0010296i,-7.2341e-05+0.0014002i,0.00021911+0.00073226i,0.00018511+0.00039295i,-0.00037726+0.00056385i,-0.00040936+0.00056968i
1.3152e-05+0.0018791i,0.0016351+0.0023508i,0.0012524+0.001795i,0.00075393+0.0013108i,0.00070127+0.00090773i,0.0010742+0.00062035i,0.0014871+0.0010103i,0.001159+0.0014858i,0.00024398+0.000919i,-8.2198e-05-0.00046194i,0.00049191-0.00071393i,0.00078251+0.00072473i,0.00058858+0.001355i,0.0008868+0.00064302i,0.00060934+0.00015169i,-0.00033117-0.00019844i,-0.0010521-0.00035025i,-0.00059213-0.0001423i,0.00044965+0.00032964i,0.00093878+7.451e-05i,0.00080826-9.4878e-05i,0.00069322+9.5891e-05i,0.00041004-0.00043287i
-0.0006636-0.0010482i,-0.00083908-0.0010695i,-0.001454-0.00017055i,-0.0020584-0.00038357i,-0.0014298-9.2894e-05i,-0.00076394+0.0013059i,0.000173+0.0016001i,0.00078806+0.00080557i,0.00084486-0.00022426i,0.00017299+0.00014469i,-0.0011627+0.00071245i,-0.0017864+0.00026955i,-0.0012743-0.00014374i,-0.00025531-0.00048193i,0.00079014-0.00042701i,0.00057986-8.7657e-05i,-0.00010686-0.00045351i,0.00045712-0.00039358i,0.00085114-0.00021906i,0.00031062-0.0003386i,-0.00057994-0.00033825i,-0.00073835-2.4009e-05i,-0.00029366-1.7266e-05i
-0.00065911-0.0013506i,-0.00090501-0.0016411i,-0.00095793-0.00089388i,-0.00044133-0.00055112i,-0.00058176-0.00099853i,-0.00033781-0.0008089i,0.0013001+0.00013775i,0.0010252+0.00019526i,-8.1077e-05+0.00070257i,-0.00026862+0.0011569i,-0.001261+0.0012587i,-0.0020505+0.00206i,-0.00080948+0.0018651i,-4.3876e-06+0.0010913i,-0.00022962+0.00061518i,-9.3571e-05+0.00054346i,-0.00020611+0.00020052i,-0.00057011-0.00087612i,-0.00060621-0.00080828i,-0.0007853+0.00062627i,-0.0010281+0.0011942i,-0.0011642+0.00078823i,-0.00049073+0.00050268i
-0.00011285-0.0010876i,0.0013104-0.00057044i,0.0015406-0.00030124i,0.00075338-0.00049543i,-0.00035062+0.00020847i,-0.00043772+0.00077614i,0.00047113+0.00040565i,0.0002867+0.00080808i,-0.00021474+0.000869i,-0.00021325+4.7469e-05i,-0.00021358+0.00066197i,-0.00047903+0.0012681i,-0.00088944+0.00048812i,-0.00093717-0.00010911i,-0.00034921-0.00018874i,-0.00049993-9.4721e-05i,-0.00078309-0.00022253i,-0.00061107-0.00040908i,7.6764e-05-0.00036157i,0.00021959-0.0001285i,0.00011946+3.5839e-05i,0.00038449-0.00014668i,-6.4894e-05+9.4913e-05i
