-0.0020471+0.00069915i,0.00060734-0.0012171i,0.00043728+0.00078586i,0.0016222+0.002463i,0.0015983+0.0025536i,0.00097436+0.0014002i,0.00022384-0.00042344i,-5.0677e-05-0.0013411i,0.00017267-0.00054246i,0.00055002+0.00065191i,0.00071919+0.00041169i,6.1022e-05-0.0010815i,-0.0004008-0.0015645i,0.0005668-0.00031071i,0.0012038+0.00057151i,0.00045482+0.00012751i,-1.1835e-05-0.00087068i,7.3548e-05-0.00094075i,6.1407e-05-0.00047399i,0.0002427-0.00075045i,0.0001534-0.0012784i,0.00010464-0.00081626i,-0.00018773+0.00044195i
0.0028226+0.0010607i,0.0018986+0.0012525i,0.0028026+0.00083413i,0.002783-0.00044321i,0.0014059-0.002576i,0.00093966-0.0031007i,0.00086956-0.0023808i,8.0177e-05-0.0014062i,0.00051495-0.0013127i,0.00085617-0.00091628i,0.00048721-0.00024783i,0.00020485+0.0011928i,-0.00023236+0.0028746i,3.5236e-06+0.0030119i,0.00093479+0.0011727i,0.00041508+0.00020719i,-0.00039885+0.00019682i,7.1298e-05+0.00043818i,0.00013399+0.00013163i,-0.00023981-0.00064113i,-0.00096364-0.0004561i,-0.00045208-8.1006e-05i,0.00059389-0.00020687i
0.00034609-0.00042873i,0.0010979-0.00045506i,0.00087151+0.00075576i,0.00017964+0.0013907i,-0.0008979+0.00025417i,-0.0019689-0.0013423i,-0.0014656-0.0016339i,-0.00043835-0.0013534i,0.00050862-0.001717i,0.00062329-0.001266i,-0.00093409+8.8065e-05i,-0.0013402+0.0008303i,-0.00037198+0.00038776i,0.00061829+0.00036569i,0.0011914-7.0406e-05i,0.0010499-0.00076888i,0.00045018-0.00071883i,-0.00041971-0.00041722i,-8.0948e-05+9.1689e-05i,3.8338e-05+0.00048794i,-0.00086302+0.00079891i,-0.001117+0.00068464i,-0.00082249+3.6098e-05i
-0.00024313+0.00083428i,0.0015508+0.00063992i,0.0034105+0.00065674i,0.0035336+0.00048094i,0.0031331+0.0001741i,0.0026083-0.00078068i,0.001525-0.0021352i,-0.00040229-0.0020181i,-0.00040418-0.0010253i,0.00082999-0.00053107i,0.001142-0.00044137i,0.00080819+0.00016697i,-8.5559e-05+0.0010718i,-0.00016974+0.00091615i,5.8945e-05+1.0909e-05i,-9.8933e-05+0.00043567i,-0.00016096+0.00082249i,-7.469e-05-5.966e-05i,2.1756e-05-0.00032536i,-1.8183e-05-7.9784e-05i,0.00028027-3.4032e-05i,0.00088476+0.00032322i,0.0010346+0.00066209i
-0.00060929+0.00041675i,-6.4984e-05+0.0017088i,0.00063057+0.0028632i,-8.4041e-05+0.001836i,-0.0011547-0.0015763i,-0.00019998-0.0040275i,0.0006034-0.0030967i,0.00010428-0.002293i,9.3756e-05-0.0025385i,-0.00016257-0.0021518i,-0.00090663-0.0011331i,-0.0012423+8.4533e-05i,-0.00093145+0.0001666i,-0.0002756-0.00021659i,0.00041138-8.1724e-05i,0.00045178-8.427e-05i,0.00048816-0.00055135i,0.00078298-0.00054659i,0.00059201+0.00051544i,0.00029354+0.00069542i,0.00028619+0.00041576i,3.2926e-05-0.00017149i,0.00023624-0.00048676i
-0.0013884+0.001333i,-0.00019517+0.0020024i,0.00070552+0.0035751i,0.0018581+0.0029362i,0.0030789+0.00060472i,0.0023855-0.0023553i,0.000958-0.002929i,0.00042461-0.0019447i,0.00096987-0.0017189i,9.9896e-05-0.0011105i,-0.0011529-0.00050022i,-0.0013469-4.6601e-05i,-0.001011+0.0005244i,-0.00034879+0.00069991i,-0.0001932+0.00071548i,-4.1724e-05+0.00037336i,0.00013364-0.00027853i,0.00028534-0.00053332i,0.00022185-0.00032167i,0.00013229-0.00040454i,0.00010314-3.9365e-05i,-0.00011308+0.00040792i,-4.2152e-05+0.00070473i
0.00020232+0.0013103i,0.00049016+0.001688i,0.0020939+0.0019586i,0.0031079+0.00023562i,0.002944-0.0023611i,0.0012767-0.003005i,-0.00036531-0.0024673i,-0.00048731-0.0015612i,0.00016777-0.0009934i,0.00040458-0.0010888i,0.00025112-0.00069538i,-0.0011645+0.00039406i,-0.0017357+0.001253i,-0.00055992+0.0016088i,0.00087832+0.0012706i,0.0013959+0.00045646i,0.00098328+3.9454e-05i,0.00074242+0.00054061i,0.00035699+0.00042297i,0.00073427-0.00034521i,0.0006999-0.00024023i,0.00047727-0.00029034i,0.00043511-0.00040354i
-0.00016958+0.0015634i,-0.00024808+0.0020344i,0.00084056+0.0024493i,0.0014949+0.0016958i,0.00056966-0.00028298i,-0.00022544-0.0019936i,-0.00032589-0.0022815i,3.5784e-05-0.00183i,0.00026771-0.00098747i,0.00021495+0.00013626i,2.6819e-06+0.001022i,-0.00019427+0.00078508i,-0.00024402-5.2971e-05i,-0.00016642+0.00043083i,0.00039835+0.0012682i,0.0010765+0.0006999i,0.0011075-0.00016891i,0.00093267-0.00018104i,0.0005857-3.3979e-05i,0.00045322+5.191e-05i,0.00076002+0.00069725i,0.0008335+0.00072216i,-9.9076e-06+8.5555e-05i
0.0006615-7.3646e-05i,-0.00042835-0.00023969i,0.00043764+6.5708e-05i,0.0015714+5.9535e-05i,0.0015761-0.00087119i,0.0010689-0.0011883i,0.00047106-0.0016898i,5.1868e-05-0.0012955i,0.00027312-0.00038757i,0.00073727-0.0007484i,0.00071586-0.00045808i,0.00048441+0.00027264i,0.00038312+0.00031232i,0.00014046+0.00056501i,0.00044997+0.00053519i,0.00064157+1.6459e-05i,0.00064424-0.00086738i,0.00053886-0.00038111i,0.00016752+0.00019058i,4.6153e-05+0.00015287i,0.00053793+0.00016487i,0.00058747-6.8254e-07i,0.00024057-9.8353e-05i
0.00063899-0.00066193i,0.0010016-0.00067479i,0.0010661-0.0014144i,0.00028425-0.0014702i,-0.000545-0.0023934i,-0.00059471-0.0030099i,-0.00017783-0.0031275i,-4.0991e-05-0.0022833i,-1.024e-05-0.0015444i,0.00059426-0.0010237i,0.00030081-0.00047263i,-0.00077983-0.00024041i,-0.00083397+0.00054443i,-9.0668e-05-0.00030315i,0.00093499-0.0011156i,0.0013256-0.00073153i,0.0010565-0.0007192i,0.0007362-0.00091328i,0.0010242-0.00081824i,0.00080928+0.00050691i,-0.00011402+0.0010621i,-3.3832e-05+0.00039126i,0.00025208-6.6151e-06i
0.00049018+0.00053863i,0.0011018+0.0010628i,0.0024396+0.0020722i,0.0023478+0.00089577i,0.00053218-0.00061951i,-0.00079817-0.0018067i,-0.00079804-0.0025243i,5.3819e-05-0.0022957i,0.00096281-0.0014927i,0.00078011-0.00061792i,0.000103-0.00021986i,-0.00047432+8.4627e-05i,-0.00096119+0.0014571i,-0.00071123+0.0021911i,-8.025e-05+0.0011789i,0.00013446+0.0003901i,3.0367e-05-0.00016784i,0.00060724-0.00096968i,0.00088273-0.00073806i,-0.00030391-0.00024725i,-0.00078443-0.00040536i,-0.00022037-0.0007081i,0.00037229-0.00041988i
