-0.0017519+0.0004477i,-0.00078593-0.0011679i,-0.00070403-0.0023558i,-0.0014395-0.0023874i,-0.0019101-0.00086896i,-0.0012639+0.00082445i,-0.00090486+0.0014315i,-0.00078261+0.0013852i,5.6289e-05+0.00097009i,0.0014187+0.0007702i,0.0019185+4.0544e-05i,0.001304-0.0012194i,0.00070571-0.0017751i,7.2816e-05-0.0010162i,-0.00049341+8.3787e-05i,-0.00069071+0.00064495i,-0.00025547+0.00081879i,-0.0001047+0.00038608i,0.00041554+4.1075e-05i,0.00093981+0.00013522i,0.00083877+0.00020888i,0.00065689-0.00042745i,0.00093043-0.00049311i
4.7588e-05+0.00074873i,0.00068012+0.00039676i,0.0013515+0.0012176i,0.00099675+0.001034i,0.00046653+0.00014732i,0.00010023+2.3503e-05i,-0.00085477+0.00087731i,-0.00047616+0.0010716i,0.0005528-0.00013742i,0.00085829-0.00086225i,0.0012016-0.00070097i,0.0011737-5.0464e-05i,0.0012124+0.00053681i,0.0003266+0.00012105i,-0.00040339+3.3968e-05i,-0.00033446+3.0722e-05i,-0.0003754+0.00054045i,0.00019897+0.0010835i,0.001528+0.00073897i,0.0012199+0.00048332i,0.00052704-0.00026734i,9.9132e-05-0.00045545i,-0.00074746+0.00030339i
-0.00075964+0.0011502i,-0.0010927+0.0011155i,-0.0013996+0.00081684i,-0.00086217+0.00035109i,0.00043492-0.00053171i,0.00049973-0.00011008i,-0.00061804+0.00043512i,-0.00093436-8.8225e-05i,-0.00030072-0.00038644i,-3.8417e-05-0.00067653i,0.00042381-0.00077565i,0.00080101-0.00085007i,0.00056367-0.00076245i,-8.8342e-05+0.00025992i,-0.0006003+0.00050447i,-0.00047981+0.00076113i,-0.00039081+0.0018606i,-0.00045884+0.0017328i,-0.00057107+0.00041726i,-0.00088268-0.00012177i,-0.00057728-7.2957e-05i,-0.000154+0.00015463i,-0.00031598+0.00040679i
-0.001016-0.0018757i,0.00016979-0.0035502i,-0.00053392-0.0040026i,-0.00037457-0.0029545i,7.0503e-05-0.0018098i,-0.00052853-0.0010507i,-0.0009149-0.00027279i,-0.00083371+0.00061619i,-0.00080539+0.00096638i,-0.00052972+0.00032341i,0.00030172-0.00017727i,0.00075713-0.00020139i,-2.8715e-05-8.1619e-05i,-0.00013624+0.00012302i,-0.00034237+0.00038116i,-0.00053336+0.00036341i,-0.00043018+0.0007321i,-0.00036393+0.00077461i,0.0002477-9.264e-05i,0.00077284-0.00073967i,0.00088576-0.0010636i,0.00062725-0.00055408i,0.0008514+0.00032273i
-0.00062693+0.0031153i,0.00010914+0.0035806i,-0.00031201+0.0041193i,-0.0015777+0.0025866i,-0.001281+0.00062203i,-0.0014886-0.0003258i,-0.0022575+4.0997e-05i,-0.0015421+0.00097538i,-0.0004063+0.00144i,0.0006427+0.00090646i,0.0013878-0.00014041i,0.001633-0.000536i,0.00096892-4.4803e-05i,0.00048867+0.00069933i,3.8136e-05+0.00036849i,-0.00060654-0.00040644i,-0.00019679+0.00019079i,-0.00025565+0.0010837i,-0.00047801+0.0010815i,0.00050414+0.00054014i,0.0010811+0.00056101i,0.0007083+0.00063213i,0.00062896+0.00033816i
9.2811e-05+0.00069154i,-0.00069692+0.00037696i,-0.00073078-0.00063719i,0.00040119-0.0011286i,0.00034305-0.0013679i,-0.001062-0.00090399i,-0.00075917-0.00021447i,-0.00050863+6.7147e-05i,-0.00053985-4.4759e-06i,-0.00010624-0.0005562i,-8.3576e-05-0.00077933i,0.00045016-0.00036011i,0.00071813-0.00086279i,6.2171e-06-0.001114i,-0.00045693-0.00032031i,-0.00033483+0.00058093i,-0.00025891+0.00016048i,-0.00031728-0.00034043i,0.00022203-0.00065014i,0.00038759-0.00070631i,8.9553e-05-7.7872e-05i,-0.0003408+0.00058594i,-0.0002483+0.00050877i
-0.0016945-0.0022701i,-0.0015289-0.0026027i,-0.0011261-0.0018255i,-0.00055165-0.00098764i,-0.0003967-0.0014911i,-0.00082715-0.0014932i,-0.0010076-0.00046279i,-0.00082148+0.0001667i,-0.00051519+8.7379e-06i,-0.00051036-0.00031967i,-0.00011891-0.00033449i,0.00024904-0.00075119i,2.6444e-05-0.00064584i,-0.00027029+0.00040495i,-0.00050439+0.00057124i,-0.0007786+0.00034506i,-0.00064434+0.00055517i,-0.00025833+0.00078557i,-0.00038985+0.0010341i,0.00031146-1.1424e-06i,0.00075553-0.00084322i,0.00069328-0.0008804i,0.00087779-0.0007492i
0.00067005-0.0010842i,0.00064733-0.00141i,0.0010676-0.0012081i,-5.303e-05-0.0014803i,-0.00092411-0.0012501i,-0.0011819-0.00041627i,-0.0021633-3.9602e-05i,-0.0024383+0.00069576i,-0.0013558+0.0012761i,-1.6244e-05+0.00070011i,-8.9415e-05-0.00042175i,-0.00015724-0.0007988i,0.0003974-0.00045845i,-7.914e-05+0.00027872i,-0.00056265+0.00058247i,-0.00025438+0.00044992i,-0.00036674+0.00062387i,-0.00046649+0.00040136i,-5.3729e-05+8.0167e-05i,-0.00017786+0.00050121i,6.9642e-05+0.0003563i,0.00030805-0.00013743i,-0.00031234+0.00016772i
0.00093474-1.0817e-06i,0.00019466+0.00010262i,0.0010892-0.00042333i,0.00075725-0.00048819i,-0.00096595-0.00034314i,-0.0015355-0.00037928i,-0.00075489-0.00021471i,-0.00035024+0.00048293i,-9.2277e-05+0.0011774i,0.00018062+0.001097i,0.0002543+0.00022028i,0.00037944-0.00042229i,0.00011082-0.00016302i,-0.00061079-0.00037061i,-0.00093015-0.00066748i,-0.00093231+4.5109e-05i,-0.00073852+0.00052988i,-0.00053756+0.0008798i,-0.00053436+0.00082456i,-0.00020731+0.00060276i,-0.00015072+0.00074166i,-0.00022129+0.00023797i,-0.00027445-3.9259e-05i
0.00034657-0.0017927i,-0.00023721-0.0020153i,-0.00052692-0.0019568i,-5.2041e-05-0.0012788i,0.00031993-0.00084357i,-0.00035985-0.00080435i,-0.0016187-0.00039706i,-0.0015875+0.00022642i,-0.00031258+0.00037509i,0.0003379+0.0004338i,0.0003124+0.00028712i,1.1791e-05-0.00013573i,0.00033414-0.00010887i,0.00050454+0.00014816i,0.00045421+0.0003707i,0.00030162+0.00025668i,-0.00047277+0.00039321i,2.7192e-05+0.00042071i,0.0010168-7.2255e-05i,0.00061081+0.00014034i,0.00056567+0.00051907i,0.00074382+0.00014949i,0.00085289-0.00041961i
0.002077-0.00025538i,0.0018093-3.0497e-06i,0.0021492+0.00018199i,0.0021931-0.0011493i,0.0005447-0.0019794i,-0.0007125-0.0011014i,-0.00095474+0.00032954i,-0.00038095+0.0011687i,-0.00043341+0.00084273i,-0.00041558+0.00025055i,0.00037791+0.00033873i,0.00017817+0.0011948i,-0.00037373+0.00074118i,-0.00081644-0.00029578i,-0.00090763+0.00027888i,-0.00066627+0.0014422i,-0.00084254+0.001343i,-0.00037839+0.00057815i,0.00044265+8.1093e-05i,0.001327-0.00010395i,0.0013826+0.00034891i,0.00034502+7.8737e-05i,0.00048065-0.00023788i
