-0.0014229-0.0004669i,-0.0023805-0.00036436i,-0.0018305+0.0011178i,-0.0011343+0.0026304i,-0.0013942+0.0033192i,-0.0005865+0.002178i,0.00057099+0.00089715i,0.00083718+0.0010132i,0.00074621+0.00049716i,0.00044368-0.00062709i,0.00060589-0.00074307i,0.00048689-0.00017071i,-0.00012361-0.00018861i,6.8055e-05+0.00016642i,0.00036286+0.00098465i,0.00025329+0.0010076i,0.00046742-1.6881e-06i,0.00085756-0.00082016i,0.00081933-0.0010634i,0.00056962-0.00026519i,0.00061368+0.00012622i,0.00082453-0.00025668i,0.00058495+4.1421e-05i
0.0017847+0.0013759i,0.0015948+0.00068067i,0.0027857+0.00060882i,0.0026755+0.00028423i,0.0025421-0.00066188i,0.0020549-0.00030452i,0.0016625+8.9061e-05i,0.0017349+9.5602e-05i,0.0010179+0.00014611i,0.00051466+0.0003707i,0.00035143+0.00025172i,0.00087886-0.00030321i,0.0015961-0.0014705i,0.0013473-0.0019197i,0.00037927-0.00061434i,-0.00012722-7.3835e-06i,0.00020336-0.00028963i,0.0011841-0.00013406i,0.0020127+0.00027816i,0.0016438+0.00028471i,0.00058081-0.0003766i,-8.0988e-06-0.00042672i,-0.00022889+0.00046184i
-4.4215e-05-0.00074278i,0.00042976+1.0985e-05i,-0.00019473+8.6632e-05i,-0.00059298-0.0007701i,-0.00011721-0.00055679i,-7.0458e-05-0.00024394i,0.00023245-0.00056922i,9.9777e-05-0.00043819i,-0.00029958-0.00011273i,-0.00065119-0.00035943i,-0.0012172+5.1795e-05i,-0.0011117+0.00019316i,-0.00081117-0.00066134i,-0.00039014-0.00099718i,0.00048593-0.00082414i,0.00048386-0.00079442i,-9.1161e-05-0.00036391i,0.0001652+0.00070817i,0.00072451+0.00070162i,0.00071434-0.00033124i,0.00099143-0.00024537i,0.00098402+0.00045477i,-3.8738e-05+0.00067881i
-0.00041287-0.002196i,0.00012746-0.0015678i,0.00053097-0.0020114i,0.00066801-0.0012432i,-0.0002757+0.00040575i,6.0503e-06+0.00051231i,0.0015834-0.00081407i,0.0015196-0.0017002i,0.00066835-0.0014394i,-0.00035876+0.00019023i,-0.00032712+0.00032455i,4.0083e-05+4.2145e-05i,-0.00036235+0.00021695i,-0.00013457+0.0002739i,0.00015427+0.00081722i,0.00038862+0.00094339i,0.00019488+0.00029548i,-8.489e-05-0.00048831i,-3.3801e-05-0.00031819i,-0.0001321-0.00024087i,7.2517e-05-0.00041041i,-0.00039662-0.0003784i,-0.00067911-0.00026098i
0.0023853-0.0009974i,0.0021376+0.00018167i,0.0033373+0.0005264i,0.0027238+0.00082741i,0.0016669+0.0012763i,0.0018985+0.0019562i,0.0020304+0.0013684i,0.0012135+0.00025503i,-0.00064189-0.00038222i,-0.0015658-0.00027639i,-0.0013596-0.00022167i,-0.00063949-0.00043907i,6.2469e-05+3.3618e-05i,0.00028807-2.9497e-05i,-1.338e-06+0.00012698i,0.00023712+0.00017561i,0.00037856-0.00051634i,-0.00036045-0.00052287i,-0.00049836-0.00019131i,3.6233e-05+0.00026951i,0.00030515+0.00052158i,0.00032544+0.00013325i,-5.3693e-06-3.2071e-05i
-0.0025052+0.00075464i,-0.0032281+0.00018766i,-0.003434-0.00024889i,-0.0016189-0.00065085i,0.0013707-0.0005195i,0.0027205-0.00032817i,0.0014768-0.0010418i,-0.00011764-0.0012212i,-0.000403-0.00058091i,-0.00015772+0.00023312i,0.00068566+0.00057521i,0.0015216+0.00045932i,0.0012819+0.00039704i,0.0014757+0.0006235i,0.0012319+0.00054289i,0.00045809-0.00034813i,0.00023206-0.00079512i,0.00034499-0.00075579i,0.00040476-0.00047349i,0.00026776+0.00011475i,-0.00019104+0.0001758i,-0.00043858-0.00023299i,0.00015957+7.9165e-05i
0.00087626-0.0012642i,0.00086379-0.00053563i,0.0015835-0.00066186i,0.0021034+0.00019241i,0.0012917+0.00079734i,0.00053993-1.1468e-05i,0.0010888-0.00025359i,0.0016312+0.00048756i,0.00095769+0.00059727i,-4.7815e-05+0.00050004i,-0.00057571+0.000329i,-0.00063344-0.00041996i,-0.0004322-0.00073855i,5.8595e-05-0.00025377i,-0.00037948-0.00029665i,-0.0012069-0.00080022i,-0.00097708-0.00059341i,-8.9629e-05-0.00031792i,0.0003056-0.00072006i,-0.00021851-0.00039502i,-0.00039813+0.00052818i,9.8815e-05-5.4089e-05i,0.00044905-0.00044087i
-0.0012266+0.0012312i,-0.0024791+0.0012879i,-0.0022376+0.0017054i,-0.0013274+0.0019264i,-8.4211e-05+0.0019531i,0.0012663+0.0010524i,0.0015707+0.00048073i,0.0010881-0.00013097i,0.00025163-0.00064091i,-0.00023562+0.00025824i,0.0004161+0.00047166i,0.0011978-9.1965e-05i,0.0010108+0.00011365i,0.00030913+0.00014423i,0.00051245-0.00014961i,0.00093602-0.00062211i,0.00067199-0.00098749i,-8.613e-05-0.0012212i,0.00017-0.00075695i,0.00099549-0.00010317i,0.0003696-0.00023047i,-0.00040475-0.00066163i,0.00042944-0.00022492i
-0.00098938-0.00091984i,-0.00050963-0.001355i,-0.0012933-0.001667i,0.00021598-0.00072191i,0.0015487+0.00033583i,0.0015781+7.6922e-05i,0.0014656-0.00033351i,0.0012292+3.0708e-05i,0.0016237+0.00018311i,0.00089851+0.00023503i,-0.00011859+1.9939e-05i,0.00012614-0.00056643i,0.00012968-0.00031914i,6.0631e-05-4.7641e-05i,-0.00015302+4.9259e-05i,-0.00071823-0.00066674i,-0.00043781-0.0010463i,0.00019176-0.00047394i,0.00019142-8.055e-05i,-2.0589e-05-0.0003446i,-0.00029889-0.00021723i,-7.6213e-05+9.7193e-05i,-0.00017474+0.0002476i
0.0004678+0.0017216i,0.00046476+0.0020511i,0.0011648+0.0011997i,0.00068448+0.00030743i,-0.00014821-0.00056266i,0.00099626-0.00036014i,0.0019377+0.00021288i,0.0012466-9.3871e-05i,0.00034225-0.00036274i,-0.00055786+0.00016984i,-0.00051903+0.00075649i,0.00063511+0.00063726i,0.00081053+0.00018001i,0.00045611+0.0006884i,0.00099764+0.0012937i,0.00079279-7.2724e-05i,0.00044659-0.0010327i,7.4415e-05-0.00030364i,-0.00015267+0.00017683i,0.00015545+0.0003455i,0.00054758+0.00047738i,0.00076533+0.00052703i,0.0010351+9.2139e-05i
0.0003593-0.00059185i,0.00041339-0.0008386i,0.001274-0.00049402i,0.001142-0.00028244i,0.0016405-0.00019721i,0.0011598+0.0004383i,0.00079808+0.00028588i,0.00062828-4.9465e-06i,-0.00074943-0.00022525i,-0.0012189-0.00055119i,-0.00069043-0.00024389i,-0.00034511-3.6314e-05i,-8.2216e-05-0.00042706i,0.00011717-0.0003156i,0.00018732-0.00012656i,9.2047e-05-0.00025752i,3.7051e-05-0.00025588i,-0.00017819-0.00027398i,-0.00056758-0.00029615i,0.00054927-0.00058253i,0.00090702-0.00045893i,0.00031087+0.00045304i,9.5888e-05+0.0011351i
