-0.001107+0.00047447i,0.00048275-0.00060899i,-5.1431e-05+0.0017254i,0.00032187+0.0039404i,0.0012299+0.0037908i,0.00092655+0.0023507i,0.00093051+0.00022491i,0.0011172-0.00085089i,0.0012123+0.00010514i,0.00085695+0.00057026i,0.00026458+0.00056417i,-3.5244e-06+2.2514e-05i,-0.00037051-0.00085521i,-0.00069511-0.0011628i,-0.00061509-0.00098289i,-0.00068592-0.00041723i,6.5782e-05+4.6062e-05i,0.00078181+0.00024411i,0.00039263+8.9039e-05i,0.0010117+9.6047e-05i,0.00087005-0.0002971i,-0.00011578-0.00065278i,1.6941e-05-0.00055795i
0.0012201+0.0010814i,0.0010802+0.001514i,0.00084669+0.0023225i,0.0016893+0.0018375i,0.001976+0.0010709i,0.001008+9.3063e-05i,-1.5434e-05-0.00048119i,-0.00051544-0.00089454i,-1.3509e-05-0.00061758i,-0.00088341+0.0004168i,-0.0012788+0.00031132i,-0.0003146-0.00022655i,-0.00088644-0.00035282i,-0.0009701+0.00019006i,0.0001233+0.0012392i,7.997e-05+0.00097808i,-0.00016801+0.00014614i,0.00015625+2.6359e-06i,-0.00040402+0.00043002i,-0.0005733+0.00081135i,-0.00018383+0.00039711i,0.00033406-0.00061387i,0.00039525-0.00064063i
-0.00088457+3.536e-05i,-0.0014042+0.00083441i,-0.00036394+0.0016723i,0.00028753+0.0017576i,3.9195e-05-0.00010462i,0.0010968-0.0016153i,0.0018166-0.0010424i,0.0002843-0.00021707i,-0.00037593-0.00029026i,0.00087621+0.00022381i,0.00096383+0.00076047i,0.00024073+0.00045885i,-4.3502e-05+0.00023165i,-0.00018289-1.5075e-05i,-0.00082414-0.00095958i,-0.00051577-0.0011493i,0.00058306-0.0008556i,0.00041459-0.00055279i,-0.00052979-8.404e-05i,-0.00073655-2.3596e-05i,-0.00023316-9.2275e-05i,0.0002913-8.4934e-05i,0.00012504+0.0005386i
-0.00040987-0.00054401i,-0.00044121-0.0003387i,0.0012908+0.00011944i,0.002878+0.0012512i,0.002708+0.0014238i,0.0023596+0.00044711i,0.0017217-0.00068294i,0.0013733-0.00053429i,0.0011579+0.00019336i,0.00069542+0.00021298i,-6.3217e-05-0.00048818i,-0.00026786-0.00099191i,-0.00011147-0.00051071i,-7.7615e-05-6.1635e-05i,-9.6372e-05-0.00049988i,6.0699e-05-0.00088944i,0.00089302-0.0010119i,0.0012702-0.00097188i,0.00080213-0.0002255i,-0.00010526+0.00053696i,-0.00052056+0.00050021i,-0.00093743+0.00057248i,-0.0007312-0.0003849i
0.0012599-0.00062062i,0.0014898+0.0008757i,0.0019504+0.0017321i,0.0025584+0.0019455i,0.0018926+0.0010224i,0.0017111-3.8478e-05i,0.0013442-0.000721i,0.000406-0.0014679i,0.00016814-0.001627i,0.00039114-0.0011761i,0.00053812-0.00094374i,6.807e-06-0.0006399i,0.00035845-0.00013696i,0.00077359+0.00061865i,0.00019307+0.00073406i,9.7362e-05+0.00063583i,0.00026976+0.00063802i,0.00069991-0.00013965i,0.0008039-0.00050465i,-0.00043269-0.00047869i,-0.00059497-0.0004375i,0.0001341+0.00080266i,0.00012503+0.0011375i
7.6936e-05-0.00056597i,-0.00021568+0.0013117i,0.00052532+0.0022013i,0.0012849+0.002448i,0.0010939+0.0018105i,0.00050546+0.00059369i,0.00082639-0.00021366i,0.00075021-0.00061042i,0.00060671-0.00049865i,0.00069491-0.0004043i,0.00010215-0.00039645i,-0.00020621-0.00010471i,0.00027235+0.00026726i,0.00010785+0.00017099i,0.00016097-0.00055376i,0.00014751-0.00039764i,-0.00056571-0.00057924i,-0.0013154-0.00084775i,-0.0005369-0.00078549i,0.00078419-0.00072624i,0.0007063-0.00026798i,0.00096819-0.00057005i,0.0013261-0.00057094i
2.094e-05-0.00094376i,0.0010619-0.0004201i,0.0026385+0.00078538i,0.003608+0.0025729i,0.0037111+0.0022875i,0.0039403+0.0003412i,0.0029654-0.00082829i,0.00096529-0.0010527i,-0.00017569-0.0012786i,-0.00072392-0.00066189i,-0.00048817-0.00023325i,-0.00032338+0.00030219i,-0.00089241+0.00066598i,-0.0004431-0.00034901i,-5.2062e-05-0.00061369i,-0.00014218+8.0221e-05i,7.9811e-05+0.00010532i,-0.00015223-0.00040345i,-0.00053566-0.00043334i,6.952e-05+2.8056e-05i,0.00077426+0.00018728i,0.00047669-5.2458e-06i,0.00056578+0.00060515i
-0.00054781-0.00095533i,0.0011405-0.00030687i,0.001025+0.0013601i,0.00093245+0.0026481i,0.001164+0.0022057i,0.0010629+0.00034619i,0.001046-0.0013267i,0.00067286-0.0012822i,0.00031281-0.00033543i,0.00010276+2.7995e-05i,-3.131e-05-0.00030192i,6.3436e-05-3.9562e-05i,-9.7548e-05-0.00023287i,3.9192e-05-0.00080087i,-0.00019922-0.00033897i,0.00010671+0.00035097i,0.00080819+4.8169e-05i,0.00048111-0.00013821i,-0.00047275+7.1662e-05i,-0.00051983-0.00069718i,-4.3866e-05-0.0010995i,0.00025209-0.00032624i,0.00074875-9.9271e-05i
-0.00064634+4.8097e-05i,-0.00049598+0.00092984i,0.00038561+0.0023919i,0.0019551+0.0027518i,0.0021468+0.00077574i,0.0018216-0.001443i,0.0011309-0.0015998i,0.00028044-0.0014904i,-0.00027282-0.00087545i,-0.00045572+0.00034984i,-0.00031814+0.00026706i,-0.00067473+3.1777e-05i,-0.00058109-5.852e-05i,0.00016791-0.00012542i,8.3022e-05+8.5249e-05i,-0.00014401-0.00048159i,0.00023812-0.0011557i,0.00065524-0.00040574i,0.00048083+0.00028812i,-0.00013626+0.00035735i,-0.00071975-0.00016157i,-0.00034111-0.00049707i,0.00055719+8.5807e-05i
0.0006961+4.1029e-05i,0.00062546+0.00014823i,0.0010871+0.0012376i,0.0019659+0.0036338i,0.0015556+0.0033739i,0.00078027+0.0010663i,0.00042548-0.00063406i,0.00053088-0.00058314i,0.00068691-5.2378e-06i,0.00039746+5.9765e-05i,9.596e-05+0.00010342i,0.00031974+5.7966e-05i,-2.9877e-05-0.00046907i,0.00023004-0.00044835i,0.0013711+1.8991e-05i,0.00071466+0.00037536i,-0.00040121+9.9417e-05i,-0.00019406-0.00022642i,0.00011355+9.2159e-05i,0.00078497-0.0001012i,0.00068719-0.00019044i,-0.0004602+0.00024021i,-0.00069029+0.00042145i
-0.000187-0.00028965i,0.00041335-8.1291e-05i,0.0015026+0.00067784i,0.0023659+0.0014438i,0.0023197+0.00052i,0.0017742-0.0011898i,0.00043207-0.0024491i,-3.5938e-05-0.0018567i,0.00019917+0.00018345i,-0.00037604+0.0009171i,-0.00036837+0.00027641i,-0.00027249-0.00040975i,-0.00023953+0.00040341i,-3.7925e-05+0.0009683i,5.6436e-05+0.00021515i,0.00084305-0.00017452i,0.00073766+1.9022e-05i,-0.00038521-0.00033871i,-0.00085441-0.00016404i,-0.0013677-0.00041719i,-0.0010561-0.00051595i,0.00033647+0.00011985i,0.00089126+0.0002751i
-0.00077165+0.00034156i,-0.00079517+0.0014075i,-0.00041628+0.0031048i,0.0011398+0.0039341i,0.0022269+0.0020471i,0.0025216-0.00089393i,0.0019219-0.0019675i,0.00095787-0.001241i,0.00017093-0.00019747i,2.2486e-05+0.00012188i,-3.4997e-05-0.00019935i,-0.00046544-0.00071332i,-0.00033284-0.00067423i,5.0506e-05-0.00070885i,0.00028912-0.00089166i,0.00033556-0.00064878i,-0.00044364-0.00012366i,-0.00097543+7.1481e-05i,-0.00030803+0.00023164i,0.00053931+0.00014457i,0.00091872-0.00024504i,0.00078682-0.00011645i,0.00040313+0.0004949i
0.0014534-0.00066872i,0.00091748+0.00069928i,0.0019642+0.00082301i,0.0015642+0.0010683i,0.00017219+0.0014909i,0.00029885-3.6204e-05i,0.00077478-0.0016363i,0.00029516-0.0012003i,0.00042647-0.0010115i,0.00017426-0.00085149i,-0.00049364-0.00025649i,-0.00084642-0.00049701i,-0.00031435-0.00022697i,0.00055552+0.00027803i,0.001043-0.0001103i,0.00059691+1.208e-06i,0.00029006+0.00065284i,0.00082378+0.00041441i,0.0013089-1.9126e-05i,0.00016727+0.00029447i,-0.00033853+0.0004884i,0.00070281+0.00041674i,0.0016124+0.00055158i
-0.00013126+1.5145e-05i,0.00080091+0.0015728i,0.0016338+0.0022529i,0.0035407+0.001639i,0.0040503+0.00059321i,0.0027809-0.0004703i,0.0012794-0.0010988i,0.00044605-0.00095911i,0.00023849-0.00073451i,-1.4673e-06-0.00065792i,6.3353e-05+0.00023374i,5.8765e-06+0.00024994i,-4.5339e-05+0.00010646i,0.00043162-6.3193e-05i,0.00030489-0.0003208i,0.00065183-0.0001763i,0.00086419-4.068e-05i,0.00044524-0.00017443i,0.00026124+0.00012148i,0.0002457+0.00074985i,-0.00077471+0.00074691i,-0.0014201+0.00077111i,-0.00051526+0.00045064i
-0.00020743-0.00017766i,0.00058206+3.9412e-05i,0.00065938+0.0009102i,0.0022457+0.002848i,0.0026785+0.003598i,0.0021394+0.001029i,0.0019122-0.0009123i,0.0010885-0.00086699i,-0.00011358-0.00074609i,-0.00010242-0.00023663i,0.00018241+0.00036151i,-0.00037626+0.00038858i,-0.00028347+7.7014e-05i,0.00040098+7.4138e-07i,0.00070355+0.00014537i,0.00050793+1.8613e-05i,0.00083252+0.00012522i,0.0012546+0.00044721i,0.001065+0.00010151i,0.00090214+1.2103e-05i,0.0001285-0.00046724i,-0.00027326-0.00051645i,-0.00026027+0.00076511i
0.0014371+0.0010751i,0.0015483+0.00022542i,0.0024751+0.00056037i,0.0023148+0.0010605i,0.0020415+0.0004889i,0.0013626-0.00032903i,0.00050802-0.00072622i,5.3921e-05-0.00080289i,-2.096e-05-0.00077323i,-0.00015085-5.1442e-05i,-0.00027037+0.00022575i,-0.00018481-0.00011924i,0.00058815-0.00038099i,0.00078399-9.9266e-05i,0.00068247+0.00026835i,0.00013297-0.00014527i,-0.00051286-0.00071583i,0.00028294-0.00030549i,0.0010364-0.00023894i,0.00031793-0.00022286i,-9.5918e-06+0.00038185i,-0.00065616-0.00015205i,-0.0011548-0.00038962i
-0.0017645-0.0018902i,-0.00055085-0.0006202i,-1.1875e-05+0.0011387i,0.0010524+0.0039447i,0.0014028+0.0040366i,0.0013637+0.0017161i,0.00093204-0.00019797i,6.6717e-07-0.00021259i,0.00022438+0.00026255i,2.8332e-06+0.00037088i,-0.00023665-0.00010129i,-2.433e-05-0.00043036i,0.00031827-0.00010457i,0.00099902+0.00031267i,0.00063665+0.00032363i,0.00039256-0.00021853i,0.00010416-0.00080932i,-0.00014787-0.000978i,-4.0529e-05-0.00039079i,-7.9784e-05-0.00042425i,0.00033925-0.0010568i,0.00047677-0.0006739i,6.8977e-05+0.00024797i
-0.00052547+0.0010008i,0.00084099+0.001981i,0.0022965+0.0034427i,0.0029645+0.003153i,0.0027537+0.00078481i,0.001308-0.0015528i,-7.5825e-05-0.0020714i,-5.7615e-05-0.0011574i,0.00038922-0.00066021i,0.00036154-0.00023943i,0.00030619+0.00055996i,-0.00025963+0.00061962i,-0.00020565-0.00014414i,0.00028259-0.0004227i,0.00012171+3.7496e-06i,0.00055744-0.00025084i,0.00055418-0.00059384i,-0.00019183-0.0004254i,-0.00093685-0.00021181i,-0.0007022-9.8046e-05i,-0.00021761+0.00012579i,7.5075e-05+0.00023875i,-6.6494e-05+0.00033248i
0.00071758+0.0010354i,0.0010556+0.0020394i,0.0017743+0.0032526i,0.0024501+0.0037521i,0.002578+0.0024872i,0.0020017+0.00040456i,0.0017542-0.00072204i,0.0014433-0.0004823i,0.00015961-0.00016861i,-0.00033388+0.00035003i,-3.7359e-05+0.00075802i,-0.00076996+0.00011742i,-0.0010113-0.00012122i,-0.00060644+4.325e-05i,3.5779e-05-0.00015287i,0.00020732-0.00019468i,0.00033117-0.00069411i,0.0010696-0.00091543i,0.00082384+8.3301e-05i,-0.00010903+0.00069556i,-0.00068642+0.00028296i,-0.00023507+0.00020455i,-0.00031352-4.6537e-05i
0.00097092-0.00050801i,-0.00033434-0.00080459i,-0.0015124+0.00031255i,-0.00087496+0.0018843i,0.00011873+0.0011173i,0.00066293-0.0006332i,0.00068508-0.0016213i,0.001433-0.0018062i,0.0011769-0.00046165i,4.6543e-05+0.0006933i,0.00034415+0.00036029i,0.00058578+0.00012069i,0.00071548+0.00085918i,0.0010524+0.00087174i,0.00058158-5.5698e-05i,0.00010067-0.00053058i,0.00037312-0.00058626i,0.00085326-0.00026749i,0.00039569+0.00021143i,-9.3996e-05-0.00013701i,-0.00024786-0.00066966i,-0.00014073-0.00058047i,-0.00060346+0.00012859i
0.0012894+0.00085272i,0.001271+0.0016752i,0.0019753+0.0023244i,0.0026992+0.0033508i,0.0030245+0.0026273i,0.0021127+0.00068235i,0.0006134-0.00043331i,0.00069946-0.00079653i,0.0004938-0.0013465i,-9.0961e-05-0.0014616i,0.00078562-0.00065582i,0.001206+4.6101e-06i,0.00031065+1.0091e-05i,-2.8218e-05+0.00021731i,-3.3417e-05+0.00076142i,6.3328e-05+0.00054513i,0.00026349+0.00026051i,-0.00015514+0.00053312i,-0.00016283+0.00025987i,0.00048358-0.00019618i,0.00094248+0.00026161i,0.0012062+0.00094044i,0.0005783+0.00065886i
-0.0018096-0.00039283i,-0.0024353+0.0011442i,-0.0016584+0.003202i,0.00048821+0.0028093i,0.0017716+0.0021004i,0.0014742+0.00061867i,0.00072647-0.00046104i,5.6294e-06-0.00038618i,-0.0011937-7.6451e-06i,-0.0011801+0.00059133i,3.1899e-05+0.0010786i,6.909e-05+0.00040109i,-0.00032605-0.00035808i,-0.00024264-0.00043177i,-6.1724e-05-0.00032384i,0.00033047-0.0010149i,0.0009084-0.001417i,0.00027354-0.0005347i,0.00026791-0.0006781i,0.00096963-0.00084069i,0.00062216-2.195e-05i,0.00019318+0.00072659i,-0.00013475+0.00084375i
0.00011197-0.0016696i,0.0011141-0.0021409i,0.0014668-0.00046448i,0.0022292+0.0018289i,0.0026521+0.0021749i,0.0024102+0.00083581i,0.0015283-0.0011743i,0.00087996-0.0015656i,0.00061477-0.00016534i,4.0529e-05+0.0010445i,-0.00033943+0.00059842i,-0.00048983-0.00029908i,-0.001038-0.00013745i,-0.0004041-6.4667e-05i,0.00052298-0.00030283i,0.00067617-0.0003885i,0.00012819-0.00030606i,-0.00095653-0.00024797i,-0.0018421-0.00096716i,-0.0010994-0.00033234i,-0.00053066+0.0010668i,2.3819e-05+0.00096407i,0.0007936+0.00063525i
-0.0012666+0.001084i,-0.00061448+0.0023018i,0.0012945+0.0039726i,0.0029408+0.0035108i,0.0024944+0.0013507i,0.0010962-0.00134i,0.00068289-0.0023917i,0.00043217-0.0013079i,-4.7129e-05-0.00047849i,0.0004075-0.00032512i,0.00057142-0.00025021i,0.00033057-0.00019306i,-3.4745e-05-0.00018441i,-5.8575e-07-0.00080999i,0.00047832-0.00076963i,0.00013154-0.00024056i,-0.00021704-0.0002722i,-0.00011072-0.00047959i,0.00013273-9.6801e-05i,2.2785e-05+0.00020518i,-0.00012903-0.00026364i,-0.00032665-0.00034254i,-0.00072505+6.7585e-05i
-0.00090293-0.00088826i,-6.4075e-05-2.0355e-05i,0.0012796+0.0015806i,0.0028919+0.0029041i,0.0029069+0.0018261i,0.0018629-0.00087638i,0.001832-0.0016454i,0.0018075-0.00097158i,0.00036588-0.00013248i,-0.00072776+4.5279e-05i,1.3489e-05-0.00048173i,0.00017198-0.00064501i,-0.0006469+7.738e-05i,-0.00019802+0.00081306i,0.00094562+0.00035102i,0.00091487-0.00028577i,0.00054247-0.00027042i,0.00053863+0.00019806i,0.0002042+0.00023185i,-0.00038505+0.00060241i,-8.3452e-05+0.00028541i,0.00047885-0.00081626i,0.00028988-0.00047567i
0.0016017-0.00080143i,0.0013128+0.00081157i,0.00085897+0.0012999i,0.0013288+0.0025948i,0.0016908+0.002877i,0.0017093+0.0012361i,0.0016184-0.00022788i,0.0010773-0.00049371i,0.00024292-0.00051965i,-0.00043846+8.5056e-05i,-0.00055118+0.0004534i,0.00046695+0.00025143i,0.0013276+0.00038209i,0.00083492+0.00019661i,-0.00031853-0.00019219i,0.00033968-0.00064337i,0.00087612-0.00081219i,-0.00040726-0.00010397i,-0.00065089+0.0002447i,-7.3971e-05-2.902e-05i,-0.00023389+0.00043113i,-0.0004993+0.0002858i,-0.00010014+4.6882e-06i
0.00026721-0.00031671i,0.00011318+0.0012542i,0.00085441+0.002336i,0.0015237+0.0026185i,0.0020655+0.0013771i,0.0018481-0.00045441i,0.0011334-0.0014086i,0.00065502-0.0017021i,-4.0705e-05-0.0013787i,-0.00012171-0.00086019i,0.00038251-0.00010423i,-0.00015239+0.00049496i,-0.0004957+0.00030783i,-0.00027288+0.00042549i,-0.00018936+0.00011525i,0.00018922-0.0005204i,0.00015539-0.00013453i,-0.00051838+9.356e-05i,-0.00026931-0.00018616i,0.00041449-0.00027918i,-0.00012264-0.00011044i,-0.00071323+3.3777e-05i,8.2202e-06-0.00032982i
-0.00025504-0.00022628i,0.00029916+0.00081575i,0.0014784+0.0019611i,0.0029548+0.0026363i,0.0034283+0.0018754i,0.0029433+0.00068968i,0.0019612-0.00023359i,0.00099268-0.0012234i,0.00012988-0.00059496i,-0.00044517+0.0006164i,-0.00036833+0.00037351i,-0.00047528-7.4886e-05i,-0.00062791-0.00021506i,0.00020499-0.00058217i,0.00075816-0.00054142i,0.00044263-0.00058807i,0.00039936-0.00084997i,0.00052855-0.00044134i,1.4051e-05-0.0010815i,-7.0581e-05-0.0012736i,0.00047352-0.00088092i,0.00029869-0.00024004i,-0.00019253+1.4013e-05i
0.00089028-0.00047664i,0.00094756+4.5901e-05i,0.0014517+0.0013202i,0.0016892+0.0022214i,0.0017584+0.0020268i,0.00077221+0.00060803i,-0.00020637-0.0010331i,-0.00049581-0.0011789i,-0.00075578-0.00044403i,-0.00064828-1.7702e-05i,-0.00049621+5.2008e-05i,-0.0014924+1.4265e-05i,-0.00076986-0.00050294i,0.00087228-0.00055281i,0.00098976-0.00022241i,0.00041918-0.00087788i,-6.1984e-05-0.0013806i,-4.7018e-06-0.00082666i,5.0626e-05-5.9023e-05i,2.8597e-05+3.8858e-05i,8.1578e-07-0.00054116i,-0.00020811-0.00024674i,-0.00039845+0.00091383i
-0.0011448+0.00049767i,-0.0007855+0.000594i,0.0010512+0.001857i,0.0031173+0.0026323i,0.0034735+0.0014722i,0.0028885+2.2543e-05i,0.0015182-0.00096504i,0.00043578-0.0020444i,0.00066747-0.0015864i,0.00073179-0.0005049i,0.00053672-0.00042223i,-0.00030642-0.00067038i,-0.00092234-0.00044927i,-0.00039689-0.00028264i,-0.00040551-0.0002774i,-3.6086e-05+0.00027504i,0.0007819+0.00030695i,0.00050395+0.00028719i,-0.00043511+0.00039884i,-1.7714e-05+9.1485e-06i,0.00042133+0.00014042i,0.00015134+0.00034196i,-0.00016461+0.0003046i
