-0.001107+0.00047447i,0.00048275-0.00060899i,-5.1431e-05+0.0017254i,0.00032187+0.0039404i,0.0012299+0.0037908i,0.00092655+0.0023507i,0.00093051+0.00022491i,0.0011172-0.00085089i,0.0012123+0.00010514i,0.00085695+0.00057026i,0.00026458+0.00056417i,-3.5244e-06+2.2514e-05i,-0.00037051-0.00085521i,-0.00069511-0.0011628i,-0.00061509-0.00098289i,-0.00068592-0.00041723i,6.5782e-05+4.6062e-05i,0.00078181+0.00024411i,0.00039263+8.9039e-05i,0.0010117+9.6047e-05i,0.00087005-0.0002971i,-0.00011578-0.00065278i,1.6941e-05-0.00055795i
0.00063098+0.00078153i,0.0015104+0.00074357i,0.0021157+0.0018495i,0.0023566+0.0026314i,0.0022878+0.0012772i,0.0017889+3.6162e-05i,0.0010328-3.4082e-05i,0.00081805-4.7584e-05i,0.00019528-0.00048449i,-0.0010205-0.00041993i,-0.00049095-0.0010622i,-3.5134e-05-0.00092756i,-0.00069171-0.00043938i,-0.00071887-0.00033796i,-5.3226e-05-0.00041847i,0.00078174-0.00089017i,0.00048858-0.000379i,0.00017698+0.00021988i,0.0008739+0.00036233i,0.00083623+0.00030272i,0.00035339+0.00043279i,1.2259e-05+0.00077837i,0.00037873+0.0010181i
0.00032233-0.00066997i,-0.00043181+0.00086378i,-0.00034856+0.0019836i,0.00081689+0.0020083i,0.001336+0.0016215i,0.00094994+0.00072147i,0.00047895-0.0002254i,0.00033233-0.00083533i,9.3099e-05-0.00011067i,-0.00015989+0.00047338i,0.00051164-0.00033001i,0.00043509-0.00057628i,-0.00028699-0.000475i,-0.00046673+1.6358e-05i,-0.00048009+0.00024967i,-0.00033739+0.00019666i,-0.00033033+0.00046233i,-0.00054401+0.00088443i,-0.00039279+0.00073651i,0.00015264+0.00015457i,0.00040161+0.00010345i,0.00025183+0.00052739i,0.00051685+0.00045134i
0.00047696-0.00028138i,0.001003+0.00068566i,0.0014558+0.0019662i,0.0030882+0.0026938i,0.0036961+0.0016901i,0.0027803+0.00030032i,0.0013963-0.00047999i,0.0009671-0.0012849i,0.00044614-0.0016539i,-0.00031717-0.0012366i,4.059e-05-0.00056978i,0.00017066+0.00018081i,-0.00071053+0.00042769i,-0.00083297-0.00097457i,-0.0004661-0.001276i,0.00024907-0.00066623i,0.00044319-0.00052863i,-0.00017466-0.0001304i,0.00025253+0.00031404i,0.00052407+8.2528e-05i,0.00012175+0.00014943i,-0.00036837+0.00056149i,-0.00028535+0.00048731i
0.00037366+0.00039246i,0.00074449+0.00075098i,0.00061278+0.0021094i,0.001537+0.0036606i,0.0030041+0.0028604i,0.0033887+1.6643e-05i,0.00242-0.0019913i,0.00043245-0.0016872i,-0.0013788-0.00058459i,-0.0014991+0.00010143i,-0.00047246+0.00038983i,0.00018514+0.00015411i,0.00040226-0.00026386i,0.00072897-0.00036512i,0.0003493+7.7777e-05i,0.00010084+0.00056037i,-0.00012594+0.00030762i,-2.3183e-05+0.0001518i,3.8043e-06+0.00060433i,-0.00032706-7.5458e-05i,-0.00034188-9.1132e-05i,-2.3594e-05+0.0011381i,0.00021913+0.0013121i
-0.0004717-0.0021975i,-0.00022632-0.001778i,0.0013836+0.00054132i,0.0023869+0.0033889i,0.00237+0.0027726i,0.0017232+0.0001165i,0.0010804-0.00077156i,0.00080192-0.0001864i,0.00047922+0.00011612i,0.00029532-0.00013592i,0.00039055-0.0007657i,0.00070097-0.0010385i,0.0005412-0.00063301i,-0.00030986-0.00033092i,-0.00056656-4.5463e-05i,-0.00042781-8.4517e-05i,-0.00057292-0.00018639i,-0.00046187-9.1831e-05i,-0.00057331+0.00024489i,-0.0012411+0.00046644i,-0.001122-0.0003379i,-0.00038564-0.00043033i,-0.00056186-0.00026081i
-2.762e-05-0.00013772i,0.000413+0.001028i,-2.6943e-05+0.0038739i,0.0010308+0.0055524i,0.0021397+0.0037447i,0.0019162+0.0011441i,0.0014246-0.00043484i,0.00052699-0.00069714i,-0.00033731-0.00032965i,-0.00061991-0.00013484i,-0.00084025-0.00012624i,-0.00043744+0.0001218i,0.00021847+1.2779e-05i,0.00030654+0.00022982i,0.00022703+0.00011442i,-0.00032626-0.00088589i,-0.00031339-0.0011648i,6.0778e-05-0.00061548i,0.00035466-0.00018263i,0.00032136+0.00043917i,-0.00073115+0.00038924i,-0.0011941-0.00020123i,-0.00032299+6.9774e-05i
0.00045513+0.0011372i,0.0004077+0.00086242i,0.0015004+0.0011041i,0.0029852+0.0023591i,0.0042809+0.0015856i,0.00357-0.00037214i,0.0015399-0.0011753i,0.0005796-0.0010541i,0.00047394-0.00056768i,0.00072805-0.00025732i,1.6386e-05-0.00041388i,-0.00040675-0.00087922i,-0.00019163-0.00096012i,-0.00024881+0.00015688i,-0.00014481+0.0012794i,-7.8155e-05+0.00093018i,-0.00017378-2.7802e-05i,0.00067595-0.00048858i,0.00072823+8.0812e-06i,0.00033449+0.00026848i,0.00053929+0.00057878i,0.00030488+0.00075223i,0.00023985+0.00051338i
-0.00012183+0.001561i,-5.1734e-05+0.0015837i,0.0016504+0.001558i,0.0031438+0.0019075i,0.0030907+0.0015729i,0.0026997-0.00052922i,0.0016587-0.0021799i,0.00037574-0.0018111i,-0.00020424-0.0011397i,-0.00058188-0.00091038i,-0.00012408-0.00090463i,0.00014117-0.00093268i,-0.00019003-0.00031157i,-0.00023183+0.00033643i,-6.4925e-07+0.0002486i,0.00048924+0.00039538i,0.00032868+0.000314i,0.00010592-0.00045029i,-0.00020487-0.00022336i,-0.00073984+0.00045893i,-0.00060264+0.00050026i,-4.7233e-05+0.00016083i,0.00043273-0.00045395i
0.00043944+0.00013645i,0.00047576+1.2955e-05i,0.00075919+0.001859i,0.0007751+0.0032174i,0.00095315+0.0020565i,0.0014686+0.00075097i,0.0011968-0.00081072i,0.00068111-0.0020685i,0.00047194-0.0013129i,0.00032608-0.0004885i,0.00023785-0.00031612i,0.00047297-0.00020551i,0.00037421+0.00048817i,-0.00039348+0.00074257i,-0.00044597-0.00050992i,0.00070402-0.0014772i,0.00095923-0.00088427i,0.00038524-0.00013813i,-0.00022737+5.6897e-05i,-0.00016965+0.00014603i,0.00035097-0.00012525i,0.00037137+0.00020845i,0.00027442+0.00062409i
-0.0002744-0.00068125i,0.00019229+0.00045462i,0.00075793+0.002447i,0.0019586+0.0033939i,0.00256+0.0023768i,0.0023667+0.00071013i,0.0016029-0.00041801i,0.0012875-0.00053858i,0.0012753-0.00059176i,0.00042221-0.0005777i,-4.9788e-05-0.00077742i,-0.00046683-0.0012156i,-0.00087457-0.0011871i,-0.00026196-0.00080885i,0.00073375-0.00067273i,0.0010532-0.0014159i,0.00065199-0.0013449i,0.00044005-0.00040604i,0.00016371-0.00036656i,0.00053151-0.00059875i,0.00091445-0.00071238i,0.00099689-0.00011965i,0.00038212+0.00062484i
-3.2611e-05+0.00063525i,0.0002698+0.0016931i,0.001098+0.0016534i,0.0023855+0.0014947i,0.002597+0.00096728i,0.0018253-2.7233e-05i,0.0011316-0.00022614i,0.00048173-0.00053747i,0.00022764-0.00076109i,-0.00072982-0.00039057i,-0.0010202-0.00077676i,0.00014155-0.0013411i,0.00058048-0.00093272i,0.00065874-0.00025676i,0.00043007-0.0002992i,0.00025722-0.00083029i,-0.00030226-0.00070507i,-0.00059262-0.00010613i,-9.0456e-05+3.4704e-05i,0.00033438+0.00020869i,0.00021887+0.00036588i,-0.00034462+0.00081431i,-0.00013927+0.00098829i
-0.0011265+2.3384e-05i,-0.00028834-0.00022096i,0.00084813+0.0011539i,0.0019368+0.0017961i,0.0034159+0.0014371i,0.0027613+0.00014955i,0.0013729-0.00086984i,0.00089268-0.00083215i,8.83e-05+0.00012448i,2.8381e-05+0.0006962i,0.00058717-0.00036031i,0.00058698-0.0013916i,0.00041069-0.00092471i,0.00027331+0.00018466i,-3.4588e-05+0.00056178i,0.00018537+0.00019847i,-4.2576e-05+0.00038038i,-0.00020678+0.00054459i,6.4531e-05+0.00017093i,-0.00022114-0.00018624i,-0.001021-0.00047787i,-0.00068455-0.00098353i,0.0006668-0.00028059i
-0.00011115-0.0020575i,0.0010999+0.00035599i,0.0020169+0.0032243i,0.0022904+0.0046816i,0.0018313+0.0031722i,0.0011025+0.00092855i,9.5244e-05-0.0001647i,7.7539e-06-0.00056119i,-0.00020843-0.00067754i,-0.00051968-0.00010296i,7.0923e-05-2.4046e-05i,0.0011053-3.0936e-05i,0.00076859+0.00028415i,-0.00023979+0.00031982i,0.00019744+0.00029921i,0.00042116-0.00023754i,-0.00045718-0.0002086i,-0.00069199-0.0003227i,-0.00039717-0.00020122i,-0.00013755-0.00035179i,0.0002583-0.00093472i,9.2918e-05-0.00079919i,0.00097792-0.00032759i
