9.3698e-05+0.0021422i,0.0012525+9.5046e-05i,-0.00020647-0.0025141i,-0.0022635-0.0024612i,-0.0035986-0.00022364i,-0.0042727+0.0016098i,-0.0025501+0.0019897i,-0.0002164+0.0018789i,0.0010844+0.00097063i,0.00095567-0.00013296i,1.1449e-05-0.00054507i,-6.6128e-05-0.00082665i,-0.00038316-0.00085325i,-0.00094474-0.00044791i,-0.0012056-4.335e-05i,-0.0013417-0.00056175i,-0.001513-0.0004112i,-0.0014491+0.00016925i,-0.0013109+4.8376e-05i,-0.00078443-0.00019009i,8.114e-05+4.2526e-05i,1.742e-06+0.00037709i,-0.00025358+4.1993e-05i
-0.0018248-0.0020912i,-0.0026597-0.0018594i,-0.0026475-0.00098336i,-0.0021014+3.9166e-05i,-0.0016829+0.00033134i,-0.0015174-0.0002446i,-0.0011251-0.00046807i,-0.00048567+0.00054307i,0.00025369+0.00097653i,0.00050079+0.00058152i,0.00041565+7.7749e-05i,0.00035418-0.00042293i,2.9945e-05-7.0393e-05i,0.00053927+0.00083237i,0.0015736+0.00075386i,0.001092+0.00016585i,0.00051778-0.00024263i,0.00043378-0.00032392i,-0.00038047+7.1058e-05i,-0.00027695+0.00020629i,2.0866e-05+0.0002425i,-0.00039539-0.00022664i,-0.00040221-0.00079004i
-0.00053104-0.0016535i,-5.9644e-05-0.0018845i,-0.00068144-0.00067736i,-0.0010986+4.0174e-07i,-0.0007117-0.00067504i,-3.3259e-05-0.00067122i,-0.00013633+0.00011609i,-0.00078177-0.00011058i,-0.001455-0.00050119i,-0.0011946-0.0002823i,-3.4179e-05-0.00046699i,0.00012002-0.00054903i,0.00025614-0.00072894i,-5.8979e-05-0.00087594i,-0.00027082-0.00064999i,0.0001964-0.00083904i,0.00012184-0.00084171i,0.00070994-0.00024129i,0.0013453+0.00014388i,0.00074003+0.00013655i,0.00063701-1.1473e-05i,0.00033505-0.00035761i,-0.00050646-0.00050719i
0.0016286+0.0012643i,0.0017679+0.00047345i,0.0013739-0.00057589i,0.00032503-0.00073418i,-0.0012519-0.00065008i,-0.0023955-0.0004684i,-0.002162+0.00037329i,-0.00078034+0.0010223i,0.00055718+0.0013918i,0.00029075+0.00050951i,0.00012858-0.00036021i,0.00027274-3.4317e-05i,0.0002242+0.00011717i,-0.00052562-0.00035697i,-0.001078-0.00078431i,-0.00017844-0.00019728i,0.00020182+0.00026878i,-0.00029743+0.00010898i,-0.00080756+0.00036764i,-0.00030375+0.00039902i,0.00027967+2.7825e-05i,0.00022201-0.00062968i,0.00033485-0.00055163i
0.00048266-0.0016551i,0.00083477-0.0014782i,0.0012513-0.00063798i,0.00050538-0.00077241i,-0.0011319-0.0011942i,-0.002921+2.2539e-06i,-0.0025656+0.0015482i,-0.00056351+0.0021903i,7.9677e-05+0.00097236i,-0.00069732-0.0004865i,-0.00093455-0.0005744i,-0.00033564-0.00016513i,-0.00057922+0.00025071i,-0.0010276+0.00036672i,-0.00078656+0.0001889i,-0.0006491-0.00019498i,-0.00070742-0.00061562i,-0.00066786-0.00033983i,0.00024869+0.00015536i,0.0009089+0.00033235i,0.0011004+0.0010936i,0.00099422+0.0013357i,0.00019662+0.00091202i
-0.00031188+0.00045062i,-0.00041626+0.00043189i,0.00066206+0.00057527i,0.00056693+0.0004439i,-0.00071971-0.00044269i,-0.0017968-0.00023253i,-0.002109+0.00087243i,-0.001489+0.0014493i,-0.00025713+0.00077052i,6.6839e-05-0.0002033i,-0.00033319-0.00020639i,-0.0006056+0.00022422i,-0.00081899+0.00012832i,-0.00071806-0.00018818i,3.2088e-05-0.000285i,0.00074615+0.00024159i,-9.8549e-05+0.00054393i,-0.00024045-0.00044271i,2.3256e-05-0.00092686i,-0.00055583-0.00034224i,-0.00029593+0.0003788i,-0.00033687+0.00080064i,-0.00048021+0.0010677i
0.0014107+0.00089694i,0.00090168+0.00053526i,5.6781e-05+0.00054277i,-0.00052424+0.00021409i,-0.0010259-0.00051915i,-0.0012117-0.00061563i,-0.0012579+4.0995e-05i,-0.001285-0.00025304i,-0.0004998-0.0011795i,0.00034721-0.00069405i,0.0005638-0.00010831i,0.00081898+1.2096e-06i,0.00072697+0.00047951i,0.00010092+0.00042745i,-0.00011477+0.00013476i,0.00016214-0.00024786i,-0.00021836-0.0012373i,-0.00038783-0.0013688i,-1.8749e-05-0.00068373i,-0.0001418+0.00022626i,-0.00042126+0.00062266i,-0.00031979+0.00043382i,-0.00012747-0.00018181i
-0.0017893+0.00030364i,-0.0018746+0.00059991i,-0.0013369+0.0006777i,-0.00098504+0.00052835i,-0.0010015-7.0942e-05i,-0.0015657+0.00043139i,-0.0016823+0.0014588i,-0.0015261+0.0017563i,-0.00063128+0.00043972i,5.3982e-07-0.0011417i,0.00010107-0.00068343i,0.0001803+1.6078e-05i,0.00021206+1.6877e-05i,3.1575e-05-0.00014415i,0.00037078-8.1257e-05i,0.0006149-4.9918e-06i,-0.00043969+6.8455e-05i,-0.00077247-0.00027467i,0.00030517+9.1922e-05i,0.00084928+0.00069764i,0.00034265+0.00046529i,-8.772e-05+0.0003357i,-0.00078579+0.00045911i
0.00046278+0.00018823i,0.00031188-0.0015838i,-9.5978e-05-0.002363i,-0.0013753-0.0018782i,-0.0021015-0.0013218i,-0.0028882-0.0012373i,-0.0021855-0.00048009i,-0.00044181+0.00020012i,0.00051977-9.7518e-05i,0.0013499+0.00022029i,0.0011658+0.00076953i,3.1846e-06+0.00064247i,-0.00089306+0.00012978i,-0.00135-0.00026739i,-0.00088392-0.0015334i,-0.00095625-0.0019763i,-0.00076771-0.00088634i,0.00015262-0.0002105i,0.00061142+0.00092118i,-0.0001733+0.0015663i,-0.00011112+0.00069795i,0.0004972+0.00057162i,0.00044874+0.00042893i
-0.00098438+0.00010793i,-0.0013604+0.0010327i,-0.00059942+0.0015246i,-0.00025265+0.00083419i,-0.00073045+0.00061689i,-0.00098304+0.00047849i,-0.00071701+0.00060342i,7.6318e-06+0.00062532i,-0.00032006+0.00083219i,-0.0014728+0.0006866i,-0.0010772-0.00033095i,-0.00012681-0.00068994i,-0.00026141-0.00045659i,0.00025919-0.0010779i,0.00052541-0.0010773i,-8.4424e-05-0.00023902i,-0.00031239-0.00012641i,-0.00086843-0.00038179i,-0.00048945-0.00030861i,-3.2012e-05+0.00030574i,-0.00026289+3.9075e-05i,0.00017329-0.00051915i,-6.9571e-05-0.00050243i
0.00057563-0.00051748i,0.00023338-0.0020307i,-0.00055699-0.0032888i,-0.0018736-0.0028186i,-0.0025858-0.0018973i,-0.0029589-0.00055204i,-0.0026393+0.0011062i,-0.0011655+0.0012577i,0.00028766+9.835e-05i,0.00032871-0.00074625i,3.6689e-05-0.00022711i,-0.00032435+0.0006657i,-0.0002697+0.0012231i,0.00014853+0.00047622i,0.00010779-0.00059093i,-0.00013688-0.00044361i,6.03e-05+0.00024504i,0.0005222+0.0007425i,0.00045934+0.00095523i,0.00028485+0.001014i,0.00035956+0.00048334i,0.00056174+9.2576e-05i,0.00032751-0.00040994i
