-0.0026666+0.0028471i,-0.0034883+0.0031998i,-0.0024021+0.0031593i,-0.00060072+0.0024083i,-1.8418e-05+0.001576i,-2.7978e-05+0.0010706i,-0.0005217+0.0015176i,-0.000652+0.0012271i,0.000362+0.00028149i,0.0012923-0.00058205i,0.001048-0.0010602i,0.0005803-0.00099134i,0.00045205-0.0010877i,0.00034043-0.0010742i,0.00023596-0.00048643i,0.0003464-0.00033044i,0.00048327-0.00048167i,0.00062321-0.00012156i,0.00049008-0.00026228i,0.00037823+2.2366e-05i,0.00034837+0.00039677i,0.00031914-2.2299e-05i,0.00034762-0.00028063i
0.0002327+0.0017647i,0.00089523+0.0020579i,0.00013475+0.00063852i,1.4078e-05-9.8469e-05i,0.00010549-0.00026844i,3.4689e-05-0.00040968i,-0.00044372-0.00059891i,-0.00041267-0.00096868i,-0.00031517-0.00069493i,4.094e-06-0.00018241i,0.00019741+9.0878e-05i,0.00037574-0.00041987i,0.00025274-0.00075786i,-0.00032127-0.0009799i,-0.00072891-0.0011595i,-0.0012237-0.00060186i,-0.0013549+0.000176i,-0.00081188+0.00052993i,-0.00047266+0.00060835i,7.3093e-05+0.00063979i,0.00070283+0.00078734i,0.00059201+0.00055208i,6.112e-05+0.00014453i
0.00065962-0.000293i,0.0013821-0.00046677i,0.0012477-0.0011095i,0.0010977-0.00092274i,0.00093293+0.00028747i,0.00042077+0.0006342i,3.54e-05+0.00067782i,-0.00020873+0.0011051i,-0.00062988+0.00073768i,0.00019723+0.00072524i,0.00068353+0.0010682i,-0.00025633+0.00063888i,-0.00035487+2.9204e-05i,0.00091483+0.00022718i,0.0014453+0.00039288i,0.00072077-0.00019898i,0.00024165-0.00019458i,0.00027257-0.00022371i,0.0007256-0.00065528i,0.00053133-0.00088381i,0.00011811-0.00049439i,-0.00043717+0.00012172i,-0.0007651-0.0001284i
0.00050675-0.00090886i,0.00034529+0.00057845i,1.8162e-05+0.0008838i,-0.00062119-1.4699e-05i,-0.0011487-0.00076393i,-0.0011397-0.00062579i,-0.00097504+0.00027325i,-0.00050124+0.00015087i,0.00033174-0.00026337i,0.0011289-0.00045119i,0.0002843-0.00077681i,-0.0002961-0.0007932i,0.00029637-0.00047613i,0.0004378-0.00011332i,0.00016576+0.00018639i,1.1854e-05+0.0004273i,-6.1892e-05+0.00036329i,0.00041647+0.00036558i,0.00087831+0.00024453i,-1.4957e-05-5.0744e-05i,-0.00035589-0.00035367i,-0.00012306-0.00030299i,-0.00012084+0.00065362i
0.00078987+0.00083396i,0.0004766+1.3283e-05i,0.00036756-0.0010652i,0.00052586-2.1825e-05i,0.00044654+0.00033177i,0.0001351+0.00022302i,5.1386e-05+0.00033623i,0.00014414+0.00087728i,0.00046955+0.0012465i,7.4554e-05+0.0012653i,-0.00048121+0.00070477i,-0.00044904-0.00051688i,-5.615e-05-0.00073475i,0.00060079-0.00026653i,0.00064163-0.00011088i,0.00060109-0.00025718i,0.0010858-1.8342e-05i,0.00027748+0.00037536i,-0.00084033+0.00048133i,-0.00045711-0.00024602i,4.6133e-05-0.00066421i,0.0001339-3.1721e-05i,0.00013477-0.00027617i
0.00066254-1.2662e-05i,0.0020712+0.0011687i,0.0014754+0.0014838i,0.00052146+0.0015281i,-5.0196e-05+0.00092424i,-0.00073885+0.00012009i,-0.00078402-0.00024557i,-0.00066436-0.00094456i,-0.00079158-0.0011765i,-5.245e-05+0.00015854i,0.0008486+0.0022379i,0.00084433+0.0015683i,0.00037373-7.6046e-05i,5.9651e-05+0.00012499i,5.288e-05-0.00024908i,0.00038708-0.00069699i,0.0010387-0.0005715i,0.0012874+0.00043523i,0.00096232+0.00087514i,0.00032259+0.00058288i,-0.00047795+0.00027179i,-0.00036437+6.9478e-05i,0.00050033+7.4205e-05i
-0.001445-0.00026302i,-0.00083414-0.00051123i,-0.00079007-0.00021755i,-0.00052017+0.00047066i,-0.00088509+0.00047148i,-0.0011338+0.00010295i,-0.00046206+0.00068539i,0.001002+0.0012108i,0.0019359+0.00060506i,0.00052314+0.00014182i,-0.00084046+0.00017333i,-0.00031068-5.8775e-05i,0.00025162-0.00044151i,0.00056798-0.0010617i,0.00059771-0.00068075i,-0.00016096-0.00021898i,-0.00055457-0.00030692i,-0.00029771-0.00038714i,-8.746e-05-0.00012324i,0.00033403+0.00033974i,0.00078276+0.0010043i,0.00044941+0.0006134i,8.7059e-05+2.1673e-05i
-0.0005189-0.00063585i,4.5851e-05+0.00062936i,0.00016441+0.0017359i,-0.00026248+0.0015738i,-0.00024373+0.001162i,-0.00043329+0.00086029i,-0.00045486+0.00057039i,-0.00012336+0.00042106i,0.00022157+0.00032046i,0.00064543-0.00027367i,0.00027506-0.00099028i,-0.00057676-0.00075719i,-4.0502e-05+0.00030046i,0.00049631+0.0010271i,-9.8108e-05+0.00111i,-0.00056795+0.00018961i,5.2675e-05-0.00031138i,0.00077719+0.00019353i,0.000928+0.00011221i,0.0008606+0.00044036i,0.00035693+0.0010037i,7.6617e-05+1.722e-05i,0.00032899-0.0010656i
-0.00067278-0.0012265i,-0.0017533-0.0016403i,-0.0024958-0.0011541i,-0.0017902-0.00058987i,-0.00093689-0.00062976i,-0.00041586-8.9537e-06i,0.00013956+0.00066494i,0.0005802+0.00053414i,0.0003986+0.00012816i,-0.00038089-0.00030897i,-0.00056601-0.00025549i,-3.289e-05-0.0002001i,0.00037804-0.00013626i,0.0004384+9.528e-05i,0.00084485+0.00027231i,0.00076459-0.00014157i,-0.00029277-0.00032752i,-0.00096555+0.00025505i,-0.00040475-9.582e-06i,0.00035173-0.00045308i,0.00066493-0.00047498i,0.00037136-0.00072692i,-0.00019435-0.00070049i
0.00063081+0.00029306i,0.0011707+0.0011886i,0.0015986+0.0023798i,0.001817+0.0018885i,0.0011621+0.00055957i,0.00035951+0.00075573i,6.6896e-06+0.00073762i,-0.00052331+0.00036792i,-0.0010476+1.3444e-05i,-0.0007042-0.00038391i,0.00013502-0.00010851i,0.00014149+0.00038926i,-0.00033637+0.00064376i,-0.00097365+0.00048346i,-0.00069839+0.0005414i,-0.00040807+0.00060296i,-0.00094875+0.00029722i,-0.0011783+0.00020021i,-0.00050203+0.00014095i,0.00017271+0.00014284i,-1.0367e-05-5.4797e-06i,0.00016758-0.00025822i,0.00046713-0.00017681i
0.00040034+0.0015713i,0.00082003+0.00076736i,0.0012952+6.3014e-05i,0.0012959-0.00064545i,-1.6333e-05-0.0010298i,-0.00077513-0.00049469i,2.965e-05+0.00053905i,-0.00024736+0.00098372i,-0.00085453+0.00072446i,-0.00051517+9.8404e-05i,-0.00020045-0.00051455i,6.203e-05-0.0008284i,0.00029171-0.00052357i,0.00034542-0.00055945i,-1.0397e-05-0.00071738i,-0.00042682-0.00061458i,-0.00045696-0.00053586i,-0.00010053-0.00044048i,4.3459e-05-0.00045296i,0.00024755-0.0002571i,1.2387e-05+0.00020583i,-0.00042688+0.00040348i,-0.00046871-2.9572e-05i
