0.00025246-0.0011029i,-0.00035545-0.00088991i,-0.00099451-0.00066345i,3.3476e-05-0.00067168i,0.00027152-0.00089233i,-0.00071712+0.00018852i,-0.00090337+0.0016656i,0.00028474+0.0022213i,0.0018305+0.0022716i,0.0018622+0.0011471i,0.0010667-0.00029447i,2.7207e-05-0.00048343i,-0.00020402-0.00028929i,0.00020659-0.00037285i,0.00018864+7.9917e-05i,0.00046308+0.0002347i,0.00014902-9.1766e-05i,-6.5742e-05-8.5463e-05i,0.00035478+2.1103e-05i,0.00099333+0.00013738i,0.00056768-2.0345e-06i,0.0003481-0.00046073i,6.4892e-06-0.00068562i
-0.0019607+0.0015928i,-0.00083395+0.0017139i,0.0015919+0.0023171i,0.0028778+0.0005895i,0.0023732-0.00094839i,0.0012771-0.001032i,0.00041538-0.00012409i,0.00050866+0.00063894i,0.0006155+9.0565e-06i,0.00024958-0.00085851i,0.00014131-0.0011016i,-0.00042021-0.0002923i,-0.00042371-0.00014214i,0.00039879-0.00079475i,0.00055501-0.00055368i,0.00013242+1.3209e-05i,-0.00029882+7.6807e-05i,-0.00067016+6.2016e-05i,-0.00086631+0.0004754i,-0.00061563+0.00060381i,-0.0001011+0.0001024i,0.00038752+5.3602e-05i,0.00055966+7.591e-05i
-0.00063015+0.0019992i,0.00023296+0.0018881i,0.0015538+0.0018158i,0.0012745+0.00010214i,0.00045026-0.0012367i,-0.00069554-0.0013204i,-0.0017389-0.00068323i,-0.0016069+0.00022443i,-0.0012745+0.0005225i,-0.0011492+0.00051593i,-0.00017849+0.00010129i,0.0004229-0.00014032i,0.00039927-8.9858e-06i,0.00047-5.7133e-06i,0.00070136-0.00042158i,0.00059845-0.00093361i,-0.00042106-0.00085175i,-0.00071285-0.00024049i,-0.00030006-0.00011566i,-0.00037149+0.00022038i,-0.00050052+0.00084981i,-7.4769e-05+0.00045164i,9.034e-06-1.4942e-05i
-0.0012581+0.00035545i,-0.0019212-2.7065e-05i,-0.00067168-0.00062825i,0.00063058-0.00024666i,-0.00064941+0.00042379i,-0.0016659+0.00030126i,-0.0010411+0.00070684i,-0.00080393+0.00066462i,-0.0010693+0.00058204i,-0.00081811+0.00063325i,-0.00048362+0.00031998i,-0.00056126-0.0002687i,-0.0001471-0.00013956i,-0.0002875+0.0001937i,-0.00067758-0.00032382i,-0.00040315-0.00071394i,-0.00037771-0.00010407i,-0.00034209+0.00072936i,-0.00083696+0.00085424i,-0.00067626+0.00025613i,9.1344e-05-0.00019168i,0.00045789-8.3329e-05i,0.00018075-0.00010674i
-0.00035978-3.452e-05i,-0.00092853-0.0012918i,-0.00022971-0.0011177i,0.0009459-0.00050951i,0.001875+0.000171i,0.0014178+0.00023481i,0.00045155+0.00032675i,-0.00037943+0.00039341i,-0.0010395+0.00081869i,0.00012446+0.00030067i,0.00040522-0.00060924i,-0.00027055-0.0003773i,-0.00052106+5.3636e-05i,-0.00027712+0.00084212i,0.00041201+0.00088508i,0.00023445+3.089e-06i,-0.00062043+0.00048591i,-2.6189e-05+0.0013454i,0.00054958+0.00079983i,-0.00014427+0.00041908i,-0.00073689+0.00055051i,-0.0013963+0.00032668i,-0.0016458-0.00018141i
-0.00070965-9.1997e-05i,-0.00020828-0.00027204i,0.00045024+0.00074445i,0.0016811+0.001203i,0.0028501+0.0007411i,0.0015031+0.00062124i,-0.00048859+0.00040546i,-0.00028798+5.8965e-05i,0.0008062-0.00017328i,0.0013294-0.00034351i,0.0010907-0.00048082i,0.00066481+0.00015854i,-0.00059381+0.00041063i,-0.0013711+5.8667e-05i,-0.00099286+0.00016451i,-0.00055396-9.1921e-05i,0.00052491-0.00065416i,0.00016516-0.00050272i,-0.00051936+7.7802e-06i,-9.3774e-06+0.00024137i,0.00021313+0.00076595i,0.00034386+0.00030832i,0.0001278+0.00012826i
4.7037e-05+0.0018803i,-8.1103e-05+0.00084389i,0.00081412+0.00057835i,0.0010974+0.00058408i,-0.00014199+0.00054457i,-0.0010529+0.00011283i,-0.00074787+0.00014628i,-0.00026756+0.00073332i,0.00062763+0.00060341i,0.0010905-0.0002601i,0.0009567-0.00052793i,0.0006127-0.00096947i,2.7676e-05-0.00093758i,-7.3045e-05-0.00037975i,0.00025243-5.2789e-06i,0.00032009+7.4513e-05i,0.00033521-9.2032e-05i,3.2729e-05+0.00024748i,-0.00015059+0.0011286i,0.00030117+0.0013914i,0.00042163+0.0010343i,-0.00027477+0.00088515i,-0.0004758+0.00077291i
0.0028935-0.00061604i,0.0017338-0.0014628i,0.0011452-0.0019757i,0.00071997-0.0010815i,0.00069814-0.00055619i,0.00077036-0.0003776i,0.00047063+0.00021237i,0.00081156+0.00047213i,0.0010237+0.00031303i,0.00013154-0.00032792i,-0.0011006-0.00066796i,-0.00060804-0.00029643i,9.7511e-05-0.00016612i,-0.00014424-0.00045712i,-0.00015453-0.00041668i,-0.00043506-8.3891e-05i,-0.0012554-9.9629e-05i,-0.0015113-0.00040325i,-0.0011029-0.00012541i,-0.00054418-0.000316i,-0.00046304-0.00037093i,-0.00095406-9.8236e-05i,-0.00060614-0.00022167i
-0.00041643+0.00057621i,0.00055333-0.00032569i,0.0015514+4.5132e-05i,0.0020244+0.00072893i,0.0022044-1.4863e-05i,0.0016574-0.0011086i,0.00047299-0.00019493i,-0.00015307+8.0211e-05i,0.0001865-0.00042824i,0.00022321-0.0004725i,-0.00016731-0.00044796i,9.3783e-05-0.00038137i,0.00026915-0.0003231i,0.00018895-0.00041717i,0.00051735-0.00074848i,0.00043567-0.00031581i,0.00038116+5.4282e-05i,-0.00050947+0.0001525i,-0.0011777-0.0003049i,-0.00028551-0.00060485i,-0.00048073-0.00020256i,-0.00060773+0.00045923i,-7.6014e-05+0.00028973i
-0.0023358-0.00012154i,-0.0016793-0.00039693i,0.00037285-7.9119e-05i,0.0018372-0.00013242i,0.0016447-0.00083133i,0.0010416-0.00039069i,0.00082293-0.00040751i,0.00080984+6.7212e-05i,-0.00021595+0.00046374i,-0.0013534+0.00032174i,-0.00044682+0.00020202i,0.00048356+0.00033896i,0.00063133+0.00078705i,7.5986e-05+0.00059359i,-0.00033919+0.00083586i,0.00014823+0.0013493i,3.5088e-05+0.00087552i,-0.0002988-2.7665e-05i,0.00010284-0.00022258i,0.00067054-0.00016158i,0.00093321-0.00061602i,-0.00035548-0.00074959i,-0.0014495-0.00074509i
-0.0019192+0.00043768i,-0.0016595+0.0022605i,-0.0011896+0.0015794i,-0.00037024+0.0013405i,-0.00018227+0.0011549i,-0.0002458+0.00023756i,-0.00034574-9.0263e-07i,-0.00074509+0.00057745i,-0.00092299+0.00087572i,-0.00022103+0.0016848i,0.00026261+0.0015541i,4.274e-05+0.00038351i,0.00028867-0.00038172i,0.00010999-0.00042289i,-5.4303e-05-0.00011078i,0.00031409-0.00069455i,0.00053336-0.00081814i,-0.00018568-0.00011283i,-0.00092127-0.00018392i,-0.00070352-0.00057908i,-0.0004923-0.00043362i,-0.00015806-1.7721e-05i,0.00017983+5.8957e-05i
