-0.0028823+0.0003653i,-0.0017036-0.00074621i,-0.0021258-0.0004003i,-0.0010897-0.0003416i,0.00078962+0.00041247i,0.00083783+0.00086068i,0.00080214+0.0013967i,0.001689+0.0015496i,0.0026177+0.00060616i,0.0022365-9.9184e-05i,0.0010561-2.1157e-05i,0.0011857-1.4346e-06i,0.00075676-0.00016709i,0.0002675-0.000179i,0.00024627+5.6873e-05i,-4.4228e-05+0.00055695i,-0.00028345+0.00026345i,0.00017068+8.6539e-05i,0.00047982+0.00011468i,0.00033854+0.00013192i,0.00061256+0.00025208i,0.00073072+0.00018035i,0.00074383-0.00012239i
0.00095294-0.00071659i,0.00043051-0.00031308i,0.00032815-0.0014024i,-0.0006718-0.0021011i,-0.0016595-0.0021933i,-0.0014686-0.0013327i,-0.00039029+0.00047704i,0.00071485+0.00087019i,0.0011041-8.6814e-05i,0.00060563-0.0011834i,0.00021946-0.0016787i,0.00061264-0.0010083i,0.00063108-0.00039728i,-0.000167-0.00058648i,-0.00064975-0.00028373i,-0.00018692+0.001287i,9.8646e-05+0.0018404i,-0.00021183+0.00077955i,-2.769e-05+0.00074089i,0.00062443+0.00073287i,0.0010384-0.00026679i,0.00044728-0.00056646i,-3.1082e-05+0.00014327i
-0.00078614-0.00063917i,-0.0014093-0.00044044i,-0.0016323+4.9601e-05i,-0.0012287+0.00065003i,-0.00089601+0.00091401i,-0.00053767+0.0011987i,-0.00024278+0.00098357i,-0.00015213+0.0007693i,-9.0762e-05+0.001051i,2.3992e-05+0.00075293i,0.00060894-0.00023846i,0.00078726-0.001243i,-7.7714e-05-0.00050852i,-0.00041542+0.00041389i,-0.00011754+7.8459e-06i,-0.00032313-0.00049445i,-4.39e-05-0.00022241i,-4.3968e-05+0.00050168i,-0.00068477+0.0010171i,-0.00091795+0.0013821i,-0.0007092+0.0012803i,8.1199e-05+0.00056044i,0.00058003+0.00022036i
0.0013082-0.0014475i,0.00076715-0.00014827i,0.0024346-0.00015569i,0.0023271-0.0016317i,0.00051435-0.0016896i,-0.00030486-0.00043657i,-0.00033058-0.00025696i,0.00063245+5.7632e-05i,0.0010362+0.00075764i,0.0012093+0.00089512i,0.0010469+0.00035016i,3.1203e-05-1.8531e-05i,-0.00050932+0.00064987i,-0.00052809+0.0010839i,-0.000349+0.00063862i,0.00026854+0.00042635i,0.00010027+0.0003958i,-0.00049749+0.00079016i,5.8135e-05+0.00068764i,-0.00012103-0.00044401i,-0.00032395-0.00062638i,-0.00038306-0.00021874i,-0.0005269+9.7709e-05i
-0.00047281+0.00050863i,-0.00011926-2.6327e-05i,-9.827e-05-0.00037829i,-8.6465e-05-0.0013552i,-0.0016828-0.0017101i,-0.0020016-0.00041858i,-0.00050402+0.000796i,-2.3896e-05+0.00074146i,-0.0002726+0.00080069i,-0.000154+0.00034918i,0.00038248-0.00041692i,0.00047526-0.00015891i,-0.00033043+0.00023477i,-0.00034447+0.00010552i,0.00068229+0.00012352i,0.00024328+0.00014856i,-0.00011776+6.5737e-05i,0.0005327+0.00030376i,0.00059164-9.5636e-05i,-0.00019024-0.00079076i,-0.00018956-0.0012064i,8.3565e-05-0.0010747i,0.00052901-0.00021217i
0.00041526-0.0014294i,0.0010026-0.00014425i,0.0017736-0.0013064i,0.00039432-0.0020733i,-0.00020097-0.0018593i,0.00057182-0.00090513i,0.0010918+0.00027387i,0.0013158-8.3713e-05i,0.0011754-0.00020513i,0.0010782+0.00027081i,0.00024846+0.00076728i,-0.00027641+0.0012638i,0.00039143+0.00093651i,0.00031556+0.00018875i,-4.2988e-05-0.00028002i,0.00015252-3.6547e-05i,0.0006622-0.00029679i,0.00033248-0.00066938i,-0.00024796-0.00031195i,-0.00065427-0.00029743i,-0.00042295-0.00046488i,-8.1839e-05+3.9742e-05i,-0.00033885+0.00024905i
0.0027436+0.0010419i,0.0029073+0.00032031i,0.0035546-0.00058935i,0.0025204-0.0010816i,0.0015169-0.001278i,0.00025567-0.00069861i,-0.00024651+0.00065952i,0.00017911+0.0012443i,0.00051757+0.00067035i,0.00030899-3.2798e-05i,-0.00063158+0.00030167i,-0.001117+0.0011191i,-0.0012258+0.0015553i,-0.0010626+0.0018127i,-0.00058317+0.0015323i,-0.00029014+0.00089916i,-0.0003025+0.00082438i,5.6906e-05+0.00080909i,0.0005559+0.00017592i,0.00050954-0.00040868i,7.7918e-05+6.3844e-05i,-6.5544e-05+0.00012143i,0.0002394-0.00063865i
0.0013143+0.0010097i,0.0014481+0.0008909i,0.0018437-6.9174e-05i,0.0016714-0.00056443i,0.00045348-0.00046765i,-5.0784e-05+0.00063834i,0.00038519+0.00031319i,0.00075809-0.00022374i,0.00068614+0.00032969i,0.00052002+0.00046514i,2.0983e-05+0.00052506i,-0.0015337+0.00038924i,-0.0013834+0.00060355i,6.8303e-05+0.0015304i,-0.00042715+0.0014287i,-0.001274+0.0007728i,-0.00076112+0.00021485i,-0.00057232+0.00028922i,0.00026696+0.00053504i,0.0011687+0.00069195i,0.001053+0.00041155i,0.00066308-0.00014241i,0.00034134-0.0002637i
-0.0010017-0.00046041i,-0.0017567-5.6152e-05i,-0.0013626-0.0018322i,-0.00073317-0.0020375i,0.00040384-0.0007866i,0.00024715+0.00041669i,-3.8235e-05+0.0014063i,1.5489e-05+0.001384i,0.00021855+0.00073903i,0.00090254-9.259e-05i,0.00074165-0.00055637i,1.2284e-05+7.3581e-05i,-0.00023979+0.00076721i,0.00021602+0.00035135i,0.00028503+0.00064044i,0.00061447+0.00068104i,0.00036102+0.00028974i,-0.00036986+0.0004622i,-0.00042361+9.9989e-05i,-0.00039955-0.00027039i,1.1007e-05-0.00083088i,0.0001416-0.0011133i,-0.00052827-0.00053064i
0.00034779-0.0015408i,-0.00080782-0.0015944i,-0.0022391-0.0017486i,-0.0015991-0.00086711i,-0.0017299-0.00037065i,-0.0011369-0.00098259i,0.00045425-0.00099906i,0.0011515+9.1035e-06i,0.0012016+0.00087407i,0.00026405+0.0008566i,-0.00056048+2.1739e-05i,-0.00050422-0.00053027i,-0.00011719-4.6968e-05i,0.00023882+0.00067979i,-2.1098e-05+0.00069936i,-0.00044036+0.00043624i,-0.00034328+0.0003229i,-0.0004791+0.00031571i,-0.00016195+0.00041607i,-2.6579e-05+9.5351e-05i,-7.2437e-05-0.0003845i,0.00063969-0.00062132i,0.00060261+1.6044e-05i
-0.00083865+0.00065399i,-0.00090651+0.0010459i,-0.0013287+0.00017556i,-0.0013853-0.00021235i,-0.0007758+0.0003283i,-0.00029828+0.00010351i,0.00049474+4.9403e-05i,0.0017357+0.00037496i,0.0014558+9.4031e-05i,0.00055754+0.00050245i,0.00026137+0.00083571i,0.00052867+0.00069328i,0.00049141+0.00041784i,0.00067703+6.5742e-05i,0.00073289-0.00019084i,0.00047066-0.0001059i,0.00056757+0.00026146i,-0.0001304+0.00022169i,-0.00092822+4.108e-05i,-0.0008366+0.00012796i,-0.00053764+2.2856e-05i,2.0105e-05-0.00023601i,0.00038616+0.00032218i
