-2.0701e-05-0.00058956i,0.00069586-0.0024604i,-0.00030897-0.0035351i,-0.0021885-0.0026395i,-0.0033878-0.0011806i,-0.0032576+0.00032778i,-0.0026193+0.0012968i,-0.0014844+0.0015208i,-0.00096304+0.0010295i,-3.3922e-05-0.0001786i,0.00069803-0.0010945i,0.00036543-0.00056809i,-0.00049388-0.00047205i,-0.0011391-0.00054535i,-0.00093602+0.00055462i,-0.0004929+0.0012885i,0.00049062+0.00045046i,0.00057293-0.00037388i,6.7418e-05-0.00027948i,7.3202e-05+7.0065e-05i,-5.8881e-05+8.9651e-05i,-0.00026393+0.00010095i,-0.00033521+0.00085606i
0.00014438+0.0015789i,8.6653e-05+0.00050915i,-7.2036e-05-0.00095271i,-0.0007404-0.001667i,-0.0015967-0.0024479i,-0.0014647-0.001758i,-0.00094499+3.5667e-05i,-0.00078767-0.00050011i,-0.00058657-0.00054914i,-9.4354e-05+0.00058727i,-9.9037e-05+0.00089891i,-0.0001021+0.00020952i,-0.00027932+2.7053e-06i,-0.00068325+0.00034963i,-0.0004496+0.00044643i,8.5558e-05+0.00072128i,0.0010203+0.0008868i,0.0007399+0.00065118i,-0.00034282-0.00023115i,-0.0008918-0.00077197i,-0.00095831-0.00076041i,-5.0753e-05-0.00056902i,0.00010322-0.0002417i
0.00016489-0.00050695i,0.00033436-0.00059694i,0.00023084-0.0012128i,-0.0010793-0.0011156i,-0.0019809-0.00060026i,-0.0016813-0.00050998i,-0.0010059-0.000611i,-0.0014945-0.0012345i,-0.0022716-0.00055224i,-0.0014838+0.00029457i,-0.00058816-0.00039828i,-0.00034502-0.00044788i,-0.00040435-0.00023594i,-0.00023099-0.00013141i,0.00067123+0.00055921i,0.0010398+0.00049883i,0.00059209-4.656e-07i,-0.00012375-0.00037201i,-0.00022224-0.00032086i,-3.1709e-05-0.0001357i,0.0002404+0.00026823i,0.00117+9.8872e-05i,0.00065064-0.00035547i
0.0011155+0.0010443i,0.0018373+3.5767e-05i,0.0012415-0.00061617i,-0.00026771-0.00087351i,-0.0015745-0.00095527i,-0.0012691-0.00080304i,-0.0003961-0.00052216i,-0.00012815-0.00063963i,-0.00055964-0.00067952i,-0.00052361-0.00081952i,-0.00030263-0.00075398i,-0.00038799-0.00012927i,-0.0012781-0.0005143i,-0.0011279-0.00076076i,-0.00068619-0.00038995i,-0.0013933+0.00011538i,-0.0014281+0.00067942i,-0.00056137+0.0011261i,0.00030343+0.0013935i,0.00054532+0.00049202i,3.6586e-05-0.00025232i,-9.5122e-05-3.6102e-05i,0.00057601-0.000117i
0.00044379+0.00038835i,-7.9997e-05-0.0015772i,-0.0020638-0.0034139i,-0.0036625-0.0030192i,-0.0032021-0.00177i,-0.0021013-0.0006073i,-0.0010379-0.0004873i,-0.00031128-0.0011644i,-0.00050829-0.0020314i,-0.00022667-0.0014154i,0.00024902-0.00017805i,0.0004294+0.00041762i,0.00053816+0.00062569i,-0.00036213+0.0011056i,-0.00092183+0.0015159i,-0.00036827+0.0011754i,0.00050229+0.00075518i,0.00064463+0.00043723i,0.00043031+1.4092e-05i,0.0003419-1.7825e-05i,0.00040746-0.00047935i,0.00014819-0.0004152i,-0.0008129-3.531e-05i
0.0027085-0.002807i,0.0010308-0.0033683i,-0.0012893-0.0032811i,-0.0030162-0.0026129i,-0.0032119-0.0010631i,-0.0030086-0.00018214i,-0.0017775-7.8325e-05i,1.9927e-05-0.00031621i,0.00019511-0.00039554i,3.2167e-05-0.0011148i,0.00080626-0.00093865i,0.001018+4.0845e-05i,0.00036569+0.00067388i,0.00011893+0.0008417i,-0.00015249+0.00079461i,-0.00033093+0.0009457i,0.00062023+0.0013417i,0.0010696+0.0015825i,0.00056821+0.0011278i,0.00035384+4.4477e-05i,0.00063786+5.4513e-05i,0.00082977-0.00015388i,0.00080125+0.00039988i
0.0011864-4.9004e-05i,0.0021922-0.00013373i,0.00065835-0.00089773i,-0.0014842-0.0013095i,-0.0027971-0.0017923i,-0.0030287-0.0012287i,-0.0017472-0.00041105i,-0.00067965-0.00040488i,-0.0010763+0.00040674i,-0.00099433+0.00079314i,-0.00066577-0.00042689i,-0.0012087-0.00083019i,-0.0013711-0.00015928i,-0.0007236-0.00015715i,-0.00035606-0.00055044i,-0.00035561-0.00077267i,-0.00036991-0.00069436i,0.00019466-0.0003696i,0.00086925+0.000313i,0.00042963+0.00071478i,-2.6984e-05+0.00090398i,-5.1244e-05+0.00084561i,-0.00032188+0.00061966i
-0.00087781-0.00030178i,-0.00085391-0.0011028i,-0.00057785-0.0019203i,-0.0018145-0.0017922i,-0.0024653-0.0013286i,-0.0015101-0.00082445i,-0.00035112-0.00037395i,-0.00038414-0.00106i,-0.00077971-0.0013706i,-0.00038686-0.00053254i,0.00030596-0.00013772i,2.9024e-05-0.0001299i,-0.0005583-0.00042552i,-0.00050126-0.00034371i,-0.00030505+0.00015768i,7.9552e-05+0.00044415i,0.00041796+0.00066624i,-0.00011066+0.00060069i,-0.00037913+0.00045046i,-0.00028755+0.00011704i,4.1324e-05-3.3955e-05i,0.0004079+0.00023934i,-7.5547e-06-3.4986e-05i
0.0023372+0.000651i,0.0018943-0.00069749i,0.00067252-0.0019688i,-0.0015166-0.0017727i,-0.0022542-0.00084676i,-0.001271+0.00012393i,-0.00025735+0.00018507i,-0.00027881-0.00057132i,-0.00049189-0.00022302i,-0.00064079+0.000514i,-0.00045783+0.00061577i,-6.274e-05+0.00010868i,0.0001664-0.00075274i,-0.00019355-0.0005831i,-0.00061844+0.00038774i,-1.4718e-05+0.00066967i,0.00064342-0.00014061i,0.00097634-0.0010054i,0.00061218-0.00064771i,-0.00013055-0.00027613i,-0.00066145-0.00050456i,0.00014523-0.00092393i,0.00010256-0.00085038i
-0.0020375-0.0014547i,-0.0016853+0.00011084i,-0.0017113-0.00028703i,-0.0019305-0.00088253i,-0.0024976-0.00039092i,-0.0018937+0.00019127i,-0.00016203-3.8539e-05i,0.00026042-0.0012832i,-0.00043466-0.0020966i,-0.00098166-0.0016222i,-0.00084783-0.00043898i,-7.514e-05-0.00019546i,0.0002378-0.00025949i,-0.00039138-0.00052665i,-0.00084873-0.00052065i,-0.00068168+0.00032796i,-0.00038768+0.00063082i,0.00023371-0.00022843i,0.00030873-0.00068394i,0.00017063-0.00040727i,0.00026223-0.00028104i,0.00035221+0.00011639i,-0.00032012+0.00023674i
0.0006308-0.0031793i,-0.00074609-0.0031251i,-0.0018799-0.0025259i,-0.0034781-0.001611i,-0.0046184-0.00092943i,-0.0031498-0.0011498i,-0.0012848-0.0011487i,-0.00060403-0.0010029i,-0.00052522-0.001365i,-0.00085835-0.00074759i,-0.0011175+2.2637e-05i,-0.001081-0.00011174i,-0.00086468-0.0001519i,-0.00019814-0.00040475i,-0.00025073-0.00031476i,-0.00028854+0.00041859i,-0.0004939+2.8757e-05i,-0.00048436-0.0009262i,0.00021349-0.00058854i,0.00042527+0.00021563i,1.3254e-05-0.00056053i,-0.00029858-0.00081541i,-0.00026972-0.00037705i
0.00040481+0.0012451i,0.001441+0.00010888i,0.001856-0.00093072i,-0.00015634-0.0010952i,-0.0025282-0.0013932i,-0.0026127-0.0013369i,-0.00084381-0.0010253i,-0.00037427-0.0015838i,-0.00061468-0.0009576i,-0.00068361-0.00024048i,-0.00071664-0.00056907i,-0.00029316-0.00060883i,0.0001383-0.0002009i,-0.00073949+0.00034088i,-0.00089285+0.00049329i,-0.00014637+1.8187e-05i,-0.00030385-0.00037711i,-0.0004236-0.00082654i,0.00040429-0.00098419i,0.0004887-0.00053561i,0.00020257-0.00012558i,-5.9341e-06+0.00042889i,-0.00029398+0.00051548i
0.001403+0.0006033i,0.0011167-0.00035854i,0.0010841-0.001757i,0.0006228-0.0023867i,-0.00037064-0.002672i,-0.0017938-0.0028807i,-0.0021384-0.0011556i,-0.0016888-0.00075947i,-0.0015408-0.00062188i,-0.00091777+0.00042029i,-0.00029613-0.00042183i,-0.00066208-0.00071367i,-0.0013449+0.00059819i,-0.0015474+0.00059792i,-0.00071044-0.00038303i,-0.00056767-0.00029233i,-0.0006575+1.8215e-05i,-0.00047338+9.0927e-05i,-0.0010106-4.5062e-06i,-0.00077278-0.00022563i,-9.1475e-05+0.00014563i,6.5103e-05+0.0005608i,-3.7668e-05+0.00070005i
0.0014251+0.0034153i,0.0014248+0.002867i,0.00073331+0.0011226i,-0.00057391-0.00070664i,-0.0006042-0.0018636i,-0.00052358-0.0023609i,-0.0013522-0.0016764i,-0.0015271-0.0014428i,-0.00082466-0.0012937i,-0.00035387-0.00065275i,-0.00010899-0.00067808i,-0.00015807-0.00048185i,-0.0013488-6.8895e-05i,-0.0025329+1.9154e-05i,-0.0015888-0.00023587i,-0.00020461-0.00032832i,-4.0316e-05+0.00015177i,0.00056999+0.00022811i,0.00046394+0.00024818i,0.0003502+0.00037227i,0.00021151+0.00038802i,-2.1147e-05-0.00044191i,-6.026e-06-0.0005205i
0.00042175-0.0028017i,0.00090757-0.0035254i,-0.00075169-0.00355i,-0.003072-0.0028166i,-0.0036356-0.0018628i,-0.0024867-0.0013591i,-0.00066794-0.001687i,0.00030322-0.0021394i,-0.00033101-0.0017408i,-0.00090265-0.00086119i,-0.00046832-0.00038048i,-3.5647e-05-0.00026351i,-0.00045815-0.00091821i,-0.00022226-0.0013862i,0.00028081-0.00041648i,-6.3101e-05+0.00016416i,-1.7729e-05-0.00010365i,0.00010133-0.00028627i,0.00042447-0.00021656i,0.00095168+0.00017972i,0.00062776+0.00072314i,-1.0611e-05+0.00051813i,-7.6401e-05+0.00020842i
