0.0014898+0.00026358i,0.0022459-0.00024533i,0.0016239-0.0013668i,9.2577e-05-0.0023042i,-0.0015315-0.0017383i,-0.0019383+0.00025802i,-0.00070039+0.0017023i,0.00055509+0.0017456i,0.0011909+0.00062066i,0.00075064-0.00072181i,0.00047235-0.00079051i,0.00027934-0.00056085i,-3.5011e-05-0.0010194i,-0.00012768-0.00053023i,0.00054488+0.00042296i,0.00086925+0.00049315i,0.00041488-6.1593e-05i,-5.7511e-05-0.00059107i,-0.0009307-0.0012366i,-0.00060649-0.0016824i,-0.00022989-0.001068i,7.9918e-05+0.00023731i,0.0011489+0.0010178i
0.00027382+0.00022257i,-0.00037878+7.161e-05i,0.00030573+5.22e-05i,0.00012193-0.000178i,-0.0010105-0.0015068i,-0.0013149-0.0012012i,-0.0012124+0.00037427i,-0.00082668+0.0010824i,-0.0003839+0.00072673i,-0.00057888+0.00070659i,-0.00063169-0.0006042i,-0.0001192-0.0014401i,0.00049516-0.0009172i,0.00084852-0.00082793i,0.00065182-0.00044302i,0.00073657-3.9572e-05i,0.00034782+0.00010614i,-0.00072637-8.7453e-05i,-0.001024+0.00016185i,-0.00072533+0.00087857i,7.2305e-05+0.0010956i,-0.00046366+0.0004521i,-0.00052947+5.114e-05i
0.001562-0.0006789i,0.0017043-0.00042645i,0.0014115-0.00040831i,0.0009264-0.00040023i,0.00028472-0.00052902i,-0.00075615+0.00055192i,-0.00081443+0.0012337i,1.6083e-06+0.00017977i,0.00083061-0.00070999i,0.0011512-0.0004115i,0.0010163-0.00057922i,0.00027698-0.0012113i,-0.00011086-0.00091223i,-0.00010361+0.00011906i,-0.00014846+0.00036899i,8.144e-05-0.0002733i,0.00037205-0.00040522i,0.00054755-0.00063051i,0.00044272-0.00055086i,0.00039269+0.00018696i,0.00045117+0.00034256i,0.00051458+0.00016128i,0.00058866-1.7726e-05i
-0.00011909+0.0019336i,-0.00017909+0.0021502i,0.00033764+0.0025946i,0.00068909+0.0016137i,0.00021642+7.822e-05i,-4.2329e-05-0.00094125i,0.0001752-0.0009248i,0.00066382+0.00023721i,0.00059762+0.00032359i,0.00033608-0.00030728i,0.00054075-2.5902e-05i,0.00085284+0.00029074i,0.0013279+0.00051408i,0.00081032+0.00038401i,5.646e-05-0.00024575i,0.00017666-0.00081163i,0.0002789-0.0011881i,0.00036436-0.0011537i,0.00056608-0.00077817i,-0.00011546-0.00027454i,-0.00061353+0.00041941i,-0.0006284+0.00038841i,-0.00051562-0.00019609i
-0.0010757-0.00025606i,-0.001255-0.0014281i,-0.0012339-0.0022349i,-0.0012356-0.0023127i,-0.0004606-0.0018163i,-3.3798e-05-0.00086178i,-3.755e-05-0.00018168i,8.4009e-05+5.1735e-05i,0.00057657-9.3451e-05i,0.00032985-5.7567e-05i,1.8988e-05+2.9648e-05i,0.00031585-8.9372e-05i,0.00021631+4.0753e-05i,-0.00026903+0.00016227i,-0.00034708+0.00055355i,1.4472e-05+0.00077967i,0.00015887+0.00051992i,0.00034192-0.00011682i,0.00058413-0.00037496i,0.00094761+0.00026559i,0.00087552+0.00042051i,0.00016099-0.00062636i,-0.00016834-0.00098339i
0.0010098+0.0023309i,0.0017751+0.0024773i,0.0017282+0.0029931i,0.0012886+0.0019845i,0.0010843-0.00017051i,-0.00054864-0.001733i,-0.0012434-0.0015798i,-0.00040587-0.00075025i,0.0002223-0.00027945i,0.00049963-0.00058135i,0.00040021-0.00065651i,-9.4347e-05-0.00054332i,8.4781e-05-0.00060198i,0.00017331-5.3692e-05i,-0.00022923+0.0010015i,-0.00061171+0.0013872i,-0.00075664+0.001211i,-0.00058352+0.00023652i,0.00039827-0.00055305i,0.00077883-0.0002288i,0.00094478+0.0003152i,0.0012301+0.00059405i,0.00039999-0.00043371i
0.0018672+0.00071982i,0.0016674+0.00032967i,0.00096189+0.00017214i,-3.1221e-05+0.00046582i,-0.00034199-5.2273e-05i,-0.00085748+0.0004161i,-0.0010098+0.0013518i,-0.0002756+0.0005166i,0.00051702-0.00057291i,0.00081062-0.00025013i,0.0010277+0.00026325i,0.0012394-0.00023579i,0.00064553-0.00072094i,-0.00069871-0.00097674i,-0.00050046-0.00040748i,0.00012316-0.0001233i,-0.00017688-0.00015046i,-0.00021056-0.00042244i,0.00024475-0.00026615i,-8.4082e-06+0.00024603i,-0.00066951+0.00012104i,-0.00051779+5.3913e-05i,-0.00027387+0.00046338i
-0.00026463-0.0010113i,-0.001078-0.00020943i,-0.00086906-9.3237e-05i,0.00055117-0.00068057i,0.0011375-0.00096084i,0.00090571-0.0003173i,0.0001009-0.00015404i,-0.0003965-0.00069762i,0.00029913+0.00010308i,0.00073757+0.00015254i,0.00025076-0.00045607i,-0.0001119-0.00016542i,-0.00024247+0.00046038i,-0.00045967+2.9909e-05i,-0.00017253-0.00044366i,0.00052754+0.0003143i,0.0010416+0.0004342i,0.00023941-0.00014664i,-0.00069713-0.00048607i,-0.00017635-0.00038206i,-0.00013443-0.00017042i,-0.00041059-0.00016509i,-0.00068563-0.00010229i
0.0013374+0.0019243i,0.00076999+0.0021119i,0.0020996+0.0025072i,0.0015517+0.0013312i,-8.8214e-05+0.00012668i,-0.00054608-0.00026468i,-0.00063773-9.567e-05i,-0.00017103-0.00038635i,0.0010363-3.5195e-05i,0.0014803-1.9398e-05i,0.0014189-0.0014786i,0.00071987-0.0015918i,0.00023764-0.00063657i,0.00026561-0.00046649i,0.00022216-0.00018253i,0.0012156+0.000306i,0.0012722+0.00018967i,0.0004284-0.00020305i,0.00029065-0.00081444i,5.1605e-05-0.00103i,-0.00031552-0.00061793i,0.00044251-0.00021926i,0.001016+0.00031549i
0.00029481+0.001228i,-0.00055796+0.0013835i,-0.0010018+0.0016768i,-0.00072788+0.0010218i,-0.00061864-0.0005837i,-0.00067478-0.00066312i,-0.0009598-0.00021407i,-0.00056648-0.00020335i,0.00047181-0.00051256i,0.00051782-0.00031256i,-0.00083496-0.00012548i,-0.00076819-0.00012984i,-0.00027455-1.9181e-05i,-0.00070376+0.00053778i,8.9033e-05+0.0003653i,0.0016968-0.00031331i,0.0009943-9.0106e-05i,0.00047749-0.00032323i,0.00046408-0.0008625i,0.00013569-0.00026347i,-0.00010644+0.00018382i,-0.00030315-0.00032286i,-0.00042184+0.00020174i
-0.00036055+0.0019556i,-0.00030584+0.0019263i,0.0014565+0.0015876i,0.0024308+0.00042901i,0.0017619-0.00060777i,0.00035013-0.0011729i,-0.0001603-0.0010297i,0.0007518-6.4384e-05i,0.0010541-4.3839e-05i,0.00058471-0.00063316i,0.00068898-0.00039244i,0.0011975+0.00058757i,0.00067883+0.00036003i,-0.00077826-0.00041586i,-0.001393-0.00064099i,-0.00061362-0.00017925i,-0.00032195+0.00026906i,-0.00067194-8.1648e-05i,-0.0003661-0.00079443i,-6.9072e-05-0.0004341i,-0.00030508+0.00050345i,4.7618e-05+0.00033046i,0.00067247+0.00041351i
