-0.00078483+0.0015642i,0.00044284+0.00025302i,-0.00020841-0.00063516i,-0.00073087-0.00021346i,-0.0013988+9.8404e-05i,-0.0022363+0.00010318i,-0.0021932+0.0012472i,-0.0016267+0.0018187i,-0.00013833+0.00099854i,0.0013182+0.00017426i,0.0012738+5.2016e-06i,1.2313e-05-0.00045371i,-7.0464e-05-0.0011322i,5.0874e-05-0.0012522i,-0.00060307-0.0003775i,-0.00065522+0.00044488i,0.00015625+0.00029754i,0.00059313+8.5808e-05i,0.00013107-0.00023067i,0.00022378+5.6819e-05i,0.00037721+0.00077238i,-2.1153e-06+0.0005662i,-0.00044663+0.00053768i
0.00041408-0.0020984i,0.0012551-0.001143i,0.0023032-0.00089611i,0.0023101-0.0012058i,0.0012292-0.0012815i,0.00087472-0.00061128i,0.00034291+0.0010814i,3.4122e-05+0.00099545i,0.00099531+0.00029727i,0.0010169+0.00033597i,0.00014578+0.00010891i,-0.00046964+0.00025678i,-0.0010048+0.00073294i,-0.0010874+0.00066385i,-0.00089167-4.8066e-05i,-0.00048409-2.6442e-05i,-0.00059314+0.00035524i,-0.00076893+0.00022734i,-0.00058026+0.00049718i,-0.00038272+0.0012893i,0.00012536+0.0012526i,0.00013403+0.00051481i,0.00013899+3.464e-05i
0.00072262-0.00060182i,0.00020626-0.00059889i,-0.00018373-0.00061043i,-0.00025439-0.00023985i,-0.00045502-0.00030871i,-0.0008006-0.00091962i,-0.00042572-0.0014032i,0.00022358-0.00054971i,0.00050054+0.00069605i,0.00020855+0.00058217i,-0.00038196+0.00029261i,-0.00036035+0.00080092i,0.00017956+0.00077773i,-0.00039065+0.00024295i,-0.0013041-6.7532e-05i,-0.00080237-0.00084057i,-0.00036243-0.0012895i,-0.0010247-0.00042516i,-0.00068147+0.00028617i,0.0002377+0.00044771i,0.000513-0.00048325i,0.00027298-0.00073078i,-0.00012607-0.00036867i
0.00061575-0.00068641i,0.00021284-0.0006245i,-0.00039389-0.00046396i,-0.00046354-0.00087193i,-0.00028914-0.00072476i,-0.00094914+9.2716e-05i,-0.00069783+0.001115i,0.0004303+0.0014802i,0.00071702+0.00045546i,0.00069554-0.00071813i,0.00015377-0.00044986i,0.00021402+0.00041397i,0.00044859+0.00069765i,0.00014196+0.00069625i,-0.00038398+0.00060316i,-0.00039466+0.00083122i,4.5158e-05+0.00096287i,-0.00013898-4.6724e-05i,-0.00027486-0.00089574i,-0.00058683-0.00062618i,-0.001293+0.00049888i,-0.0010515+0.00052034i,0.00020456+0.00020128i
0.0017284+0.0015088i,0.0023043+0.0011983i,0.0032793+0.0001147i,0.0026684-0.00091818i,0.0013552-0.0017995i,0.0010488-0.0017543i,-0.00012811-0.00076219i,-0.00093683+0.0006557i,-0.00080882+0.00090452i,-0.00060218-0.00034903i,-4.2739e-05-0.0010863i,0.00041982-0.0008726i,8.4833e-05+0.00039173i,-0.00049384+0.00072201i,-0.0010705+0.00042068i,-0.001673+0.00083328i,-0.00099204+0.00050627i,-1.9018e-05+0.00025803i,-0.00012005+0.00038459i,-0.00065642+0.00046006i,-0.00054657+0.00010321i,-0.00053268-0.00020612i,-0.00046558-3.2074e-05i
0.00035711-0.00011458i,0.00092858-0.00031215i,0.0016606-0.00051876i,0.00093436-0.0014732i,-0.00032834-0.00083732i,-0.00063241+0.00023689i,-0.00034258+0.00021431i,0.00025529+0.00067036i,0.00079037+0.00071509i,0.00035752-0.00028364i,-0.00045018-0.0011308i,-0.00047966-0.0011935i,-0.00028943-0.0011278i,-0.00057051-0.00032515i,-0.00038223+0.00035836i,-0.00031369+6.1265e-07i,-0.0008675+0.00028875i,-0.00074616+0.0010641i,-0.00036596+0.00082216i,-0.00053093+0.00056044i,-0.00027158+0.00065839i,0.00036026+0.00075089i,0.00047082+0.00051731i
-0.0012164-0.0017894i,-0.00060852-0.0013923i,-0.0004461-0.00054749i,0.00012771+0.00020828i,0.0003867+0.0010713i,8.1608e-05+0.00082897i,-0.00059779+0.00051606i,-0.00018303+0.00020571i,0.00073611-0.00040892i,0.00064483-0.00017425i,0.00019073-2.0226e-06i,0.00045313-0.00053116i,0.00011199-0.001062i,-0.00059406-0.00076584i,-0.00064095-0.00014509i,0.00031301-9.0888e-06i,0.0011851-0.00021633i,0.00061652+0.00015411i,-0.00048513+0.0011962i,-0.00087411+0.0012612i,-0.00051621+0.00043203i,0.0002106-0.00044122i,0.00044773-0.00049329i
0.0026572+0.0013313i,0.0025939+0.0015108i,0.0026234-0.00039173i,0.0014258-0.00194i,0.00065078-0.0018233i,-0.00063048-0.0006782i,-0.0006988+0.0008943i,0.00027751+0.001315i,0.0005805+0.0002666i,0.00082609-0.00064646i,0.00044641-0.00071865i,-0.00053686+0.00025157i,-0.0011054+0.001157i,-0.0012918+0.00087972i,-0.0010461+0.00023726i,-0.00075151+0.00045676i,-1.0262e-05+0.00098292i,0.00044379+0.00095069i,-4.6743e-05+0.00074103i,-0.00030763+1.8035e-05i,0.00026966+0.0002696i,0.00025267-1.9722e-05i,0.00037106-0.00076484i
0.00040433-0.00068125i,0.00051063-0.0005478i,0.00043442-0.00064451i,-0.00010007-0.00049054i,-0.00036175-0.00094144i,-0.00023515-0.00069292i,-0.00025283+0.0006257i,0.00056789+0.0014115i,0.00074324+0.00094511i,3.1843e-05-3.7776e-05i,-0.00050046-0.00043668i,-0.00023349-0.00054468i,0.0001916-0.00048884i,0.00034424-0.00074619i,0.00043536-0.00052529i,0.00013676-0.00016329i,3.4588e-05-0.00031439i,0.00028358+0.00047522i,-0.00013207+0.00076487i,-0.00090893+0.00043197i,-0.0013779+0.00039429i,-0.00095593-0.00017981i,0.00020157-0.00033728i
-0.0014812-0.0015473i,-0.0011174-0.0009249i,-0.00010113+0.00020562i,0.00037071+0.0010765i,0.00055646+0.0012446i,0.00061288+0.00098196i,0.00013579+0.00085882i,-0.0007453+0.00077888i,-0.00092493+0.00048582i,0.00030484+0.00052534i,0.00072478+0.00022486i,-0.00016312-0.0010232i,-0.00072945-0.0016844i,-0.0010652-0.0013957i,-0.0010942-0.00013946i,-0.0010128+0.0003263i,-0.0012213+0.00049348i,-0.0015959+0.0011993i,-0.0020807+0.0013183i,-0.0011228+0.00092386i,-0.00014037+0.00055807i,-2.6039e-05-0.0001683i,0.00030892-0.00060787i
-0.00099441-9.8207e-05i,3.3121e-05-0.00046903i,-0.00072483-0.0001385i,-0.0010821-0.00052212i,-0.0012037-0.0011493i,-0.0013107-0.0012128i,-0.00090106-0.00097234i,-0.00050461-7.8939e-05i,-0.00080677+0.00059903i,-0.00025873+0.00057546i,0.00081274-0.00019849i,0.00095103-0.0004709i,0.00038572-0.00010769i,-0.00054942+0.0003263i,-0.00050043+0.00057634i,-0.00026245+0.00045026i,-0.00071405+0.00015875i,-0.00099555+0.00046344i,-0.00032345+0.00057252i,0.00023612+0.00025849i,-0.00028721+0.00070001i,-0.00065332+0.00024724i,-0.00012211-0.00054804i
