-0.0053304+0.00089299i,-0.0037869+0.0022369i,-0.0034595+0.0042354i,-0.001917+0.0046724i,-0.00054108+0.0043403i,0.00017587+0.0040564i,0.00010146+0.0030827i,0.00030201+0.0023736i,0.0013508+0.0027528i,0.0015102+0.0018872i,0.001341-0.00037436i,0.0011664-0.0012015i,0.0001745-0.0012071i,-0.00066877-0.0015917i,-0.0011167-0.00097069i,-0.00091178-0.00010452i,-0.00011254-1.6489e-05i,0.00045094+0.00039589i,0.00046951+0.00020677i,0.00053175-0.00069588i,0.00045211-0.0012182i,-6.8828e-05-0.00094708i,-0.00068475-0.0005109i
-0.00034906-0.0012125i,-0.00091743-0.00084154i,-0.0016823-0.00098969i,-0.00078378-0.0010457i,-0.00058283-0.00019116i,-0.0010295+0.0003013i,-0.0010389-0.0003212i,-0.00018566-0.00041927i,0.0011088-0.00080418i,0.0011719-0.00069655i,0.00091557-0.000342i,0.00094686-0.00053487i,0.00027032+0.00028858i,1.5539e-05+0.00079026i,0.00011039+0.00013289i,5.2136e-05-0.00049997i,-0.00049351-0.00056982i,-0.0006536-0.00011401i,-4.506e-05+2.4281e-05i,0.0003263+0.00046279i,5.7937e-05+0.00097794i,-9.0317e-05+0.00075035i,-0.00022321-0.00015931i
-0.00083734-0.00020358i,-0.0007967-5.3222e-05i,-0.00017628+4.6756e-05i,-0.0007756+0.00014378i,-0.0011166-0.00049927i,-0.0010868-0.00099289i,-0.00061575-0.00044649i,-2.5506e-05+0.0003123i,0.00057907-0.00044112i,0.0013566-0.0011285i,0.0011165-0.000987i,0.00035342-0.00028247i,-0.00019918+3.3387e-05i,-4.1292e-05+0.0005311i,0.00027358+0.00088949i,0.00010127+0.00011593i,0.00010431-0.00081289i,0.00075407-0.0007041i,0.0011282-0.00044112i,0.0011056-0.00056135i,0.0011938+0.00021514i,0.0010429+0.0012765i,0.00074999+0.0014527i
-0.00046269-0.00078814i,-0.0011877-0.0015978i,-0.0014584-0.0028647i,-0.0014177-0.0023912i,-0.0013058-0.0016543i,-0.0012643-0.00036324i,-0.00082886+0.00043868i,-1.6548e-05+0.00023046i,0.00052262-5.5532e-05i,0.00075045-0.00050801i,0.00019086-0.00058196i,-0.00044922+0.00022128i,-0.00028845+0.00096446i,0.00076018+0.0013013i,0.00093605+0.00066992i,0.00018309-6.131e-05i,-6.3735e-05-5.0441e-05i,0.00049555-9.3265e-05i,0.00079377+8.0927e-05i,0.00086533+0.00046465i,0.0008621+2.4076e-06i,0.00076059+0.00032556i,0.00044736+0.00010736i
0.0014875-0.00060634i,0.0024518-0.0024433i,0.0020779-0.0033818i,0.00088954-0.0032951i,0.00027883-0.0026107i,-0.00028401-0.0013959i,-0.0012946-0.00024321i,-0.00077613-9.7144e-05i,0.00029882-0.00043154i,0.00064688-0.00047742i,0.00056106-0.00075652i,0.00027238-0.00060229i,-0.00066307+3.6736e-05i,-0.00050533+0.00018247i,5.4591e-05-0.00032875i,0.00041061-0.00053368i,0.00083163-0.00032956i,0.00083758-8.9031e-05i,0.00028883-0.00028179i,0.00035368-0.00070545i,0.00076871-0.00016343i,-7.13e-05+0.00032691i,-0.00056334+0.000735i
0.000999-0.00086921i,0.0013723-0.00081662i,0.001281-0.0011602i,-3.1271e-05-0.0015131i,-0.00069783-0.00095297i,4.2531e-05-0.00020592i,-0.00036927+0.00078027i,-0.00037175+0.001086i,4.9844e-05+0.00086902i,0.00075304-0.00011577i,0.00018683-0.00093701i,-0.00045622-0.0010718i,-0.00027936-0.00030105i,0.00015433+0.00060694i,0.00068258+0.00014786i,0.00065023-0.00047793i,0.00024448-0.00046923i,0.00054801-0.00027607i,0.00097483+0.00028744i,0.0012313+0.00053697i,0.00087863+8.667e-05i,-1.1706e-05-0.00017725i,-0.00074428-0.00030214i
-0.00096633+0.0009233i,0.00048598+0.0016576i,0.0014313+0.00086388i,0.0014526-0.00014845i,0.00077784+0.00057033i,-0.00017934+0.0013743i,-0.00036605+0.00089384i,-0.00027849+5.5078e-06i,0.000323-5.9175e-05i,0.0010732-2.826e-05i,0.00050998+0.0001461i,-0.00032389+0.00065313i,-0.00035804+0.00069306i,-0.00017165+0.00040937i,-0.00057202+0.0001243i,-1.2008e-05+0.00022336i,0.00044886+8.6963e-06i,0.00025923-0.00029736i,0.00010782-0.00057102i,0.00026752-0.00045945i,0.00065519-0.00035124i,0.00071879-0.00013344i,0.00089821+0.00049264i
-0.0005325-0.00085613i,-0.00030057-0.00074502i,-0.00030291-0.0002808i,0.0010706+0.00038591i,0.0017701+0.00036069i,0.00098513-0.00050209i,-9.0752e-05-0.00021345i,-0.00055145+0.00037544i,-0.0001817-0.0006538i,0.00012026-0.001406i,0.000202-0.0011125i,4.5906e-05-0.0007944i,-0.00027267-0.00020085i,-0.00023486+0.00044993i,-7.7529e-05+0.00027888i,-0.00039639-0.00018315i,-0.00082396-0.0007976i,-0.00058055-0.0009589i,-0.00047888-0.00041067i,-0.00044613-0.00024072i,-0.0004075+0.00019109i,-0.00044452+0.00056804i,-0.00027136+0.00061066i
0.00079302+0.0011119i,0.001076-0.00018073i,0.00070673-0.0012945i,0.00031905-0.0014289i,-0.00021462-0.0013646i,-0.0010594-0.0014304i,-0.000999-0.0009568i,-0.00016023-0.00036571i,0.00030819-0.00044763i,0.00036642-0.00059321i,-0.00012856-0.00043697i,-2.5481e-05-0.00040096i,9.1956e-05-0.0005571i,-0.00074026-0.00012944i,-0.00055829+0.00024535i,0.00018645+5.5238e-05i,0.00033561-0.00046018i,0.00037537-0.00094082i,0.0003789-0.00031226i,2.1418e-05-0.00011862i,0.00027835+0.00026711i,0.00039834+0.0013948i,-9.5893e-05+0.00092336i
0.00066042+0.00016627i,0.0004741+5.7201e-05i,0.00072516-0.00031832i,0.0011882-0.0018638i,0.00094291-0.001901i,-0.00030934-0.0003227i,-0.0011331+0.0004558i,-0.0010149+0.00041622i,-0.00015807-0.00054735i,0.00030979-0.0012344i,3.4638e-05-0.0010737i,-0.0007279-7.0119e-05i,-0.0010174+0.00063738i,-0.00072965+0.0006521i,-0.00091513+0.00044135i,-0.00095087+0.00058853i,-0.00064394+0.00039433i,-3.0747e-05-4.1509e-05i,-0.00027857-0.00066688i,-0.00059692-0.00050311i,-0.00061369-2.378e-05i,-0.00023468-1.0151e-05i,7.9005e-05+0.00015903i
0.0006877+0.0002448i,0.00011364-0.00080383i,-0.00027388-0.0014727i,-0.0007281-0.00066767i,-0.00078548+0.00083009i,-0.00013502+0.00093211i,6.652e-05+0.00035914i,0.00010195-0.0006437i,0.00062886-0.00073026i,0.0010007-0.00023606i,0.00093839+1.9923e-05i,0.00085808-9.9289e-05i,0.00032437+4.9801e-05i,-0.00053692+0.0003766i,-0.00069837+4.9724e-05i,-0.00059547-0.00026506i,-0.00039315-0.00087009i,5.7228e-05-0.00053696i,-0.00018886+5.5607e-05i,-3.0833e-05-4.2109e-05i,-0.00015643-0.00010508i,-0.00093268+0.00050551i,-0.00085363+0.0010204i
