-8.5096e-05+0.00059551i,-0.00053859-4.423e-05i,-0.00022563-0.00092673i,2.1055e-05-0.0011481i,-0.00069364+6.3443e-05i,-0.0012077+0.00039159i,-0.00074733+0.00023043i,0.00057336+0.00057683i,0.0016717+0.00086024i,0.0013637+0.00022332i,0.0011083-0.00046889i,0.0012968-0.00028565i,2.1569e-05-0.00030991i,-0.0010516-0.00040553i,-0.00075041-2.3058e-05i,-0.00014525+0.00053647i,-0.00021499+0.0008632i,0.00025512+0.00070476i,0.0011869+0.00011139i,0.00084364-0.00016928i,-0.0001744-0.0004598i,-0.00026108-0.00072456i,0.00044078-0.00027382i
0.00089878-0.0007139i,0.00050745-0.002246i,0.0013117-0.0018224i,0.00087266-0.00051491i,0.00015695-0.00070027i,-0.0001871-0.0010099i,5.4006e-05-0.00092454i,0.00069098-0.00018869i,0.00051698+0.00027275i,-0.00015682-0.00040116i,-0.00094694-0.00028767i,-0.0013566+0.00035304i,-0.00088867+0.00067303i,0.00013445+0.00057171i,0.00060556+0.00098058i,0.00012303+0.00099182i,-0.00037231+5.568e-05i,-0.00035526-0.00057484i,-0.00021494-0.00045881i,0.00018959+9.2429e-05i,-7.6465e-05+0.00054112i,-0.00045264-7.1594e-05i,-0.00067582-5.7725e-05i
0.001922-0.0010016i,0.0008868+0.0004682i,6.6965e-05+0.0015599i,-0.00038808+0.0017105i,-0.00046786+0.00070028i,2.4137e-05+0.00035152i,-0.00017477+0.0004016i,-0.00020964-0.00023605i,0.00012392-0.00121i,0.0003036-0.00097805i,-0.00015894+0.00016342i,-0.00052123+0.0009576i,0.00039341+0.0010187i,0.0013074+0.00081078i,0.0010071+0.0011149i,0.00073803+0.0010506i,0.00055404+0.00044559i,0.0003092+0.00010404i,2.1565e-05-9.7596e-05i,-0.00037715+8.2539e-05i,9.1092e-05-6.1024e-05i,0.00026028-0.00029766i,-2.1536e-05+0.00064385i
-4.7184e-05+0.00011715i,-0.0011472-0.00044823i,-0.00070477-0.00086253i,-0.00024916-0.00066431i,0.00010731-0.00043489i,0.00041309-0.00040535i,0.00064804+6.7525e-05i,0.00077309+0.0002515i,0.00068792+0.00018036i,0.00079071+0.00017737i,0.00069938-0.00013973i,0.00016163-0.00050071i,-0.00044212+4.4463e-05i,-0.00049484+0.00043921i,0.0001126+0.00062605i,0.00013487+0.0013743i,0.00031865+0.00098015i,-0.0003113-7.3213e-05i,-0.00090292-0.0005235i,-0.00016275-0.00038334i,0.00074089-0.00010613i,0.00034963-0.00019247i,-0.00056201+1.7356e-05i
-0.00015171-0.00062765i,0.00026224-0.00056029i,9.5603e-05+4.7301e-05i,0.00035214+0.00063287i,0.00023205+0.00063881i,-0.0004617+0.00024374i,-0.00066685+0.00017266i,0.00021769+7.3616e-05i,0.00048628+0.00025642i,-0.00029118+0.00023296i,-0.00041539-2.513e-05i,6.5524e-05-7.3233e-05i,0.00047998+0.00020789i,0.00014918+0.00094302i,5.9251e-05+0.001238i,0.00054825+0.001412i,0.00025588+0.00081987i,-0.00040394-3.7667e-05i,-0.00046847-0.00026203i,-0.00015934-0.00043345i,-0.00037418-0.00010714i,-0.00047664+0.00022306i,0.0002682-0.00016392i
-0.0026941+0.00089705i,-0.0025821+0.0027982i,-0.0019493+0.0031416i,-0.001279+0.0014383i,-0.00053152+5.9489e-05i,0.00034025-0.00052027i,0.00085463-0.00043996i,0.00037246-7.4381e-05i,-3.0952e-06+0.00042202i,-0.00068979+0.00073027i,-0.0011351+0.00062833i,-0.0011402+0.00031697i,-0.0012075+0.00010842i,-0.00011991+0.00049351i,-0.00010087+0.00045377i,-0.00044689-0.00031394i,-4.4048e-05-0.00038628i,-8.5177e-05-0.00036634i,0.00036471+0.00026452i,0.00082282+0.001197i,0.00068283+0.00090922i,-0.00013252+0.00040866i,-0.00051909-0.00015196i
-0.0007437-0.00084493i,-0.0010224-0.00029916i,-0.00068221-8.1095e-05i,0.00024409+0.00067197i,0.0010916+0.00081774i,0.00045766-0.00032007i,-4.973e-06-0.00066884i,-7.1295e-05-0.00010574i,-0.00041061+0.0001376i,-0.0005873+3.324e-05i,-0.00015787-0.00013462i,-0.000219-0.00049067i,-0.00082245-0.00036425i,-0.00095982-0.0004407i,-0.00078324-0.00097127i,0.00031102-0.00092433i,0.00055291-0.00019502i,-0.00093524-0.00023815i,-0.001043-0.00096166i,0.00018543-0.00097373i,1.6815e-05-0.00018569i,-0.00055278+0.00024027i,-8.2455e-05-9.3403e-06i
0.0016281+0.00052873i,0.0016516-0.00014071i,0.0016713+0.00014917i,0.0011754+0.00017642i,0.001107-1.0282e-05i,0.00082223+0.00014859i,0.00073451-6.268e-05i,3.0189e-05+2.9418e-05i,-0.00010966+7.7299e-05i,0.00030468-0.00016744i,0.00015195-0.00061412i,-0.00027769-0.00097108i,-4.7024e-05-0.00027793i,0.00040392-0.00025797i,0.00014038-0.00074945i,3.4693e-05+1.2099e-05i,0.00018992+0.00048734i,0.0001046+0.00047348i,0.00043747+0.00076515i,0.00042135+0.00077689i,0.00017582+0.00045471i,9.0079e-05+0.00069711i,0.00028573+0.00028509i
-0.00077198-0.00096796i,-0.0010551+0.00015195i,-0.00071167+0.0019845i,-0.00079705+0.0015284i,-0.0010944+0.00018872i,-0.00033382-0.00010938i,0.00039353-4.7547e-06i,0.00045554-0.000397i,0.00062224-0.00042078i,0.0003048-6.1161e-05i,0.00021138+0.00010704i,-6.5855e-06-0.000115i,-0.00033189-7.6291e-05i,-0.00052728+0.00082845i,-0.00076583+0.001623i,-0.0010112+0.00079122i,-0.00038436-0.00024005i,0.00026965-6.4194e-05i,0.00026124+0.0003044i,0.00028488+0.00023757i,0.00028217-0.00053274i,0.00077311-0.00042263i,0.0010491+0.001185i
0.00050376+0.0012252i,0.00053866+0.0010288i,0.00039333+0.00068059i,7.3313e-05+0.00090534i,0.00013588+0.00019551i,0.00013391-0.00082579i,-0.00057952-0.00036378i,-0.00055791+0.00016366i,-0.00045237+0.00027869i,0.00019997+0.00023204i,0.00054469-0.00018827i,0.00012361-0.00074686i,-0.000574-0.00053629i,-0.00045782+0.00051562i,-8.2899e-05+0.00092148i,-0.00037814+0.00037325i,2.4241e-05+0.00048537i,0.0005774+0.00097561i,7.2235e-05+0.00050247i,-4.4735e-05-0.000605i,0.00037209-0.00054147i,0.0012928-0.00033447i,0.00085856-6.4354e-05i
0.00027165+0.00126i,0.0012888+0.0019987i,0.0024582+0.0029489i,0.0027299+0.001817i,0.0023232+0.00023685i,0.0014496-0.0002997i,-0.00065707-0.00014905i,-0.0017931+3.3695e-05i,-0.0011865+0.00074563i,1.2545e-05+0.00051395i,0.00044334-0.00017961i,-0.00011084-0.00073023i,-0.00095445-0.00044054i,-0.0011558+0.00018172i,-0.00044844+2.8641e-05i,0.00014084-8.6358e-05i,-0.00027462-3.2033e-05i,-0.00019548+9.8717e-05i,0.00021922+0.0002862i,-8.9797e-05+0.00012633i,-4.5618e-05-7.4323e-05i,0.00040369-0.00012764i,0.00069305+0.0003531i
