-0.0033714+0.00054645i,-0.0022557+0.00062755i,-0.002243+0.00094997i,-0.0018654+0.00042731i,-0.0012419+0.00075746i,-0.00014384+0.00093548i,0.00058441+0.00082174i,0.0005492+0.00056255i,0.00081394+0.00035284i,0.0012451+0.00064137i,0.00022337+0.000503i,-0.00063006+0.0001514i,-4.4692e-05+0.00055631i,-5.1368e-05+0.00057953i,-0.00014248+0.00012385i,-5.5609e-05-0.00035253i,-3.7472e-05-0.00064941i,8.7736e-05-0.00051744i,-0.00055819-0.0007148i,-0.0011427-0.00087598i,-0.00067241+3.851e-05i,-0.00014901-5.6488e-05i,0.00030189-0.00022087i
-0.00017478+0.0003456i,-0.00043525+0.00041565i,-0.00063654+0.00074044i,-0.0011165+0.00065316i,-0.0011906+0.00044151i,3.1375e-05+0.001145i,0.00097112+0.00092091i,0.00052859-0.00010882i,0.00011701+0.00017566i,-0.00019344+0.00066763i,-0.0004384+0.00034777i,-0.0002962+5.6165e-06i,-0.00031294+0.00055384i,-0.00051882+0.00077252i,-0.00043328+0.00063586i,-3.9846e-05+0.00040634i,0.00018679+0.00011631i,0.00033698+0.00057597i,0.00054069+0.00108i,0.00037878+0.00080588i,0.00039856+0.00036467i,-4.8212e-05-0.0002469i,-0.00092437-0.00032212i
0.00055635+0.0017908i,0.00099869+0.001764i,0.0023173+0.0015596i,0.0018808+0.0014335i,0.0012008+0.0015615i,0.00091136+0.00052168i,0.0010526-0.0002794i,0.0014895+0.00010808i,0.001085+0.00025049i,0.00015248-0.00022408i,-0.00052391-0.00035931i,-0.00046566+0.00012739i,-0.00041951+0.0003852i,0.00028841+0.0001545i,0.00064346+0.00010946i,-0.00014676+8.2801e-06i,-0.00070827-0.00037012i,-0.00038504-0.00036099i,0.00086379-0.00064065i,0.0008779-0.00024812i,0.00050295+0.00056565i,0.00060105+0.00017461i,-0.000241-0.0002521i
-0.0012331-0.00045196i,-0.0011891-0.00074941i,-0.00069277-0.0015596i,9.1793e-05-0.0012888i,0.0010653-0.00023048i,0.0012517+0.00037264i,0.00066622-0.00045008i,0.00078356-0.0011106i,0.0014192-0.00026754i,0.0014126+0.00058527i,0.00072418+0.00071879i,0.0003457+4.8003e-05i,-0.00037788+0.00018064i,-0.00064309+0.00074648i,-0.00011439+0.00061445i,0.00058233+8.0554e-06i,0.0011942-0.00031852i,0.00095324-0.00040626i,0.00070551-0.0006651i,-9.2469e-05+1.1289e-05i,-0.00016311+8.034e-05i,-4.0021e-05+5.291e-05i,-0.00023092+0.00083486i
0.00017307-0.0010557i,-0.0010562-0.00065702i,-0.0015885-0.00014088i,-0.0011994-3.976e-05i,-0.00067454-3.8886e-05i,0.00034655-0.00099303i,0.0013504-0.0018203i,0.00031164-0.0010296i,-0.0012325-0.00056442i,-0.0012054-0.0010274i,-0.00062711-0.00091531i,-0.0007242-0.00054565i,-0.00067588-5.6167e-05i,0.00013276+0.00072569i,0.00082854+0.00045587i,0.00010408+7.3256e-05i,-0.00035611-0.00012623i,0.00021241+0.0002601i,-0.00026078-6.6718e-06i,-0.00042457-0.00094037i,-0.00051395-0.00071255i,-0.00015971-0.00031384i,7.3961e-05+0.00020185i
-0.0016106+0.0011705i,-0.00076318+0.001447i,-0.0004406+0.00033179i,-5.3039e-05+1.966e-05i,5.0433e-05+0.0013554i,0.00092419+0.0014416i,0.0013027+0.00068642i,0.00033788+0.00039544i,-0.00024875+0.0001476i,-0.00052355-0.00032832i,-0.00065749+0.00012386i,-5.7642e-06+0.0012108i,-0.00026922+0.00094994i,-0.00086203+0.00055938i,-0.00015411+0.00091559i,0.00018289+0.00076597i,0.00031542-3.7992e-05i,0.00050907-0.00054471i,0.00041862-0.00048299i,-7.7217e-05-0.00041137i,-0.00046467-0.00051443i,-0.00012329+0.00029846i,1.3369e-05+0.0014146i
-0.00015612+0.00025136i,0.00062999+0.00091853i,-0.00027279+0.00076529i,-0.00030583+0.00029882i,0.00045397-0.00060512i,0.00047432-0.00076076i,0.00049705-0.00052803i,0.00091727-6.6403e-05i,0.00067328+0.00087381i,0.00017339+0.0010702i,4.4765e-05+0.00095254i,-0.00021315+0.00034948i,-0.00035106-0.0004229i,-0.00042647-0.00022433i,-0.00065394+0.00014018i,-0.00081228+0.00011194i,-0.00077495+0.00074825i,-0.00044152+0.0011097i,-0.00010898+0.00055987i,-8.5874e-05+0.00043255i,-0.00022853+0.00070512i,-0.00033751+0.0012556i,-0.00033968+0.0012364i
-0.00022078+0.00036591i,-0.00087666+0.0010834i,-0.00035076+0.0011082i,0.00055199-3.6181e-05i,0.0017217-0.00062814i,0.0022236-0.00044697i,0.0015904-0.00030462i,0.0014809-0.0004635i,0.0010228-0.00037949i,0.00041039-0.00013418i,9.7308e-05-0.00010888i,-0.0008884-0.00023815i,-0.00040893+0.000556i,0.00038859+0.00062035i,-0.00035251-0.00034908i,-0.00036898-0.00057426i,8.8373e-05-0.00014788i,-0.00027364-0.00022055i,-0.00015188-0.001003i,0.00054235-0.00081777i,0.00048918+6.6216e-05i,0.00024459+0.00012298i,0.00092224+0.00028007i
-0.00015582+0.00073086i,0.00044672+0.0013571i,0.00040915+0.0012916i,0.0007834+0.00022625i,0.0010011-0.00030053i,0.0010279-0.0010262i,0.0010656-0.0012996i,8.5177e-05-0.00028953i,-0.00059109+0.00044588i,-0.00022989+0.00036014i,-0.00045623+0.00027963i,-0.00070082-0.00043464i,-0.00055548-0.00053101i,-0.00038101-0.00020634i,-0.00050617-6.7785e-05i,-0.00034759-0.00019708i,-0.00015106-0.001302i,0.00011748-0.0010925i,0.00087197-0.0002044i,0.0015455-0.0003565i,0.0015308-0.0001113i,0.00081539+0.00040922i,0.00033982+0.00021262i
-0.00055903-0.0004769i,-0.00052309-0.00070745i,-0.00042408-0.00078665i,0.00028891-0.001408i,0.00074866-0.0019809i,0.00078181-0.00046861i,0.00057918+0.0010938i,0.00053476+0.00048949i,0.00077631-0.00023342i,0.00093024+0.0001595i,0.00052254+0.00037239i,-0.00028071-9.0758e-05i,-0.00068373-0.00014312i,-0.00081606-0.00013841i,-0.00093059-0.00020394i,-0.00037669+0.00016527i,0.00011105-0.00023968i,0.00079226-0.00071702i,0.00090931-1.4699e-05i,0.00072054+0.00037639i,-4.0205e-05+0.00027798i,-0.00068291+0.00038929i,-0.00072675+2.497e-05i
0.00091245+0.0023332i,0.0005444+0.0020344i,0.00051119+0.00096972i,0.00053205+0.0010922i,0.00073559+0.0011463i,0.00097982+0.00050225i,0.00091795+0.00033193i,0.00073422+0.00035797i,0.00040641-1.8774e-05i,0.00015548-8.4313e-05i,-2.4416e-05-0.00063595i,-0.00065383-0.00073645i,-0.0007722-0.00021857i,-0.00010998+0.00055313i,0.0007658+0.00050569i,0.0006892+0.00017174i,-0.00013758-8.9289e-05i,-0.00046767-0.00024386i,2.6418e-05-3.8161e-05i,0.00029713-0.00038304i,-0.00023355-0.00039358i,-0.00076977-2.8657e-05i,-0.00083847-1.7022e-05i
