-0.00092034+0.00075824i,0.000156-0.00063028i,0.00036104-0.0011773i,-0.00058963-0.001273i,-0.0017846-0.00018757i,-0.0022127+0.0010416i,-0.00056163+0.0011033i,0.0011744+0.001089i,0.0015389-4.7213e-06i,0.0010667-0.00094111i,0.00014543-0.00080061i,-0.00013155-0.00062933i,0.00054841-0.00025409i,0.00091125-0.00030018i,0.00043854-0.00047217i,0.00013602-0.00055241i,0.00041948-0.00041138i,0.00080968+0.00024294i,0.00064397+0.0003126i,7.4984e-05-0.00058805i,-0.00013906-0.00062047i,-0.00070197-1.1848e-05i,-0.00073148-7.7857e-05i
-0.000813+0.00097003i,-0.00054206+0.0011406i,6.6386e-05+0.00024004i,0.00021478+0.00031302i,0.00044657+0.00080926i,0.001403+0.00086389i,0.0016717-5.3613e-05i,0.0011514-0.00043045i,0.0011599-0.00021829i,0.00073472-0.00044495i,-0.00020289-0.00019461i,-0.00016997+0.00014501i,0.00030709+0.00054231i,0.00031114+0.00068735i,0.00023116+0.00063352i,0.00041597+0.0011167i,-0.0004547+0.00075383i,-0.0010242-7.7252e-05i,-0.00016548-8.4312e-05i,-0.00031824-0.00034917i,-0.001253-0.0005861i,-0.0012075-0.00062736i,-0.00087055-0.0003909i
-0.00020105+0.00068283i,-6.8695e-05+0.00077618i,-6.2394e-05+0.00115i,0.00023977+0.00078646i,0.00069485+0.00022331i,0.00054052-6.1652e-05i,0.00026269-0.00016792i,1.0588e-05-0.00011453i,-8.2399e-05-0.0002735i,0.0004328-0.00013589i,0.00013592+6.3205e-05i,-0.00019496-0.00053916i,-0.00014738-0.0010039i,-0.00012403-0.00047247i,-0.00019684+5.7393e-05i,0.00040343-0.00042174i,0.0015542-0.00062742i,0.0012051-0.00094154i,0.00043288-0.001186i,-0.00013824-0.0001213i,-0.00097471+0.00091939i,-0.0011269+0.00079566i,-0.00047386+8.1766e-05i
-0.0007501-0.0026716i,-0.0021543-0.0029509i,-0.0023131-0.0021842i,-0.00079141-0.0010543i,-4.8918e-06+0.00034292i,0.00054755+0.00072483i,0.00052244-0.00065764i,0.00026328-0.0011088i,-3.3672e-05-0.00049761i,-0.00095552+0.00019993i,-0.0010845+0.00042707i,-0.00090338+0.00060807i,-0.00080155+0.00055823i,-0.00018539+0.00018218i,0.00033508+0.000543i,-0.00025591+0.00035062i,-0.00051808-0.00057106i,-0.00047196-0.00063394i,-0.00071505-0.00064081i,-0.00049962-0.00073429i,-5.1916e-05-0.0005785i,7.9667e-05-0.00036314i,9.2701e-05+6.2715e-06i
0.00053965-0.00055366i,0.0016062+0.00017888i,0.00069237+0.00083667i,-0.00058992+0.00097013i,-0.0013429+0.0008602i,-0.00162+0.00026299i,-0.00017629-6.9294e-05i,0.001074+0.00021294i,0.00042838-0.0002302i,-0.00050543-0.0010651i,-0.00088233-0.00090014i,-0.00092117+5.756e-05i,-0.00033022+3.1072e-05i,0.00075928-0.00051769i,0.00083817-0.00039374i,-0.0003956-0.00037805i,-0.0007949-0.00041966i,-0.0003511-0.00052522i,-0.00016829-0.00017776i,-0.00056033+0.00031306i,-0.00094173+0.00024339i,-0.0010366+2.6382e-05i,-0.00079336-0.00040091i
-0.00039496+0.0012711i,-0.0018717+0.00096555i,-0.0026961+0.002292i,-0.0017358+0.0021954i,-0.00055651+0.00097258i,5.2396e-05+0.00064035i,0.00036577+0.00013242i,0.00038537-0.00028424i,0.00052967-0.00010718i,0.00044293+0.000107i,7.9744e-05-2.109e-05i,0.00011366+0.00044135i,0.00043508+0.00089834i,0.0005093+0.00036456i,0.00021243+0.00053034i,-0.00023707+0.0012107i,5.9005e-05+0.00051732i,0.00067829+6.0942e-05i,0.00061657-0.00034117i,0.00024093-0.00084955i,0.0003285-0.00035254i,0.00063678+0.00034896i,0.00053516+0.00072275i
-0.0014378+0.00061339i,-0.00074667+0.00057021i,0.00035576+0.0013196i,0.0012367+0.0011513i,0.00091008+0.00088245i,0.00046931+0.0012585i,0.0011015+0.0012i,0.0010298+0.0012511i,-0.00021068+0.00047207i,-0.00036298-0.00034382i,8.7384e-05+0.00042481i,0.00021403+0.00048936i,0.00024248+0.00029951i,0.00045729+0.00031378i,0.00025979+0.00044422i,-0.00010565+0.00028021i,-0.00029086-3.1034e-05i,-0.00077609+0.00040922i,-0.00055008-4.554e-05i,5.2851e-05-0.00039689i,0.00039449-0.00018931i,0.00060244+4.2244e-05i,7.4994e-05+0.00043719i
0.0011894-0.0012539i,0.0014191-0.0012741i,0.0010843-0.0011421i,0.00061154-0.0010019i,-0.00037259+0.00059138i,0.00012737+0.0010575i,0.0012091-0.00023008i,0.001194-0.00021719i,0.0006133-0.00038692i,2.5318e-05-0.00097529i,-2.3304e-05-0.00045204i,0.00052216-7.5369e-05i,0.00086478+7.1292e-05i,0.00082395+3.6271e-05i,0.0006479+0.00021993i,0.0004194+0.00069961i,0.00028213+0.00079508i,0.00072405+0.00053837i,0.00063071+0.00040754i,-5.4272e-05+0.000228i,-0.00028167-0.00065387i,-0.00080633-0.00098867i,-0.00092793-0.00044651i
-0.0015645-0.00015469i,-0.0021656-0.00026367i,-0.0023812+0.00031529i,-0.00074181+0.0010399i,0.0015564+0.0011954i,0.0021675+0.00078633i,0.0013105-0.00013843i,0.0010315-0.000626i,0.00091751+8.5239e-05i,0.00049252+0.00035297i,-0.00024277+0.00010132i,-0.001273-0.00013982i,-0.00058888-0.00062384i,0.00051445-0.00080143i,0.00032694-0.00065191i,-0.00035396-0.00065885i,-0.00045958-0.00053816i,-0.00026881-0.00047447i,-3.7167e-05-0.00061187i,-2.932e-05-0.00064379i,0.00023838-0.00046929i,-9.5911e-05+0.00036036i,-0.00048371+0.0010485i
-0.0019236+0.001087i,-0.0024273+0.0015223i,-0.0028949+0.0012786i,-0.0017974+0.0013745i,0.00022203+0.0011127i,0.0012364-0.00016469i,0.0013415-0.00081774i,0.00077305-0.00061329i,0.00020156-0.00027874i,-4.8317e-05+0.00033479i,0.00018237+0.001248i,0.00090654+0.0015101i,0.0014516+0.00071387i,0.0015204+0.00016564i,0.00073435-8.801e-05i,0.00029134+0.00012763i,0.00016998+2.6215e-05i,-0.00073111-0.00031074i,-0.0010738-0.00035725i,0.00012308-5.3125e-05i,0.00056868+0.00026656i,-7.6244e-05+0.00052565i,-0.00036476+0.00040247i
-0.00086284-9.4543e-05i,-0.0016323+0.0010559i,-0.00084658+0.001582i,-0.00022042+0.0017369i,-0.00064648+0.0022733i,-0.0010278+0.0016585i,-0.0007655+0.0003609i,0.00046596-0.00063582i,0.00082095-0.00060058i,3.5986e-05-0.0004527i,-0.0001049+0.00012645i,-0.00019697+0.00059457i,-0.00031656+0.0011397i,0.00073213+0.0013664i,0.0013798+0.00066873i,0.00065369+0.00065535i,-0.00043481+0.00032202i,-0.00059957-0.0003086i,-0.00034373-0.00051509i,2.6154e-06-0.00033047i,0.00016286+0.00026436i,-0.00063631+0.00019179i,-0.00075314-0.00013424i
-0.00018057-0.00017609i,0.00046583-0.00056183i,0.0015264+0.00035499i,0.0013959+0.0012287i,0.00039685+0.00072304i,0.00099466-0.0003216i,0.0017385-0.00039187i,0.0012095-0.00022103i,0.00021455-0.00079536i,0.00060835-0.0012015i,0.00085768-0.00073617i,8.9662e-06+0.00016299i,0.00018038+0.0011464i,0.00067883+0.00096871i,0.00015566-7.5558e-05i,1.9753e-05-0.00084919i,0.00046147-0.00088125i,0.00069422-0.00065551i,0.00065896-0.00048267i,0.00063596-0.0007268i,0.0001814-0.00089313i,0.00011888-0.00048496i,-0.00014836+9.724e-05i
0.0004345+0.0012719i,0.0013424+0.0015449i,0.00075116+0.0014763i,0.00060869+0.0014151i,0.0011244+0.00054963i,0.00064802-0.00067465i,0.00094109-0.0012368i,0.0014988-0.00048283i,0.0015197+0.00077195i,0.0012213+0.0011531i,0.00044017+0.00030683i,-0.00012389-0.0007417i,-0.00025765-0.00096782i,0.00029808-0.00089781i,0.00064196-0.00082217i,0.00039753-0.00049157i,8.5479e-05+7.4302e-05i,-0.00046396+0.00043021i,-0.00022254-5.2599e-06i,-8.321e-05-0.00061786i,-0.00022115-0.0005468i,-0.00013295+0.00018917i,-0.00037721+0.00073296i
0.0030516-7.4346e-05i,0.0026571+0.00021033i,0.0033918-0.0012383i,0.0023931-0.0014039i,0.00055679-0.00035783i,9.1488e-05+0.00028197i,0.0011502-0.00034481i,0.0021965-0.00041645i,0.0021479-0.00045128i,0.0005618-0.00085895i,-0.00038105-0.00088123i,-0.00014524-0.00031659i,-0.00058778-2.039e-05i,-0.00043005-0.00024643i,0.00040644+0.00057936i,-0.0003124+0.0007997i,-0.00094131+0.00036206i,-0.00085656-7.3196e-05i,-0.00051911-0.00088575i,0.00034376-0.00079155i,0.0009738-6.9051e-05i,0.00031472+0.00086602i,-0.00047622+0.0008721i
0.00046333+0.00046804i,0.00026244+0.0006343i,-0.00069154+0.001314i,-0.0011871+0.0015171i,-0.00095526+0.0014321i,-0.00050193+0.00099099i,0.00055679+0.00050761i,0.00141-0.00030868i,0.0014346-0.00048589i,0.00097624-0.00013601i,0.00010584+0.00017103i,4.7093e-05+7.5812e-05i,0.00029809+0.00010692i,8.0359e-06+0.00024361i,-0.00035823-3.3497e-05i,-0.00043803-0.00084952i,-0.00023914-0.0010852i,-0.00063724-0.00095462i,-0.000697-0.00050992i,-0.00036886+0.00010688i,-0.00075606-4.518e-05i,-0.00062032-0.00010986i,0.0002787+0.00020656i
0.0011116+0.00031i,0.00069436+0.00095544i,0.0015587+0.0011762i,0.0017583+0.0011654i,0.0010473+0.00020126i,0.00058328-0.00069623i,0.00024808-0.00029078i,-0.00044453-0.00054185i,-0.00051888-0.00067899i,-1.4583e-05-0.00060566i,0.00049056-0.00069469i,0.00015743-0.00051983i,0.00019336-0.00022714i,5.4172e-06+5.04e-05i,-0.00079125-0.00010777i,-0.00026462-0.00030023i,0.00049817-0.00028567i,8.093e-05-0.00019464i,-0.00074138-0.00024729i,-0.0010313-0.00064389i,-0.00053364-0.00052389i,-0.00061468+0.00044789i,-0.00073387+0.001158i
5.5232e-05+0.00066649i,-0.00018296+0.00088358i,0.00087101+0.00084872i,0.0010591+0.00033044i,0.00088446-0.00037361i,0.00080878-8.1144e-05i,0.00044367+0.00020335i,0.00066975-0.00023213i,0.00081177+5.1961e-05i,0.0012016+6.4829e-07i,0.00040197+0.00028587i,-0.00054577+0.00031768i,-0.0001646-0.00079291i,0.00019844-0.0016541i,-0.00018138-0.0011283i,4.1453e-05-0.00015307i,9.8152e-05-0.00031505i,-7.7908e-07-0.00088951i,0.00032293-0.00061461i,0.00017076+3.3245e-05i,0.00010487+0.00016855i,0.00030581-0.00026792i,0.00023717-0.00064108i
-0.0011232-0.00029532i,-0.00070934+0.00043042i,-0.0012753+0.00062568i,-0.00068531+4.9404e-05i,0.00060525+0.00056908i,0.0014648+0.00070994i,0.0015222-2.4698e-06i,0.0006765-0.00040979i,0.00016384-0.00026161i,-0.00030048+0.00024528i,-0.00057645+0.00011402i,-5.1637e-05-0.00042811i,0.00010813-0.00054952i,-0.0002085-1.3125e-05i,0.00013419+0.00064866i,0.00035138+0.00027202i,0.00033297-0.00037331i,-8.739e-05-0.00077884i,-0.00084616-0.00045179i,-0.0011206-5.6402e-05i,-0.00078939+0.00029533i,-0.00027215+0.0008946i,-0.00014942+0.0006571i
0.00010864-0.00078123i,9.5278e-05-0.00097466i,0.00019889-3.7101e-05i,-0.00021128-2.184e-05i,-0.00058274-0.00053243i,5.2582e-05-0.00086265i,0.0010216-0.0008419i,0.0016012-0.00042266i,0.00016528+2.9074e-05i,-0.0013514+0.00042612i,-0.001226-0.00035425i,-0.00080512-0.0012609i,-0.00071187-0.00049902i,8.6335e-05+0.00094564i,0.00094932+0.00088327i,0.0015425+0.00014173i,0.00085308+0.00020025i,0.00016041+0.00015346i,0.00079486+0.0004042i,0.00047321+0.00057759i,-0.00052036+7.058e-05i,-0.00068079-0.00021177i,-0.0004575+0.00022056i
-0.00011339-0.0016827i,-0.00062639-0.0019318i,-0.00099682-0.0014006i,-0.00074723+0.00025697i,-0.00089441+0.00084393i,-0.00092447+0.00052696i,-0.00049022+0.00057713i,-0.00089122-0.00037043i,-0.0010329-0.0013373i,-0.0010191-0.0017122i,-0.0013301-0.001421i,-0.00044166-0.00077131i,0.00048072-0.0005667i,-0.00020631-0.00038739i,-0.00070935-0.00049925i,-4.8721e-05-0.00043621i,0.00067658+0.00035637i,0.00074714+0.00056319i,0.00080425-0.00014792i,0.00076432-0.00023997i,0.0001557+0.00034308i,-0.00055962+0.0008853i,-0.00068098+0.0012542i
0.0010804-0.0002857i,0.0018778-0.0010581i,0.0019832-0.00045145i,0.0013474-2.1899e-05i,0.00068768+0.00069387i,0.00037699+0.0015201i,0.0010741+0.0013419i,0.001329+0.00032374i,0.00046528-0.00031589i,5.9952e-05-0.00034465i,-4.012e-05-0.00038721i,-0.00029202-0.00020017i,-0.00031643+0.00010527i,-0.00039376-0.00056189i,-0.00042598-0.0015338i,-0.00036696-0.00093474i,-0.000392+0.00053152i,-0.00023794+0.0012889i,3.4163e-05+0.0011804i,0.00027381+0.00067262i,0.00018509+9.5433e-05i,-0.00016013+0.00050323i,-0.000404+0.00013033i
0.00079589+0.00012626i,-0.0003236+0.00096482i,-0.00058972+0.0017577i,-0.00047502+0.0016471i,-0.00023141+0.0018835i,0.00033669+0.0016126i,0.0003425+0.00085343i,0.0005455+7.3198e-05i,0.00080923-0.00038042i,-0.00022425-0.00045309i,-0.00098548-1.4005e-05i,-0.000734+0.00042957i,0.00021436-0.0004312i,0.00068105-0.00031644i,0.00053816+0.00036245i,-0.00033004+0.00065846i,-0.00050898+0.00047826i,0.00030811+5.956e-05i,0.00016751-0.00026858i,-2.3912e-05-0.00027946i,4.4727e-05-0.00036143i,-0.00028193-0.00045367i,0.0003934-4.7202e-05i
