0.00090916+0.0014293i,0.0020363+0.00056913i,0.0010512-0.00073114i,8.698e-05-0.0011278i,-0.00053087-9.0676e-05i,-0.00046435+0.0011544i,0.00073081+0.0018205i,0.0015232+0.0018429i,0.0016513+0.0016681i,0.0014008+0.00043668i,0.0014557-0.00011925i,0.00080459+0.00016599i,-0.00015549+0.00033359i,0.00015773+7.7976e-05i,0.00019922-0.00013563i,-0.00036297+0.00059723i,-0.00067107+0.00028381i,-5.9718e-05-0.0005644i,0.0011094-0.00060369i,0.00083368-0.00075384i,-0.00044242-0.00081769i,-0.00086212+3.077e-05i,-0.00062967+0.00048328i
0.0013487+0.0013282i,0.00083873+0.0012935i,0.0016656+0.00083956i,0.0015039-9.3661e-05i,0.0010564-0.00092488i,0.00058191-0.0010572i,-0.00024668-0.00010401i,0.0002251+0.00080752i,0.00052244+0.00027563i,0.00045243-0.00028848i,0.00018224+0.00030971i,-0.00055788-7.6398e-05i,-0.00044739-0.0012237i,-0.00036301-0.00092564i,-0.00061492-0.00064056i,-0.00025006-0.00055739i,0.00033728-0.00022298i,0.00038909+5.6816e-05i,0.00014947+0.0004326i,-2.7628e-05+0.00031481i,0.00049166+0.00029167i,0.0013382+0.0003836i,0.0010803+0.00020736i
0.00085597+0.001179i,0.0012802+0.001242i,0.0015247+0.0014912i,0.0012522+0.0004957i,0.0010023-0.00067056i,0.00036413-0.0012198i,4.2531e-05-0.00086932i,-0.000113-0.00056191i,-7.451e-05-0.00072453i,0.00022358+4.4627e-06i,0.00060885+0.0010154i,0.001079+0.0011055i,0.00091997+0.00091833i,0.00038114+0.0006461i,0.0002819+0.00010741i,0.00034109-0.00014482i,0.00065011+0.00029534i,0.00043317+0.00052761i,0.00027773+0.00042619i,0.00048315-5.1185e-05i,0.00035863-1.1031e-05i,0.00076257+0.00046937i,0.0012189+0.00070291i
0.0012277+0.00036752i,0.00037789-0.00070706i,0.00050548+0.00016265i,0.0010919+0.00023413i,0.001597-0.00097689i,0.0011401-0.0006466i,0.00083012+0.00016725i,0.00040189+0.00018301i,-0.00040494+0.00066185i,-0.00055705+0.00022046i,-0.00020168-0.00052489i,0.00027172-0.00015009i,-0.00018526+0.00010416i,-0.0004284-0.00036077i,8.4226e-05-0.0005875i,-0.00020152-4.1041e-05i,-0.00014835+0.00013171i,0.00057267-0.00026029i,0.00040035+6.8732e-05i,0.00015161-7.5959e-05i,-0.00010935-9.1765e-05i,-0.00013379+0.0010783i,-0.00040086+0.0011146i
-0.0007324+2.6192e-05i,-0.0013437-0.0002326i,-0.0018674-0.00043684i,-0.0010434+0.00025421i,-0.00062384+0.0006814i,-0.00057698+0.00049302i,7.8754e-05-0.00026984i,0.00041162-0.00090837i,-7.3628e-05-0.00036805i,-0.0011005+0.00018244i,-0.00066696+0.00049195i,-7.2183e-05+0.00050154i,-0.0002852+0.0003422i,-0.0005308+0.00013183i,-0.00017607-0.00040465i,0.00049918-0.00044065i,0.000516-0.0001515i,0.00014456+0.0002795i,2.5709e-05+0.00017151i,-0.00012592-0.00014599i,-0.00019727-0.00023596i,-0.00012272+0.00018635i,4.0684e-05+0.00086642i
-0.00046116+0.00039128i,-0.00076681+0.00063198i,-0.0015358+0.00080892i,-0.0009103+0.0013775i,0.00052258+0.0012367i,0.00046697+0.00071194i,-0.00040597+0.0003073i,-0.00072264+9.9238e-05i,-0.00018798-0.00032737i,-1.2429e-05-8.5983e-05i,-0.00069024+0.00035932i,-0.00085035+0.00050144i,-0.00041279+0.00061589i,-0.00018679+0.00074772i,-0.00065233+0.00073945i,-0.0008933-9.7038e-05i,-0.00044829-0.0003423i,1.179e-05+5.097e-05i,0.00082384+0.00016458i,0.00020012+0.00020026i,-0.00035628-0.00016212i,0.00031417-1.9105e-05i,0.00056621+0.00010259i
-0.00059991-0.0023684i,-2.6941e-05-0.0014875i,-0.00086455-0.002002i,-0.001368-0.0023486i,-0.0010363-0.0011453i,-0.00077044+0.0001338i,0.00048566-0.00059684i,0.00057578-0.00068787i,-0.00021619+0.00026585i,-0.00059257+0.00097575i,3.0898e-05+0.0011438i,0.00026336+0.00044154i,-0.00044031+0.00029715i,-0.00037397+0.00071675i,-0.00052006+0.00083873i,-0.00055114+0.00060975i,0.00046196+8.5458e-06i,0.00014193+0.0005267i,-0.00045395+0.00057434i,-0.00027021+0.00087145i,-0.00024449+0.0010145i,-0.00059934+0.00085545i,-0.00054092+0.00073118i
0.0011082+0.0013494i,0.00035228+0.0021269i,0.0010339+0.0024447i,0.00096217+0.002134i,-0.00032533+0.0010708i,-0.00034304+9.3322e-05i,-3.8684e-05+0.00016137i,-0.00025825+5.9178e-05i,-0.00015193-0.00031657i,0.00073846-6.4744e-05i,0.0007663+0.00070339i,-0.000111+0.00059906i,-0.00040691+0.00060012i,-0.00019453+0.00084944i,-3.31e-05+0.00037167i,-3.1264e-05+0.00017619i,3.8832e-05+0.0005953i,9.6472e-05+0.00077623i,0.00031366+0.00073138i,0.00035011+0.00096341i,3.1058e-05+0.0006131i,-0.00022775+0.00010215i,-3.5276e-05-0.00013149i
0.0004701+1.9759e-05i,0.001044-0.00057569i,-0.00028109-0.00057495i,-0.0010036-0.00038743i,-0.00020118-0.00064656i,7.5749e-05-0.00047063i,-0.00017854+0.00033567i,2.5073e-05+0.00035584i,8.085e-05-0.0002817i,-0.00017163-0.00067652i,-0.00037367-0.00011506i,-0.00037886+0.00048516i,-0.00045787+0.0005232i,-0.00059394+0.00058985i,-0.0006082+0.00049552i,-0.00026841+0.00017397i,7.7614e-05-1.164e-05i,0.00020177+0.00030426i,0.00013879+8.9252e-05i,-0.00031829+1.5912e-05i,-0.0010584+0.00066491i,-0.0013951+0.00067345i,-0.00096257+0.00024958i
0.0014365-9.2867e-05i,0.0014774-0.00022748i,0.0029192-0.00064413i,0.003393-0.0013872i,0.0018873-0.0015605i,0.00034203-0.00040292i,9.1187e-05-1.3179e-05i,0.00022394-0.00036392i,0.00036149-0.00067077i,0.0002243-0.00037163i,5.8905e-06+0.00020348i,0.00076279+0.00017184i,0.00098957+1.7101e-05i,0.00042852-0.00038025i,-0.00023878-0.00052437i,-0.00014778-0.00081446i,-0.00030139-0.00078607i,-0.00076187-0.00038424i,-9.5162e-05-1.754e-05i,-0.00038858+0.00075191i,-0.00057702+0.00072275i,-7.2121e-05-0.00043048i,-0.00030122-0.00052255i
0.0011174+0.00078522i,0.0014823+0.0013608i,0.0020478+0.001359i,0.0010527+0.00085379i,-0.00057058-0.00025729i,-0.0011708-0.0014415i,-0.0012441-0.00090188i,-0.0010442-0.00016235i,-0.0005713-0.0004631i,5.1189e-06-0.00088651i,0.00060803-0.00039414i,0.00052082+0.00025742i,0.00075558-0.00024508i,0.00043607-0.00070594i,0.00024058-0.00039591i,0.00053502+0.00035322i,0.00015988-3.3058e-05i,0.00031018-0.00053373i,0.00089713+9.1192e-05i,0.00045894-0.00034576i,0.00047708-0.00081624i,0.0010308-0.00016086i,0.00092759+0.00038841i
-0.0015871+0.00016378i,-0.0016218-0.00029021i,-0.00091359-0.00032361i,-0.00047446+0.00088655i,-0.00025157+0.0020049i,4.0015e-05+0.002276i,0.00044865+0.0013692i,0.00049961+0.00015459i,-0.00011723+0.00017345i,-0.00032526+0.00066385i,-0.0003017+0.00036549i,-0.00080406-0.00041986i,-4.0166e-05-0.00026631i,0.00036906+0.00027508i,0.00040193+0.0003458i,0.00051239+1.4323e-05i,0.00027415-0.00016897i,2.7039e-05+4.3698e-05i,0.00016144-7.3794e-05i,-8.5628e-05+0.00025443i,-0.00036229+0.00087595i,3.6189e-05+0.0011838i,0.00016067+0.00071823i
-0.00027177+0.00027399i,-0.00046892-0.00098318i,-8.4301e-05-0.0015807i,0.0002767-0.00039369i,-0.00043939+0.00062973i,-0.00042573+0.00010548i,0.00018382-0.00086903i,0.00054595-0.00076375i,0.00064883-0.0005225i,0.00047765+0.0001707i,0.00018216+0.00071614i,-0.00073941+0.00011671i,-0.00053909-0.00021158i,0.00053817+0.00016764i,0.00080235+0.00055422i,0.00045719+0.00039591i,-0.00014793-0.0003997i,-7.4051e-05-0.00088316i,2.5473e-05+9.5689e-05i,0.00027152+0.00096491i,-0.00018874+0.00055104i,-0.00085934+0.00027774i,-0.0010521+0.00057075i
-0.00099785+0.00014843i,-4.3937e-05+0.0004313i,0.0011526-3.3619e-05i,0.00059857-3.1425e-05i,-7.0376e-05+0.00071676i,0.0001039+0.00071122i,4.6166e-05+0.00070033i,-0.00014796+0.00047195i,-0.0006953+7.9346e-05i,-0.00079295+0.00011344i,0.00025797+0.00027344i,0.00016967+2.8165e-05i,-0.00010407+0.00018646i,0.00011349+0.00070335i,-0.00036783+0.00039068i,-0.00050983+2.0702e-05i,-2.041e-05+0.00021364i,0.00029417+0.00092248i,0.00041877+0.0013995i,-0.00033292+0.00053014i,-0.0006111-0.00017455i,4.649e-05+0.00016702i,0.00063874+0.0002813i
-1.6322e-05+0.00033212i,0.000453+5.357e-05i,0.00017476-0.0002127i,0.00018164+0.00051618i,0.00047277+0.00027506i,0.00038391-0.00043325i,0.00044559+1.414e-05i,0.00028183+0.00054137i,0.00032115+0.00012331i,0.00057352-0.0003008i,0.0006543-0.00075134i,0.00054026-0.00055833i,0.0001433+0.00031955i,0.00019748+0.00035894i,-0.00040589-0.00043282i,-0.00064851-0.00025231i,-0.00026423+0.00024831i,0.00036374+0.00012147i,0.00025949-1.8098e-06i,-1.4729e-05+0.00022005i,-0.00016314+0.0007229i,-0.00021842+0.00056799i,0.00043134+0.00036542i
0.00070361-0.00043339i,0.00033511+1.2243e-05i,0.00046568-0.00040787i,0.00027182-0.0013461i,-0.00020126-0.00083483i,-0.00062547+0.00023351i,0.00032224+0.00025045i,0.00087711-0.00038785i,-0.00039794-7.5202e-05i,-0.00095054+2.9043e-05i,-0.00028146+1.6976e-05i,-0.00017854-8.9539e-05i,-0.00078159-0.00023811i,-0.00048676-0.00038485i,0.00028763+0.00016741i,-0.00024322+0.00090525i,-0.00045466+0.00037405i,-0.00013791-0.00019471i,0.00015362-0.00023249i,8.9108e-05+0.0004593i,-3.4259e-05+0.00075905i,0.00012871+0.00045545i,0.0007328-0.00017834i
0.0025632-5.9071e-05i,0.00223-0.0012445i,0.0018754-0.00099058i,0.0013065-0.00097066i,0.0010367-0.0015109i,0.00080207-0.0015596i,-2.5892e-05-0.0010849i,-0.00050978-0.00062815i,-7.3687e-05-0.00051545i,-0.00023452-0.00080632i,-0.00028839-0.00078095i,-4.5784e-06-0.00034136i,-8.7071e-05-0.00062162i,0.00044209-0.00045639i,0.00038326+0.00030626i,-0.0001312+0.00028952i,-0.00032645+0.00061113i,-0.00053373+0.00032797i,-0.00045659-0.00051803i,5.443e-05-0.00088215i,0.0006549-0.0011359i,0.00048208-0.00076891i,4.5015e-05-0.00052169i
0.00035147+0.0028427i,-0.00029004+0.0033849i,-0.00043834+0.0027656i,7.4476e-05+0.0013037i,0.00068822+0.0010081i,0.00025437-0.00012789i,6.1571e-05-0.00055663i,0.00023964-0.00015398i,8.9147e-05-8.6052e-05i,0.00039897+0.00035126i,0.00037229+0.00027875i,0.00050355+0.00054146i,-2.1212e-05+0.00030472i,-0.00012621-0.0009114i,0.00038632-0.00097357i,0.0002738+0.00010805i,0.00036179+0.00073482i,-0.00014322+0.00034507i,-0.00022254+7.5212e-05i,0.00030506-5.3332e-05i,-0.00011653-0.00021951i,-1.8305e-05-0.00013684i,0.00046035+0.00054287i
0.0012554+0.0022943i,0.0013433+0.0017266i,0.0014928+0.0014582i,0.0010389+0.0011166i,0.00074746-6.4328e-05i,0.00042877-0.00031511i,2.9677e-05-0.00029386i,-0.00011627-0.00019125i,0.0002348-2.2613e-05i,0.00083082+0.00047317i,0.0010532+0.0016048i,0.00083351+0.001765i,6.0867e-05+0.00061649i,-0.00014281-0.00026517i,0.00018455-0.0001463i,0.00034621-5.3198e-05i,4.5759e-05+2.0597e-05i,-0.00040857+0.00041137i,-0.00060428-6.9616e-05i,-0.00045711-0.00079491i,-0.00037353-0.00061373i,-0.00023891+0.00041329i,0.0004275+0.0005244i
0.0011733+0.00087813i,0.0015551+0.0003254i,0.0014556-0.00092591i,0.0025123-0.0017766i,0.0024007-0.00069695i,0.001053-9.7642e-05i,-5.2974e-05+6.4802e-05i,-0.00035223+0.00050686i,-0.00037883+0.00056942i,3.8398e-05-0.00021546i,0.00036149-0.00079663i,-0.00047292-0.00034741i,-0.00030977+0.00018342i,0.00047716+0.00092141i,0.00017355+0.00053795i,-0.0004267+0.00015339i,-0.00081487+0.0001997i,-0.00087672-0.00012483i,-0.00045011-0.00023524i,0.00040672-0.00017504i,0.0008407+0.00023805i,0.0010105-3.7576e-06i,0.00077152-0.0004368i
-0.0014766+0.0012744i,-0.0014946+0.00090983i,-0.00098756+0.0008804i,-0.00050699+0.0014913i,-0.00044814+0.0016119i,0.00027542+0.00062014i,0.00058528-0.00023839i,3.0386e-05+3.3294e-05i,-0.00056578+0.0013433i,-0.00062689+0.0017097i,0.00034014+0.0015628i,0.0010889+0.00077718i,0.0015688-0.00026403i,0.0010144+0.00024259i,-0.00046957+0.00064689i,-0.00038468+0.00017107i,0.00020058+0.00026995i,0.0010318+0.00065115i,0.0013844+2.8022e-05i,0.00039631+6.8578e-05i,0.00042084+0.00081392i,0.00085338+0.0001367i,0.00038064-0.00084785i
0.00084218-0.00031375i,-0.00085272+0.00056677i,-0.00057774+0.0009333i,-0.00066001+0.0013658i,-0.0015662+0.0013874i,-0.0014332+0.00097705i,-0.00080643+0.00089391i,-0.00012215+0.00032458i,0.00049734-0.00019541i,0.00070399-0.00010577i,0.00017282-0.00030425i,-0.0007609-0.00042776i,-0.00078083-0.00049663i,0.00010695-0.00027504i,0.00010089+0.00016556i,-5.7459e-05+6.4938e-05i,0.00014934+5.4026e-05i,0.00029589+7.6536e-05i,0.00055131-0.00023712i,0.00048964-0.00036216i,0.00021108+3.0304e-05i,0.00040065+0.00078641i,0.00038534+0.00090399i
-0.00011514-0.00033183i,-0.00028049-0.00049025i,-0.00089197-0.00061659i,-0.0015027-0.0012013i,-0.00055287-0.00091229i,0.0006319+3.0537e-05i,0.00036323-0.00015577i,-0.00020851+0.00015638i,-0.00055265+0.00041013i,-0.00055064+0.00017396i,-0.00023331+2.457e-05i,-0.00029052+0.00046289i,-0.00039968+0.001004i,-4.7144e-05+0.00072222i,-0.00012109+0.00089984i,0.00015737+0.0010439i,0.00028785+0.00064405i,0.0002319+0.00035673i,0.00018875+0.00033533i,0.00042118+0.00029677i,0.00046079+0.00033859i,0.0005311+0.00029468i,0.00081508-0.00029258i
-8.8951e-05-0.00021778i,-0.00015828-0.00065607i,0.0011175-0.0010692i,0.0020026-0.0012208i,0.00073595-0.00098055i,-0.00051018-0.00084686i,-0.00070343-0.00079251i,-6.9223e-05-0.00095991i,0.00044674-0.00090288i,0.00059057-0.00085213i,0.0003275-0.00015445i,-0.00048421+0.00067962i,-0.00046301+0.00087763i,-0.00072929+0.00011062i,-0.00099621-0.00073674i,-0.00038764-0.00025927i,0.00037861+0.0001443i,0.00071517+0.00024104i,-0.00016032+0.00062853i,-0.0008575-5.5381e-05i,-0.00057382-0.00077752i,0.00086073+0.00071887i,0.0007914+0.001616i
-0.00088682+0.00091519i,-0.0002386+0.0018792i,-2.6325e-05+0.0019352i,3.7076e-05+0.0014565i,0.00022114+0.00064081i,0.00040117+0.00056394i,-0.00023243-2.2677e-05i,-0.0003912-0.0012846i,-0.00035126-0.0010798i,-0.00035852-8.4716e-05i,0.00070054+0.0002063i,0.0012673+8.9273e-05i,0.00083402+0.00047332i,0.00042697+0.00032463i,9.4309e-05+2.7396e-05i,-0.0002217+1.3949e-05i,-0.00027209-0.00031715i,-0.00034179-0.00066787i,0.00023449-0.00040842i,0.0012826-0.0003407i,0.00091394-9.4408e-07i,6.184e-05+0.00096874i,-0.00037109+0.0011147i
0.0013829+0.00013458i,0.0019528-0.00089442i,0.0023618-0.0016028i,0.0012384-0.00066503i,0.00080718+0.00033855i,0.00070101+0.00079791i,7.1269e-05+0.00141i,-0.00030375+0.00099293i,-0.00056498-0.0001773i,-0.00094578-0.00039186i,-0.00092501+0.00022144i,-0.00039213+0.00081i,0.00017222+0.00065939i,0.00036507-7.3059e-07i,0.00023691-0.00054117i,0.00063247-0.00025483i,0.00032167+0.00022449i,0.00011029+0.00071247i,0.00025415+0.00064001i,9.6625e-05+0.00054816i,3.1071e-05+0.00095847i,0.00038126+0.0010434i,0.00055329+0.00028781i
