-0.0013421+0.0011969i,-0.00087079-0.00041159i,-0.002491-0.00039546i,-0.002357-0.00052348i,-0.0017189+0.00088323i,-0.002249+0.001739i,-0.0014142+0.0016148i,0.00022241+0.0018083i,0.0017027+0.0016291i,0.0020176+0.00058935i,0.00146-0.00060191i,0.001223-0.00030244i,0.00088377-0.00045187i,0.00092202-0.0013323i,0.00033186-0.0006362i,-0.00036946+0.00013154i,0.00028195-9.1952e-05i,0.0010081+0.00029326i,2.7726e-05+0.00076606i,-0.00069305+0.00039061i,-0.00042463-0.00039423i,2.5358e-05-0.00025858i,0.00048165+0.00030059i
0.001932-0.00015429i,0.0018389-0.00011064i,0.0018792+0.00052608i,0.00095076+0.00011748i,-8.366e-05-0.00048933i,-0.00068106+6.872e-06i,-0.00090779+0.00065598i,0.00013164+0.00014241i,0.00057743-0.00065928i,-0.00020303-0.0011464i,-4.6184e-05-0.0014197i,0.00026724-0.0011723i,0.00016403-0.0004981i,-0.0003387-0.00027397i,1.5387e-06-0.00065328i,0.00030122-0.00039378i,-7.7735e-06+3.9202e-05i,-1.4767e-05+0.00054571i,-9.4661e-05+0.00097491i,3.9404e-05+0.00086011i,-0.00040902+0.00082149i,-0.0007053+0.0004837i,0.00022565-0.00033339i
-0.00069669-0.00016959i,-0.0015695-0.00032506i,-0.00047503+7.6804e-05i,0.00039145+0.00010432i,-0.00033479+0.00020777i,-0.00074904-5.0976e-05i,0.00028898-0.00057033i,0.0012136+9.1964e-05i,0.000707+0.00093023i,-0.00013622+0.00069541i,0.00015747+0.00025135i,0.00026188-0.00025425i,9.6528e-05-0.00023876i,0.00036672+0.00013543i,0.0010706+0.00011107i,0.00097574+0.00032297i,4.29e-05-8.173e-05i,-0.00018497-0.00050096i,0.0011038-0.0008853i,0.0019335-0.00090081i,0.0014166+0.00014055i,0.00042137+0.0001217i,-0.00022185-0.00043198i
0.0016045-0.0010329i,0.00094941-0.0013214i,0.00024642-0.0022367i,-0.000676-0.002962i,-0.0011601-0.0033183i,-0.00117-0.0017588i,-0.00079326+0.00028371i,0.00014875+0.00066483i,0.00073866-3.3368e-06i,0.00053706+2.5908e-05i,-5.2908e-05+0.00020786i,-0.00070752+0.00016071i,-0.00047706-0.00019078i,0.00013609-0.00013958i,-8.0662e-05+0.00042271i,0.00026062+0.00075184i,0.00049339+0.00065004i,-0.00031051-0.00072516i,-0.0002078-0.0013089i,0.00063023-0.00089193i,0.00049391-0.00045183i,-0.00027165-0.00033319i,-0.00089702-0.00059493i
-0.0010609-0.0024566i,-0.0010819-0.0020515i,-0.002627-0.0014071i,-0.0030034-0.00073i,-0.0021477+0.00066422i,-0.0010728+0.00089292i,5.2237e-05+0.0006296i,0.00047476+0.00045946i,-2.6249e-05+0.00035025i,0.00017288+0.00019176i,0.0011347+3.0075e-05i,0.0013378-0.00019641i,0.0010787-0.00017976i,0.00091945+0.00010614i,0.00071955+6.5341e-05i,0.00027356+0.00032716i,0.00016089+0.00035825i,0.00072495+0.00033843i,0.00039864+0.00041347i,-0.00034528+0.00060903i,-0.00096067+0.00027859i,-0.00096618-0.00031097i,-8.2877e-05-0.00088976i
-0.0013188-0.00067621i,-0.00061096+0.00029365i,-0.00076481+0.00071797i,-0.00022988+0.00047653i,0.00087028+0.00078033i,0.0013781+0.0011433i,0.00096607+0.00099362i,0.00017139+0.00097467i,9.6061e-05+0.00079785i,0.00048792+0.00023908i,0.00081418-0.00028815i,0.00079743+0.00013186i,0.00062901+0.000298i,0.00066178-0.00046031i,0.0010109-0.00059382i,0.00031303+0.00015584i,-0.00077312+8.9707e-05i,-0.00092276+4.1019e-05i,-0.00041198-0.00019969i,0.0002648+0.00033275i,0.00091004+0.00099171i,0.00017682+0.00075762i,-0.00043521+0.00046059i
0.0013037+0.0011494i,0.00075026+0.00012039i,0.00037375-0.00067881i,-9.6448e-05-0.00013974i,-0.0011065-2.0539e-05i,-0.0011786+0.00031642i,-0.0011143+0.00011595i,-0.00055542-0.00086682i,0.00080533-0.0010968i,0.0012298-0.0011117i,0.00095156-0.0012366i,0.0010308-0.00070451i,0.0010682-0.00018675i,0.00016394+6.1042e-05i,-0.00038368-0.00017818i,-0.00030041-3.1102e-05i,0.00046826+0.00045427i,0.00045727+0.00028642i,-0.00014827+0.0005438i,2.4917e-05+0.0004638i,0.00052246+0.00046547i,-9.1221e-05+0.00020943i,-0.00054188-0.00032423i
1.2382e-05-0.0020355i,-0.00067463-0.0020132i,-0.0026051-0.0010041i,-0.0025228+0.00036857i,-0.0014664+0.0016223i,-0.00089618+0.0009436i,-0.0004366+0.00051846i,-0.000149+0.00020137i,0.0004564-0.00021707i,0.0014047-0.00013111i,0.0013057-0.00016511i,0.00061349-0.00011328i,0.00087711-0.00030794i,0.00092346+0.00072395i,0.00036838+0.00090648i,0.00060184-7.6883e-05i,0.00065814-0.00026545i,-0.00010549-0.00012204i,-3.4053e-05-0.00015285i,-5.8747e-06-8.18e-05i,-3.5135e-06+0.00015499i,0.00017464+0.00034964i,0.00015418+0.00057867i
0.00036673-0.0016336i,-0.00081249-0.0013749i,-0.0016281-0.0015146i,-0.0023742-0.0012198i,-0.0025524-0.00074661i,-0.0017381+0.00024099i,-0.00084998+0.00042941i,-0.00053661+0.00042556i,0.00023258+0.00080276i,0.0013729+0.00045565i,0.00079607-0.00019326i,0.00017112-0.0002098i,0.00050692+0.00048626i,0.00062408-0.00021112i,0.00041578-0.00059572i,4.7435e-06-0.0001569i,-0.00011212+0.00025364i,-0.000617+0.00038803i,-0.0011588+0.00040666i,-0.0014458+0.00017033i,-0.0013592+0.0003927i,-0.00057262+0.00056574i,0.00023251+0.0005149i
0.001512-0.0010244i,0.0015692-0.00049795i,0.0023507-0.0028344i,0.0017307-0.0035489i,-0.00017065-0.0016533i,-0.00087055-0.00060119i,-6.3513e-05-6.9689e-05i,0.00045619+0.00047482i,0.00078561+6.2712e-05i,0.00073493-0.00038563i,0.00057794-0.00022279i,0.0012826+0.00015072i,0.0013578-0.00027329i,0.0006459-0.00045989i,-5.7079e-05+0.00052851i,-0.00076225+0.00043353i,-0.0015574-0.00031743i,-0.0015471-0.00010368i,-0.00089852-4.996e-05i,4.1603e-06-0.00045973i,0.00068992-0.00049792i,4.4787e-05-8.9903e-05i,-0.00039675+0.00020624i
0.0016088-0.00018454i,0.0010191-0.00057164i,0.00086701-0.0017075i,0.00098525-0.0021789i,0.00064904-0.00073231i,-0.00016061+0.0007899i,0.00014249+0.00078025i,0.00059789+0.00019744i,0.00076263+0.00011193i,0.00031193+0.00074597i,-0.00060049+0.00071972i,-0.00023587-0.00012976i,0.00033767-0.0009277i,3.9178e-05-0.00073383i,-0.00032421-9.3139e-05i,-0.00059664-0.00035175i,-0.00029108-0.00025977i,0.00018888+0.00014362i,0.00016965+0.00021751i,-0.00023107+4.5791e-05i,-7.229e-05+0.00049562i,3.8323e-05+0.00047876i,-0.00025902-0.00013395i
9.0486e-05-0.00012111i,0.00077063+0.0015007i,0.00038524+0.0016748i,-0.00098299+0.0018705i,-0.0010482+0.0014835i,-0.00016413-0.0004387i,-0.00029349-0.00071011i,-0.00069948+0.0003078i,0.00058465+0.00073899i,0.0019833+0.00040459i,0.0011053-0.00018911i,0.00045319+0.00044032i,-0.0003885+0.00042067i,-0.00070474-0.00020193i,-0.00030211+1.0375e-05i,-0.00034637-0.00031975i,-0.00033509-0.00073624i,-0.00027358+9.1826e-05i,-0.00027681+0.00067724i,-0.0006936+7.1872e-05i,-0.00060299+0.00022399i,-2.4746e-05+0.00040533i,0.00033643+0.00041331i
-0.00042376-0.0027036i,-0.00032886-0.0016539i,-0.001166-0.00074485i,-0.0020148-0.00051522i,-0.0014622-0.0002188i,-0.00036482-0.00058912i,0.00012431-0.0012468i,0.00017233-0.0010192i,0.0010866-0.00051089i,0.0012214-0.00040554i,0.00029852-0.00027031i,2.8003e-05-0.0004606i,2.1951e-05-0.0012884i,-3.2978e-05-0.00088065i,0.000307-0.00025363i,0.00028964-0.0004537i,-0.00031374-0.00018815i,-0.00028376-0.0003169i,-0.00011845+4.9615e-05i,-0.00097694+0.00054097i,-0.001228+0.00025386i,-2.0777e-05+0.00045006i,0.0005471+0.0011029i
0.00013251+0.00035232i,0.0001286+0.00090035i,-0.00019934+0.00096724i,-0.00027301+0.0001602i,-0.00017429-0.00063617i,-0.0004198-0.0008604i,-0.0006207-0.00088629i,-0.00072999-0.00041799i,0.00054302+0.00050075i,0.0013645+0.00010307i,0.00089949-0.0010842i,0.00024609-0.0011673i,0.00045168-0.00034462i,0.00042356+0.00076259i,-0.00025267+8.7515e-05i,-0.00033473-0.00019511i,-9.1374e-05+0.00064118i,-0.00039391+0.0006836i,-0.00052879+0.00036335i,-0.00022308+4.7674e-05i,5.6753e-06-0.00011078i,-1.844e-05+0.00034527i,9.7553e-05+0.00066676i
0.00053832+0.0022874i,0.0010003+0.0025343i,0.0023679+0.0030981i,0.002829+0.0012459i,0.0025423-0.0011934i,0.0010258-0.001664i,-0.00040541-7.5121e-05i,0.00019029+0.0006554i,0.0014568+0.00082533i,0.00078902+0.00076357i,-0.00025391-0.00018737i,-9.7159e-05-0.00083272i,0.00031571-0.00095532i,0.00031033+0.00010232i,-0.00020231+0.0009956i,-9.9012e-05+0.00095866i,0.00025057+0.00079923i,7.014e-06+0.00072225i,0.00061688+0.00017344i,0.0010584-0.0002127i,0.00053265+0.00035012i,0.00042562+0.001075i,0.00025226+0.00010659i
-0.00075444+0.00051828i,-0.00087853+0.00013849i,-0.0010864-0.00029873i,-0.0012596+0.00019274i,-0.00064755+0.00034485i,0.00047612+0.00038875i,0.0010265-1.2959e-05i,0.0006281-0.0002837i,0.00061621-1.6315e-05i,0.0011737-0.00029907i,0.0013214-0.00013141i,0.0007979-0.00026709i,-0.00028913+0.00026859i,-0.00088259+0.00021801i,-0.00041359-0.00081466i,-6.7258e-05-0.00055781i,-0.00025127-0.00039052i,6.3635e-05-0.0003005i,0.00071288+8.6602e-05i,0.00014206-0.00031821i,-0.0002312-0.00061224i,-0.00039816+0.00034735i,-0.0010498+0.0010357i
0.00063478-0.001951i,0.00042559-0.0022316i,-0.0015288-0.00029389i,-0.0028945+0.0012236i,-0.0017732+0.001615i,-0.0012765+0.0015435i,-0.0011263+0.00071961i,-0.0002002+0.00040808i,0.00027409+0.00017882i,0.00042291-0.00057947i,0.00054255-0.0011373i,0.0009072-0.0016025i,0.00028748-0.001507i,0.00028412-0.0010989i,0.00050335-0.0009442i,-0.00043159-0.0012983i,-0.00145-0.00071112i,-0.0013957-4.8686e-05i,-0.00034277-0.00026651i,1.0074e-05-0.0001002i,-0.00068191-0.00031159i,-0.00045105-0.0004112i,0.00034574+0.00052787i
0.00016033-0.00090709i,-0.00055917+0.00046427i,-0.0019157-0.00014986i,-0.0015569-0.00063477i,-0.00098829+0.00033171i,-0.00098001+0.00072102i,-0.00052002+0.00054065i,-0.00031557+0.0014851i,0.00025213+0.0019212i,0.0009394+0.001151i,0.00077787+0.00072053i,0.00062818+0.00017559i,0.00089277-0.00033415i,0.00046439-0.00055497i,-5.4832e-05-6.5705e-05i,8.2869e-05+0.00062064i,0.00082967+0.00081269i,0.00073886+0.00040189i,-7.6701e-05+1.3313e-05i,-0.00018948-0.00052442i,0.0002449-0.00026134i,0.00031236+0.00018919i,-0.00012581+3.701e-05i
0.00024034-0.0003031i,0.0010085+0.00027537i,0.0007899+0.00010768i,-0.00018461-0.00048897i,-0.00082883-0.00078612i,0.00015294-0.0013008i,0.0002663-0.0012173i,4.2897e-05-0.0007557i,0.0010627-6.5825e-05i,0.0014866-4.5416e-05i,0.0010959-0.00074317i,0.00067364-0.00019912i,0.00021423+0.00041071i,0.0005429+0.00065257i,0.00063595-1.0886e-05i,0.00012199-0.00085466i,-1.8503e-05-0.00032249i,-5.3842e-05+0.00038584i,-0.0006944+0.00023147i,-0.0013982+0.00020649i,-0.0012392+0.00054851i,-0.00058322+0.00040702i,3.9787e-05-0.00026122i
0.0011206-0.0010741i,0.00080059+0.00013526i,0.00048217-9.1931e-05i,-0.00036695-0.00045848i,-0.00055478-0.0003403i,-0.00039601+0.00046702i,-0.00023019+0.00065474i,0.00055023-0.00040377i,0.0014107-0.0001434i,0.0011857+0.00045886i,0.00077268+0.0001778i,0.00064523+0.00049095i,0.00057305+0.0011993i,0.00047962+0.00050411i,2.063e-05-0.00094955i,-0.00016835-0.001444i,6.0543e-05-5.6737e-05i,-0.00026957+2.036e-05i,-0.00039032+0.00019546i,1.7032e-05+0.00074854i,0.0003495+0.00060422i,0.00044309+0.00043923i,0.00053118+3.8097e-06i
