-0.0042055+0.0023048i,-0.0025102+0.0034813i,-0.0021728+0.004533i,-0.0020329+0.0039888i,-0.00040815+0.0036782i,0.00053152+0.0034512i,0.00048112+0.0028567i,0.00052692+0.0024331i,0.00021303+0.00189i,0.00078344+0.0012475i,0.001009+0.0001247i,6.2153e-05-0.00074157i,-0.00039965-0.0014985i,-0.00013659-0.0011723i,-0.00019235+4.7246e-05i,-0.00078935+0.00014436i,-0.00081118+0.00024918i,-0.00041725+0.00075116i,-0.00055631+2.1808e-05i,0.00026599-0.00041948i,0.00068434-0.00058534i,-2.4255e-05-0.00010739i,0.00012945+0.00012797i
-0.0019385+0.0014343i,-0.0019434+0.0025684i,-0.0019303+0.0026268i,-0.0020672+0.001096i,-0.0011956+9.3663e-05i,-5.8477e-05-0.00030491i,0.00050076+1.4984e-05i,0.00099692+0.00044455i,0.0011746+0.00069531i,0.00063169+0.0010115i,-0.00032123+0.00087261i,-7.5314e-06+8.9696e-05i,0.00030226-0.00029638i,7.0913e-05-0.00038879i,-0.00039304+0.00042711i,-0.00053684+0.00076271i,-0.00027967+0.00013408i,-0.0004992-0.00013038i,-0.00089275+0.00017539i,-0.00054851+0.00062888i,3.1193e-05+0.00081371i,0.00048364+0.00073556i,0.00030398+0.0003815i
-0.0012675-0.0010807i,-0.0014024-0.00092188i,-0.00099436+3.2729e-05i,-0.00026423+0.00087412i,-0.00019328+0.0015328i,-0.00035932+0.0019888i,0.00022701+0.0014988i,0.0010249+0.0011564i,0.00052258+0.00098837i,0.00029979+0.00045384i,0.00025226+0.00028733i,-0.00058584+8.6834e-05i,-0.0005591-7.9144e-05i,-0.0003134+0.00033817i,-0.00055641+0.00012988i,-0.00030088-0.0004769i,0.00014195-0.00030999i,-4.688e-05+0.000646i,0.00041597+0.0014053i,0.0010184+0.00058201i,0.0007969-0.00077921i,0.00037842-0.00049841i,0.0001014+0.00024793i
-0.00012858+0.0013584i,0.00094277+0.0017081i,0.0012845+0.0021058i,0.00064521+0.0019861i,0.00082134+0.0013403i,0.0013763+0.00061322i,0.0010028+0.00036414i,0.0003893+0.0010408i,0.00039349+0.0012867i,0.00013011+0.00037254i,0.0001106-0.00062552i,0.00064482-0.00078264i,0.0008128-3.1314e-05i,-3.0942e-06+0.0002276i,-0.00088579-0.00010582i,-0.00010467-0.00031104i,0.00044031-0.00055754i,-0.00037588-0.0004336i,-0.00053547+0.00025577i,-4.3573e-05-2.3306e-05i,0.00022941-0.00038045i,0.00069726-0.00035215i,0.0012582-0.00058185i
0.0014385-0.0002072i,0.00046794-0.00049699i,-0.00027308+0.00044438i,0.00019645+0.00091561i,0.00051594+0.0010872i,-9.2002e-05+0.0012142i,1.991e-05+0.0011095i,0.0009587+0.00071126i,0.0009384-0.00097536i,-8.9337e-05-0.0016468i,-0.00033993-0.00071055i,-0.00048208-0.00023405i,-0.00042549-0.0011677i,9.2299e-06-0.00099238i,0.00027115-0.00018544i,0.00043912+6.6503e-05i,0.00078846+0.00054184i,0.00014835+0.00092066i,-0.00067073+0.00017247i,-7.4061e-05-6.2708e-05i,0.00044603+0.00079396i,0.00020595+0.00055579i,0.00081095+1.8571e-05i
0.00032433+0.00070849i,0.00049896+0.00070187i,-0.00045735+0.0012051i,-0.00070673+0.0013298i,7.2996e-05+0.00023582i,0.0011834-0.00035339i,0.0015037-0.00024023i,0.00079431+7.5064e-05i,0.00034851-0.00032398i,0.00039868-0.0011273i,0.00010766-0.0007256i,5.04e-05-0.00048287i,9.9323e-05-0.00097314i,-1.2691e-05-0.00074766i,-0.00053022-0.00025011i,-0.00041987+1.3101e-05i,0.00018458-0.00066519i,7.6567e-05-0.0006188i,0.0005722+0.00023219i,0.0011842+0.00031736i,0.0004941+0.00071561i,0.00018807+0.00076983i,0.00035598+0.00059164i
-0.00076205-0.0012571i,-0.00056845-0.00058588i,-0.001281-0.00038117i,-0.0014011+7.5197e-05i,-0.0014562+0.00080159i,-0.00069253+0.0010318i,-0.00041997+0.00084501i,-9.7859e-05+0.00014742i,0.00045719-0.0005683i,0.00019175-0.00037747i,2.5391e-05+0.00051453i,-0.00011891+0.00015172i,-0.00012437-0.0006884i,-0.00014061-0.00058256i,0.00016468-0.00078829i,0.00045558-0.00036624i,0.00044755+0.00023261i,0.00039082+0.00011971i,0.00016163-0.00048091i,-3.4999e-05-0.00060256i,0.00021459-0.00021903i,0.00033005+6.2393e-05i,0.00049216-0.00013058i
-0.0023883-0.00077538i,-0.003498+0.00051512i,-0.0039039+0.0007003i,-0.0029272+0.00081905i,-0.0010404+0.00094796i,0.0010545+0.001269i,0.0016506+0.001505i,0.00095755+0.0014589i,0.00028585+0.0011706i,0.00027991+8.9503e-05i,0.00061963-3.8114e-05i,0.00010238+8.5683e-05i,2.9073e-05-0.0010228i,1.695e-05-0.0015841i,1.2916e-05-0.0010748i,-0.00016134-0.00055076i,-0.0010779-0.00058141i,-0.001103-4.5468e-05i,-0.00044066+0.00031431i,-0.0001364-3.767e-05i,-0.00041186-0.00030999i,-0.00045352+3.0308e-05i,-0.00014797+0.00033453i
-0.00024846-6.296e-05i,-0.00062523-9.6065e-05i,-0.00081002+0.00037569i,-0.00054642+0.00072292i,5.0782e-05+0.00097378i,0.0006129+0.00094845i,0.00061081+0.00069313i,0.0006658+0.00070479i,0.00056707+0.00086848i,9.6791e-05-9.4297e-05i,7.2701e-05-0.00079294i,-8.4046e-05-0.000903i,-0.00044607-0.00077291i,-7.4618e-05-8.6344e-05i,5.2895e-05+0.00069963i,-0.00026977+0.00012503i,-0.00014439-0.0010442i,0.00017974-0.00089596i,0.0003713+0.00016752i,0.00057364-6.7856e-05i,0.0010762-0.00029935i,0.0012547-0.0003903i,0.00052767-0.0005044i
1.601e-06+0.00078155i,0.00094754+0.0019597i,0.00099772+0.0022493i,0.00030461+0.0023081i,-0.00012549+0.0018464i,0.00048927+0.0012123i,0.00061859+0.0010551i,0.00089242+0.00098176i,0.0013273+0.00019016i,0.00097565-0.00057192i,0.00064936-0.00056771i,0.00056153-0.00063643i,0.00023489-0.0013748i,0.00014839-0.0016135i,-9.6893e-05-0.0015873i,0.00038166-0.0013606i,0.00039594-0.00097002i,0.00031115-0.00042843i,0.00035898-7.0057e-05i,2.1341e-05-0.00018032i,-0.00015861+2.7896e-05i,-0.00020014+0.00026086i,-0.00031136-0.00037819i
0.0017162+3.6977e-05i,0.0019142-0.001237i,0.0012065-0.0024655i,0.00022611-0.0024986i,-6.4417e-05-0.0015475i,-5.2791e-05-0.00058299i,0.00035992+8.1658e-05i,0.0012798+9.8834e-05i,0.0014288+0.00020178i,0.00038387-0.00013166i,-0.00027924-0.00061801i,-5.4632e-05-0.00030454i,0.00020438+0.00020702i,-0.00010242+0.00064763i,-0.00024714+0.00077871i,-0.00026505+0.00055914i,-0.00015996-0.00039728i,-0.00057773-0.00077107i,-0.0008742+0.00020645i,-0.00059323+0.00086428i,-0.00065824+0.00043507i,-0.00063135+4.1221e-05i,-0.00075698-8.5545e-05i
