0.0011377+0.00096079i,0.00022367-0.00095044i,-0.0017983-0.0021209i,-0.0031448-0.0010684i,-0.004289+4.2553e-05i,-0.0041799+0.00094583i,-0.002342+0.002049i,-6.6409e-05+0.0018288i,0.00046147+0.00054722i,-0.0006187-0.0010062i,-0.0012463-0.0015234i,-0.0010937-0.0013587i,-0.00092458-0.0010463i,-0.00089849-0.00027744i,-0.00021365+0.00076129i,-5.428e-05+0.0009405i,-0.00048529+0.00017844i,-0.00078508-0.00028199i,-0.00091821-0.00054767i,-0.00012611-0.00089438i,0.00076826-0.00044443i,0.0010488+4.7477e-06i,0.0008182+0.00094089i
-0.0033065-0.0015267i,-0.0044895+4.8149e-05i,-0.004664+0.0033947i,-0.0023641+0.0031783i,-0.00046933+0.00088386i,-0.00039518-0.00099035i,-0.0015857-0.0016907i,-0.0016861-0.00087445i,-0.00074852+0.00039024i,-1.7345e-05+0.00096618i,-0.00032605+0.00035516i,-0.000346-0.00028465i,6.5284e-05-0.00050673i,0.00083121-0.00041208i,0.0010395-0.00054584i,0.00045109-0.0010533i,-9.8649e-05-0.00073222i,-0.00057661+8.5538e-05i,-0.0011323+2.9849e-05i,-0.0010102-0.00020085i,-0.00073497-1.5679e-05i,-0.00080924+0.00022647i,0.00038914+0.00038378i
8.3998e-06-0.00020415i,-0.00041653+0.0014942i,-0.0014337+0.0018061i,-0.0012344+0.0017134i,-0.00085391+0.00066045i,-0.0012252+0.00027097i,-0.0013251-0.00016649i,-0.0012406-0.00062992i,-0.001162-0.00034721i,-0.00042939+9.109e-05i,-0.00052856+0.00053327i,-0.00050758+0.00043387i,3.1072e-05-0.00012898i,0.00047673-9.6381e-05i,0.00076978+7.8191e-05i,7.0476e-05-0.00021268i,-0.00047673+0.00012065i,-0.00032023-8.4405e-05i,-0.00024764-0.00046504i,0.00019529-0.00037093i,0.00050678-0.00047924i,0.00032206-0.00062217i,-0.00023892+0.0002193i
0.0010742-0.0011003i,-0.00086517-0.00155i,-0.0022648-0.001926i,-0.0018289-0.0019218i,-0.0012058-0.00043005i,-0.0019552-0.00053393i,-0.0019551-0.00071203i,-0.0015701+0.00055428i,-0.0018843-5.5141e-05i,-0.0020158-0.0011303i,-0.0010887-0.00072219i,-0.00086219-3.5951e-05i,-0.0014863+0.00038322i,-0.0010002-1.2365e-05i,-0.00036968-0.00084283i,-3.6112e-05-0.0006504i,0.00037519+9.8429e-05i,0.00059727+0.001028i,0.00050645+0.00090239i,0.00061458+0.00064264i,0.0003849+0.0002658i,0.00038595-0.00028975i,0.00038583-0.00052117i
-5.4369e-05+0.00048682i,-0.0003091+0.00065595i,-0.00091582+0.0010494i,-0.0016624+0.00073943i,-0.0027012+0.00017191i,-0.0028564+8.1926e-05i,-0.0022758+0.00018634i,-0.0015182+0.00033618i,-0.00060044-0.0001107i,-7.422e-05-0.00066971i,-0.00079121-0.00022214i,-0.0012261+0.0003543i,-0.00041974-6.9987e-06i,-0.00028873-4.9185e-05i,-0.00064553-0.00046943i,-0.00030023-0.00092661i,0.0002633-0.00054331i,2.5386e-05-0.00050511i,-2.9513e-05-0.00081074i,0.00013533-0.00020114i,3.6993e-05-5.6142e-05i,-0.00081588+1.4313e-05i,-0.00068236+7.8775e-05i
-0.00045013-0.0015722i,-0.0013694-0.0011684i,-0.0015422+0.00067223i,-0.0021242+0.0012065i,-0.0024737+0.00030436i,-0.0015534-0.00047586i,-0.00085915-0.00040687i,-0.0010707-0.00024406i,-0.0010801-4.6668e-05i,-0.00081531+0.00020834i,-0.0010249-0.0003562i,-0.001055-0.000296i,-0.001134+0.00050925i,-0.0010911+0.00071937i,-6.3469e-05+0.00074982i,0.00031436+0.0004972i,0.00020967+0.00026006i,0.00042237+0.00036672i,0.00071169-0.00018437i,0.0010833-0.001317i,0.00072605-0.0011542i,-0.00033034-0.00027566i,-0.00088636+0.00024422i
0.0010311-0.00152i,-0.00042975-0.0014085i,-0.001623-0.00076822i,-0.0012048+0.00023679i,-0.00075119+0.00054944i,-0.0013834-0.00015762i,-0.0011004-0.00082933i,-0.001286-0.00069876i,-0.0011049-9.3735e-05i,-0.00051309+0.00022603i,-0.00019633+0.00026356i,-4.2343e-05+0.00034458i,-0.00020164+0.00032858i,-0.00052395+0.00048988i,-0.0014217-0.00030719i,-0.0009414-0.00062221i,0.00040435+0.00021243i,0.00077043+0.00079451i,-0.00049765+0.0011414i,-0.0014244+0.00092521i,-0.00061795+0.00024738i,0.00073779+0.00019731i,0.00027811+0.00012545i
0.00024318-0.0022075i,0.00016818-0.0016105i,-0.00070239-0.0011553i,-0.0015308-0.00083812i,-0.0015793-0.00041458i,-0.001806+0.00024286i,-0.001749+0.00013255i,-0.0012443+5.712e-05i,-0.00089215+0.0001831i,-0.00069024-0.00060109i,-0.0010573-0.0007024i,-0.00099296-0.00033571i,-0.00068403-0.00017166i,-0.001176-5.0182e-05i,-0.0011531+0.00021194i,-0.00027714+1.6062e-05i,0.00045358+0.0002977i,4.8959e-05+0.00063375i,-0.00038201-0.00061153i,-0.00047728-0.0011712i,-0.00046906-0.00074343i,0.00011214-8.3994e-05i,0.00066355+0.0002579i
0.00098039+0.00023506i,0.00010277+0.0015864i,-0.0012065+0.0023741i,-0.00076544+0.0016121i,-0.00087177-0.00015253i,-0.0015865-0.0005716i,-0.0019877+0.0006259i,-0.0017299+0.0015255i,-0.001016+0.00081524i,-0.00086293-0.00071019i,-0.00069475-0.0012455i,-0.00011526-0.00072605i,-0.00031112-0.00017494i,-0.00059457+3.4641e-05i,-0.00051976+7.398e-05i,0.00059221+0.00031008i,0.00082681+0.00061354i,0.00029594+0.00041937i,0.00035808+8.3022e-05i,-2.8005e-06-0.00014445i,-7.83e-05-0.00036026i,0.00025227-0.00016023i,0.00054109-0.00018586i
-0.00061363-0.00035536i,-0.0010015-0.00074202i,-0.00084507+0.0010318i,0.0001732+0.0016636i,-6.6587e-05+0.00011458i,-0.0015627-0.0012487i,-0.0022393-0.0011553i,-0.0017307-0.00046566i,-0.001312-0.00023594i,-0.001344-0.00053578i,-0.000986-0.00073237i,-0.00051637-0.00025392i,-0.00082295+0.00038554i,-0.00044267+0.00033059i,0.00032986-0.00010863i,0.00081215-0.00066211i,0.00051962-0.00069653i,0.0001883+0.00012309i,0.00029421+0.00055314i,-0.00010342-5.0426e-05i,-0.00016842-0.00017372i,0.0002381-0.00020671i,0.00036324-9.9865e-05i
0.00023706-0.0014037i,-0.0016664-0.0010088i,-0.0031667+0.00025307i,-0.0029925+0.00022235i,-0.0020266-0.00018662i,-0.0017695+0.00046088i,-0.0020361+0.0005567i,-0.0011176+0.00050588i,-0.00039354+0.00013432i,-0.00057122-0.00065341i,-0.00125-0.0011125i,-0.00058102+2.0192e-05i,0.00013967+0.00083611i,-1.5668e-05+0.00035128i,1.9189e-05+0.00051821i,5.5916e-05+0.00034984i,-6.9114e-05-0.0001575i,-0.00034756-0.00011963i,-0.00052798-0.00014599i,-0.00042713+4.3551e-05i,-0.0010399+0.00029776i,-0.0012073-0.00016953i,-0.0006478-2.1069e-05i
0.00033494-0.0009083i,-0.0010717-0.00046377i,-0.0010746-1.8343e-05i,-0.00042465+0.00055967i,-0.00021279+0.00056665i,-0.00050673-0.00018953i,-0.00077173-0.0012249i,-0.00060955-0.00067984i,-0.00080001+0.00085641i,-0.00075881+0.00035232i,-0.00061879-0.00094874i,-0.0009266-0.00050618i,-0.00073024+0.00015764i,0.00031037+0.00047613i,0.00056234+0.00082746i,0.00025152+0.00061536i,-0.00018963-0.00067156i,-0.00066407-0.0015016i,-0.001467-0.00047883i,-0.0017052-0.00035558i,-0.00079664-0.00086214i,0.00030389-0.00072111i,0.00064041-0.00094287i
0.0017045-0.00064208i,0.00098466+0.00014923i,-0.00086322+0.00078969i,-0.0016344+0.0009029i,-0.00093687+0.0012188i,-0.00058302+7.3375e-05i,-0.00060891-0.00079293i,-0.00053806-0.00098498i,-0.00097235-0.0012391i,-0.001639-0.0011843i,-0.0019725-0.00097145i,-0.0015756-0.00055311i,-0.00078186-0.0002403i,0.00063676-0.00030311i,0.0013831-0.00033805i,0.001137-0.00020744i,0.00030791+0.0002036i,-0.00061187+0.00047706i,-0.00071259+0.00040196i,-0.00063229+0.00034805i,-0.00080769+0.00035729i,-0.00096594+0.00017622i,-0.00090935-0.00061182i
-0.00071189+0.0026278i,-0.0013548+0.0031733i,-0.00023254+0.0036307i,4.0551e-06+0.0022689i,6.9874e-05+0.00017074i,-0.00015499-0.0013357i,-0.001531-0.00059799i,-0.0017287+0.00037932i,-0.00083712+0.00021057i,-0.00021209-0.0005094i,-0.00030342-0.00096442i,-0.00048406-0.00067554i,-0.00033978+0.00010788i,1.4512e-05+0.00051295i,0.00042638-0.00091726i,0.00067828-0.0016967i,0.00072652-0.0012165i,0.00039882-0.0010986i,-0.00010157-0.00070182i,-0.00099016-0.00041005i,-0.00069771-0.00035626i,-0.00027114-0.0008864i,-0.00041237-0.0008585i
-0.00031802+0.00082383i,-0.0019297+0.00069766i,-0.0020654+0.00091603i,-0.0010451+0.00039746i,-0.00069759-0.00038422i,-0.0016093-0.00045526i,-0.0020394-0.0004485i,-0.00099496-0.00050963i,-7.8796e-05-0.00067448i,-0.00043779-0.00023458i,-0.0010936+0.00043135i,-0.0016082+0.00024031i,-0.001937-2.3899e-05i,-0.001278-8.936e-05i,-0.0004704-0.00034867i,-0.00052377-0.0005818i,-0.00016661-0.00074122i,0.0003133-0.0013291i,-0.00040778-0.0013979i,-0.0010164-0.0010954i,-0.00060435-0.001236i,-0.00012306-0.00084194i,-0.0001144-0.00071401i
-0.00022984-0.0010497i,-0.0016307-1.1897e-05i,-0.0022398+0.00022231i,-0.0022362+0.00053134i,-0.0017264+0.00094051i,-0.0016386+0.00047156i,-0.00097065+0.00033985i,8.9458e-05+0.00063195i,3.3227e-05+0.00061048i,-8.7145e-05-4.5158e-05i,-5.9736e-05-0.00051067i,0.00014686-5.8868e-05i,0.0010963+0.00043404i,0.0012153+0.00063953i,0.0010703+0.00039503i,0.0017143-0.00010823i,0.0008626+0.00071222i,-0.00054659+0.0010769i,-0.00073907+0.00061191i,-0.00031451+1.7727e-05i,-4.3991e-05-0.0006664i,0.00021794-0.00021266i,0.00024903+0.00055113i
-0.0012956-0.00039891i,-0.0017082-0.0015556i,-0.0022723-0.00089559i,-0.0028191+0.00030253i,-0.0019279-0.00036221i,-0.0013067-0.0015917i,-0.0011243-0.0014784i,-0.00079796-0.00070433i,-0.0010568-0.00045812i,-0.0010923-0.00062932i,-0.00048117-0.0010218i,-0.00042384-0.0005178i,-0.00047615-0.0002314i,-0.00047816+0.0003335i,-0.00063218+0.0012726i,-0.00046877+0.00086166i,-0.00017395+5.2886e-05i,-0.00010131-0.00020332i,-0.00042281-0.00025572i,-0.00085471+9.9267e-05i,-0.00047222+0.00038941i,0.000422+0.0001587i,0.00056649-5.3693e-06i
