-0.0026999+0.00021814i,-0.001434-0.0013159i,-0.0022109-0.0014103i,-0.0036622-0.00055401i,-0.0035211+0.00028722i,-0.0019787+0.00088936i,-0.00067928+0.00091135i,0.00035505+0.00060828i,0.0011185+0.00035295i,0.0010217+0.00050887i,0.00063967+0.00025919i,0.00090352-0.00034497i,0.0010455+0.00027567i,3.7206e-05+0.00056142i,-0.0002735-0.00010663i,-0.00015097-4.097e-05i,3.9746e-05+5.5477e-05i,0.00024385+6.0065e-05i,0.00041576+0.00099773i,-0.00041453+0.0010078i,-0.0012612+1.7062e-05i,-0.00076596-0.00028184i,-0.00016606-0.00042448i
0.000169-0.00073239i,0.00037167-0.0015991i,0.00051789-0.0011965i,-0.00050608-0.0018569i,-0.0013378-0.0032242i,-0.00092759-0.0027998i,0.00029396-0.0012714i,0.00076046-0.00011386i,0.00062738-0.00011923i,0.00067029-0.00012721i,0.00050573+0.0005015i,-8.0602e-05+7.4729e-05i,-0.00062513-0.00050062i,-0.00070277-0.00060592i,-0.00047728-0.00056304i,-0.00035508-0.00014162i,-0.000275+0.00015211i,-0.00084355+0.00038746i,-0.00072594+0.00042415i,-0.00041117-8.3417e-05i,0.00050663-0.00026471i,0.00098423+0.00017116i,0.00068096+0.00012281i
0.00082531+0.00091336i,0.00062113+0.00060022i,-2.0842e-05-0.00081607i,-0.00072889-0.0013362i,-0.001995-0.0012596i,-0.0014895-0.0014168i,-0.00013759-0.00043723i,0.00059944+0.00028957i,0.0010122+0.00054002i,0.0012496+0.00013818i,0.001231-0.00023604i,0.00082755-3.8567e-05i,0.00034178-0.00034787i,0.00052214-0.00039945i,0.00106-0.0004229i,0.00082465-0.00040514i,0.00050105-0.00079286i,0.00025138-0.0013808i,0.00067344-0.0010984i,0.0012058-0.00062008i,0.00057203-0.00019791i,0.00014726+0.00044423i,0.00036548+0.0012185i
-0.0023317-0.00012061i,-0.00191-1.7308e-05i,-0.0028534-0.00016716i,-0.0033645-0.00035556i,-0.0029646-0.00016908i,-0.0027176+0.00027507i,-0.0020032+0.00017567i,-0.000522-0.0001838i,-4.781e-05-0.00048722i,-0.00038212+4.5333e-05i,-0.00062613+0.00063343i,0.00021823+0.00036279i,0.0011352+0.00010669i,0.0012856+0.00061443i,0.00075735+0.00059279i,0.00043585+3.7799e-05i,0.00022872-0.00032612i,0.00034788-0.00046042i,0.00026022-0.00047014i,-3.9839e-05-5.1872e-05i,0.00010419-0.0006217i,-0.00022073-0.00083656i,-0.0007073-3.9745e-06i
0.00072531-5.0638e-05i,-0.00029492-0.00035465i,-0.00091174-0.00093817i,-0.0015565-0.0013704i,-0.0017315-0.0019251i,-0.001418-0.0010736i,-0.00071758+0.00011204i,0.00010691+0.00060166i,0.00055815-5.0585e-05i,0.00044495-0.00019671i,0.00040731+0.00010819i,0.00014142-4.4957e-05i,0.00056007-0.00028088i,0.00041302-4.4561e-05i,-0.00014089+0.00047942i,-0.00021452+0.00085827i,-0.00014385+0.00062834i,0.00061186-0.00015877i,0.0013011+2.2705e-05i,0.00048404+0.00075609i,0.00033813+0.00079742i,0.00059438+0.00047232i,0.00028282+0.00027781i
-0.0013561+0.0019093i,-0.0011052+0.0019825i,-0.00057917+0.0018543i,-0.0015044+0.00089148i,-0.0016459-5.9897e-05i,-0.0008613-0.0008249i,-0.00049899-0.00083466i,-0.00025516+7.9247e-05i,-0.00032365+0.00013157i,-0.00025109+0.00032503i,-6.3524e-05+0.00061088i,0.00011415-0.00024983i,8.9591e-05-0.0008084i,-0.00058967+0.00033214i,-0.00040923+0.00057652i,0.00015699+5.2989e-05i,-4.8773e-05+0.00048414i,-0.0008502+0.00061583i,-0.00080779+0.00035648i,0.0002477+0.00037356i,0.00050494+0.00037297i,0.00015537+0.00015275i,-3.3412e-05+0.00025441i
-0.0015199-0.0018632i,-0.0020234-0.0025636i,-0.0024885-0.0028976i,-0.0021062-0.0024332i,-0.001289-0.0019807i,-0.0012232-0.0019101i,-0.00065484-0.0011832i,9.6919e-05+4.7825e-05i,0.00040847+0.00015532i,0.00016623-0.0005425i,-0.00031207-0.00064783i,-0.00026593-0.00087271i,0.00019674-0.00081492i,0.00014687+0.00016444i,-0.00028446+0.00086813i,-0.0004399+0.00045604i,-9.9405e-05-0.0005934i,0.00015271-0.00047628i,0.00027217+0.00048314i,0.00016983+0.00056535i,0.00034693-0.00034692i,0.00062974-0.00096006i,0.00041244-0.00037476i
0.00086041+0.00095058i,-0.00031782+0.0008471i,-0.0011588-0.00016037i,-0.00090983-0.00032422i,-0.0010999-0.00089843i,-0.00062282-0.00086882i,-0.00025238-0.00042027i,-0.00014246-0.0005555i,0.00034236-0.00092486i,0.00040664-0.00079719i,0.00030262+0.00063158i,0.00018325+0.0010214i,-0.00043734+0.00033056i,-0.00048595+0.0001013i,-0.00017849-0.00030059i,-7.1999e-05-0.0002551i,0.00030828+0.00034032i,0.00074976+0.00013659i,0.00061671-0.00040255i,0.00045976-4.4897e-05i,0.00036254+0.00043622i,-0.00048535-0.00020478i,-0.00044245-0.00014959i
-0.00072704+0.0015834i,-0.0011357+0.00030308i,-0.001797+5.7354e-05i,-0.00231-0.00031824i,-0.0022852-0.0017519i,-0.001544-0.00201i,-0.0007419-0.00084333i,-0.00017768-6.8092e-05i,0.00019185-0.00019792i,-0.0004683-4.8439e-05i,-0.00074388+0.00037857i,0.00014377+3.7616e-05i,0.00024176+1.6378e-05i,0.00016347+9.7505e-05i,0.00038476+0.00028182i,0.00079861+0.00064279i,0.0010788+0.00079732i,0.0012332+0.00038011i,0.0010746+0.00048799i,0.00046111+0.00099386i,0.00017454+0.00056351i,0.00025064+1.2303e-05i,-0.00026372+3.8442e-05i
3.7884e-05-0.0011263i,-0.00038261-0.00084391i,-0.001478-0.0010185i,-0.0017284-0.0011391i,-0.0015203-0.00042595i,-0.0017587+0.00011531i,-0.0012895-0.00055056i,-3.4272e-05-0.0011907i,0.00017494-0.0010901i,-0.0001266-0.0016296i,-0.00025867-0.0011401i,-0.00054803-0.00057186i,-7.8518e-05-0.00056226i,0.00089799+0.00041121i,0.00096893+0.00047196i,-0.00019684-3.9944e-05i,-0.00037588+0.00043071i,-0.00043524+0.00046099i,-0.00065429+8.4492e-05i,-0.00074285-0.00027909i,-0.00059683-0.00050241i,-0.0003629-9.106e-05i,-1.7285e-05-0.00035425i
0.00016032-0.0016407i,-3.4443e-05-0.0012235i,-0.0010253-0.00094442i,-0.0023468-0.0014423i,-0.0030772-0.0011718i,-0.0019636-0.00018559i,0.00011296-0.00030757i,0.0009973-0.0009757i,0.00075729-0.001076i,0.00083843-0.0010248i,0.00059336-0.00052746i,0.00021972+0.00012968i,0.00053698-0.00011507i,0.00051868-0.00063868i,-0.00020403-0.00013229i,-0.00020132+0.00097222i,0.00013436+0.0010845i,0.00049782+0.00051144i,9.6666e-05-0.00038147i,-0.00034995-0.00036175i,-0.00025469+0.00026765i,-0.00075728+0.00035066i,-0.0015974-0.000104i
