-0.0013223+0.00094574i,6.5319e-05-0.00079894i,-0.0024425-0.001327i,-0.0022816+0.00069534i,-0.0011504+0.0032964i,-0.0016835+0.0035685i,-0.001068+0.0026746i,-1.9282e-05+0.0015448i,0.00063696+0.00088807i,0.0011272+0.00071738i,0.0016831-0.00085893i,0.001017-0.0015953i,-0.00050994-0.0011488i,-0.0010494-0.00099583i,-0.00060397-0.00043514i,-1.266e-05-0.00024954i,0.00042612+0.00018518i,0.00081072-0.00013541i,0.00087093+0.00015426i,0.00030265+0.00053497i,9.8241e-05-0.00024264i,-0.00018724-0.00070789i,-1.5106e-05-0.00023987i
0.00076905+0.00015147i,0.00065771-0.00095237i,0.00017367-0.0019678i,-0.00072694-0.0010071i,-0.0011844+0.00067323i,-0.00090136+0.00092971i,-0.00031129+0.00040535i,-0.00042161+3.4058e-05i,-0.00017548+0.00046842i,0.00036642+0.00071443i,0.00070481+0.00013561i,-2.5375e-05+0.00013389i,-0.00082904-0.00014718i,-0.00047819-0.00012808i,0.00034047+0.00017977i,0.0001543+0.00049649i,-0.00036033+0.00062061i,-0.00013642+0.0002318i,1.4624e-05+0.00021364i,-0.00025713-0.00010037i,6.682e-05-0.00014652i,9.8846e-05+0.00011534i,0.00039232+0.00048629i
-0.00012061-5.6184e-05i,0.00027967-0.00055544i,-2.6327e-05-0.00055195i,-0.00042974+0.00046428i,-0.00030029+0.001166i,-0.0002788-8.4574e-05i,-0.00025062-0.00069304i,1.8814e-05-0.00025645i,8.7494e-05+0.00023704i,0.00019501+0.00039439i,-0.00030873+4.6776e-05i,-0.00079247-0.00028679i,-0.00064847+0.00017272i,-0.00021138+0.00041868i,0.00065751+0.00016221i,0.00079391+0.00036709i,0.00037798+0.0006113i,-0.00089585+0.00069819i,-0.0010838+0.00034193i,-0.00044855+0.00079608i,2.6651e-05+0.0012939i,0.0010622+0.0010813i,0.0010109-2.2054e-05i
0.00013774-0.00087903i,0.00020736-0.00082977i,-0.0012628+1.0181e-05i,-0.0018623+0.0011009i,-0.00072278+0.0023008i,-4.1326e-05+0.0017569i,0.00015432+0.00081967i,1.6746e-05+0.0008113i,-6.8454e-05+0.00065956i,0.00066134+0.00041464i,0.0011413-6.4425e-05i,0.00062795-0.00068076i,-0.00035024-0.0010366i,-0.0006239-0.00042756i,2.2077e-05+0.00057765i,0.00092166+0.0011865i,0.00083457+0.00098967i,0.00024588+0.00049812i,0.00033106+0.00010781i,7.0986e-05+0.00029681i,-0.00017572+0.00062398i,-6.0321e-05+0.00072363i,-0.00039011+0.00028163i
0.0010556+0.00087371i,0.0012334+0.00011295i,0.00024421-0.00053938i,-0.0013133+7.8201e-05i,-0.0025121+0.00073931i,-0.0021791+0.0013508i,-0.0010695+0.0019991i,-0.00094868+0.001388i,-0.00044096+0.00047414i,0.00030277+3.2682e-05i,0.0003932+1.8583e-05i,0.00011427+0.00039949i,0.00039702+0.00049942i,0.00043075+0.00019032i,-0.00038706+0.00034633i,-0.0013169+0.00047028i,-0.0006599+0.00030478i,0.00082233+0.00022619i,0.00093312-3.9653e-05i,0.00044429-0.0003549i,-0.00033561-0.00019924i,-0.00074277+0.00043941i,-0.00035447+0.0012081i
0.0014204-0.00017147i,0.0025652-0.00070417i,0.0024538-0.0002678i,0.00087289+0.00025535i,5.7482e-05-0.00049072i,0.00051351-0.0011294i,0.00071777-0.00021032i,0.00037457-0.00047012i,0.0004416-0.0010328i,0.00095826-0.00097172i,0.00062133-0.00069572i,-0.00014975+0.00033148i,-0.00058279+0.0010573i,-2.1183e-05+0.0010158i,0.00013514+0.00082874i,-2.7541e-05+0.00071265i,-0.00026081+0.00063304i,-0.0010873+0.00066829i,-0.0013433+0.00081527i,-0.00097439-0.0001356i,3.5307e-05-0.0011214i,0.00088135-0.00063988i,0.00085418-0.00057688i
-0.00089121+0.0010607i,-0.0011225+0.00187i,-0.00068739+0.0017961i,5.3501e-05+0.0014107i,9.5889e-05+0.00075614i,-0.00022843+2.3919e-05i,-0.00021729-0.00022356i,-0.00021605-5.2395e-06i,-0.00035933-0.00021907i,-0.00053824+1.1899e-05i,-0.00045927+0.000611i,-0.00016733+0.00040337i,-0.00077837-0.00043849i,-0.0014174-0.00072299i,-0.00078921-0.00050899i,0.00055775-0.00051382i,0.00076548-4.2554e-05i,0.0001406+0.0002689i,-1.7948e-05-0.00023218i,0.00087333-0.00056802i,0.00080271+0.00032425i,-0.00016851+0.00064362i,-0.00011423+0.00084678i
0.0004803-0.00016844i,0.000348-2.2957e-06i,-0.0010061-0.00061693i,-0.00098179-0.0014077i,0.00011577-0.00032966i,0.00015534+0.00053542i,-0.00020074+0.00021826i,-0.00022486-0.00053939i,-0.00038534-9.5159e-05i,9.2103e-05+4.3725e-05i,0.00092268-0.00057336i,0.00018824-0.00059814i,-0.0008219-7.062e-05i,-0.00067632+0.00054271i,-1.5704e-05+0.0005446i,-0.00014564+0.00015038i,4.8477e-05+0.00047572i,0.00023496+0.00078908i,-0.00026116-5.2774e-05i,-0.00099465-6.9641e-05i,-0.00036731+0.00047156i,-0.0001485+0.00012377i,-0.0010273-0.00034756i
0.0023424+0.00016146i,0.0033093-7.5637e-05i,0.0024265-0.00033544i,0.00071846-0.00080703i,-0.00092646-0.00049549i,-0.001392-0.00039839i,-0.00051722-0.00044682i,-0.0004471-9.3397e-05i,-0.00071968-0.00031593i,-7.7475e-05-0.00082514i,0.0010748-0.00066714i,0.0011689-0.00061841i,0.0002394-0.0006632i,-0.00057668-0.00028046i,-0.00054066-0.00017212i,0.00044071-0.00023184i,0.00046672-0.00018409i,-0.00032596+0.00039116i,5.28e-05+0.00069852i,0.00046759+0.00035896i,-7.1762e-05+0.00032378i,-0.00026796-0.00035328i,0.00055998-0.00090564i
0.0017525-0.00031331i,0.00042284-0.00063988i,0.00019857-0.0008434i,-0.00054112-0.00044789i,-0.0014688-0.00014635i,-0.0014949+0.00053248i,-0.00073595+0.0010801i,0.00040685-6.5495e-06i,0.00085102-0.00062731i,0.00064252-0.00010511i,0.00064575+0.00063753i,0.00018113+0.00064588i,-0.00054646+0.00035112i,-0.00070824+0.00064923i,-3.2861e-05+0.00068344i,7.6024e-05+0.00032131i,-0.00032376+7.3509e-06i,-0.00029263-0.00025772i,0.00013674-0.00038193i,-0.00014279+7.6474e-05i,-0.0006539+0.00060944i,-0.00058392+0.00036717i,-0.00033033+0.00023955i
0.00083148+0.0002338i,0.0006206-0.00068765i,2.6042e-06-0.0010843i,0.00092829-0.00085856i,0.001204-0.00072211i,-0.00022138-0.00081172i,-0.00093263-0.00072451i,-0.00052706-0.00036673i,-0.00011334-0.00027457i,-0.00011731+0.00014183i,0.00012116+0.00050726i,-0.00028509+0.00010291i,-0.0011703+0.00021895i,-0.0013714+0.0003249i,-0.00090149+3.0187e-05i,-0.00039692-0.00012196i,7.5176e-05+0.00033963i,0.00050669+0.00079239i,0.0010751-3.5294e-05i,0.00089271-0.00060897i,0.00066397+0.00027229i,0.00092153+0.0009663i,0.00086647-0.0001624i
0.0009603-0.00033188i,0.0016716-0.00020412i,0.00054148+6.7909e-05i,-0.0006578+0.00050447i,-0.0011582+0.0015141i,-0.0011546+0.0018537i,-0.00030835+0.0011573i,0.00058251+0.00014717i,1.838e-05-0.00065657i,-0.0002161-0.00057488i,0.0003367+7.0518e-05i,0.00024846+0.0012196i,0.00041597+0.00065709i,0.00025714+1.1895e-05i,-0.00033084+0.00015389i,-4.2929e-05+4.8527e-05i,-0.00011245+6.5145e-05i,-0.00033952+5.2818e-05i,0.00012554-7.5208e-07i,5.0101e-05-2.9734e-05i,2.8733e-05+0.00034574i,-9.013e-05+0.00011309i,-0.00018442-0.00042676i
0.00047467-0.00094526i,0.0012461-0.00098854i,0.00016102-0.00032383i,-0.001883+0.00010647i,-0.0020069+0.00032135i,-0.0010671+0.00089586i,-0.00087855+0.0012145i,-0.00038204+0.00064977i,0.00056724-0.00018859i,0.0002428-0.00017508i,-0.00066293-0.00010874i,-0.00037811+0.00040097i,0.00023384+0.00043254i,0.00038496+2.4859e-05i,-0.00015812+0.0004184i,0.00014696+0.00087839i,0.00063596+0.00054217i,0.00029104-0.00030462i,-0.00042853-0.00039418i,-0.0010305-0.00053681i,-0.00074303-0.00013742i,-0.00033878+0.0013129i,1.1083e-05+0.0011093i
0.0023618-0.00017873i,0.0014481-0.0007082i,0.0017312-0.00079256i,0.0020067-0.00095694i,0.00077081-0.00094371i,-0.00057941-0.0010978i,-0.00013169-0.00090459i,0.00071222-0.0006266i,0.00088805-0.0011329i,0.0002911-0.00075222i,-0.00022972-0.00031124i,0.0003216+0.00054316i,0.00066736+0.0017752i,0.00011875+0.0019906i,-0.00049242+0.0015692i,-0.00072235+0.0016122i,-0.00050556+0.0013226i,-0.00030219+0.00022172i,-7.9076e-05+3.4936e-05i,0.00062772+0.00064711i,0.00072556+0.00035313i,0.00040394-0.00018966i,0.00080506-0.00013656i
0.00090608+0.0012787i,0.00077678-4.8454e-06i,9.8981e-05+0.00019294i,-0.00038497+0.0010663i,-0.00038467+0.00070757i,-0.0006479+0.00011853i,-0.00098663-6.6815e-05i,-0.00051795+2.1401e-06i,0.00015794+0.00031756i,0.00046563+0.00048738i,0.00062262+0.00043537i,0.00017333+0.00014463i,-0.00078583+0.0002239i,-0.00042293+2.3671e-05i,0.00056633+0.00029581i,0.00040627+0.00037761i,0.00014295+0.00036715i,-0.00010159+0.00052379i,-0.00019443+0.00046257i,-0.00031734+0.00059703i,0.00070474+0.0007475i,0.00095203+0.00080788i,0.00089482+0.00062837i
0.00089529-0.0011974i,0.0012417-0.00071376i,0.00065206-0.0014888i,0.00047722-0.0018493i,0.00065518-0.00075901i,-0.00052496-0.00014123i,-0.00052586-0.00055604i,0.00047468-0.00092192i,0.00033063-0.00045563i,-5.339e-05-0.00058392i,-0.0003311-0.00068877i,7.9798e-05-0.00015711i,0.00062172+0.00025488i,1.0373e-05+0.00057398i,0.00010598+0.00074549i,0.0005281+0.00074488i,0.00018544+0.00015311i,0.00013837-5.408e-05i,-0.00011443+0.00029596i,-0.00044546-0.00041577i,-0.00025259-0.00076412i,-0.00015806-0.00059369i,-0.00013643-0.00051272i
0.0016325-0.00022762i,0.0019096-0.0004278i,0.0027624-0.0010917i,0.0018187-0.0021771i,-0.00075227-0.0024607i,-0.0016468-0.0010672i,-0.0006965+6.9034e-06i,0.00074121-0.00021669i,0.0010154-0.00021428i,-0.00022167+0.00010408i,-0.0003882+0.00060969i,-0.00027103+0.00042993i,-0.00030318-0.00053538i,0.00012478-0.00021528i,-0.00038519+0.00030135i,-0.0006488+9.8252e-05i,-0.00051631+0.00012346i,-0.0010541+0.0003268i,-0.0010161+0.0002287i,-0.00014836+0.00031158i,-3.7899e-05-2.9678e-06i,-0.00017888+6.5582e-05i,0.00062932+0.00024297i
0.00010658-0.00025609i,0.00094319+5.1464e-05i,0.0010261+0.00089793i,0.00054454+0.0016245i,2.8679e-05+0.0021674i,3.9899e-06+0.0017506i,1.2725e-05+0.00050071i,-0.0009944+0.00019412i,-0.00071007+0.00047206i,0.00021037-0.00013539i,0.00038491-0.00079703i,6.1602e-05-0.00090554i,-0.00062989-0.001036i,-0.00066384-0.00048199i,-0.00028514+0.00028728i,-2.9134e-05+0.00024548i,6.534e-05-0.00024844i,-4.4957e-05+0.00023216i,-0.00084622+0.00025857i,-0.0012626-0.00090455i,-0.00066607-0.00075753i,-2.4897e-05+5.5561e-05i,0.00030297-2.6015e-05i
0.00084852+0.00075173i,0.0015294+0.001033i,0.00084024+6.8274e-05i,7.4117e-05-0.0008014i,0.00020488-0.00093937i,0.00046994-0.00086569i,0.00059466-0.00052603i,2.6676e-05-0.00075816i,-0.00021748-0.00072622i,0.00046945-0.00014916i,0.00063884+0.00013871i,0.00051172+0.00038938i,0.00074992+0.00059687i,0.00087851+6.7068e-05i,0.0002448-0.00027757i,0.00025618+1.7656e-05i,0.00051219+0.0009751i,0.00052373+0.001173i,0.00081647+0.00018651i,0.0008312-0.00039751i,0.00084162-1.9597e-05i,0.00095367+0.00092541i,0.00076796+0.00097734i
