-0.0024275-0.00032477i,-0.0028292-0.00057596i,-0.0047022+0.00026169i,-0.0043196+0.00061572i,-0.0023281+0.0010791i,-0.00048189+0.0016529i,0.00053489+0.0010957i,0.00086818+0.00056322i,0.0014005+4.1035e-05i,0.001793-0.0009711i,0.0013946-0.00091521i,0.0010272+5.46e-05i,0.0015917+0.00026032i,0.0013887+0.00055167i,0.00014663+0.00039154i,-0.00033053-0.00028103i,-0.00052837-1.1439e-06i,-0.00072652+0.000642i,-0.00072712+0.00029563i,-0.0002364+1.3949e-05i,-0.00020228-8.0011e-05i,-0.0012576-0.00049295i,-0.00081661-0.00072943i
0.0015343-0.0015245i,0.00055778-0.00086751i,-7.2344e-05-0.00077102i,-0.00059182+0.00011017i,-0.00084568+0.00051458i,-0.00026841+4.508e-05i,0.00023473-0.00020359i,0.00016014-0.00067454i,7.7397e-05-0.0010997i,-0.00012743-0.00068278i,-0.00033449-4.2036e-06i,-7.0276e-05+0.00025033i,0.00046843-0.00036829i,0.00060125-0.00073498i,-8.5321e-05-0.00024359i,-0.00064379+0.00010038i,-0.00070438+0.0002005i,-0.00013571-6.4041e-05i,0.00021792+2.8048e-05i,-0.00029149+0.00030999i,-0.00022094-0.00025562i,0.00033935-0.00064517i,0.00036323-0.00016868i
-0.00032958+0.00039047i,-0.00052468-0.00013956i,-0.0016913+0.00089998i,-0.0014308+0.0030794i,0.00011777+0.0028662i,0.00076591+0.00121i,0.0010054-0.00089901i,0.0012636-0.0014642i,0.00071405-0.00078486i,-0.00013244-0.00055481i,-0.00034399-0.00054992i,0.00012807-0.00017898i,0.00026176-0.00022263i,-0.00011004+0.0001239i,-0.00023111+0.00026896i,0.00013325-0.00010005i,-0.00021472-0.00017034i,-0.00065683-0.00026121i,-0.00055071-1.5045e-05i,-0.00019279+0.00011512i,0.00037526-0.00053282i,0.00024595-0.00076226i,8.8664e-05-5.5477e-05i
-0.0010913+5.2689e-05i,-0.0010555+0.00048271i,-0.0018184+0.0014527i,-0.0016879+0.0013312i,-0.00034032+0.00046181i,0.00014829-0.0003321i,5.9049e-05-0.00076207i,0.0010382-0.00099558i,0.0010008-0.00051949i,6.2265e-05+0.0002653i,-0.00031041+0.00026976i,0.00079762+0.00013769i,0.0015316+0.00085662i,0.00058027+0.0012622i,-0.00020521+0.00072914i,-0.00049191+0.00029229i,-0.00057145+0.00056513i,-0.00028731+0.00075689i,-0.00068882+0.00049177i,-0.00096183+0.00087756i,-0.00066414+0.00064862i,0.0002609-0.00057996i,0.0012525-0.00073376i
-0.00021038-0.0031513i,-0.0014428-0.0029657i,-0.0031067-0.0026015i,-0.0040634-0.0023567i,-0.0035118-0.00055287i,-0.00086643+0.0012383i,0.001038+0.00052569i,0.0013534-0.00014535i,0.00093956-0.0004197i,0.00065762-0.00019108i,0.0005151-0.00028988i,-8.9048e-05-0.00025357i,0.00018718+0.00059418i,1.9544e-05+1.6349e-05i,-0.00020567-0.00083913i,4.2619e-05-7.7219e-05i,-0.00065404+0.00056087i,-0.00055207+0.00023636i,-0.00027369+1.3855e-05i,-0.00015897-0.00045223i,0.00017926-0.00064279i,0.00018482+0.00024619i,0.00021245+0.00074167i
-0.00018265-0.0021711i,-0.00089701-0.00076998i,-0.0020182-0.0012271i,-0.002505-0.0012032i,-0.0021004+0.00028413i,-0.0010566+0.00068157i,0.00027333-0.00074019i,0.00087353-0.0015319i,0.00066961-0.00049944i,0.00059373-0.00046836i,0.00046764-0.0014287i,0.00070078-0.00094731i,3.5839e-05-0.00037142i,-0.00064417-0.00016423i,-0.00035786+0.00076825i,-0.00054484+0.00094806i,-0.0010682-8.7066e-05i,-0.00067995-0.00061156i,4.0012e-05-0.00078187i,3.0585e-05-0.00075115i,-0.00017557-0.0002176i,0.00020378+0.00011071i,0.00034721+0.00018895i
0.0015643+0.00092874i,0.00080581+0.00022673i,0.0012651+0.00073221i,0.0010075+0.0012113i,-8.9023e-05+0.00029409i,-0.00010026-0.00012941i,0.00063477+0.00020249i,0.001239+0.00047711i,0.00094508+0.00093183i,0.00080983+0.0013198i,0.00042902+0.00088165i,0.00032136+0.00038794i,0.00076079+0.00073556i,0.0011189+0.00024055i,0.000728-0.00019478i,3.4057e-05-0.00053527i,-9.6101e-05-0.00080977i,0.00010318-0.00037221i,-0.00020597-0.00032458i,-0.0004295-9.3587e-06i,0.00048485+0.001069i,0.00051896+0.001196i,-0.00021913-0.00047491i
-0.0018576-0.0021694i,-0.0018175-0.0018756i,-0.0022553-0.0018211i,-0.0025595-0.00096168i,-0.0015119+0.00023943i,0.0010713+0.00072853i,0.0024947+0.0001694i,0.001155-0.00025921i,-0.00058511+0.00047955i,-0.00044135+0.00070732i,-0.00014302+0.00047501i,-0.00014545+0.00010185i,0.0002892-0.00062043i,-0.00018457-0.00071288i,-2.9318e-05+0.00014125i,0.00052597+0.00022565i,-0.00034875-0.0004692i,-0.001071-0.000782i,-0.00091628-0.00074357i,6.1864e-05-4.6364e-05i,0.00016414+0.00029512i,8.4779e-06-7.3991e-05i,-0.00012999-0.00010227i
-0.001237+0.00051944i,-0.0018854+7.5497e-06i,-0.0029167+0.00062305i,-0.0026901+0.0013353i,-0.00092814+0.00099501i,0.0006837+0.00030958i,0.0015067-0.00066269i,0.00085426-0.0010298i,-0.00022864-0.00049844i,-0.00023908-1.9839e-05i,-0.00028122+0.00024199i,-0.00073052+0.00016503i,-0.0003902-0.00036966i,0.00022498-0.00080623i,0.00039571-0.00083062i,0.00014276-0.00095292i,-3.6412e-05-0.0011228i,-0.00030832-0.00041762i,-0.00014071+0.00042796i,0.00036709+0.00011957i,0.00042831-5.2817e-07i,0.00012721+0.00010564i,-0.0003863+0.00089856i
0.00028944+8.276e-05i,-0.00067149-0.00015962i,-0.00076153+0.00089325i,-0.00085666+0.0021673i,-0.00084975+0.0016573i,-0.00010279-0.00011813i,0.00010113-0.0007844i,0.00056496-0.00047756i,0.00072725-0.00043744i,1.9063e-05-0.00023333i,-0.00018745+3.9611e-05i,-0.00099318+0.00032869i,-0.0009476+0.00064754i,0.00049571+0.0005507i,-7.878e-05+0.00037446i,-0.0010672+0.00019211i,-0.00095373-2.4832e-05i,-9.9119e-05+0.00010623i,0.00012869-0.0002878i,-0.0001483-0.00045531i,0.0004516-2.0145e-05i,0.00026729-0.00014637i,-0.00052795-0.0006514i
-0.00010536+5.437e-05i,0.00035501-0.0011595i,-0.00037498-0.002403i,-0.0011553-0.001561i,-0.0011089+0.0001406i,-0.00052143+0.00077026i,0.00020061+0.0009323i,3.8427e-05+0.00021024i,-0.00055676-0.0010143i,-0.00049098-0.0011161i,-0.00041792-0.00042135i,-0.00035246-0.00070633i,0.0003192-0.00057552i,0.00032686-0.0001432i,4.4054e-05-0.00041836i,-0.00017752-0.00079644i,-0.0006164-0.0012216i,-0.00046828-0.00043238i,-1.3751e-05+0.00032762i,-2.5655e-06+0.00035802i,-0.001072+1.9403e-05i,-0.001753-0.0004409i,-0.0009838-0.00068869i
