-0.0014896+0.00091094i,0.0005037-0.0015612i,0.00032325-6.8071e-05i,0.00094988+0.0025787i,0.0017164+0.0044802i,0.0028435+0.0040897i,0.0030624+0.0024178i,0.0016171+0.0019799i,0.0010209+0.0013297i,0.0015046+0.00073395i,0.0011309-0.00052307i,0.00047008-0.0020601i,0.00032186-0.0015192i,-0.00020059-0.0010974i,-0.00076249-0.0009866i,-6.2883e-05-0.00060663i,0.00021502-0.00084949i,-0.00018565-0.00055461i,-0.00035825-0.00048066i,-0.00029373-0.00072148i,-1.5e-05-0.00051658i,0.00011831+1.3032e-05i,0.00022349-0.00031942i
0.00092632+0.00208i,0.0015359+0.001876i,0.0023172+0.0017336i,0.0038315+0.0011838i,0.0045122+0.000344i,0.003606+8.5351e-05i,0.0019518+0.00052913i,0.00065942+0.00042705i,0.00025904-5.8557e-05i,-0.0002079+0.0002404i,-0.00050626+0.00011879i,-4.8839e-05-0.00052418i,-2.3429e-05-0.00061834i,-0.00086354-6.5716e-05i,-0.00065506+0.0008405i,0.00013873+0.0013153i,0.00030537+0.00046253i,0.00012909+9.9079e-06i,-0.00033928+0.00014116i,-0.0007932-9.8379e-05i,-0.00027463-0.00055738i,0.00034636-0.00015352i,0.00017051+0.00021841i
-0.0009441-0.0013354i,-0.0017262-0.0004935i,-0.00255-0.00044949i,-0.0019777+0.00040071i,-0.00059621+0.0020349i,-4.4887e-05+0.0024471i,0.00013791+0.0021548i,0.00045608+0.0014736i,0.00021685+0.0011212i,-0.00049436+0.0009246i,-0.00048243+0.0009343i,-0.00047169+0.00080246i,-0.00056902+0.00026368i,2.3151e-05-0.00050329i,-0.00019287-0.00082345i,-0.00044158-0.00064547i,0.00014363+9.4846e-05i,0.00050511+0.00038923i,1.1878e-05+0.00030837i,-0.00029072-0.0001688i,0.00013612-0.00071662i,0.00030397+0.00022132i,0.00029754+0.00060539i
0.00055706-0.00047076i,-0.00011844+0.00065912i,0.00042441+0.0022743i,0.0015432+0.0025989i,0.0018823+0.0027147i,0.0017317+0.0022576i,0.0015385+0.0014144i,0.0012732+0.000836i,0.00052878+0.0004768i,0.00015791+0.00058978i,0.00022383+0.00056473i,-0.00049599+1.0586e-05i,-0.00094799-0.00025989i,-0.0014196-0.00010872i,-0.0011679-0.00011206i,-0.00030336-6.1281e-05i,-0.00032453+0.00021745i,-0.00052355+0.00037648i,-0.00016139-0.00033283i,0.00019377-0.00081373i,-0.0002663-0.00099207i,-0.00032092-0.00039473i,0.00029868-7.9823e-05i
0.00056711+0.0012969i,0.00091885+0.00097068i,0.00084052-0.00031161i,0.00056844+9.4872e-05i,-0.00011533+0.0013773i,0.00012206+0.0020537i,0.00050947+0.0013533i,6.3258e-07-2.4871e-05i,-0.00062277-0.00040101i,-0.00077836-0.0011277i,-4.712e-05-0.0012377i,0.0005684+8.9003e-06i,0.00037788+0.00085926i,0.00025527+0.0012743i,0.00038476+0.00049382i,0.00041471-1.2799e-06i,-0.00013918-9.0045e-05i,-0.00069025-0.00061196i,-0.00064416-0.0010025i,-0.00020641-0.00084983i,-2.3339e-05-0.00014898i,-0.00030451+0.00021973i,-0.00029107+0.00015543i
0.00072578+0.00089987i,0.0016466+0.00060301i,0.0036849-0.00027445i,0.0033809-7.6973e-05i,0.0014123-0.000469i,0.00052458-4.9e-05i,0.0011707+0.0011948i,0.0011949+0.00024937i,0.00039619-0.0011188i,-0.00027427-0.0010612i,-0.00045796-0.00086616i,-0.0014453-0.00072281i,-0.0011667-0.0004382i,0.00012686-1.285e-05i,-0.00024317+0.00075208i,-0.00032124+0.00085079i,0.00050316+0.00023845i,0.0001092+0.00045123i,-0.00040632+0.00073817i,8.9921e-05-0.00015722i,-3.4058e-05-0.00040224i,-0.001367-0.00028688i,-0.0012457-0.00013664i
0.00025611+0.00011431i,0.00019243+0.0010981i,-0.000108+0.00091921i,-0.00028739+0.0010355i,1.5879e-06+0.0022988i,0.00067316+0.0024893i,0.00079461+0.0021395i,0.00083483+0.0012329i,0.0010445+0.00031926i,0.00078584-0.00017462i,0.00026451-0.0002365i,-3.292e-05+0.00018291i,0.00032933+0.00012662i,0.00045808-0.00046207i,0.00038855-0.00050561i,0.00036408+0.00010251i,0.00025649+0.00081376i,0.00045738+1.0947e-05i,0.00038124-0.00034941i,-0.00021644+0.00016012i,-0.00050462-0.00021042i,-0.00032386-0.00051939i,0.00030828-0.00036487i
-0.0013021+0.0011144i,-0.0015344+0.0013107i,-0.0012225+0.0020398i,-0.00038943+0.0014043i,0.00075313+0.00055538i,0.0012508+0.00074432i,0.0013537+0.00072577i,0.001137+0.00050286i,0.00052729+0.00048773i,0.00069183+0.00071145i,0.0012577-0.00020115i,0.0010883-0.00074464i,-0.00037872+0.0004542i,-0.0013667+0.00073397i,-0.0012907+0.00034674i,-0.00083366+2.5209e-05i,0.00031792+0.00015853i,0.0010709+0.0002816i,0.001177-0.00021528i,0.00080255-0.00029782i,0.00048263-0.00038341i,0.00074544+0.0004168i,0.00066611+0.0011767i
-0.0034662+0.00091559i,-0.0027327+0.00091993i,-0.0017744+0.0018702i,-0.00096819+0.003241i,0.00023633+0.0040416i,0.001622+0.0032363i,0.0015967+0.0021111i,0.00090835+0.0016485i,0.00028422+0.0011212i,0.00042123+0.00084299i,0.00092713+0.00058305i,0.00050574+0.0010078i,-0.00021891+0.000944i,-0.00074012-0.0003604i,-0.00091953-0.00059507i,-0.0011941-0.00021668i,-0.0010712+0.00054045i,-0.00072832+0.00065079i,-0.00088054-0.00010883i,-0.00067114-0.00052389i,0.00025763-0.00027398i,0.00077934+0.00013635i,0.0011595-7.2908e-05i
-0.00071891+0.00011854i,0.00041992-0.00086917i,0.0016413-0.0011332i,0.0025562-0.00041593i,0.0025908+0.00069231i,0.002168+0.0011909i,0.0022359+0.0011909i,0.001954+0.00094628i,0.0009295+0.00092673i,-0.00016379+0.00080383i,0.00019623+0.00033116i,0.00082291+0.00023086i,0.00034929+0.00010278i,-0.00021299-2.194e-05i,-0.00070362-0.00016728i,-0.00085163-0.00015978i,-0.00049414+0.00027545i,-0.00032922-0.0001489i,-1.7295e-05-0.00035565i,0.00065047-0.00021149i,0.0010695+5.9699e-05i,0.00042557+0.00052242i,-0.00074059+0.00027174i
-0.00040074+0.00082362i,-0.0013123+0.00043357i,-0.000832+0.0010158i,-0.00033282+0.00097728i,0.00025007+0.0011201i,0.00048422+0.0023593i,0.00050735+0.0024507i,0.0010902+0.0013419i,0.00092425+0.00067953i,0.0003884-0.00025742i,-0.00059772-0.00064077i,-0.0011621-0.00028288i,-0.00044705+0.00018718i,0.00052273+0.00095429i,0.00040393+0.0015221i,0.00018176+0.00060632i,0.00014232+0.00038101i,0.00037209+0.00062413i,0.00084559+0.00060683i,0.00019418+0.00061779i,9.8006e-06+5.3359e-05i,1.1962e-05+7.1416e-05i,-0.00016688+0.00071546i
