0.001183+0.00027355i,0.0011116-0.00048517i,0.00065928-0.0015126i,-0.0021029-0.0025787i,-0.0040435-0.0018056i,-0.0043978+0.00030804i,-0.0024341+0.0019708i,-0.00027163+0.0018105i,0.00080067+0.00044225i,0.0006177-0.00061716i,0.00018305-0.00091066i,0.00021404-0.0007344i,0.00064805-0.00056353i,0.0009766-0.00028504i,-0.00022408-0.00026515i,-0.001388+0.00022878i,-0.00071939+0.00060804i,0.00037247+0.00068452i,0.00048421+0.00054832i,-0.00019174+0.00042431i,-0.00012453+0.00070443i,0.00042387+0.00094772i,0.000242+0.0010111i
-0.0015225-0.0020935i,-0.00025902-0.00098261i,-0.00070869-0.00015786i,-0.0012739+0.00019219i,-0.0019445+0.00053315i,-0.0012302+0.0017401i,-0.00038808+0.0011091i,0.00056031+0.00028792i,0.00021182+0.00034787i,-0.00044303+0.0001819i,0.00068616+0.00081165i,0.0017246+0.0014711i,0.0018398+0.001289i,0.00042109+0.00098649i,-0.00031697+0.00042847i,-3.5157e-05+0.0004071i,-3.323e-05+0.00028419i,0.00023873-0.00020293i,0.00050098+0.00010344i,0.00024918+0.00010544i,0.00058265-0.00043612i,0.00079213+5.762e-05i,0.00083763+8.4084e-05i
0.0029871-0.00044423i,0.0029588-0.00061807i,0.0010915-0.001671i,-0.0013739-0.0016495i,-0.002767-0.0011892i,-0.0026693-0.00098247i,-0.001722-0.00079298i,-0.00028423-0.0011422i,0.00099906-0.0010911i,0.00025844-0.00072397i,1.6424e-05-0.00063407i,0.00011836-0.0001463i,-3.4518e-05+0.00014113i,0.00028503-9.8046e-06i,0.00056222+0.00010644i,0.0006476-0.0004407i,0.00056602-0.00088084i,0.00010658-0.00086343i,0.00013505-0.00045414i,6.4083e-05-0.00039055i,-0.00034489-0.0010967i,0.00010816-0.0011414i,0.00015825-0.00082053i
0.00040364-0.0014609i,0.0013239-0.00041366i,-0.00070471-0.00058301i,-0.0026096-0.0011037i,-0.0030653-0.00059172i,-0.0023193+0.00098219i,-0.0012649+0.0018299i,-0.00033373+0.0013484i,-0.00026991+0.0004945i,-0.00042484+8.7777e-05i,-0.00032213+0.00016096i,-0.00059288+0.00089096i,-0.000354+0.0013743i,0.00016693+0.00045775i,0.00049707+8.9777e-05i,0.00050233+0.00025826i,4.9906e-05+0.00032278i,-0.00068617+0.00024215i,-0.00071671-0.00069416i,0.00015179-0.00095534i,0.0010506+0.00014878i,0.0010666+0.0010185i,0.00050716+0.00051606i
0.001678-0.00064879i,0.00049981-0.0011888i,-0.0010357-0.0017452i,-0.0013867-0.0013857i,-0.0018405-0.00087475i,-0.0020384-0.00014065i,-0.001202+0.00043207i,-0.0010172+0.00050402i,-0.0013681+0.00016086i,-0.00081973+0.00049387i,-0.00079403+0.0013444i,-0.00057547+0.0011171i,1.6892e-05+0.00088615i,-8.9443e-05+0.00054798i,0.00032291+9.9767e-05i,0.00031693+3.6369e-05i,-0.00025231+0.00068277i,-0.0002996+0.00095126i,-0.0001489-1.8473e-05i,0.00021894-0.00045649i,0.00030036-0.00039308i,0.00040353-0.00032881i,0.00062412-0.0004589i
9.4307e-05-7.9302e-05i,0.00068162-0.00019972i,0.0010263-0.00054481i,0.00016178-0.0012742i,-0.0012395-0.0012596i,-0.0024932+0.00016271i,-0.0018927+0.00073759i,-0.00044802+0.00055973i,-3.9826e-05+0.00053837i,0.00049125+0.00032635i,0.00091648+0.00054322i,0.00061967+0.0006134i,0.00018155+0.00045492i,2.9616e-05+0.00023243i,0.00057817-0.00041626i,0.0004685-0.00026037i,-7.2745e-05-0.00019428i,6.2918e-05-0.00089345i,0.00046025-0.00085378i,-0.00010405-0.00080127i,-0.00079942-0.00089123i,-3.5451e-05+0.0001724i,0.00042608+0.00061995i
-0.00071084-0.00075121i,0.00030559-0.00021891i,-0.00015236-0.00015167i,-0.00066042-0.00036772i,-0.0004606-0.00023391i,-0.00042652-6.1111e-05i,-0.00042893+0.00013695i,-0.00035878+0.00041563i,0.00013666+0.00028972i,0.00043073+0.00013982i,0.00054705+0.00013459i,0.00070521-0.00030658i,0.00038169-0.00038118i,-0.00055815-0.00012627i,-0.00073195-0.00050098i,-0.00010702-0.0010001i,-0.00013961-0.00073139i,-0.00031172-0.00063994i,0.00076403-0.001218i,0.0010687-0.00067515i,0.00028489-0.00010391i,-0.00051949+0.0002994i,-0.00052817+0.00085634i
0.0015304+0.0017474i,0.0017331+0.0011261i,0.0019138+0.00042468i,0.0012167-0.00034152i,-0.00031967-0.00023028i,-0.0011948+0.00041056i,-0.00089896+0.00034171i,-0.00060065+0.00054919i,-0.0009673+0.00089988i,-0.0010151+0.00088694i,-0.00071789+0.00057368i,-0.00030399+0.00073964i,-0.00017325+0.00090409i,0.00022457+0.00061569i,8.6918e-05+0.00070178i,-0.00041909+0.00081816i,4.3316e-05+0.0003244i,0.00016008-0.0004276i,0.00012674-0.00018529i,0.00095104+0.00041667i,0.00050706+0.00032353i,1.7561e-05+0.00010455i,0.00017225+0.00010299i
-0.0019732+0.00023866i,-0.00035852-0.00058536i,0.00080637-0.00025591i,-0.00011779-0.00038972i,-0.0010564-0.0004712i,-0.0014056+0.00010382i,-0.00092702+0.00032372i,-0.00047387+0.00017614i,-4.1021e-05-0.00043725i,0.00016187-0.00011231i,-0.00077254+0.00057531i,-0.0010971+0.00017265i,-5.2945e-05-0.00019545i,0.00043998-0.00031333i,-4.478e-05-0.00025286i,-0.0002671-9.0228e-05i,-0.00022651-0.00011004i,-0.00023908+0.0005572i,3.2157e-05+0.00078698i,0.00016235+4.2204e-05i,0.00032881-0.00035689i,0.00043692-4.2165e-05i,0.00057652-0.00039267i
0.0025474+0.00050273i,0.0019811+0.00018584i,0.00089428-0.00050152i,0.00020468-0.0015545i,-0.00064074-0.0013117i,-0.0013568-0.00062596i,-0.001179-0.00051358i,-7.6599e-05-0.00032453i,9.8073e-05+0.00046401i,-0.00048944+0.00058554i,-0.00031621+0.00072831i,2.4553e-05+0.0010404i,-6.512e-05+0.00023433i,-0.00015637-0.00045148i,-0.00066881-0.00014718i,-0.0012599+0.00039156i,-0.0011078+7.0696e-05i,-0.00045844-0.00026002i,0.00052239-0.0005298i,0.00056726-0.00077951i,-0.00021237-0.00099001i,0.00024277-0.00080177i,0.00061937-0.00014446i
0.00028546+0.00016631i,0.0001927-0.0006762i,-0.0002581-0.0012989i,-0.0014171-0.0012483i,-0.0025933-0.00076138i,-0.0031843-3.9152e-05i,-0.00281+0.0010291i,-0.0012687+0.0010989i,-0.00050282+0.00083838i,-0.0001814+0.00048657i,-0.00022355+0.00054463i,-0.00033916+0.00086551i,-0.00022202+0.00092633i,-0.0012513+0.00017367i,-0.00088682-0.00047437i,0.00091868+5.8953e-06i,0.0011015+0.0004227i,-0.00034996+0.00017415i,-0.00076511-0.00010271i,-3.197e-05+2.2717e-05i,-0.00023464+0.00026694i,-0.00013576+0.00019682i,0.00069435+0.00068669i
3.5831e-05+0.00085831i,0.0013136+0.0018239i,0.0013577+0.0012839i,0.00074541-0.00099662i,-0.00064671-0.0024615i,-0.0013863-0.001999i,-0.0011464-0.00074461i,-0.00057338-6.4953e-05i,0.00038059-0.00058652i,0.00053272-0.00066988i,0.00038888+0.00024281i,0.0007129+0.00099636i,0.00050818+0.001005i,-0.00046288+0.0012093i,-0.0004687+0.00070926i,0.00026516-0.00086919i,0.00013596-0.00095678i,-0.00025551-1.7622e-05i,-0.00011283+0.00062503i,-0.00026362+0.00028851i,-5.5113e-05+1.7756e-05i,0.00071749+0.00056798i,0.00086237+0.00053434i
0.0034739-0.00055081i,0.0030871-0.0014828i,0.0014745-0.0022564i,-3.6144e-05-0.0021437i,-0.0012272-0.0012105i,-0.0024584+0.00072626i,-0.0018942+0.0022865i,-0.00087225+0.0013414i,-0.0005253+0.0010012i,-0.0004638+0.0011649i,-0.00050229+0.00084366i,-0.00041934+0.00051628i,-0.00019226+0.00098943i,-0.00022193+0.0014702i,-0.00015822+0.00068117i,-0.00015366-5.3675e-05i,4.6125e-05+0.00050066i,0.00016811+0.00088281i,0.00019714+0.00023892i,8.643e-05+0.00034458i,0.00022969+5.7427e-05i,0.00020512-0.00022035i,0.00034033+2.9873e-05i
-0.0025334+0.002133i,-0.00096982+0.00078761i,-0.00064206+0.00035765i,-0.00060141+0.00051668i,-0.00028295-0.00051252i,-0.00053881-0.0020876i,-0.00083661-0.0012901i,-0.0003806+0.00018737i,-6.702e-05+0.00020352i,-0.00029274+0.0003966i,-0.00058139+0.00016804i,-0.00035763-0.00043855i,0.00099018-3.0853e-05i,0.0013275+0.00025892i,0.00084186-6.8175e-05i,0.0003789+2.8575e-05i,-0.00015669+0.0001328i,-6.5301e-05-7.4116e-05i,-3.8878e-05+0.00068294i,-0.00043158+0.001567i,-0.00070075+0.0014041i,-0.0012284+0.00053949i,-0.00086014+0.00059292i
-0.00077005+0.00042091i,-0.000505+0.00020631i,-0.00049977-0.0013825i,-0.001033-0.0011921i,-0.0015071-0.0005675i,-0.0020734-0.00014011i,-0.0015059+0.0012442i,-0.00041011+0.0014252i,-0.00036413+0.00050046i,-0.00035102-0.00021934i,0.00051934-0.00061203i,0.00062793-0.00057128i,0.00043863-0.00032079i,0.00062972+0.00072487i,0.0001887+0.00067687i,-0.00013735+8.6197e-05i,0.00011136+0.00022182i,-6.9448e-05+0.00039693i,-0.00095288+0.00046063i,-0.0017775+0.00040582i,-0.0020369+0.00036778i,-0.00071063-1.7757e-05i,0.00055028-0.00071741i
0.0024326-0.00077906i,0.0027048-0.00041594i,0.0014846-0.0016369i,-0.0013061-0.0026431i,-0.0028817-0.0025831i,-0.002363-0.0012546i,-0.0019357+9.8055e-06i,-0.00093288+0.00045873i,0.00027314+0.00025757i,-0.00029134-0.00033954i,-0.00070725-0.00041642i,-2.8223e-05+8.3616e-05i,0.0009648-0.00014078i,0.00096556-0.0005323i,0.00013887-0.00075735i,-0.00023562-0.00084361i,-0.00063917-0.00086944i,-0.00033508-0.00072645i,-2.1534e-06-0.00013835i,-0.00028564+0.00012739i,-0.00073554+0.00026843i,-0.00046996-0.00012144i,-1.6612e-06-0.00076024i
-0.00057262+0.0010329i,0.0002777+0.00019579i,0.00033138+0.00037885i,0.00032136-8.3182e-05i,0.00045466-0.00099899i,0.00037165-0.0016698i,0.00035864-0.00068757i,0.00074158+0.00033123i,0.0010466+0.00022997i,0.00048377+0.0001001i,0.00070708-0.00014943i,0.001195-0.0002681i,0.00075873-6.0658e-05i,0.00046928+0.00063054i,0.00079547+0.00063736i,0.00057008+0.00021526i,-0.00024208+0.00053287i,-0.00052626+0.00075267i,8.8129e-06+0.00026443i,0.00031242-0.0004492i,0.00058117-0.00060684i,0.00064755+1.2317e-05i,-0.00023455+0.00065903i
0.0010226-0.0013698i,0.0014577-0.00060547i,0.00060298-0.0006231i,-0.001626-0.0010163i,-0.0030763-0.00081684i,-0.0024567+0.00016724i,-0.0010454+9.0614e-05i,-0.00026519-0.00052467i,-0.00018567-0.0007691i,-0.00053577-0.00073952i,-0.0006552+2.7903e-05i,-0.00042718+0.0010592i,-0.00013966+0.0010904i,0.00039376+0.00040285i,0.00013599-0.00017449i,-0.00077496-7.9342e-05i,-0.00085384-0.00036651i,-0.0002163-0.00031259i,-7.5924e-05+0.00026961i,-0.00038103+0.00060077i,-0.00046407-4.303e-05i,-5.0626e-05-0.00065772i,0.00014428-0.00048106i
0.0023742+0.00027698i,0.0010261-0.00064339i,7.4153e-05-0.0017504i,-0.00054241-0.0019482i,-0.00060782-0.0020526i,-9.1134e-05-0.0015731i,0.0002861-0.00058218i,0.00022444+3.6156e-05i,0.00047234-9.1776e-06i,0.00067756+6.8419e-05i,0.00044313+0.00047413i,0.00059277+0.00038285i,0.0010679+9.0282e-05i,0.00059325-0.00044396i,0.00024624-0.00042565i,0.0002001-8.3138e-06i,-0.00019087+0.00028592i,-0.00019105-9.1776e-05i,-0.00013299-0.00047845i,-0.0004104-0.00037065i,-0.00092283-0.00035779i,-0.00038574-0.00083787i,0.00075943-0.00070354i
0.00061036+0.0011707i,0.00091127+0.00094032i,0.00042351+0.00036877i,-0.00068037-0.00034673i,-0.0018155-0.00069078i,-0.0022578-0.0005492i,-0.0016597-2.6379e-06i,-0.0012075+0.00052393i,-0.0011469+0.00061527i,-0.0010574+0.0010133i,-0.00058144+0.00083772i,-0.00011836+0.00045527i,0.0003097-0.0004181i,0.00033296-0.00035037i,0.00010785+0.00046112i,-0.00058497+0.000543i,-0.00052573-8.9289e-05i,6.6403e-07-0.0003996i,0.00032004-9.5341e-05i,0.00017656-0.00012383i,-0.00070591+0.00017564i,-0.00070888+0.00020481i,-0.00029348+0.00014296i
-0.00022934-0.0015393i,-0.0001052-0.0014913i,-0.00019782-0.0011452i,-0.00024267-0.00078339i,-0.00069028-0.00087854i,-0.0011714-0.00063512i,-0.00089654+0.00025556i,-0.0009492+0.00053842i,-0.0013085+0.00030661i,-0.0010422+4.1383e-06i,-0.00059878+0.00022607i,-0.00069373+0.00037415i,-0.00046302+0.00067085i,-0.00014279+0.00011582i,-0.00021991-0.00013375i,0.00026229+0.0003042i,0.00057034+4.9988e-05i,0.00070278+6.1915e-05i,4.6589e-06+0.00039734i,-0.00083968+4.2195e-05i,-0.0002376-0.00015392i,-0.00039239-0.00032165i,-0.00042689-0.00018372i
0.001355-0.0026145i,0.0015509-0.0020182i,0.00016407-0.0014859i,-0.00094029-0.0013169i,-0.0010966-0.00088351i,-0.00088787-0.00054944i,-0.0012709+0.00014402i,-0.0013296-0.00011516i,-0.00051122-0.00041216i,-0.00042037+0.00020319i,-0.00088065+0.00086175i,-0.00091384+0.0008061i,-0.00061211+0.000865i,-0.00083914+0.00087401i,-0.0011779+0.00021525i,-0.0013524+0.00054397i,-0.0008864+0.00090161i,-0.00052174+0.00049418i,-0.00026042-8.5086e-05i,5.3222e-05-0.0004353i,0.00013287-0.00010341i,-0.00010087-0.00024087i,-0.0002876-0.00058899i
-0.0019363+0.00097597i,-0.0016525+0.0017632i,-0.0012962+0.0015101i,-0.0018278+0.000532i,-0.002374-0.00068041i,-0.0021381-0.00079314i,-0.0013898+0.00035829i,-0.00048821+0.00094238i,-0.0004488+0.00074521i,-0.00031662+0.00095606i,0.00056338+0.0011104i,0.00085776+0.00065712i,0.00061735+0.00030095i,0.00023973+0.00026057i,0.00031761-0.00016011i,0.00013105+0.00020049i,-0.00077359+0.00051336i,-0.0015152-0.00014235i,-0.00077305-0.00071094i,0.0001806-0.00065343i,0.00036789-0.00039349i,-0.00024904-0.0011923i,1.5685e-05-0.0013949i
0.0006905+0.0009467i,0.00086486-0.00027584i,-0.00012927-0.0011771i,-0.00084186-0.0011302i,-0.00052769-0.00089638i,-4.2805e-05-0.00024318i,-0.00050764-8.4356e-05i,-0.00079201-0.00054039i,-0.00058392-0.00074272i,-0.00038573-0.00039698i,4.97e-05+0.0005332i,0.00062702+0.0013341i,0.00083405+0.0011897i,0.00043478+0.00035136i,-0.00027992-0.00035266i,-0.00072425-0.00094909i,-0.0010744-0.00092024i,-0.0012022-0.00079358i,-0.00050269-0.0007471i,0.0003231-0.00022547i,0.00066241-0.00012507i,0.00011544-3.633e-05i,-0.00059413+0.00035227i
