0.0033669+0.0015915i,0.0041021-0.00051978i,0.0012885-0.0049363i,-0.0014902-0.0044498i,-0.0034165-0.0012472i,-0.0034624+0.00053933i,-0.00075834+0.00083509i,0.0010548+0.00010311i,0.0014366+7.6062e-05i,0.00081089-0.0002895i,-0.00028428-0.00090688i,-0.0010308-0.00053243i,-0.0011249+0.00059115i,-0.00092425+0.0013264i,-0.0018042+0.0010825i,-0.0020323+0.00053041i,-0.00060704-9.7418e-05i,0.00091251-7.1314e-05i,0.00060975+0.00073729i,-0.00044479+0.00044916i,-0.00045021-0.00011087i,-4.061e-05-0.00046181i,-2.956e-05-0.00079211i
-0.00028224-0.00032297i,-0.00068647-0.00070287i,0.00051129-0.00012274i,0.00097246-0.0003643i,0.00071003-0.0011476i,0.00049327-0.001559i,-0.00011036-0.00082681i,-0.00029251+9.511e-05i,0.00036011+0.0008121i,0.0014422+0.00065833i,0.0011893+9.7136e-05i,0.00017664-0.00015025i,-0.00030354-0.00050776i,-0.00050588-0.00078426i,-2.9356e-06-0.00030113i,0.00029487+0.00028623i,-0.00029707+0.00027345i,5.5881e-05-0.00016658i,0.00011093-7.389e-05i,-0.00024991-0.00012101i,9.1876e-05-5.6583e-06i,0.00040278+0.00026247i,-0.00031709+0.00037059i
0.0012275+0.001423i,0.0011592+0.0011289i,0.0010859+0.0010264i,0.00081229+0.00056971i,0.0011297-0.00044504i,0.0014002-0.0017219i,0.00096195-0.0021647i,0.00058602-0.00089943i,0.00064581+0.00055406i,0.00047307+0.00061361i,0.00024449-0.0003407i,0.00068455-0.00090633i,0.00073337-0.00019602i,-0.00032709-3.3058e-05i,-0.00056274-0.001005i,0.00011527-0.0007323i,-0.00016776-0.00057203i,-0.00014484-0.0010599i,0.00036984-0.00061768i,0.00034935-0.00044561i,-0.00012191-0.00035365i,6.5843e-06-0.00046542i,0.0011742-0.0002357i
-0.0018943-0.0030108i,-0.0011575-0.0031023i,-0.0013275-0.002275i,-0.0010151-0.00042576i,-0.00048276+0.00030383i,-0.00024294-0.00034625i,0.00053952-0.00089592i,0.00060425-4.9769e-05i,0.0003982+0.00043423i,6.4058e-05+0.00020844i,-0.0001514+0.00014944i,-0.00026344+0.00057116i,0.0001957+0.00090794i,0.00051242+0.00089739i,0.00062279+0.00085677i,0.00091804+0.00059625i,0.00036111+0.00049147i,0.00016595+0.00082878i,3.5073e-05+0.00024878i,-0.00063499-0.00018552i,-0.00017776+0.00010222i,-0.00060133-0.00042238i,-0.00066616-0.00083769i
0.0033655+0.00063276i,0.0029185-0.0003315i,0.0027763-0.00070232i,0.00099603-0.0016297i,-4.0975e-05-0.0020218i,0.00025978-0.00091654i,0.00026501-0.00058369i,3.1241e-05-0.00051632i,0.00031984-8.3108e-05i,0.00098357-0.00051682i,0.00082571-0.00065335i,6.6301e-06-0.00014634i,-0.00095606+0.0004943i,-0.0018227+0.00046151i,-0.0017042-0.00014867i,-0.00096642-0.00015577i,9.5312e-06-0.00025592i,0.00080034-0.00072673i,0.00060902+0.00041924i,6.5278e-05+0.0013215i,0.00056347+0.00053856i,0.0008537-0.00049525i,0.00057149-0.0010336i
0.00021762-0.00063617i,0.00097817-0.0019932i,0.00085545-0.00082525i,9.0982e-06-0.0009948i,-0.00030428-0.0017697i,-0.00025979-0.00087158i,-0.00057837-0.00067232i,-0.00043746-0.0006585i,0.00010777+0.00048304i,-0.00030267+0.00034139i,-0.0007047-0.00036946i,-0.00075461-0.00030935i,-0.0013927-0.00060119i,-0.001746-0.00067358i,-0.0016328+0.00024933i,-0.00054006+0.00023689i,0.0006184-0.00024574i,0.00087353+6.8029e-05i,0.000817+0.00023965i,0.00062646+0.00069779i,0.0011739+0.00072794i,0.00091931+0.00025285i,-0.00047524-0.00017198i
0.0013748-0.0021745i,0.00053232-0.0028855i,-0.00069838-0.0027384i,-0.00011837-0.0017859i,0.0004068-0.0012772i,0.00084492-0.00033931i,0.0011765-0.00018171i,0.00082834-0.00071395i,0.00011478-0.0002578i,-0.00017092-0.00025459i,0.00019179-0.00079028i,0.00060012-0.00065804i,0.0013161-6.5635e-05i,0.00136-0.00011585i,0.0012945+7.2544e-05i,0.0005218+0.00019279i,0.00023634-0.00043867i,0.00084629-0.00056371i,0.0009489-0.00020626i,0.00097944-9.5639e-05i,0.00051251-0.00069778i,1.8538e-05-0.0012315i,-0.00023954-0.00086805i
0.00044343+0.0012136i,-0.00062104+0.00086608i,8.9623e-05-0.00038264i,0.00034874-0.00060038i,-0.0005021-0.00040967i,-0.0010869-0.000344i,-0.00034526-0.00026183i,0.00027735-0.00039195i,-0.00012887-0.00048622i,-0.00048078-0.00085248i,-0.00089531+0.00019742i,-0.0017119+0.0011236i,-0.0010688+0.00072483i,-0.00026953+1.3241e-06i,-0.0003348-0.00032032i,-0.00047192-0.00097713i,-0.00047443-0.00094091i,-0.00031709+1.9788e-05i,0.00014821+0.00053559i,0.00017476+0.00032699i,0.00021292-7.5132e-05i,0.00068659+0.00029759i,0.00057139+0.0005264i
-0.0037577-0.00026017i,-0.0029019-0.00055076i,-0.00089137+0.0010888i,0.00023784+0.0011869i,0.00099783-0.00062165i,0.0013087-0.0012999i,0.00048113-0.00095908i,-0.00020167+7.171e-05i,0.00035707+0.00066183i,0.00013822+0.00022341i,4.535e-05-0.00012712i,3.695e-05+0.00014447i,8.5817e-06+0.00028557i,0.00050631+0.00020244i,0.00040052-0.00060323i,0.0010964-0.0016491i,0.0011548-0.0014805i,0.00019502-0.00074395i,-2.7786e-05+0.00030163i,4.3393e-05+0.00078311i,0.00010063+0.00046978i,-0.00074618-1.2032e-05i,-0.0011171-0.0004965i
0.00091329-0.002004i,0.0010722-0.0024637i,8.8798e-06-0.0020268i,-0.00054425-0.00097944i,-2.234e-05-0.00096432i,0.00024724-0.0014753i,0.00097061-0.0013555i,0.0011608-0.00048734i,0.00045394+0.00029598i,0.00045573+0.00040977i,0.00011876-7.4829e-05i,-7.1605e-05-0.00029273i,0.00053094+0.0001702i,5.1764e-05+0.00014107i,-0.00017584-0.0002358i,0.00042244-0.00069104i,0.00073025+0.00017754i,0.00072719+0.00061191i,0.00060833+0.00015521i,0.00070446+0.00028363i,0.00058255+0.00030992i,0.00040902+0.0002991i,-0.00021729+0.00043476i
-0.00052316+0.0011647i,-0.0008392+0.00073361i,-0.00042753+0.00056699i,0.00087909+0.00029746i,0.0014915+1.9228e-05i,0.0012253-0.00011849i,0.00059142-0.00074768i,0.00026226-0.00050516i,-0.00030648+0.00011895i,-0.00027244+0.00011585i,-0.00031581-0.00061122i,-0.00045852-0.0010206i,-0.00031878-0.00076781i,1.0285e-05-0.00026875i,0.00069023-0.00015983i,0.00062133-0.00028451i,0.00034726-9.8928e-05i,0.0004667-0.00013927i,0.0004909+0.00011255i,0.00098183+3.0167e-05i,0.0011954-0.00053456i,0.00034274-0.00074595i,0.00017975+9.6144e-05i
