-0.00095345+0.00049641i,-0.0012015-3.9466e-06i,-0.00098748+0.00030663i,-0.0012742+0.00043283i,-0.001186-0.00021576i,-2.3044e-05+0.00024428i,0.0013405+0.0013932i,0.0014318+0.0015117i,0.00095477+0.0014048i,0.0015464+0.0006823i,0.0019196-0.00089927i,0.0016269-0.0010764i,0.00067475-0.00013222i,-8.8056e-05-0.00018505i,-0.00025095+0.00011468i,0.00046545+0.00032248i,0.0009832-0.00016643i,0.00082811-4.6435e-05i,0.00012336+9.9504e-05i,0.00024268-0.00023106i,0.00076399-0.00074367i,0.00089094-0.00077614i,0.0010874-0.00051634i
0.0012399+0.0014658i,0.0015534+0.001472i,0.0011947+0.00028714i,0.00070938-0.00021055i,-0.00013659-0.00033502i,-0.00026222+0.00016735i,0.00054442+0.00044834i,0.0011654-0.0004885i,0.0012556-0.0013676i,0.00049591-0.0016112i,-0.00038508-0.0013143i,-0.0006618-0.00074404i,-0.00043527+0.00047583i,2.7339e-05+0.00044157i,-8.9612e-05-0.00019871i,-0.00070472-0.00026739i,-0.00099258-0.00054351i,-0.00061018+0.00037738i,-0.00017886+0.0006888i,0.00024114-6.5868e-07i,0.00053081+0.00012891i,0.00034492+0.00029887i,0.00026668+0.00040472i
-0.001346+0.0011853i,-0.00088022+0.002634i,0.00039835+0.0019855i,0.00097334+0.00036507i,0.0016077-0.00018029i,0.0019559-0.00020895i,0.0013582-0.00015815i,0.00056019+1.5255e-05i,0.00019674+0.00030127i,0.00048118+0.00059984i,0.0001465+0.00064574i,-0.00018757+0.00029862i,0.00032948+0.00014251i,0.00069741+0.00056235i,0.0010957+0.00063007i,0.00044802+0.00034996i,-0.00038218+0.00067612i,-0.00055297+0.00073972i,-0.00062527+0.00033117i,0.00030652-0.0004586i,0.00058024-0.00077318i,-3.9914e-05+2.0325e-05i,-0.00037181-6.4915e-05i
0.00023568+0.0001983i,-0.00083768+0.00030285i,-0.00037035+0.00029865i,0.0010486+0.0010054i,0.00082719+0.00023797i,-2.8701e-06-0.0010002i,0.0011053-0.00096861i,0.0020097-0.00060398i,0.0020655-0.00035441i,0.0019695-7.1587e-05i,0.0020782-0.00023262i,0.0009555+9.9971e-05i,-0.00010818+1.2057e-05i,4.983e-05-0.00021607i,-6.4289e-05+0.00048744i,-0.00018169+0.00085493i,-9.9552e-05+0.00069181i,0.00023622+0.00053223i,0.00049641-0.00010131i,0.00066848-0.00064625i,0.00096871-0.0004361i,0.00077492+3.7168e-05i,0.00077233-0.00019151i
0.0013049+0.00038667i,0.00040334-0.00010548i,-0.00076223-8.5502e-05i,-0.00021145+0.00079053i,0.00043263+0.0018563i,0.0012609+0.0011059i,0.0025222+4.8662e-05i,0.0018507-0.00024006i,-0.0003686-0.00040853i,-0.0010073-0.00081732i,-0.00021538-0.00023735i,0.00012408+0.00095216i,-0.00072157+0.00065225i,-0.00082756-0.00035126i,-0.00042714-0.00080927i,-9.5428e-06-0.00049629i,0.00039485-0.00027459i,0.00029777-7.1359e-05i,2.5022e-05+0.00011162i,-1.9203e-05+0.00032893i,0.0004655+0.0002137i,0.00039233-0.0003596i,-8.6655e-05+8.9498e-05i
-0.00080184+0.0025852i,-0.0013816+0.002891i,-0.00052431+0.0021814i,0.00065238+0.00078608i,0.00044653-0.00014078i,-5.9943e-05-0.00062757i,-4.304e-05+0.00012527i,-0.00051549+0.0008077i,-0.00035134-5.2801e-05i,0.0006577-0.00085366i,0.00072332-0.0010044i,0.00025103-0.00035061i,-0.00031145+0.00028183i,-0.00068876+0.00049887i,-0.00045768-9.8181e-05i,5.3641e-06-0.00057333i,-0.00025123-0.00039716i,-0.00056671+6.6221e-07i,-0.000517+7.6218e-05i,0.0003511-0.00014892i,0.0001817-0.00010243i,-0.00050932-0.00019869i,-0.00055668-0.00070028i
-0.001598-0.0013979i,-0.0022603-0.0018342i,-0.0028443-0.00028194i,-0.001848+0.0005658i,9.0296e-05+0.0010507i,0.0013944+0.0010506i,0.0014332-0.00025181i,0.0011883-0.0014787i,0.0012213-0.0012006i,0.0011629-0.0001428i,0.0015038-0.00061836i,0.0015583-0.00072947i,0.00090198+0.00030762i,0.00039277+0.0012064i,0.00047416+0.0010459i,0.00060784+0.00038062i,0.00034912+0.00023618i,-0.00041167-0.00046681i,-0.00046261-0.0011506i,-0.00023931-0.001032i,-0.00011447-0.00068641i,9.1495e-05-0.00014412i,-0.00048638+0.0005826i
0.0006985+0.0013244i,0.00037461+0.0011464i,-0.0003252+0.0010108i,-0.00066252+0.00069743i,-0.0004928+0.00048713i,0.00077914+0.00072745i,0.0017066+0.00041578i,0.0013798-7.0812e-05i,0.00057431+0.00090133i,0.0006438+0.0013787i,0.00057081+2.7533e-05i,4.6532e-05-0.00093215i,-0.0001047-0.00052503i,-0.00071684+2.6077e-05i,-0.0013602-2.0846e-05i,-0.00104-0.00078589i,-0.00023259-0.0012801i,-0.00033427-0.00075915i,-0.00012146-0.00043261i,0.00057398+0.00016285i,0.00039681+0.00074539i,0.00012858+0.00050085i,0.00015392+0.00061822i
-0.0018214-0.0020226i,-0.0013634-0.0014079i,-0.0020749-0.0001412i,-0.0021272+2.714e-05i,5.201e-05-0.00038736i,0.0023947-0.00032363i,0.0026806-0.00070522i,0.0015613-0.0011552i,0.00080233-0.0010639i,0.00066946-0.00028527i,0.00049338+0.00033526i,0.00096481-2.4002e-05i,0.0010956-0.00036084i,0.00056361+2.849e-05i,-0.00015709+0.00050007i,-5.7053e-05+0.0005259i,-4.829e-05+0.00049209i,-0.00060388+0.00027405i,-0.00061739-0.0003154i,-0.00013187-0.0010084i,0.00037099-0.00094236i,0.00041945-0.00091148i,0.00086209-0.00073528i
0.00087186-0.0011215i,0.00036405-0.00066096i,0.00018715+0.0010455i,7.0569e-05+0.00075507i,0.00043735+0.00019924i,0.0015334+0.0011438i,0.0027814+0.001199i,0.0022742+0.000365i,0.00094114-0.00044107i,0.0006962-0.00041275i,0.00039614-0.00010096i,-0.00025312-0.00034479i,-0.00030879-0.00037596i,-9.1107e-05-6.2899e-05i,-0.00018612+0.0001221i,0.00025387+4.5453e-05i,0.00070104+0.00045354i,0.00035074+0.00031397i,0.00056896+0.00015857i,0.0010464+0.00027456i,0.00056207+2.4907e-06i,-0.00034083+0.00011908i,-0.00033852+0.00047647i
-0.0017283-0.00067022i,-0.0011754+0.00017036i,-0.0010503+0.0011114i,-0.00093493+0.0019554i,3.6869e-05+0.001649i,0.0011265+0.00064935i,0.0011999-5.1225e-05i,0.0014576-0.00011309i,0.0011008+0.00046427i,9.953e-05+0.00013074i,-0.00048873-0.00075986i,-0.00078802-0.00059171i,-0.00060069+0.00039557i,-0.00024316+0.00015594i,-2.2134e-05+0.00049306i,-0.00041469+0.00074839i,-0.0001753+8.065e-05i,2.9051e-05-7.4798e-05i,-0.00023807-0.0002299i,-0.00014914-0.00055417i,0.00018763-0.00043157i,0.00075572+0.00032271i,0.0011308+0.00071325i
