-0.0003994-6.515e-06i,-0.00013543-0.00012666i,-0.00071528-0.00049075i,-0.00099183-0.0010047i,-0.00083352-0.00026527i,-0.0011572+0.00051674i,-0.00045395+0.00077773i,0.0012611+0.00094595i,0.001926+9.0954e-06i,0.0016423-0.00020494i,0.00087408-6.6487e-05i,-0.00022011-0.00058343i,-0.00057354-0.00068768i,-9.2935e-05-0.00027999i,0.00018557+0.00044315i,-0.0002003+0.0014696i,-0.00044355+0.0012018i,-6.8442e-05+0.00046816i,0.00028536-0.000187i,0.00028633-0.00042332i,-0.00013353-0.0005105i,-0.00041606-0.0005455i,-0.00072995-0.00059389i
5.5124e-05+0.00065586i,0.00054922-0.0002226i,0.00045886-0.00044926i,0.00042996-0.00081407i,0.00085092-0.0011881i,0.00086836-0.00067786i,0.00052002-0.00046697i,0.00032272-0.00049553i,0.00071425-0.00064105i,0.00073022-0.0004182i,0.00051113-0.0001014i,0.00040862+0.00022582i,-7.7227e-05+0.00069394i,-0.00098868+0.00086861i,-0.0011752+0.00051605i,-0.00046939-7.4405e-06i,6.3844e-05-0.00029833i,0.00017262-0.0002682i,0.00014274-0.00045971i,0.00022591-0.00074913i,0.0001071-0.00054553i,-0.00022338+5.4435e-05i,-0.00046036-0.00010004i
0.00082084-0.0016631i,0.0007078-0.0024961i,0.00074313-0.001835i,0.000762-0.00094044i,0.00080313-0.00051428i,0.00044366+6.5083e-05i,0.00073783-0.0001908i,0.0019215-0.0010675i,0.0016711-0.00090134i,0.00030415-0.00053367i,0.00030218-0.00049741i,0.00085689-0.00056457i,0.00075679-0.00018245i,0.00081627+0.00023783i,0.00071546-0.00033289i,0.00048691-0.00054097i,0.00071991-0.00023364i,0.00059948+0.00019428i,0.0001868+0.0003263i,0.00058155+0.00018345i,0.00067095-4.946e-05i,0.00041137-6.8181e-07i,0.00037191+0.00029323i
0.0010454+9.8171e-05i,0.0012347+0.00024473i,0.0015415+0.00038699i,0.0011062+0.00024943i,0.0002042-0.00089915i,-0.00013197-0.00204i,0.00021493-0.0020245i,0.0010903-0.0010292i,0.0010872-0.00024309i,0.00090918-0.00011026i,0.00049792-0.0002826i,-0.00017002-0.00040947i,-0.00054889-0.00022967i,-0.00035891+0.00049134i,-0.00040435+0.00060748i,-0.00052945-0.00047866i,-0.0003719-0.0011082i,-0.00010442-0.00061757i,0.00025804+0.00015656i,0.00024047+0.00060771i,-3.4861e-05+0.00018673i,-0.00020161-0.00087821i,-0.00062059-0.0010925i
0.00017496-0.00043121i,8.692e-05+0.00053223i,0.0011693+0.00092088i,0.001915+4.2915e-06i,0.00077493-0.0014419i,-0.00031082-0.0016212i,-0.00031342-0.00088134i,0.00056957-5.7472e-05i,0.00020103+0.00027072i,-0.00034914+0.00010899i,0.00053049-0.00030122i,0.0014795-0.00051774i,0.00012117+5.0856e-05i,-0.0013123+0.00035603i,-0.0008844+5.5311e-05i,-0.00074037+0.00020644i,-0.00066112+0.00014678i,-0.00028096-0.00071174i,0.00069261-0.00096382i,0.0016098-0.00040479i,0.00096993-0.00019185i,0.00049007+9.6986e-05i,0.000778+0.00029522i
0.0013412-0.0002984i,0.0018221-0.0015773i,0.002207-0.0022553i,0.0013617-0.0019227i,0.00024563-0.00093332i,-0.00042403-0.00050897i,0.0003684-0.00079501i,0.00080682-0.0010995i,0.0009642-0.00041138i,0.0010434+0.00029727i,7.198e-05-0.00039776i,-0.00065583-0.00071046i,0.00017499-0.0004019i,0.0004135+0.00021526i,-0.00010675+0.00061494i,-0.0006584-0.00010552i,-0.00094497-0.00081592i,-0.00071943-0.00083878i,0.00019907-0.00088221i,0.00073873-0.00013063i,9.4694e-05+0.0002681i,-0.00028858+0.00027968i,-2.5441e-05+0.00044099i
-0.00031342-0.00065678i,0.0012151-0.00038852i,0.0020561-0.00046818i,0.0016016-0.0008122i,0.0003004-0.0015535i,-0.00020252-0.0020328i,-5.3697e-05-0.0012331i,0.00044378-0.00045759i,0.0007598-0.00053845i,0.00085472-0.00010754i,0.0013535-4.44e-05i,0.0018914-0.00083474i,0.001659-0.00050243i,0.00076771-4.9417e-05i,0.00056506+8.9867e-05i,0.00021786+3.3278e-05i,-0.00029435-0.00051611i,-2.5815e-05-0.0002654i,0.00051324-0.00026966i,0.00057388-0.00012672i,0.00057538+0.00037119i,0.00044337+0.00029925i,-0.00059292+0.00015279i
0.0023303-0.00095533i,0.002516-0.0019906i,0.0020254-0.0018708i,0.00070333-0.0018077i,-0.00061037-0.0018531i,-0.00085892-0.0018825i,0.00010875-0.0010293i,0.00093957-0.00075344i,0.00055794-0.00067971i,0.00060622-0.00023557i,0.00074979-3.9571e-05i,0.00024918+0.00031831i,-0.00027266+0.0005961i,-0.00050035+0.00030508i,-0.00013151+0.00016713i,-0.00023316+0.00037734i,6.967e-05+4.228e-05i,0.00032609-0.00029435i,0.00067748-0.00076254i,0.00084581-0.00029091i,0.00054933-0.00024854i,0.00053894-0.00043945i,-0.00037671-0.00021485i
-1.459e-05-6.0077e-06i,0.00010819-0.00035665i,8.708e-05+0.00018291i,4.9411e-05-0.00015911i,0.00062929-0.001043i,0.00085076-0.00082944i,0.00039187-0.00050518i,0.00032829-0.00012962i,0.00027061-0.00038493i,0.00041555-0.00040957i,0.00040943+0.00060656i,-0.00024426+0.00088904i,-0.00033914+0.00090684i,0.00063759+0.0013119i,0.0010449+0.00081923i,0.00092655+0.00036264i,0.00049547+0.00032127i,-6.521e-05-0.00017025i,-6.1578e-05-0.0004705i,0.00080231-0.00078346i,0.00091496-0.0006107i,-6.0843e-08+2.7641e-05i,-0.00020709+0.0004235i
0.00024341-0.0012872i,-0.00023874-0.00072149i,-0.001123-0.00028806i,-4.5264e-05+0.00050775i,0.0007808+0.00092578i,0.00037752+0.00046689i,0.00083338+0.00026201i,0.0011623+0.00013766i,0.00062878+0.00060131i,0.00027315+0.00085716i,0.00065934+0.0010181i,0.00048854+0.00092618i,0.00012126+0.0012209i,0.00017536+0.00060994i,9.478e-05-0.00025389i,0.00053269+0.00034999i,0.0006045+0.00018412i,-0.00012036-7.838e-05i,-0.0001258-0.00038727i,0.00043532-0.00053306i,0.00068701-0.00052722i,0.00068803-0.00061695i,4.477e-05-0.00037432i
0.00051861-0.0012005i,0.00021861-0.0011233i,-0.00053541-0.0003979i,-0.000388+0.00022489i,-0.00019461-0.00026177i,-0.00057091-0.00074052i,-0.00021213-0.00126i,2.2971e-05-0.0011796i,0.0001595-0.0010714i,0.00025826-0.0010402i,0.00053896-0.00058621i,0.00082872+0.00036651i,0.0012465+0.00083635i,0.00071594+4.2845e-05i,-3.5418e-05-0.0011553i,-0.00059662-0.00099547i,-0.0005474-5.6805e-05i,-7.9509e-05+0.00017587i,0.00010256+0.00031522i,-0.00053758+0.00010608i,-0.00057021-3.9878e-05i,8.0868e-05+0.00061982i,0.00025415+0.0001947i
-0.0007247+0.00030728i,-0.00045265+0.0012609i,0.00013499+0.002202i,0.0010094+0.0020461i,0.0016762-0.00015084i,0.000833-0.0024322i,7.7187e-05-0.0025785i,0.0004212-0.0011939i,0.00050933+0.00011319i,0.00044643+0.00032588i,0.00058946-0.00032798i,0.00022649-0.00039558i,1.9566e-05-5.3951e-06i,4.6628e-05+0.00035332i,-0.00067927-0.0001064i,-0.00042748-0.0011275i,8.6822e-05-0.00063666i,2.7924e-06+0.00038037i,5.504e-05+0.00018077i,0.00057372-0.00033457i,0.0010544-0.00030982i,0.00068234+3.8698e-05i,5.8482e-05+0.00017189i
-0.00018292+0.00032224i,0.00019624-0.00023674i,0.00028249-0.00041014i,0.00077571+0.00026992i,0.00098117-0.00013806i,0.00074022-0.0015486i,0.00038196-0.0013218i,0.00073963-0.00042805i,0.0011092+0.00019694i,0.00029951+0.00011135i,0.00030633-6.3093e-05i,0.00021762+0.00030748i,-0.0006655+0.00060619i,3.5257e-05+0.0003976i,0.00087626+0.00037491i,0.00054949+0.00014717i,-0.00039601-6.411e-05i,-0.0005154+0.00046453i,0.00041827+0.0008259i,0.00043866+0.00052619i,0.0002836-0.00019658i,5.5144e-05-0.00065758i,-0.00053282-0.00070528i
