-0.0029124-0.00050518i,-0.0020805-0.0023784i,-0.0021753-0.0030663i,-0.0024979-0.0022025i,-0.0020361-0.00062273i,-0.0019314+0.00063261i,-0.0014769+0.0012424i,0.00056485+0.0010003i,0.0015829+0.00045976i,0.00028204-0.00019834i,-0.00045282-0.00085566i,-0.00010234-0.00088238i,-0.00068092-0.00028967i,-0.0013388+0.00079537i,-9.767e-05+0.0016558i,0.00088207+0.00092059i,0.00011147-8.9997e-05i,-0.00038053-0.00038544i,0.00043665-0.00068448i,0.0009211-0.00094764i,0.00060704-0.00050529i,-0.00027056-0.0002833i,0.00010952-0.0002357i
-3.2093e-05+0.00014079i,0.00013829+0.0010469i,0.00066441+0.00080948i,0.00072949-0.00018985i,5.314e-05+0.00015071i,-0.00095989+0.00063784i,-0.0010129+0.00029758i,0.00020208+0.00040651i,0.00090189+0.00080322i,0.00042736+6.9187e-05i,0.00037293-0.00080605i,0.00072991-0.00099721i,0.0003412-0.00037649i,-0.00041148+0.00031759i,-0.0005801+0.00048649i,-7.3663e-05-6.5882e-05i,0.00050469-0.00059547i,0.00043678+0.00032444i,0.00081198+0.00068655i,0.00057476+0.00012306i,-7.9335e-05+0.00033828i,0.00044326+0.00049558i,0.00038225+0.00037731i
0.0012107+0.00080935i,0.00091652+0.00086997i,0.001334+0.0015222i,0.0016472+0.00072159i,0.00079815+0.00014991i,0.00016427+0.00081321i,-9.9076e-05+0.001387i,-3.6514e-05+0.0011949i,3.308e-05+9.97e-05i,0.00047687-0.0010049i,0.0010284-0.0012734i,0.0009041-0.00037256i,0.0011389-0.00041887i,0.0010924-0.0007849i,0.00055282-0.00042755i,0.00015785-0.00031623i,3.0605e-06-0.00024506i,-0.00033699+0.00032884i,-0.0002824-9.7507e-05i,0.00025877-0.00080467i,7.2532e-05-0.00047151i,-0.00016439-0.00011969i,6.4742e-05+0.00015289i
-0.0010511-0.0021161i,-0.0018646-0.0017248i,-0.0027188-0.0014809i,-0.0020985-0.00056108i,-0.0014833+0.0003419i,-0.0009332+0.00028037i,0.00028862-0.00029953i,0.0005312-0.00044785i,0.00019041-0.00018353i,0.00035475-0.00037422i,0.00071923-0.0004243i,0.00051047-0.00067235i,0.00018369-0.0012661i,0.00041925-0.00068976i,0.00069244+4.1521e-05i,0.0011911+0.00015277i,0.00084222+2.3685e-05i,0.00086316+0.00013871i,0.00050554-4.1362e-05i,-9.7165e-05-0.00015832i,0.00035109-0.00018643i,0.00039826-0.00068569i,-8.4071e-05-0.00020209i
0.00032699-0.0021951i,0.0002403-0.0023508i,0.0004392-0.002388i,-0.00017333-0.001859i,-0.0010288-0.0011318i,3.9779e-05+0.00023579i,0.0010504+0.0011186i,0.00081672+0.00067942i,0.00095369-0.00034208i,0.00063877-0.000329i,5.0032e-05-5.9346e-05i,-0.00023199-3.3787e-05i,-0.001004-0.00011114i,-0.0014716-0.00026677i,-0.00064159-0.00050138i,0.0003475-4.6046e-05i,0.00050299+0.00065423i,0.00074054+0.00049119i,0.00064119-0.00019065i,0.00062605-0.00055254i,0.00098442-0.0010569i,0.0010572-0.0002562i,0.00043147+0.00046471i
-0.0014553-0.001325i,-0.0014353-0.0011135i,-0.0008968-0.001946i,-0.00043868-0.0014219i,-6.9329e-05-0.00040311i,-6.6762e-05-0.00047914i,7.5568e-06+0.0001258i,0.00040326+0.0008928i,1.8098e-05+0.00058729i,0.00011226+2.2673e-05i,-7.0241e-05-6.5134e-06i,-0.0012205-0.00014132i,-0.0018147-0.00020206i,-0.00084323+0.00037933i,0.00014266+0.00041685i,0.00023092+0.0002855i,0.00024976-5.2266e-06i,0.00037695-0.00029573i,1.5563e-05-0.00034258i,-2.3099e-05-0.00038136i,-1.151e-05-8.6094e-05i,-8.0786e-05-0.00025061i,0.00016166-0.00043971i
0.0005907+0.00084296i,0.00030377+0.00092409i,0.00090519+0.0007413i,0.0021212+0.00011986i,0.0026437-2.1046e-05i,0.0018116+0.00065141i,0.0009429+0.00090947i,0.0011629+0.00086603i,0.0013667+0.00069678i,0.0012987-0.00013525i,0.00060585-0.00071123i,-0.00015362-0.00080705i,0.00023755-0.00058291i,0.00070264-0.00031681i,0.0004288-0.00029378i,5.7005e-05-0.00051176i,8.7921e-06-8.5728e-05i,0.00043971+0.00015313i,0.00092414-0.00048877i,0.0008189-7.0183e-05i,0.00052665+0.00048622i,0.00040632-0.0004109i,-7.6728e-05-0.00069635i
-0.00015949-0.00099905i,0.00020044-0.00012915i,2.007e-06-0.00017613i,-0.00028027-0.00021394i,-0.00044164-0.00072804i,-0.00034141-0.0019189i,-0.00012056-0.0012918i,5.9157e-05-0.00065584i,0.00046964-0.00061109i,0.00040489-0.00060336i,7.0086e-05-0.00029823i,0.00031654-3.1331e-05i,0.00067242-0.00023953i,0.0001527+0.00019994i,0.00016272+0.00050263i,0.00048709+0.000192i,0.000948-0.00036992i,0.0010207-0.00061838i,0.00088176+0.00031071i,0.00098056+0.00059748i,0.00097353+0.00012053i,0.00015688-0.00013427i,3.1114e-05-0.00051843i
-0.0002054-0.0010317i,-9.9422e-06-0.00088368i,-9.3104e-05-0.00070075i,-0.00069882-0.00072774i,-0.0013359+0.00013782i,-0.0013491+0.0012935i,-0.0011242+0.00094644i,-0.0011732+0.00023403i,-0.00041546+0.00021427i,0.00040067-0.00013578i,0.00073986-2.6051e-05i,0.0003753+0.00012976i,-0.00010154+0.00015789i,-0.00017126+0.00012108i,-0.00031758-0.00033061i,-0.00059973-0.00042518i,-0.00041965-0.00017561i,0.00015973-0.00017321i,0.00040444-0.00050184i,0.00067853-0.001315i,0.00069055-0.0010046i,-0.00021673-0.00032665i,-0.00057707-0.00025502i
0.00046656-0.00058759i,-0.00065786-0.0012294i,-0.00057292-0.0013347i,-0.00084741-0.0015963i,-0.001534-0.0020942i,-0.0012748-0.0014749i,-0.00012673-4.1957e-06i,0.00092089+0.00023962i,0.00091074-0.00029139i,0.00082028-0.00022127i,0.00050642-0.00042047i,5.9786e-05-0.00036633i,-0.00025282-0.00035007i,-0.0004839-9.8559e-05i,-0.00051412+0.00056747i,-0.00066753+0.000354i,-0.00020361+0.0002093i,0.00040372-0.00010943i,0.00043251-0.00033941i,-8.5322e-05+9.4105e-05i,-0.00019231-6.0739e-05i,-6.3738e-05-0.00077722i,0.00016592-0.00074932i
-0.00037417-0.00045442i,-0.00022908+0.00046022i,0.00070026+0.0016812i,0.0020597+0.00090028i,0.002313+0.00039108i,0.0017084+0.00099463i,0.0016181+0.0010807i,0.00092461+0.0013134i,0.00052908+0.0005606i,0.00062695-0.00055728i,0.00065486-0.00069655i,0.00049575-0.0010561i,0.00018574-0.0011968i,0.00050616-0.00059779i,0.00098797-4.7635e-05i,0.0016063-0.00018177i,0.0016016-0.00027956i,0.00060578+0.00035871i,4.2663e-05+0.00082782i,0.00019403-0.00016088i,5.3848e-05-0.00082341i,-0.00020017-0.00027665i,0.00027726-0.00034209i
