0.00060143+0.0019132i,0.0029859+0.00069508i,0.0016524-0.0016075i,-0.00057076-0.002757i,-0.0022844-0.0010039i,-0.0028324+0.00073681i,-0.0018113+0.0011043i,-0.0003458+0.001327i,0.00068293+0.0012406i,0.00032758+4.0585e-05i,-0.00067522-0.00078202i,-0.0014549-0.00014154i,-0.0010135+2.4297e-05i,-0.00051455+0.00050138i,-0.00096733+0.00069333i,-0.00039299-0.0002893i,0.00025324-0.00070327i,0.00012038-0.00012492i,0.00030258+0.00078064i,0.00011018+0.00058768i,-0.0001449+8.3162e-05i,-0.00061963+0.00016984i,-0.0011286-7.0902e-05i
-0.0020569-5.9632e-05i,-0.00080404-0.00040997i,-0.00086597+0.00038599i,-0.0006918+0.0024497i,0.00038019+0.0039918i,0.00038972+0.0026531i,-0.00010556+0.0012338i,0.0001865+0.00049253i,0.00056672+0.00038058i,0.00079076+0.00098838i,9.0614e-05+0.0010694i,-0.00033431+0.00028573i,-7.937e-05-0.0004625i,0.00026878-0.00044185i,0.00073089+3.9509e-05i,0.00023538-5.0413e-05i,-0.00031413+1.2568e-05i,-0.00034474+8.6188e-05i,-0.00038537+0.00064915i,-0.00069512+0.0011643i,-0.00046393+0.00011954i,1.1111e-05+9.3078e-05i,8.8768e-05+0.0010087i
0.00039527-0.00047391i,0.0015746+0.00013413i,0.00067975+0.00026983i,0.00090449+0.0003584i,0.0013319+0.0011752i,0.00045042+0.0019154i,-0.0003101+0.0015666i,-0.00037107+0.00031427i,-7.1244e-05-0.00043587i,0.00053622-0.00018971i,0.00039889+0.00038089i,0.00039165+0.0002593i,0.00051787-0.00021152i,-0.00030645+0.0003141i,-0.00041709+0.0010057i,0.00021854+0.00088206i,0.00027829+0.00081192i,0.00029671+0.00090247i,-9.4395e-05+0.0011259i,-0.00046378+0.0004287i,0.00010919+6.7037e-05i,0.00044483+0.00027312i,0.00012685-7.8473e-05i
0.00056562-0.00019214i,7.0579e-05+0.00036662i,-0.00049822-0.00078226i,-0.0005861-0.00051488i,-0.001667+7.0156e-05i,-0.0016617+0.00026909i,-0.00092374+0.00025635i,0.00010131+6.9406e-05i,0.00079855-5.216e-05i,0.00042231-3.3984e-05i,-0.0003835+0.00021123i,-0.00071681+0.00081611i,-0.00028244+0.0013686i,0.000235+0.0010232i,0.00055423+0.00072542i,0.00018569+0.00083009i,-0.00055895+0.00052698i,1.0858e-06+0.00031279i,0.00055595+0.00035762i,-5.4476e-05-5.4155e-05i,-8.6911e-05-0.00035252i,-7.262e-05-0.00044579i,-0.00018874-0.00061487i
3.1404e-05+0.00075544i,0.00031237+0.00067334i,0.0011389+0.00063705i,0.0013086+0.0021119i,0.00091329+0.0028239i,0.00063932+0.0016331i,-6.4544e-05-0.00013607i,7.4418e-06-0.00045344i,0.00044382+0.00037474i,0.00042453+0.00067119i,0.00067494+1.0241e-06i,0.00038093-0.00035349i,-0.0005437-0.00040187i,-0.00069504-0.00020924i,-0.00090332+0.00025393i,-0.00053035+0.00034355i,-0.00026624+0.00064294i,-0.00061175+0.0011039i,1.2911e-05+0.0015114i,0.00094469+0.001445i,0.00089135+0.00090849i,0.00016329+0.00050959i,-9.0394e-05-0.00054731i
-0.0017829-0.0021811i,-0.0010244-0.0030357i,-0.00011405-0.0016726i,-0.00054759+0.00053492i,-0.00077039+0.0016394i,0.00016741+0.00053066i,0.0005396-0.00033889i,-4.1997e-06-0.00020419i,-2.0598e-05+1.0883e-05i,0.00060031+0.00038209i,0.0006416+7.6521e-05i,0.00060849-0.00019574i,0.00043416-0.00018947i,-2.6198e-05-0.00050371i,-0.0001806-0.00030951i,0.00014975+0.00030008i,0.00033688+0.00020426i,0.00011472+6.3193e-05i,-0.00024325+0.00069653i,-5.1486e-05+0.001261i,-0.00022504+0.00078074i,-0.00046379+0.00015011i,-0.00029337-2.353e-05i
0.0017122-0.00035649i,0.0014552+0.00014973i,0.00038555-0.0013645i,-0.0013033-0.0017353i,-0.0015813-0.00011839i,-0.00046169+0.00088234i,-0.00010084+0.0012305i,-0.00023709+0.0010106i,-0.00027909+0.00078971i,-0.00030463+0.00063194i,-3.693e-05+0.0005148i,0.00015952+0.0012305i,0.00019759+0.0012529i,0.00024104+0.00025448i,-0.00022316-5.9521e-05i,-0.00010555+0.00051184i,0.00030751+0.0006705i,0.00023317+0.00052837i,0.00037731+0.0001695i,0.00036759-0.00048144i,-0.00039467-0.00066827i,-0.00095962-0.00065939i,-0.00046339-0.00065397i
-0.00080915-0.0014411i,-0.0022377-0.00039169i,-0.0027149-0.00078026i,-0.0014934-0.00062017i,-0.00071471+0.000852i,-0.00038007+0.0013946i,-0.00071429+0.0011453i,-0.0013139+0.00079762i,-0.0010814+9.4773e-05i,-0.0010564-0.0002079i,-0.00043576-0.00079882i,0.0004235-0.00068264i,-2.3764e-05+0.00041332i,-0.0003407+0.00086468i,2.6822e-05+0.00023386i,0.0005525+4.8119e-05i,-8.3198e-06+0.00090044i,0.00010072+0.0010914i,0.0002919+0.0010284i,-0.00020595+0.00042253i,-0.00013579-0.00073784i,-0.00024473-0.00066473i,-0.00078421-0.00032862i
0.0020495-0.001293i,0.0035244-0.0028263i,0.0037629-0.0036258i,0.0029754-0.0022917i,0.0016975-0.00067783i,0.00093347+0.00019181i,0.00017383+0.00037219i,-0.00029036+0.0010805i,0.00035194+0.0015666i,0.00096707+0.00035479i,0.00026667-0.00035954i,0.00020009+0.00021151i,0.00063029+0.00066249i,-0.00014135+0.00067956i,-0.00021987-8.1614e-05i,0.00026389-9.5843e-05i,0.00028526+0.00049912i,-8.7347e-05+0.0010037i,-0.00040937+0.0015428i,0.00032679+0.0015281i,0.00095158+0.00030984i,0.0012349-0.0010177i,0.00069731-0.0010719i
0.0029371+0.0015192i,0.0030296+0.00088957i,0.0031636+0.00052992i,0.0018186-0.00051141i,0.00063938-0.0007733i,-0.00062522+0.00020166i,-0.00082336+0.00029322i,-0.0003825+0.00020856i,-0.00048792+6.7368e-05i,2.3796e-05-0.00065076i,0.00025155-0.00042981i,-0.00039927+0.00053793i,-0.0011192+0.0010101i,-0.00099555+0.00083486i,-0.00042352+0.00060197i,-0.00090011+0.00034808i,-0.0005768+0.000902i,-2.6421e-05+0.0010638i,-0.00011893+0.00084577i,0.00056979+0.00070898i,0.0011439-0.0004155i,0.00077959-0.0016939i,0.00033026-0.0015711i
0.0011773+0.0021893i,0.00074633+0.0024152i,0.00011721+0.0011439i,0.0012965+0.00064618i,0.0019014+0.0016241i,0.00098639+0.0013751i,-0.00013663+0.00039605i,-0.00078254+0.00028129i,-0.00034671+0.0008798i,-7.7836e-05+0.0011098i,5.525e-05+0.00049325i,-5.5734e-05-0.00077158i,0.00015924-0.00083564i,0.0006333-0.00024715i,-0.00014844+0.00018617i,-0.00027032+0.00037993i,-0.00021203-1.3727e-05i,-0.00071828+0.00038175i,-0.0002223+0.001241i,0.00036534+0.00091306i,0.00057875-0.00044717i,0.00035135-0.0005619i,-0.00035842-0.00026827i
