-0.0036841-0.00086017i,-0.0032187-0.0020211i,-0.0033824-0.0015898i,-0.0030874+0.00052669i,-0.0021587+0.0020746i,-0.0016459+0.0017797i,-0.00067847+0.00066426i,8.6687e-05+0.00019284i,-0.00040489-0.00044513i,-0.0001669-0.0011901i,0.00042311-0.00076395i,0.0012105-0.00028919i,0.0010112+0.00010883i,0.0001651+0.0010149i,-0.00039988+0.0012188i,-0.00071212+0.00075696i,1.6808e-05+0.00081226i,9.6632e-05+0.00068716i,-0.00016708+0.00074547i,0.00029022+0.00059104i,-0.00019603+0.0001713i,-0.00049484-0.00032777i,-0.00050029-0.00088123i
0.00015444-0.0001037i,-0.00014375+0.0014451i,0.00016406+0.001797i,0.00025535+0.00048251i,-0.00011542-0.0012436i,0.00025519-0.0021818i,0.00033925-0.0015321i,5.8603e-06-0.00059591i,0.00014572-0.00055816i,0.00064607-0.0013224i,0.00046344-0.00096737i,0.00032129-0.00024402i,0.00023199-6.461e-05i,0.00040894-3.3178e-05i,0.00059745-6.5169e-05i,0.00071288+2.0893e-05i,0.0010699+0.00030366i,0.00085595+8.741e-05i,1.6178e-05+0.00022746i,-4.9335e-05+0.00021996i,6.8183e-05+0.00016997i,-0.00015699-0.00051614i,0.00011183-0.00014632i
-0.00063885+0.001305i,-2.538e-05+0.0014405i,0.00063257+0.00096855i,0.0015445-0.00017364i,0.0020967-0.0011309i,0.0018472-0.0018666i,0.0014552-0.0014222i,0.0014692+0.0002059i,0.0014979+0.0010103i,0.0007766-2.8533e-05i,-0.00025834-0.00059141i,-0.00047908-0.00036351i,-4.1024e-05-0.00040218i,0.00076799-9.6228e-05i,0.0010522-0.0001443i,0.00050454-0.00031685i,0.00030551-5.2724e-06i,9.732e-05+0.00027942i,0.00016801+0.00089796i,0.00025123+0.0006726i,-0.00041704+0.00018716i,-0.00017385-0.00062774i,0.00088944-0.0010017i
0.0017436-0.0020507i,0.0021643-0.002578i,0.0017599-0.0029293i,0.00039798-0.0025582i,-0.00071899-0.0014467i,-0.00052033-0.00011789i,-5.1097e-06+0.00081942i,0.00031245+0.00049039i,-0.00021727+0.00013233i,-0.00082283+0.000104i,-0.00075793+0.0003053i,-0.00077937+0.00084173i,-0.00069358+0.00066901i,-0.00059764+0.0002508i,-0.00039942+0.00078694i,-0.00058938+0.0010653i,-0.00090192+0.00029382i,-0.00083005+4.5756e-05i,-9.4097e-05+2.179e-05i,0.0012082-0.00013499i,0.001217+0.00026807i,0.00071022+0.00043602i,0.00074361+0.00066262i
-0.0017969+0.00105i,-0.0012204+0.0013373i,-0.0013383+0.0011268i,-0.0015078+0.00037739i,-0.00052004+0.00051136i,-0.00049618+0.0012542i,-0.001311+0.0019517i,-0.0015252+0.0020575i,-0.00059523+0.0012771i,0.00033709+0.0011493i,0.0010158+0.0011992i,0.0012882+0.00092491i,0.0013943+0.00079464i,0.001013+0.00024909i,0.00068301-0.00013875i,0.00079857+0.00048477i,0.00087285+0.00047013i,0.00071419+0.00068417i,-9.8185e-05+0.00064033i,-0.00015146+6.9886e-05i,9.2619e-05+0.00019439i,0.00024904-0.00045957i,0.00017258-0.00046916i
0.0007503-0.00099697i,8.539e-05-0.0014655i,0.00026611-0.0025156i,5.126e-05-0.002011i,-0.0012222-0.0012154i,-0.00213-0.0013639i,-0.0012434-0.00028874i,-0.00066284+0.0011996i,-5.9943e-05+0.0011838i,-2.051e-05+0.00055511i,-0.0011968-7.7196e-05i,-0.00068316-0.00074916i,0.00040139-0.00023596i,0.00037171-0.00027889i,-0.00030809-0.0005575i,-0.0012323+0.00018462i,-0.0014085+0.00025108i,-0.00050141+0.00044274i,0.00025804+0.00075173i,-0.00038362-9.0041e-05i,-0.0009113-0.00049478i,-0.00014491-0.00013837i,-0.00017971+0.0006926i
0.0010996-0.0019394i,0.0023029-0.0014782i,0.0031377-0.0017462i,0.0013685-0.0017612i,-3.6775e-05-0.0017375i,-0.0003908-0.00054079i,-0.00072159+0.00028757i,-0.00042708+0.00022008i,-0.00030484+0.00016006i,-0.00069858+0.00022158i,-0.00043846+0.00031498i,0.00029209+0.00063944i,0.00048209+0.00017248i,5.2206e-05-7.3797e-05i,-0.00053989+0.00028442i,-0.00099265+6.3969e-05i,-0.00042275-0.00023455i,-0.00021733+0.00016925i,-0.00045736-6.4926e-05i,0.00030485-0.00056865i,4.1934e-07-0.00069012i,-0.00084311-0.00048085i,-0.00063059-0.00017054i
-0.00095956-0.00093356i,-0.0013729-0.0012916i,-0.00062892-0.0011701i,0.00027913-0.0011375i,0.00036257-0.0012866i,0.00096044-0.0015258i,0.0013581-0.00080245i,0.0016837+0.00011828i,0.0016837+0.00046207i,0.00088343+0.00013857i,8.1274e-05+0.00028693i,-0.00025748+0.0011774i,-0.00028283+0.0011462i,-0.00045734+0.00044251i,-0.0005127+9.6378e-05i,-0.00020678+0.0003157i,-0.00032678+0.00062751i,-0.00025498-7.4141e-05i,-0.00013712+4.1122e-05i,-8.2063e-05+0.00014477i,0.00023178-0.00050449i,0.00054055-0.00061207i,0.00044209-6.7541e-05i
0.00024454-0.00046546i,0.0009337-0.0015284i,0.0013517-0.0017565i,0.00035323-0.001316i,0.00037204-0.00094806i,8.7608e-05+1.5664e-05i,-0.0010367+0.0011509i,-7.8513e-05+0.001506i,0.00063567+0.0014102i,0.00011193+0.00057408i,0.0001331+0.00016269i,-0.00019941+0.00042034i,-0.00039608+7.6322e-05i,-0.0006005-0.00029593i,-0.00060747-0.00062445i,0.00011525-0.00021868i,0.00018102+0.00086836i,-2.9352e-05+0.00098491i,-0.00018874+0.00019175i,-0.00030201-0.00034727i,-2.7073e-05+6.71e-05i,0.00060861+0.00030418i,0.00043376-0.00010132i
-0.00016616-5.2596e-05i,0.0011962+2.4425e-05i,0.0012654+0.00033131i,0.00019885+0.00052463i,-0.00099307+0.0010132i,-0.0011527+0.0012025i,-0.00097694+0.0015144i,-0.001426+0.0013116i,-0.0010978+0.0010091i,-0.00065789+0.00088884i,0.00017376+0.00045267i,0.0012187+0.00050028i,0.0015788+0.00074464i,0.00086523+0.0003602i,-6.7089e-05-0.00031651i,0.00017978-0.00029039i,0.00068064+0.00038144i,0.00037102+0.00086201i,0.00047351+0.00057932i,0.0005951+0.00013573i,-6.2597e-05+1.2263e-05i,-0.00016653+0.00065044i,0.00018538+0.00051319i
-0.00028382+0.0010697i,-8.6355e-05+0.00097053i,-0.00015956+0.00061668i,0.00024112+0.00053714i,0.00081566+0.00011705i,0.00070228-9.1865e-05i,-0.0004169+0.00045583i,-0.0012514+0.00077003i,-0.00021173+0.00098725i,0.00029689+0.0003682i,-0.00033013+0.00045294i,-0.00033556+0.00073738i,-0.00031795+0.00069326i,-0.00034135+0.00041584i,-8.3257e-05-0.00013112i,0.00043866-2.4051e-05i,0.00045638+0.001077i,0.0002388+0.0012572i,-0.00021029+0.00093302i,-0.00045962+0.0013314i,-2.6142e-05+0.001696i,0.0002555+0.0011174i,0.00057043+0.00045211i
