-0.002773+0.0010152i,-0.0035651+0.00058594i,-0.0044562+0.0016586i,-0.0032985+0.0027873i,-0.0019053+0.003431i,-0.00071408+0.0019467i,-0.00032304+0.00078368i,-8.327e-05+0.0016398i,0.00032427+0.0016153i,-3.6064e-05+0.00051124i,-0.00011784+0.00022325i,0.00030709+0.00084812i,0.00057245+0.00036754i,0.00031599+8.9092e-05i,-0.00026385+0.00070137i,4.0424e-05+0.00023369i,0.00088215-0.00015256i,0.00041842+8.1739e-05i,-0.00013041-8.5316e-05i,0.00059588-0.00025987i,0.0012561-0.00047469i,0.0012802-4.3614e-06i,0.00084965+0.00021094i
-0.00047045-0.0026722i,-0.0017451-0.0010284i,-0.0030434-8.0027e-05i,-0.002081+0.0015294i,-0.0011076+0.0023205i,-0.00044961+0.0021846i,-0.00099279+0.0015411i,-1.8495e-05+0.00095875i,0.0012751+0.00093358i,0.00017348+0.00098116i,-0.0013967+0.00067089i,-0.0014996+0.00024695i,-0.00055859+5.9124e-05i,-0.0003042-0.00063892i,-0.00045462-0.00074425i,-0.00030452+3.2849e-05i,-0.00034018-3.3172e-05i,-0.00051563-0.00013262i,0.00011646-0.00025181i,0.00081383-0.00069796i,0.0010675-0.0006084i,0.00070588-0.00059391i,0.00027148-0.00059971i
0.0011153+0.0011531i,0.00045275+0.00029523i,-0.00068899+0.0014175i,-0.00048451+0.001972i,5.6536e-05+0.0010862i,-0.00014853+0.00044626i,-0.0009324-0.00011433i,-0.00090172-0.00031903i,-0.00040525+0.00017141i,0.00028126+0.00064798i,0.00075084+0.00041928i,0.00052349-0.00052423i,0.00053057-0.0011987i,0.00036434-0.00040037i,-0.00022522+7.675e-05i,-2.1383e-05-0.00025528i,0.00053706-0.00055754i,0.00066284-0.00086216i,0.00071707-0.00028118i,0.00031447+0.00036206i,0.00013489+0.00015077i,0.00083481-0.00034974i,0.00048445-0.00074222i
0.0011494+2.5511e-05i,-0.0011695+0.00031285i,-0.002621+0.00063078i,-0.0021748+0.00067787i,-0.0010733+0.00036802i,-0.0013493+0.00038893i,-0.0012676+0.00030077i,-9.8275e-06+0.00048158i,0.00040395+0.00053996i,-0.00022737+0.00018539i,-0.0006265+0.00047848i,-0.00033643+0.0012568i,4.6028e-06+0.00060084i,-0.00019893-0.000113i,0.00036136+0.00068739i,0.00079381+0.0011454i,0.00024735+0.00031921i,-0.00036033-0.00080569i,-0.00037205-0.00048715i,0.00018128-0.0005446i,0.00038667-0.00061978i,-0.00039992+0.00040176i,-0.00063635+0.00074486i
-0.00091951-0.00134i,-0.0011309-0.0012429i,-0.0012402-0.00026231i,-0.0008029+0.0005457i,-0.0014807+0.00068201i,-0.0021162+0.00083893i,-0.0017255-0.0001921i,-0.0015758-0.00018774i,-0.00094579+0.00075627i,-0.00011818+0.00049156i,-0.00063782+0.00028616i,-0.0011384+0.00023363i,-0.00032866-1.307e-05i,-0.00016654+1.3164e-05i,-0.00081804+0.00056376i,-0.00021611+0.00072089i,0.00011555+0.00051348i,-0.00032598+7.1485e-05i,0.00017281-0.00047973i,0.00071835-0.00060769i,0.00027971-0.00036251i,-0.00060103-0.00030697i,-0.00039684+6.8411e-05i
0.00098596+4.1515e-05i,0.0014538+0.00029941i,-0.00022929+0.0015552i,-0.00026727+0.0027367i,0.0006825+0.0022611i,0.00051558+0.0010702i,-2.392e-05+0.00063364i,-0.0008802+0.00067494i,-0.001144+0.0011479i,-0.0016967+0.00095199i,-0.0013179+0.0005856i,-8.0685e-05+0.00019328i,7.8367e-05-0.0002434i,-0.00038288+0.00067685i,0.00045742+0.00115i,0.0012886+0.00045739i,0.0013888+0.00084171i,0.00079374+0.00049649i,-0.00046905-0.00044978i,-0.0009203-0.00070118i,-0.00052412-0.00071884i,-0.0014889-0.0005951i,-0.0020796-0.0004434i
0.00049023-0.0013232i,-0.00055667-0.00043481i,-0.0013555-0.00010239i,-0.00072901+0.00040119i,-0.00046723+0.00073393i,-0.00097581+0.00075963i,-0.0012704+0.00083744i,-0.0016704+0.00028677i,-0.0011215-0.00025i,-0.00065709+2.7905e-05i,-0.0006804+0.00089147i,-0.00056648+0.00047412i,-0.00052702-0.00030495i,-0.00082684-8.2719e-05i,-0.0012491+0.00047648i,-0.00084814+0.00057185i,-0.00028624+0.00035849i,0.00028308+0.0001788i,0.00046853+0.00017973i,0.00020107+0.00027081i,-0.00022307+0.00028275i,-0.00091708-0.00027836i,-0.001154-0.00039918i
0.00020976+0.00065783i,0.00041519+0.00047767i,0.00032996+0.00085746i,0.00052995+0.0010454i,0.00071491+0.00071817i,0.00013036-0.00036763i,-0.00065273-0.00039358i,-0.0012445-0.00045897i,-0.0011399-0.00020634i,-0.0008933+0.001308i,-0.00080837+0.0010397i,-0.00060445+8.3903e-05i,-0.0007996+0.00029186i,-0.00022+0.00040684i,0.00016935+0.00055161i,6.5498e-05+0.00099475i,-0.00052752+0.00032453i,-0.0013533-0.00081061i,-0.00059924-0.00052507i,0.00029175+0.00030636i,0.0004764+0.00037935i,-0.00014042-2.2658e-05i,-0.00062339-0.00049345i
-0.0014363-0.0010848i,-0.00034956-0.00024961i,2.3615e-05+0.0020188i,-0.00075154+0.0035915i,-0.00017365+0.0026528i,0.00096092+0.0011773i,0.00099664+0.00095791i,0.0002393+0.00081655i,-0.00026084+0.00049739i,-0.00056521+0.00092267i,-0.0008799+0.00098188i,-0.00077282+0.00053691i,-8.5242e-05+0.00014822i,0.00066597+0.000177i,0.0001604+0.00064532i,-0.00028342+0.00050771i,-0.00030056+0.00082993i,-6.6017e-05+0.00070361i,0.00031807+0.00027745i,-0.00024362-5.5872e-05i,-0.00022602-0.00030268i,0.00042264-0.00042803i,0.00067863-0.00038527i
-0.0016851-0.00080188i,-0.0021554-0.00030888i,-0.0028141+0.00033217i,-0.00271+0.00097442i,-0.0016385+0.0012659i,-0.00042781+0.000664i,0.00025269-0.00027364i,-0.00017856-0.00039489i,-0.0010779-0.0002331i,-0.0016494-0.00014179i,-0.0017213-7.6258e-05i,-0.00062307-0.0001837i,5.1113e-05+1.8502e-05i,0.00015777+0.00034753i,0.00034861+2.0611e-05i,-0.00012839-0.00028897i,3.6679e-05-0.0003521i,0.00021927-0.00021911i,0.00016875-7.8689e-05i,5.2129e-05+0.00039178i,-0.00053471+0.00028574i,-0.00035163-0.00024224i,2.6595e-05+0.00096047i
0.0018104-0.00062248i,0.0012264-0.0010653i,0.00072481+0.00020461i,8.9893e-05+0.0018059i,-0.0003473+0.00068952i,4.9539e-05-0.0012289i,0.00061704-0.00070804i,-0.00059835+0.00047032i,-0.00042661+0.00078699i,0.00028409+0.0005208i,-0.00018685+0.00037209i,-0.00010237+0.0002043i,2.7481e-05+0.00038709i,-3.438e-05+0.00044746i,0.00044853+0.00034898i,0.00038676+0.00035894i,-0.00028688+0.00060547i,-0.00060474+0.0002106i,-0.00035782+0.00054314i,9.5054e-05+0.00075962i,0.000376+0.00048513i,0.00032656+0.00013925i,-8.1261e-05-8.9551e-05i
0.0018681-0.001791i,0.00039584-0.0011985i,-0.00047851-0.00011624i,-0.00048037+0.0013121i,-0.00017268+0.00090117i,-5.6514e-05-0.00068678i,-3.1348e-05-0.00071995i,-0.00026533+0.0002633i,-0.0003202+0.0010089i,-0.00062552+0.00085405i,-0.0010112+0.00064042i,-0.0009776+0.0008213i,-0.001251+0.00060642i,-0.0011465+0.0006448i,-0.00067268+0.00074149i,-0.00031472+0.00088384i,0.00025667+0.0007394i,0.00052507+0.00063628i,0.00032556+0.00066261i,-0.00052717+0.00014812i,-0.0011525+7.6831e-06i,-0.00051943-0.00049232i,0.00013824-0.00077131i
-0.0020739-0.00035208i,-0.0013768-0.00030058i,-0.001357+0.0015216i,-0.00094573+0.0031462i,-1.5593e-05+0.0030569i,6.8705e-05+0.0020515i,-0.00044369+0.00074498i,-0.00089248-0.00027017i,-0.00037991+7.3045e-05i,0.00050045+0.00036198i,0.00027045+0.001344i,-0.00047818+0.0017593i,-1.8905e-05+0.00036047i,0.00032962-0.00013834i,2.5015e-05+0.0002451i,-0.00010515+0.00027678i,0.00018408+0.00024588i,0.00025397-0.00010082i,7.8044e-05-0.00025524i,2.9514e-05+0.00033543i,0.00016535+0.00069756i,0.00022795+0.00097808i,-0.00026565+0.00039265i
0.0035094+0.00092548i,0.003347-0.00034141i,0.0020246-4.1822e-05i,0.0010558+0.00017996i,0.00043908-0.00040086i,-0.00091728-7.2144e-05i,-0.0014929+0.00054913i,-0.00126+0.00014599i,-0.00020065-0.00019862i,0.0005279+0.00017661i,0.00062043+0.00044626i,0.00037764+0.00020763i,-6.374e-05-3.0375e-05i,-0.00050016-6.2579e-05i,-0.00072869-0.00038703i,-0.00023961-0.00079313i,4.6363e-05-0.00051358i,-0.000763+0.00018493i,-0.0019746+0.00013049i,-0.0020911-0.00038816i,-0.00069636-0.00033382i,-0.0004807+0.00021592i,-0.00080816+0.00057105i
-0.0012799+0.0014669i,-0.0022025+0.00034944i,-0.0026489+0.00098089i,-0.0011174+0.0016141i,0.00045153+0.00031234i,-7.4774e-05-0.00053323i,-0.0013049+3.8614e-05i,-0.0016866-0.00022755i,-0.0016549-0.00021475i,-0.00093512+0.00050061i,-0.00041642+0.00069274i,0.00019623-2.0003e-06i,0.00029498-0.00017644i,-3.252e-05+0.00012359i,-0.00048318+0.00057443i,-0.0005603+0.00048634i,-0.00023271+0.00097238i,-0.00019706+0.00038356i,-0.00014787-0.00042793i,0.00017386+0.00023393i,0.00042458-5.8252e-05i,0.00010192-0.0005398i,-0.00014971-0.00021379i
-0.0013801+0.0010986i,-0.0005752+0.0011775i,-0.00044575+0.0017036i,2.1596e-05+0.0020075i,0.0011283+0.00077647i,0.0012329-0.00013216i,0.00040494-0.00051571i,-0.00050138-0.00058101i,-0.00099979-0.00027572i,-0.00062358+1.995e-05i,-0.00016994+0.00078772i,-8.9573e-05+0.0005211i,-0.00021926-0.0002285i,-0.00038701-0.00012789i,0.0001305-0.00021168i,0.0012609-0.00067211i,0.0015789-0.0011941i,0.00062663-0.00098539i,0.00024337-0.00014235i,0.00097967+0.00022421i,0.0014541+0.00038096i,0.00098626+0.000523i,7.6066e-05+0.00035505i
