-0.0010254-0.00069259i,-0.0010426-0.00039507i,-0.0016768-0.00021849i,-0.0011809+0.00053469i,-0.00025064+0.0022342i,-0.00032152+0.0019118i,-0.0005945+0.0011992i,0.00042927+0.0012131i,0.001497+0.00071173i,0.0019797-0.00074903i,0.0016332-0.0015778i,0.0013166-0.00043615i,0.00069789+0.00045928i,-5.8655e-05+0.00048904i,-0.00088925+0.00079379i,-0.0016361+0.00068159i,-0.0012347+0.00017642i,-0.00028538-0.0007692i,-0.00048243-0.00073499i,-0.00027737+0.00018696i,0.00010643+0.00078509i,-0.00019749+0.0010622i,-0.00010517+0.00064865i
-5.3818e-05+0.0011974i,0.00069011+0.0023603i,0.00042416+0.0024542i,0.00046876+0.0010187i,0.0014391+0.00020411i,0.0013764-0.00021638i,0.00087568-0.00063078i,0.00082422-0.00080561i,0.00038961-0.00046874i,0.00018323+0.00033263i,0.00038712+0.0011573i,0.00024726+0.00086314i,-0.00021014+0.00017849i,-0.00036685+0.0002389i,0.00026619-7.3916e-05i,0.00095908-0.00028478i,0.00056738-2.9422e-06i,0.00044472-0.00074338i,0.00072059-0.00096601i,0.00020381-0.00017479i,-4.3741e-05+0.00010259i,-0.00040223+0.00043311i,-0.00030086-2.045e-05i
-0.00086297-0.00049031i,-0.0012624-0.0010319i,-0.0004932-0.00097584i,0.000244-0.00069983i,0.00019133-0.00024792i,0.00040187-6.8036e-05i,0.00099993-0.00026058i,0.0012455-0.0010761i,0.0010389-0.0013865i,0.00027023-0.00073209i,-9.3967e-05+6.2765e-05i,0.00048997+0.00040525i,0.00047289-0.00060168i,0.00056058-0.0012775i,0.00060921-9.7792e-05i,0.00035928-0.00040723i,0.00012855-0.0013672i,-0.00068913-0.00083642i,-0.00035418-0.00038302i,-0.00016921-0.00022405i,-0.00025713-8.8316e-05i,-0.00071767+0.00041578i,-0.0006128+3.8043e-05i
0.00096504-0.00090153i,0.0008109-0.001059i,9.8894e-05-0.00088682i,-0.00026754-0.00045365i,-3.3762e-05+0.00080061i,-0.00033748+0.0017109i,-0.00028285+0.0012395i,0.00031645+0.00041525i,0.00027836-0.0005796i,0.00084528-0.0010303i,0.0010861+3.0961e-05i,0.00025018+0.00061361i,-2.4663e-05-0.00019071i,0.00020338-0.00047493i,0.00044571-0.00018076i,0.00034072-6.323e-05i,0.00035583+0.00054278i,-0.00047972+0.00050709i,-0.0010066-0.00046076i,-0.00033467-0.0011779i,0.00026741-0.00089485i,6.0665e-05-0.00017777i,-0.0002319+0.00015297i
0.0017941-0.00054593i,0.00081429-0.0014066i,0.00039267-0.0028337i,-0.00010866-0.0031664i,-0.001055-0.0020178i,-0.00092434-0.00054823i,0.00051771+0.00035612i,0.0006388+0.00074389i,0.00049553-0.0005489i,0.00045905-0.0013152i,-0.00067612-0.00098816i,-0.00071641-0.00035997i,7.5648e-05+4.5774e-05i,-0.00047945-3.2239e-05i,-0.00054171-0.00042015i,-0.00053628-0.00082187i,-0.0012757+5.771e-05i,-0.0011596+0.00047576i,-0.000782-0.00019877i,-0.00058108+8.0562e-05i,-0.00035605+0.0005624i,-0.00039945+0.00033146i,-0.00024091+8.9223e-06i
0.00055643-0.00092821i,0.00038822-0.00074652i,0.0011238-0.0008095i,4.0343e-05-0.00025064i,-0.0011287+0.000694i,-0.00040268+0.00093541i,0.00061954+0.00059107i,0.00079983-0.0004597i,0.0010378-0.0012359i,0.0011446-0.0012309i,0.00068838-0.00082074i,0.00027979-0.00040456i,0.00032594-0.00036842i,0.00032084-0.00021941i,0.00030192-0.0001695i,0.00061724-6.1119e-05i,0.00047213+8.0091e-05i,-0.00019948+9.8806e-05i,-0.00063422+0.00022082i,-0.00051718+0.0011069i,-0.00026951+0.0014071i,-9.4123e-05+0.00022621i,0.00025056+0.00033705i
-0.0012211+0.0017362i,-0.00013523+0.0014008i,-0.00013692+0.00035337i,8.8876e-05+0.00055638i,0.00077062+0.0014371i,0.00098518+0.0010291i,0.00047904+0.00056476i,0.0001035+0.00023257i,0.00066325-0.00098814i,0.0011434-0.0012317i,0.00074616-0.00034804i,0.0010545+6.8236e-05i,0.0010615+0.00053542i,-0.00022074+0.00048497i,-0.00048374+0.00024264i,-8.3052e-05-0.00033572i,-1.5031e-05-0.00043086i,0.00037846+0.00042578i,0.00051412+0.00050488i,4.8092e-06+0.00044556i,-0.00041145+0.00046656i,-0.0001091+0.00073136i,4.0062e-05+0.00076752i
0.00047847-0.0010119i,4.6312e-05-0.0010837i,-0.00021196-0.0017477i,-0.00019991-0.0016244i,-0.00084597-0.00077093i,-0.00087021+0.00034198i,-0.00022192+0.00095887i,-0.00031539-8.8618e-05i,-0.00022603-0.0015212i,-7.2381e-05-0.0021388i,3.0743e-05-0.0013439i,0.00029952-0.00027202i,5.0706e-05+0.0002865i,-0.00019314+0.00040359i,-0.00024554+0.00013166i,0.00012469+3.7928e-05i,0.00084644+0.00051171i,0.0009863+0.0012i,0.00033866+0.0008862i,0.00059876-0.00015353i,0.0013294-0.00059751i,0.0015145-0.00023064i,0.0012123+0.00032733i
0.00088566-1.8872e-05i,0.0015907-0.00072169i,0.00051968-0.0012477i,6.7921e-05-0.00051797i,-8.9864e-05+0.00095485i,-0.00039565+0.0012965i,0.00035642+0.00020234i,0.00089437-0.00074033i,0.00096141-0.00022557i,0.00086627+0.00011733i,0.00050598+0.00019486i,0.00049164+0.00069651i,0.001218+4.1482e-05i,0.0009583+0.00010448i,-0.00048833+0.00077002i,-0.0012016+0.00042211i,-0.0013071-3.4588e-05i,-0.0010727+0.00011192i,-0.00065103+0.00028198i,1.7407e-05-0.00012465i,0.00025688+2.8989e-05i,3.0687e-05+3.4897e-05i,0.00043024-0.00034565i
0.00042496+0.0019154i,0.00058323+0.0027606i,0.00013632+0.0016575i,-0.00033255+0.00015893i,-0.00030368-0.00033141i,0.00037479-0.00034958i,0.0004356-0.0001113i,9.2062e-05-4.0106e-05i,0.00031111-0.00023412i,-0.00010456-0.00073893i,-0.0001046-0.0010476i,0.00039298-0.00011888i,0.00079274-0.00037452i,0.0012515-0.0010677i,0.0012183-0.00016743i,0.00034735+0.00023918i,-0.00023988+0.00029729i,0.00018217+0.00042413i,0.000204+0.00037619i,0.00033061-0.00041183i,0.00020177-0.00052771i,-0.00042311+0.00031806i,-0.00041009+0.0003742i
0.0011268-0.0024672i,0.00011411-0.0026656i,-4.6954e-05-0.0017209i,0.00024963-0.00016451i,0.00030486-0.00012317i,7.7144e-05+0.00022425i,0.00029772+0.00095132i,0.00077985+0.00054138i,0.0015321-0.00050215i,0.0010308-0.00065443i,-0.00033152+0.00020136i,-0.00017932+0.00028463i,0.00092562-0.00014736i,0.0012552-0.00036214i,0.00080196-0.00015466i,0.00067954+0.00050453i,0.00028269+0.0006191i,-0.0007619-0.00021962i,-0.00098994-0.0004014i,-0.000427-0.00018113i,6.5803e-05-1.8706e-06i,0.00049169-0.00025224i,0.0012051+0.00010604i
