-0.002162-0.00072607i,-0.002472-0.00082282i,-0.0033145-0.00098296i,-0.0030124-0.00091705i,-0.0023239+0.00027045i,-0.0011506+0.0016748i,0.0004492+0.0016976i,0.0011786+0.0015667i,0.0014785+0.001201i,0.001527+0.00010428i,0.00099393-3.7353e-05i,0.00035741+0.00029577i,0.00018558+0.00018841i,8.5091e-05+1.7897e-05i,-0.00070871+0.00037214i,-0.0005523-0.00015035i,0.00082401-0.000593i,0.001476-0.0002235i,0.0010275+0.00064812i,-0.00043686+0.0004815i,-0.00072319+2.2699e-05i,-0.00051699+9.8946e-05i,-0.00087517-2.4148e-05i
0.00012439+0.0026269i,-0.00048316+0.0028483i,0.00071295+0.0032289i,0.0013085+0.0023856i,0.0015257+0.0014816i,0.0016299+0.0010521i,0.0011543+0.00037276i,0.00061386-0.00049856i,4.8944e-05-0.00038359i,2.3587e-05+0.00038449i,0.00026581+0.00039073i,0.00016616-1.8834e-05i,-0.00015845-0.00032446i,-9.0435e-05-0.00073941i,-0.00012777-0.00044683i,-0.00024401-0.00025894i,-4.0779e-05-0.00069749i,0.0001391-0.00044159i,0.00041426+0.00044233i,0.00067049+0.00034187i,0.00029707-0.00043228i,0.00014208-0.0012329i,0.00046954-0.00061707i
-0.0021366+0.00026026i,-0.0015197+0.0018795i,-0.00079702+0.0030752i,9.0587e-06+0.0027959i,0.00072574+0.0015754i,-2.2562e-05+0.001339i,-0.00036897+0.00092902i,-0.00012527-0.00077591i,7.1539e-05-0.0010075i,-0.00033131-0.00042829i,-0.00066399-4.5889e-05i,-0.00046729+0.00057777i,-3.8784e-05+0.00073594i,0.00042816-7.661e-05i,0.00046528-0.00022973i,6.2194e-05+1.6774e-05i,9.3676e-05+0.00013382i,0.0004777+6.1357e-05i,0.00056828+0.00011753i,0.00087309+0.00018467i,0.0007786+0.00056653i,0.00022675+0.00070069i,-0.00050336+0.00083703i
-0.00015102-0.00062225i,-3.0171e-06+0.00067544i,-0.00053985-3.7505e-05i,-0.00058134-0.00038498i,-0.0004556+0.0010486i,-9.2757e-05+0.0017821i,0.00016617+0.0010039i,5.116e-05-0.00011459i,-8.8773e-05-0.00019718i,0.00032993+0.0010999i,0.00066091+0.001237i,0.00046293+0.00035262i,-0.00037886+0.00027113i,-0.0011154-0.0001457i,-7.8314e-05-0.00022333i,0.0010772+0.00042878i,0.000983+0.0005892i,0.001245+0.00083749i,0.0012594+0.0013086i,0.00025504+0.00086945i,-0.00057861+0.00040368i,-0.00068757+0.0001788i,-0.00057059+7.3859e-05i
-0.001422+0.0026498i,-0.00070098+0.0032605i,-0.00051087+0.0041996i,-0.00058727+0.0042108i,-0.00017337+0.003641i,0.00038344+0.0030026i,0.0011257+0.002215i,0.0014655+0.0014262i,0.001394+0.0010786i,0.00092495+0.00098965i,0.00059212+0.00032324i,0.00039646-7.3258e-05i,5.8974e-05+0.00045419i,-8.8361e-06-8.2066e-05i,-0.00032752-0.00061041i,-0.00028657+0.00046463i,0.00013359+0.00069758i,0.0010017-0.00011156i,0.0010998-1.8391e-05i,0.00071816+0.00054395i,0.00039412+0.00058065i,-0.00014404+0.00074745i,-0.00038938+0.00025328i
0.00021234-0.0015427i,0.00082917-0.00067626i,0.0014972-7.1637e-05i,0.0022788+0.00069693i,0.0020825+0.001249i,0.0012818+0.0010665i,0.0013002+0.00058599i,0.0016533+0.00010944i,0.00094588-0.00043086i,0.00022276-0.00048852i,0.00027837+0.00055456i,-0.00020086+0.001405i,-0.00018078+0.00067412i,0.00074504+0.00024304i,0.00043406+0.00072626i,0.00010802-4.8454e-06i,0.00027463-0.00066489i,0.00063915-0.0002323i,0.00077361+0.00051562i,0.00041516+0.00041339i,0.00084727+0.00033854i,0.001446+0.00026255i,0.00085077+0.00035194i
-0.0017367-0.00024049i,-0.0018593+0.00098214i,-0.00061125+0.001525i,0.00074691+0.0014608i,0.00089695+0.0010993i,0.0011304+0.0010696i,0.0017398+0.00048239i,0.0016672-0.000875i,0.00047577-0.0009354i,-0.00031499-0.00033473i,-0.00041911-0.00027323i,-0.00043094-8.3163e-05i,-5.3668e-06+0.0007181i,0.000222+0.00048659i,4.4972e-05-0.00037247i,0.00046423-0.00095666i,0.00056635-0.00091588i,0.00016674-0.00034946i,6.9893e-05-0.00030299i,-0.00021177-5.4234e-05i,-0.00039918-8.1838e-05i,-0.00022751-0.00033871i,3.864e-05+0.00049836i
-0.00067395-0.00022941i,-0.0011387+0.00086731i,-0.0012777+0.0028819i,-0.00061962+0.0028023i,0.00043451+0.0024593i,0.00048608+0.0015309i,0.00063433+0.00054735i,0.00076744-0.00012594i,-0.0001797-0.00064774i,-0.00081264-0.00038731i,-0.00096305-0.00050771i,-0.0011008-0.0010989i,-0.00022486-0.0010275i,0.00063467-0.00026979i,0.00060667-0.00044971i,0.00096386-0.0002287i,0.0010341+0.00019823i,0.00039305+0.00015754i,-0.00011196+0.00064461i,0.00012568+0.00063702i,2.784e-05+0.00040071i,0.00022324+0.00063851i,-0.00010291+0.00068716i
-0.00064909+0.0041673i,0.0015977+0.0040567i,0.0036734+0.0046162i,0.0029137+0.0035939i,0.0019796+0.0017597i,0.0018374+0.00028618i,0.00098938-0.00035236i,0.00044378-0.00057811i,0.00051066-0.0005046i,0.00082719-0.00011948i,0.00070749-0.00039694i,-3.2956e-05-0.0010464i,-0.00026967-0.00045287i,-0.00028223+0.00038796i,-2.7212e-05+6.69e-05i,0.00012642-4.9872e-05i,-0.000236+0.00059583i,0.00043059+0.00076568i,0.0008193+0.0008181i,0.00019243+0.00024209i,-0.00033829-0.00057281i,7.7783e-06-0.00011951i,0.00019245+0.00037157i
-0.00093396+0.0012752i,-0.0007254+0.0017419i,-0.00046366+0.00088029i,0.0001324+0.00075206i,0.00011859+0.00074281i,1.4553e-05+0.00069119i,0.00043809+0.00058997i,0.00073268+0.00040936i,0.00025172+0.00089464i,-1.0192e-05+0.0007834i,-0.00060789-7.5871e-05i,-0.0011132-0.00016125i,-0.00084267+8.2439e-05i,-0.00046344+0.00018952i,-0.00025149+0.00044445i,0.00032894+0.000233i,0.00072803-0.0002663i,0.0004273-0.00087182i,0.00048383-0.00091411i,9.9735e-05-0.00041711i,-0.00039955-0.00063142i,-7.0587e-05-0.00020662i,0.00038898+0.00047108i
0.0011713-0.00033246i,0.00056452+0.00017327i,0.000481+0.0010687i,0.00081076+0.0012863i,0.00027336+0.0014909i,-0.00053183+0.0016303i,0.00026717+0.0010072i,0.0013428+0.00085754i,0.00092339+0.00088103i,0.0006627+0.00031418i,0.0011349+0.00043422i,0.00069246+0.00092015i,0.000326-4.1208e-05i,0.00055944-0.00044303i,0.00071273+0.00017296i,0.00042862+0.00070055i,0.00028633-8.985e-05i,0.00035833-0.0012219i,0.00043239-0.0010585i,0.00056581-0.00045301i,0.00032861-0.00060151i,-0.0001722-0.00073528i,-0.0008938-0.00037762i
