0.00095525+0.00088787i,0.0024978+0.00021212i,0.0036573-0.0020432i,0.004173-0.0040865i,0.002247-0.0038959i,-0.00017967-0.00048419i,0.00073274+0.0023816i,0.0027992+0.0021949i,0.0026952+0.00084102i,0.0016637-0.00029765i,0.0012306-0.00080999i,0.00057127-0.0012741i,-0.00054418-0.0011488i,-0.00026381-0.00047415i,-0.00014589-0.00021782i,-0.00052212-0.00014226i,-0.00012809+9.6327e-05i,0.00058095+3.3909e-05i,0.00071025-0.0004992i,1.5797e-05-0.00062942i,-0.00057014-0.00055526i,-0.00063588-0.00013054i,-0.00082272-0.00019796i
3.1834e-05+0.0011029i,0.00034748+0.0018912i,0.0023434+0.00076577i,0.0048709-0.0014823i,0.0033501-0.002832i,0.00076837-0.0010216i,0.0012802+0.0012975i,0.0020376+0.00044122i,0.00058087-0.00095633i,-0.00014803-0.0010977i,0.00012655-0.00051148i,0.00022222-0.00032461i,0.00032852+0.00019066i,-1.0143e-05+0.00066858i,-0.00049344+2.0549e-05i,0.00010228+0.00021865i,0.00051887+0.00033452i,0.00043261-0.00014771i,0.00048705-0.00012401i,0.00048338+0.00033504i,0.00028132+0.00036328i,0.0001672+0.00037942i,-0.00010322+0.00015899i
0.0010889-0.0006622i,0.00051298-0.0017852i,0.0028389-0.003191i,0.0041077-0.005246i,0.0025163-0.005336i,2.1593e-05-0.0019959i,-1.0218e-05+0.0011105i,0.0017236+0.0014175i,0.0012582+0.00085688i,0.00042306+0.00050172i,0.00027549+0.00028605i,0.0002563-8.1926e-05i,0.00057805-0.00042998i,0.00062125-0.00015977i,0.00106+0.00012459i,0.0015539+0.00019291i,0.0011411+1.0642e-05i,0.0008676+9.0431e-05i,0.0009445-0.00014985i,0.00058008+2.152e-05i,0.0002919+0.00048322i,0.00010934+0.00030579i,0.00016602+0.00017017i
9.9147e-06-0.0011553i,0.001197+0.00022617i,0.0028095+0.00043632i,0.0035767-0.0010737i,0.0037016-0.0018834i,0.0028128-0.00078438i,0.0022235+0.00016522i,0.0025095+4.3541e-05i,0.00087785-0.00031003i,-0.00067215-0.00032483i,-0.00066642-0.00025407i,-0.00038218-0.00012942i,-0.00018166+8.4813e-05i,-0.00027822+0.00030498i,0.00028611+0.00020194i,0.0010267+0.00011563i,0.00051205-0.0002258i,-0.00016801-0.00091547i,-2.7248e-05-0.0011008i,-3.5585e-05-0.00032839i,3.4701e-05+0.00079262i,0.00017454+0.0011783i,0.00012385+0.00038617i
0.001909+0.00019327i,0.0012694+0.0003203i,0.0032588-0.0019497i,0.0057909-0.0054278i,0.0049619-0.0065786i,0.0019549-0.0039369i,0.00040245-0.00035149i,0.00055909+0.00082686i,0.00069571+0.00031179i,0.00017453+0.00041718i,-0.00016429+0.00029381i,-6.4693e-05-0.00053307i,-0.00013413-0.00082844i,-0.00030214+2.1362e-06i,6.0163e-05+0.00036599i,0.00079954+9.0441e-06i,0.0012815-0.00015287i,0.0013681-0.00033474i,0.00096298-0.00031296i,-3.3445e-05+0.00014618i,-0.0002452+0.00024362i,0.00014592-0.00050607i,0.00078258-0.00059769i
0.0015027+0.00096626i,0.0021845+0.00048576i,0.0040426-0.0014643i,0.0050709-0.003467i,0.0036957-0.0031298i,0.0020305-0.0015316i,0.0024582+0.00060119i,0.002417+0.0014489i,0.0014619+0.00011132i,0.00084652-0.0005615i,0.00076724-0.00026679i,0.00080683-0.00045555i,0.0002704-0.00014297i,5.4692e-05+0.00060233i,0.00013501+0.00097641i,-0.00011805+0.00052311i,0.0010204-2.9433e-05i,0.002365-0.00024908i,0.0019462-0.0002854i,0.0013162-0.0003276i,0.0014105-0.00065375i,0.0012487-0.00038606i,-0.00012591+0.00020976i
0.00030735+0.0010172i,0.0016155+0.0014453i,0.0049762+0.00084343i,0.0075494-0.0013102i,0.0056248-0.0026954i,0.0022336-0.0028251i,0.0019618-0.0010151i,0.0024195+0.0014789i,0.001503+0.0016269i,0.00078437+0.00067624i,0.0011476+0.00034358i,0.0009953+0.00031805i,0.00023917+6.3317e-05i,-0.00030639+4.5509e-05i,0.00010039+0.00083408i,0.00065198+0.00092253i,0.00060272+0.00027955i,0.00081339+7.6047e-05i,0.0005463-0.00070092i,0.00011603-0.0011613i,0.00045163-0.00020721i,0.0006035+0.0004373i,0.00055666+0.00087097i
-0.00062992+2.6797e-05i,-0.00047635-6.661e-05i,0.001916-0.00081339i,0.0044297-0.0029547i,0.0038911-0.0045531i,0.00065876-0.0025456i,4.0453e-05+0.00052798i,0.0011343+0.0011803i,0.00069055+0.00032137i,0.0001856-8.9923e-05i,0.00012223-5.8675e-05i,6.7453e-05-0.00029469i,-0.00022519-0.00041796i,-0.00042194-0.00024488i,-2.2154e-05-0.00053278i,0.00017218-0.00034838i,-0.00011192+0.00036707i,-0.00012618+0.00093687i,0.00011445+0.00088045i,-0.00026464+0.00084065i,4.4832e-05+0.00093025i,-6.9329e-05+0.0011992i,-0.00059495+0.00085086i
-0.00022967-0.0010198i,-0.00023254-0.0024559i,0.001353-0.0029237i,0.0031533-0.0032643i,0.0030064-0.0030036i,0.0021714-0.0018441i,0.0020185+0.00018603i,0.001833+0.0013927i,0.00090419+0.0011618i,7.4567e-05+0.00095393i,-0.00042207+0.0003717i,0.00018273+2.4209e-06i,0.00027626-0.00016715i,-0.00023288-0.0001053i,0.00012846+0.0001952i,0.001045+0.00073062i,0.0010284+0.001215i,0.00072221+0.0010391i,0.00066888+0.00043863i,0.00056977-0.00084565i,0.00041518-0.0010988i,0.00023023-0.00025498i,-0.00044093+0.00014971i
0.00085476+0.0016325i,0.0030311+0.0019595i,0.0061649+0.0022244i,0.0081811-0.00095861i,0.0067475-0.0043953i,0.0030548-0.0043261i,0.0014473-0.0012367i,0.0016737+0.00038888i,0.0018521-0.00043847i,0.00076158-0.00097071i,-0.00015594-0.00086513i,-0.00019557-0.00020031i,-0.00098085+0.00058269i,-0.0010745+0.00049261i,-1.4779e-05-0.00013279i,0.00069849+0.00022581i,0.0001542+0.0005509i,-0.00046906+0.0005088i,-5.4974e-05-3.5808e-05i,0.00034305-0.00067858i,-0.0001792-0.00044818i,-0.0001256-0.00013929i,-5.421e-05-0.00035937i
-0.00073632-0.00077529i,-0.00010783+0.00081866i,0.002272+4.6315e-05i,0.0042244-0.0014177i,0.0039318-0.0028255i,0.0018338-0.0019878i,0.0018421+0.00065515i,0.0026406+0.0016468i,0.0013415+0.00049811i,-1.295e-05-7.893e-05i,0.00057509-6.4221e-05i,0.001457+5.6031e-05i,0.0010811+0.00023968i,0.0001835-7.9886e-05i,0.00031538-0.00050103i,0.0011239-0.00056312i,0.0010548-7.2753e-05i,0.0008809-0.00011235i,0.0010801+5.0679e-05i,0.00065254-0.00021015i,-0.00049508+9.214e-05i,-0.0013553+0.00052081i,-0.00089556-0.00031554i
