-0.0024114+0.0005765i,-0.0009831+0.00093558i,-0.0019329+0.0040084i,-0.0024711+0.0072564i,-0.0019894+0.0085699i,-0.00093227+0.0055047i,-0.00073457+0.0022943i,-0.0004031+0.00069497i,0.00039661-0.00068761i,0.00043034-0.00062397i,0.00012105-0.00054365i,-0.00027995-0.0010265i,-0.00051521-0.0013337i,-0.00095562-0.0013038i,-0.0017728-0.0012217i,-0.00091916-0.00039087i,-8.0051e-05+0.00030418i,-0.00068714+0.00044848i,-0.00098128+0.00047518i,-0.00023849+0.00030968i,-9.9093e-05+0.00086928i,-0.00050702+0.0010574i,-0.00030454+0.00072771i
-0.00018032+0.0015061i,-0.00025567+0.0023052i,-0.00036319+0.0032541i,-0.00010074+0.004709i,0.00045564+0.0054316i,-0.00046084+0.0027544i,-0.0017675+0.00016647i,-0.0017792-5.6726e-05i,-0.0008589-0.00079849i,-7.9552e-05-0.00069839i,0.00032548+0.00047714i,0.00033779+0.00078334i,-7.494e-05-0.00018374i,-0.00031819-0.0010165i,-0.00091633-0.00056301i,-0.00080487-0.00025269i,-2.5245e-05-0.00042183i,0.00013863-8.6863e-05i,4.1752e-05+0.00064611i,0.00037143+0.0010595i,0.00038913+0.00060428i,0.00018566+0.00034122i,-0.00015511+0.00055867i
-0.0013733+0.00012456i,-0.0014086+0.0012796i,-0.0018905+0.0026095i,-0.0027871+0.0051865i,-0.0029215+0.0061115i,-0.0017998+0.003578i,-0.0020476+0.0011497i,-0.0022611+4.3464e-05i,-0.001322-0.00042204i,-0.0011024-0.00026969i,-0.00081234+0.00078234i,0.00019936+0.00080765i,-6.2119e-05-0.00028823i,-0.00073844-0.00095198i,-0.00047817-0.00086849i,0.00034719-0.00075566i,0.00010917-0.00046175i,-0.00046261-0.00022995i,-7.6583e-05-0.00022949i,0.00061393+0.00020946i,0.00089152+0.0002907i,4.5095e-05-0.00015719i,-0.00010462+8.9207e-05i
-0.0003881-0.0018702i,-0.001448-0.0010755i,-0.0037437+0.0014819i,-0.003696+0.0061487i,-0.0027859+0.0078477i,-0.0019428+0.0051513i,-0.0013693+0.00084968i,-0.00057854-0.00048894i,-0.00017231+3.8982e-05i,-0.000813-7.3482e-05i,-0.000539+0.0006423i,-0.00015459+0.00066684i,2.4293e-05-0.00041012i,0.00020819-2.9339e-05i,0.00056409+0.00058553i,-0.00014343+6.5707e-05i,-0.00079051-0.00062771i,-0.00015009+2.9174e-05i,0.00014793+0.00065969i,4.2617e-05+0.00059991i,9.564e-05+0.00068133i,-0.00025914-0.00032498i,-0.0004169-0.0012373i
-0.001011-0.00060307i,-0.0017515-1.3576e-05i,-0.0024268+0.0018865i,-0.0025658+0.0050538i,-0.0014062+0.0057471i,-0.00069691+0.0022947i,-0.00094133-0.00069201i,-0.0010201-0.0017858i,-0.0010699-0.0012914i,-0.00088381+1.7243e-05i,0.00036537+0.00066428i,0.0012388+0.00083754i,0.00053123+3.4837e-05i,-8.8566e-05-0.00091913i,-0.00066601-0.0010182i,-0.00070509-0.001273i,-0.00049441-0.00077226i,-0.00069376+0.00016317i,-0.00032812+0.00058938i,-0.0002544+0.00058633i,-0.00024776+0.00087352i,0.00023432+0.00069919i,-0.00053927-0.00035775i
-0.00081419+0.00029465i,-0.0012567+0.00027051i,-0.0028248+0.0016761i,-0.0044036+0.0055796i,-0.0029418+0.006593i,-0.00070377+0.0030238i,-0.00092288-0.00020458i,-0.001505-0.00045096i,-0.0014454-0.00038729i,-0.00094477-0.00045615i,3.5057e-05-0.00030987i,0.00074884-0.00022054i,1.0748e-05-0.00040565i,-0.00032554-0.00084892i,0.00046201-0.00092128i,0.00099096-0.00055045i,0.00090506+0.00016447i,0.00082407+0.00038758i,0.0003534+0.00032187i,-0.00090717+0.00026756i,-0.00060189+0.00013645i,9.2545e-05+0.00026869i,-0.00027867-2.656e-06i
-0.00030059+3.2801e-06i,-0.00068695-0.00057156i,-0.00097161+0.00062992i,-0.0012288+0.0027202i,-0.00052487+0.0039146i,-0.00015132+0.0020585i,-0.0007022-0.00016294i,-0.0010524-0.0010323i,-0.00029082-0.00096077i,0.00029421-0.00013934i,-0.00023224-0.00010853i,-8.7258e-05-0.00025527i,0.00023896+5.6924e-06i,-0.00019569-0.00022587i,0.00011444-0.00055775i,0.00077697-4.2752e-05i,0.00037127+0.00063414i,-0.00063192+0.00037403i,-0.00060933-0.00017658i,-5.1813e-05+3.3006e-05i,-0.0003218+0.00013437i,3.8041e-05-7.1285e-05i,1.0151e-05-0.00013907i
-0.00025199-0.00022693i,-0.00068913-0.00051158i,-0.0021166+0.00082621i,-0.0033602+0.0038532i,-0.0027406+0.005619i,-0.0015215+0.0031409i,-0.0020346+8.7861e-05i,-0.0022227-5.9751e-05i,-0.00044409+0.00010254i,0.00036972-0.00038364i,-6.4372e-05-0.00071265i,-0.00014572-0.00042169i,-0.00037305-0.00079849i,-0.00061041-0.0014158i,-0.00018014-0.00048546i,-0.0001632+0.00093063i,-0.00045976+0.0010678i,-0.00072284+0.0010492i,-0.0006512+0.00070129i,-0.0008038+0.00012742i,-0.0004551-0.00021363i,0.00063788-0.00070583i,0.00044844-0.00070436i
-0.00013301+0.00049516i,0.00043115+0.0018131i,-0.00078553+0.0034856i,-0.0018817+0.0056206i,-0.0011167+0.005741i,-0.00048804+0.0034745i,-0.0019624+0.00073674i,-0.0022882-0.00021864i,-0.00092194-0.00014288i,-0.00012486+2.366e-06i,-0.00016585-0.00029168i,-0.00022117-0.00054281i,-0.00070347-0.00053i,-0.00078847-0.0007053i,-0.00063299-0.00068155i,-0.00082319-0.00050924i,-0.00047028-0.00020072i,-0.00032033+0.00021107i,-0.00034116+0.00052806i,-4.3208e-05+0.00066383i,-0.00018278+0.00063027i,5.4511e-07+0.00023107i,0.00031191+0.00010285i
-0.0018566+0.00079991i,-0.00254+0.0016737i,-0.0020925+0.0038221i,-0.0012267+0.0056078i,-0.00030892+0.0052007i,-0.00027961+0.0030399i,-0.0010028+0.00026208i,-0.0011282-0.00065317i,-0.0003552-0.0005668i,5.8868e-05+1.1283e-05i,-0.00052604+0.00034558i,-0.00015285-0.0011018i,0.00023981-0.0010981i,-0.00044756-0.00035942i,-0.00039035-0.00062364i,-0.00054336+5.8323e-05i,-0.00073589+0.0003515i,-0.00054407-0.0006604i,-0.00029853-0.0012262i,-7.9301e-06-0.00087751i,0.00013752-0.0001794i,-0.00013161-0.00030857i,-0.00060177-5.2826e-05i
-0.00030693+0.00034298i,-0.0015077-0.00012701i,-0.0021243+0.00069807i,-0.0029412+0.0030241i,-0.0027805+0.0043801i,-0.0021506+0.0024536i,-0.001801+8.1276e-05i,-0.00072261-0.00048649i,0.00052044-0.00073635i,0.00077404-0.00036149i,6.2043e-05+0.00044723i,-0.00078899+0.00085411i,-0.0004262+0.00041834i,0.00027264-3.869e-05i,0.00020846-0.00031128i,-0.00083927-0.00081105i,-0.00095985-0.00014737i,5.2843e-06+0.0005989i,0.00030564+0.00029262i,0.00038134+0.00011287i,0.00055243+0.00038846i,0.00011469-0.00017816i,-0.00051278+0.00019666i
-0.00044987-0.0010785i,-0.00052461-0.0014109i,-0.0011699+0.00090028i,-0.0020802+0.0044021i,-0.0022725+0.0055144i,-0.0018816+0.0027894i,-0.002004-0.00044632i,-0.0015315-0.00090666i,-0.00077001-0.00053506i,-0.00022384-0.00054452i,-0.0001903-0.00039746i,-0.0005045-0.00040057i,-0.00080003-0.00052336i,-0.00045525-7.6812e-05i,-0.00011733-0.00026519i,-0.00043568-0.00057935i,-0.00071802+0.0003634i,-0.0010711+0.00050411i,-0.0016496+0.00056066i,-0.0009166+0.00064407i,0.00031301+0.00023485i,0.0005106+3.0767e-05i,0.00029789+0.00046956i
-6.602e-05+0.0010138i,-0.00078579+0.001074i,-0.0025537+0.0024788i,-0.0030252+0.0051012i,-0.00061709+0.0053224i,-0.00038902+0.0023938i,-0.0018752+0.00028671i,-0.0013062+2.1519e-07i,-0.0010273-5.6541e-05i,-0.0018058-0.00012999i,-0.0014398+0.00011324i,-0.0009243-0.00017046i,-0.00049214-0.00084734i,-0.00035092-0.0010199i,-0.00036071-0.00094535i,-0.00018244-0.00018544i,0.00038142-1.1684e-05i,-8.0179e-06-3.8048e-07i,-0.00075267+0.00077773i,-0.0003735+0.0010477i,-0.00020285+0.00046014i,-0.00026523+0.00039018i,3.3626e-05+0.00051245i
6.7782e-05-0.00037588i,-0.00073475-0.00022413i,-0.0013313+0.00022541i,-0.0019545+0.0024479i,-0.0020687+0.0032729i,-0.0015866+0.0010713i,-0.0021322-0.00099881i,-0.0026139-0.001569i,-0.0019179-0.0015059i,-0.0018355-0.0011385i,-0.001442-0.00070986i,-7.1582e-05-0.00050164i,0.0011687-0.00044767i,0.00061954-0.00053963i,-0.0008243-0.00037794i,-0.00073885-0.0001372i,1.6715e-05+6.4128e-06i,-0.00012962+7.4058e-05i,-0.00067445-3.1052e-05i,-0.0001655-0.00021603i,-5.6555e-05-0.00048522i,-0.00011622+0.0003075i,-2.0745e-05+3.504e-05i
0.00045079+0.00053692i,-0.00030062+0.00031207i,-0.0012207+0.0015144i,-0.0016198+0.004012i,-0.0014625+0.0050103i,-0.0019177+0.0025132i,-0.0023231-6.8855e-05i,-0.0013241-0.0002877i,8.4354e-05+9.0532e-05i,0.00028233-3.9331e-06i,-0.00019892-7.0784e-05i,-0.00051425+0.00011184i,-0.00054149+0.00017747i,-0.00012139+0.00010928i,-0.0002546+0.00075731i,-0.0011979+0.0011162i,-0.0011423-0.00024084i,-0.00031155-0.00078205i,-7.5889e-05+0.000208i,-0.00048341+0.00077828i,-0.00037446+0.00076815i,7.6107e-06+0.0010623i,0.00040337+0.00078451i
