-0.0034316+0.00165i,-0.0037858+0.00042154i,-0.0038294+0.00050981i,-0.0028658-0.00025819i,-0.0024699+0.00029527i,-0.0022329+0.0011628i,-0.00097638+0.0013972i,0.00053748+0.001013i,0.00049852-0.00041807i,0.00043582-0.00014458i,0.00061022+0.00028294i,0.00015659-0.001088i,0.000243-0.0016309i,0.00075806-0.000512i,0.0012927-9.0906e-06i,0.00073262-0.00029091i,-0.00051319-0.00054953i,-0.00088236-0.00050585i,-2.7831e-05-0.0011659i,0.00021614-0.0017108i,0.00021509-0.00074271i,0.00047901+0.00062373i,0.00018674+0.0010675i
0.0029362-0.0033632i,0.0029736-0.0030962i,0.0012087-0.0027457i,-0.00052949-0.001685i,-0.0014041-0.0006376i,-0.001235+0.00053102i,-0.00037272+0.0011085i,0.00022071+0.00090907i,-0.00011165-9.3889e-05i,-0.00032344-0.00042479i,3.8452e-05+0.00056619i,0.00015837+0.0011444i,0.00030725+0.0012592i,0.00031695+0.0013298i,-0.00013589+0.001812i,-0.00084341+0.0017846i,-0.00078299+0.00070219i,-0.00060511+0.00049116i,-0.00081261+0.00059821i,-0.00091276+0.00043729i,-0.00068184-0.00020574i,-9.6824e-05-0.00082644i,0.0002109-0.00013542i
0.0019604+0.00059599i,0.0016268-0.00061788i,0.0011224-0.00080159i,6.2754e-05-0.00077321i,-0.00050986-0.00067719i,-4.3314e-05+0.00061573i,5.7272e-05+0.0012641i,-0.00034081+7.4446e-05i,0.00028824-0.00052253i,0.00081746-0.00033637i,0.00073498+9.4917e-05i,0.00010086-0.00011923i,-0.00032486-0.00047733i,-0.00089583-0.00037963i,-0.0012643+0.00023129i,-0.00044817+0.00059811i,-0.00046742+8.1639e-05i,-0.00075262-0.00011284i,0.00015505+0.00051257i,0.00043825+0.00059018i,-0.00032652+0.00031457i,-0.00085463+0.0002751i,-0.00045649+0.00024949i
-0.0020357-0.00094173i,-0.0025619-0.00054043i,-0.0019491+0.00010976i,-0.0016126+0.00024736i,-0.0016597-0.00071896i,-0.0012431-0.0014576i,-0.0011044-0.0009999i,-0.0010383-0.00058767i,-0.00053471-0.0015735i,-0.0001946-0.0019456i,-0.0004169-0.00077286i,-0.00099957+0.00055719i,-0.0011784+0.001311i,-0.00078933+0.001645i,0.0003355+0.0012876i,0.00082225-0.00020087i,3.9716e-05-0.00075471i,-0.00076904+1.0656e-06i,-0.00059954+0.00049237i,8.8211e-06+0.00018948i,0.00054837+0.00018882i,0.00018182-0.00011605i,-0.000359-0.00017654i
0.0020997+0.00093228i,0.0002407+0.00085578i,-0.001095+0.00090706i,0.00016163+0.00062425i,0.0013007-0.00011984i,0.0004158-0.00070474i,-0.00027458-0.0011298i,-0.00016376-0.00049132i,0.0003834+8.4906e-05i,0.00108+0.00020105i,0.00094737-0.0005597i,0.00012593-0.00086695i,-0.00022423-0.00062143i,-0.00021688-0.00125i,-5.4701e-06-0.0013467i,-0.00013499-0.00052933i,-0.00042877+0.00022467i,-0.00041374+4.2279e-05i,-0.00021171-0.0001448i,0.00021901-6.4852e-05i,0.00058521-0.00015367i,0.00016743+0.00026525i,-0.00037332+0.0012456i
0.0013499+0.001545i,0.002857+0.0014242i,0.0028269+0.0012229i,0.0016222+0.0011895i,0.001121+0.0014607i,0.00063335+0.00038342i,0.00011931-0.00060482i,0.00019239-0.00062007i,0.00044137-0.00083637i,0.00031865-0.0011587i,0.00040294-0.0010777i,0.0011393-0.00079718i,0.00068451-0.00098696i,0.0001124-0.0012705i,6.6605e-05-0.00078314i,0.00041264-0.00040148i,0.00086374-0.00022026i,0.00071226-0.00031754i,0.00070732-0.00061557i,0.00066074-0.0007884i,-7.4877e-05-0.00018574i,-0.00097279+0.00045586i,-0.00066911-0.00016064i
-0.00033677+0.00032505i,-0.0013575+0.00076648i,-0.0011024+7.7198e-05i,-0.00065973-0.00054928i,-0.0011536-0.00025889i,-0.0018107+0.00053228i,-0.0017293+0.0004826i,-0.0011543+0.00039364i,-0.00030415+0.00026663i,0.00063587+0.00013919i,0.0018489+0.00054462i,0.0017761+0.00082961i,0.0001737+0.00069809i,0.00026059+0.00055933i,0.00065174+0.00030137i,4.8865e-05+0.00026054i,-5.6912e-05+0.00020536i,0.00046305-4.1824e-05i,0.0007729+0.00042972i,0.00050934+0.00049471i,-0.00016337+0.00018436i,-0.001034+0.00047809i,-0.00074429+0.00073691i
0.0018864-0.0015501i,0.00036922-0.00090183i,-0.00035904-0.0012671i,0.0005498-0.0010152i,0.00025909-2.6572e-06i,-0.00031048+0.00025072i,-6.0281e-05+0.00031797i,0.00033889+0.0008577i,0.00031663+0.00069115i,0.00025349+0.00019231i,0.00062541-3.9774e-05i,0.00041144-0.00033414i,-4.5969e-05+3.9885e-05i,-0.00050168+0.00081049i,-0.00064492+0.00074405i,-7.1625e-05-0.00016952i,0.00044871+4.6864e-05i,0.00059436+0.00035582i,0.00069697-0.00014778i,0.0010211-0.00056571i,0.00049295-0.00021132i,0.00032037+4.7082e-05i,0.00023932-0.00032323i
-0.0005702+0.0030187i,-0.0006915+0.0031366i,-0.00029385+0.0027338i,0.00026792+0.0018276i,0.00041307+0.0011112i,-0.00030187+0.00060065i,-0.0014102+0.0003973i,-0.0012588+0.00038555i,-0.00038838-0.00045962i,0.00017331-0.00067425i,0.0005153-0.00012281i,0.00031838+1.3848e-06i,-0.00016213-0.00042245i,-0.00058751-0.00066991i,-0.00058535-0.00069662i,-0.00026246-0.0001958i,-6.962e-05-0.00014969i,-3.6336e-05-0.00024878i,-0.00010854+0.00014981i,0.00027241+0.00033879i,0.00073663+0.00030966i,0.0003329+9.0124e-05i,-0.00032733-0.00072984i
-0.0017244-0.00051808i,-0.00090241-0.0017888i,0.00015733-0.0014064i,6.6821e-05-0.00074646i,-0.00046687-0.0008276i,-0.00053167-0.00082796i,-0.00068011-0.0010515i,-0.00037729-0.0006841i,-6.8464e-05-0.00012577i,-0.00074175+0.00025763i,-0.0012092+0.00039998i,-0.00050132+0.00028957i,-0.00046802+0.00041786i,-0.00064732+0.00010234i,-0.00060762-0.00051271i,-0.00031294-0.00043344i,0.0005328-0.0006331i,0.0004801-0.00084412i,-0.00023762-0.00079469i,-0.00058872-0.00042654i,-0.00069107+0.00073776i,-0.00044316+0.0013069i,0.00024905+0.0011705i
0.0026189-0.00023756i,0.001536-0.00041776i,0.00052614-0.00074888i,-0.00035582-0.0011068i,-0.00046324+7.3849e-05i,-0.00025383+0.00059909i,-0.00093289+0.00053856i,-0.0010934+0.00074374i,-0.00017016+0.0004071i,0.00063508+0.00015594i,0.00032717+0.00039732i,-0.00032872+0.00036288i,-0.00033277+0.00018309i,-0.0001702+0.00053007i,0.00027726-0.00022437i,0.00080121-0.00065656i,0.00081095-1.1233e-05i,0.00036684-0.0003401i,-0.00030115+2.7631e-05i,0.00023935-2.6345e-05i,0.00073986-0.00086188i,0.00094465-0.00032456i,0.00077087+0.00055358i
