-0.0049351-0.000569i,-0.0040426-0.00023577i,-0.0036459+0.0031255i,-0.0024007+0.0045934i,-0.00072006+0.0027343i,-0.00025486+0.00037644i,-0.0005312-0.00045747i,0.00018724+2.2114e-05i,0.00091478+0.00025951i,0.00087802+0.00036311i,0.00035786+0.00025183i,-2.9506e-05-0.0002066i,-9.1699e-05-0.00048239i,-2.254e-05-0.00083689i,0.00035479-0.0012504i,0.00057358-0.00051771i,0.00028403+0.00029234i,0.00014727+0.0002395i,0.00023949+0.00068841i,-0.00017804+0.00053384i,-0.00072948+0.00042601i,-0.00085389-0.00019424i,-3.585e-05-0.00045877i
-0.00034321-0.00096377i,-0.00080582-0.00067726i,-0.0014808+6.1526e-05i,-0.0021736-0.00028932i,-0.0022249-0.00095143i,-0.0012746-0.0012915i,-0.00031409-0.0010421i,6.4305e-05-0.00036006i,1.9054e-05+0.00035319i,-2.9422e-05+0.00060822i,0.00049574+0.00025984i,2.7711e-05-0.00010193i,-0.00020678-0.00045754i,0.00056205-0.00083388i,0.0007545-0.00074992i,0.00050024-0.00085683i,-0.00035275-0.00050364i,-0.00099796-5.1214e-05i,-0.00095222-0.00014375i,-0.00039347-0.0010076i,-0.00017443-0.0011375i,9.5735e-05-0.00038231i,0.00013969-0.00021096i
0.00088104-0.00056276i,0.0002383-0.0011839i,0.00018463-0.0017519i,0.00029442-0.0013819i,0.00045067-0.00087568i,-0.00023416-0.00060566i,-0.00079756-0.0001743i,-0.00075451-0.00018515i,-0.00063238+1.9746e-05i,-0.00060849+0.00060397i,-0.00034849+0.00052715i,-0.00012419+0.0008529i,-0.0003711+0.0013089i,-0.00031606+0.00077538i,-0.00025394+0.00063869i,5.1578e-06+0.00088283i,0.00058872+0.00094579i,-0.00024589+0.00031315i,-0.00044961-0.00045359i,0.00020044+0.00020872i,0.00031426+0.00010811i,0.00060671-0.00060875i,0.00049122-0.00047054i
-0.0012217+0.0010161i,-0.0010724+0.0012891i,-0.00055015+0.0026064i,-0.00029566+0.0017237i,0.00073253+0.00020985i,0.0012821-0.0004614i,0.0008615-0.00085477i,0.00029039-0.00055536i,-0.00013381+1.7803e-05i,-0.00023267-0.00012434i,6.3693e-05-7.7284e-05i,0.00051554-7.985e-05i,-5.2564e-05-0.00049475i,-0.00039874-0.00053245i,0.00043583+5.9244e-05i,0.00088208+0.00035021i,0.00081763-0.0003938i,0.00089796-0.00060523i,0.00083008-0.0004634i,0.00030263+0.00032858i,-0.00078595+0.0009223i,-0.0013886+2.6994e-05i,-0.00075829+7.4788e-05i
0.00078942-0.00019424i,-0.0011868-0.00013607i,-0.00097168-0.00027271i,-0.00037607-0.00023743i,-0.00042066-0.00079943i,-0.00031284-0.00097878i,6.2215e-05-0.0011813i,0.00035698-0.0012244i,0.00025026-0.00057748i,1.6777e-05-0.00013105i,-0.00055922+0.00062139i,-0.00042068+0.00094824i,0.00023169+0.00059213i,0.00036892-0.00022698i,-0.0001344-7.8729e-05i,-0.00055374+0.00090773i,-5.1627e-05+0.0011729i,0.00039396+0.00098427i,0.0002224+7.2646e-05i,-0.00048161-9.3219e-05i,-0.0001569+7.3627e-05i,0.00048912-0.00054504i,0.00045662-0.00083867i
-0.0028631+0.00022163i,-0.0031817-3.4386e-05i,-0.003199+0.00015643i,-0.0023626+0.0010658i,-0.0013627+0.00095431i,-3.0166e-05-0.0002835i,0.00077445-0.0006754i,0.00095872+0.00072047i,0.0004421+0.0011859i,-0.0006603+0.00052516i,-0.001203-0.0001161i,-0.00077179-0.00017506i,-0.00095103-0.00023222i,-0.00098266-9.4862e-05i,-0.00025536-0.00056712i,0.0002942-0.0013619i,4.244e-05-0.00070948i,-8.799e-05+4.8632e-05i,0.00015845+0.00071603i,-0.0001736+0.00068318i,-0.00022931-0.00017047i,0.0001828-0.00048788i,0.00028418-0.00075412i
-0.0021337-0.00027416i,-0.0018407+2.6445e-05i,-0.0018313+0.0024523i,-0.0009491+0.0025989i,0.0001178+0.0009568i,0.00022654-0.00023813i,4.7566e-05-0.00072923i,-0.00050976-5.2163e-05i,-0.00082546+5.8016e-05i,-0.00058071-0.00015238i,0.0003189+3.546e-07i,0.0003034+0.00027872i,-0.00048396+9.2964e-05i,-0.00043766-0.00047502i,0.00040597-0.00040402i,0.0009076+0.00025569i,0.00090038+0.00077454i,0.00060172+3.294e-05i,0.00027864-0.00043873i,-0.00037494-0.00015177i,-0.00063379-0.00020088i,-0.001004-0.00048004i,-0.00113+0.00039398i
0.0016374-0.00091055i,0.0015724-0.00083517i,0.0015636-0.00046017i,0.00039298+5.1463e-05i,-0.0003755-0.0008011i,-0.00025569-0.001387i,3.6193e-05-0.0010851i,-0.00024161-0.0010085i,6.6769e-05-0.00082091i,0.00098498-0.00052338i,0.00068786-0.00031456i,0.00022473-0.00055477i,0.00064232-0.0010066i,0.00072874-0.00097265i,0.00042459-0.00027019i,0.00045076+0.00058516i,0.00063086+0.00025719i,0.00011658+0.00046716i,-0.00052027+0.00083848i,-0.00038068+0.0010369i,-0.00034343+0.0013726i,-0.00075377+0.0014766i,-0.0003864+0.00057478i
-0.00049834-0.00034683i,-0.00076367+6.6198e-05i,-0.0025771+0.0012164i,-0.0024966+0.0014184i,-0.0010159+0.00070312i,-0.00040809-0.0012932i,-0.00035249-0.0017358i,-0.00077789-0.00036412i,-0.0011212+0.00027182i,-0.0010258+9.5664e-05i,-0.00082365+9.9741e-05i,-0.00015132-6.7107e-05i,0.00046807-5.1588e-05i,0.0001879+0.00034981i,-0.00041629+0.00065445i,-0.00045539+3.5516e-05i,-0.00080919-0.00032827i,-0.0013923-0.00036553i,-0.00040144-0.00026362i,0.00083192+8.7747e-05i,0.00084257+0.00028045i,0.00016892+3.3601e-05i,-0.00051419-1.0925e-05i
-0.0012083+0.0006007i,-0.0015501-0.00025733i,-0.0013957+0.0010288i,-3.9456e-05+0.0018405i,0.00098975-1.0473e-05i,0.00079525-0.0022787i,0.00043892-0.0024469i,-0.00029978-0.0011808i,-0.00022685-0.0001674i,0.0002057+0.00015748i,-3.1745e-05+0.00033785i,-0.00033251+0.0003261i,-0.00053307+0.00024958i,-0.00034286+4.3017e-05i,-0.00055148+0.00026352i,9.8876e-05+0.00040586i,0.00050563+0.00048874i,0.00016493+0.00061748i,0.0002349+0.00072i,0.00051108+0.00093277i,0.00022836+0.00062048i,-0.00016379+2.0754e-05i,0.00015433-2.2893e-05i
0.0001637+0.00055343i,0.00052511+0.0017458i,0.0010479+0.0018323i,0.0010066+0.001357i,0.00067522-0.00042813i,0.00049677-0.001599i,0.00044853-0.00075418i,0.00036705+0.00013053i,3.1588e-05+8.4051e-05i,-0.0004378-0.00040772i,6.8343e-05-0.00018183i,-0.00013267+0.00019535i,-0.00072437+0.00017713i,-0.00011203-8.8817e-05i,-0.0002215-0.00030176i,-0.00028813+0.00017206i,-0.00027913+0.00086348i,-0.00049606+0.00080523i,-9.305e-05-1.8754e-05i,7.1102e-05-0.00053263i,-0.00010614-0.00013662i,-0.00055604+0.00083859i,-0.0015473+0.00050818i
-0.0023251+0.00067634i,-0.0022341+0.0011473i,-0.0028539+0.0016504i,-0.0018672+0.0024174i,-0.00055324+0.001689i,-0.00054642-8.2097e-05i,-0.00085605-0.00079891i,-0.00076131-0.00050974i,-7.149e-05+0.00040687i,0.00084104+0.00089508i,0.00096097+0.000419i,-3.0395e-05+7.7436e-05i,-0.00093172+0.00024003i,-0.0013382-0.00023316i,-0.00084797-0.0010346i,-0.00012221-0.00045281i,0.00059111+9.63e-05i,0.00088299+0.00069957i,-1.1927e-05+0.0010542i,-0.00085968+8.4269e-05i,-0.0008955-0.00024951i,-0.0011049-0.00043365i,-0.0005232-0.00048951i
-0.0016006-0.00036908i,-0.002106-0.00037435i,-0.002269-0.00020231i,-0.0016292+0.00085824i,-0.00056736+0.00073361i,3.1695e-05+0.000735i,0.00011301+0.00079083i,-6.8328e-05+8.7315e-05i,-0.0005195+3.735e-05i,-0.00088892+7.8477e-06i,-0.00060306-0.00076955i,-3.9455e-06-0.001172i,0.00047732+0.00016213i,0.00037837+0.0013805i,-0.00040053+0.00070355i,-0.00086861+0.0002082i,-0.00078993+0.00053578i,-0.00045179+0.00048349i,-0.00044585+0.00037124i,-0.00048277-4.6055e-05i,-6.1057e-05-0.00073812i,-0.00028223-0.00072554i,-0.00055596-0.00097786i
0.00030064+0.00092425i,0.00059954+0.00056984i,0.00042759+2.5299e-05i,0.00043755-0.00024867i,0.00060774-0.0010639i,-0.00016248-0.0020181i,-0.00050646-0.0018783i,-2.4169e-05-0.0007687i,0.00055239-0.00063698i,0.00069548-0.0015633i,-0.00011494-0.00075278i,-0.00081428+0.00013203i,-0.00051611-1.9285e-06i,-0.00037955-0.0004112i,-0.00052696-0.00055436i,-2.7491e-05+1.2564e-05i,0.00042712+0.00021619i,0.00039617-6.3673e-05i,-4.7646e-05-0.00017864i,-0.00046664-0.00035281i,-0.00026003-0.00038673i,-9.8075e-05+0.00036941i,0.00010322+0.00060662i
0.00050887-0.00024641i,0.0014007-0.0001379i,0.0016604+0.00072219i,0.0002298+0.00016392i,-0.00012009-0.00092126i,-0.00025509-0.0010346i,-0.00080921-0.0010121i,-0.00046172-0.00044273i,0.0001811+0.00055195i,0.00058128-0.00010104i,-0.00010618-0.00061401i,-0.00079058-0.00012654i,-0.00035326+0.00023923i,-0.00075193+0.00025731i,-0.00060962-0.00020837i,-1.8629e-05-0.00099813i,-3.0177e-05-0.001197i,0.00014504-0.0011127i,0.0001112-0.00075625i,0.00050113-0.00063829i,0.00066432+0.00011457i,-0.00049734+0.00057797i,-0.00089074-6.85e-05i
0.00020164+0.0011032i,-0.00036357+0.0013816i,-0.00011844+0.0010689i,-0.00052851-0.00065276i,-0.001755-0.0014045i,-0.002482-0.00089761i,-0.0018921-0.00048694i,-0.0011592+0.00011666i,-0.00076408+0.00065632i,-0.00017184+0.00027058i,-7.1882e-05-0.00012344i,-0.00049595-0.00032853i,-7.3413e-05-0.00011819i,1.0694e-05-0.0005735i,0.00063459-0.0010659i,0.00047198-0.00022856i,-0.00023572+0.00030056i,-0.00021764-7.1244e-05i,-0.00033398-0.00016384i,-0.00058162+0.00037878i,-0.0003443+0.00060131i,-5.2488e-05+0.00019296i,-0.00039586-0.00022982i
0.0006003+0.0016382i,0.00058174+0.00099408i,-0.00013672+0.00047634i,-0.0012064+0.00034535i,-0.00085475-0.00010833i,0.00042206-0.00053118i,0.00045143-0.00056415i,0.00016779-0.00061034i,0.00030034-0.00016936i,-5.1623e-05-0.00011592i,-0.00026946-1.9579e-06i,-0.00012451-0.00023382i,-0.00013255-0.00034917i,-4.2958e-05-0.00049081i,-8.2422e-05-0.00047787i,-0.00055921-4.3594e-05i,-0.0010687-2.8946e-05i,-0.00064552-0.00019496i,-0.00032943+0.00028649i,-0.00073193+0.00051835i,-0.00061604+0.00087676i,-0.00013588+0.00099818i,0.00020561+0.00031897i
-0.00087181-0.00091052i,-0.00099796+0.0001494i,-0.0012806+0.0013362i,-0.0011048+0.001412i,-0.00041845+0.0012185i,-8.5593e-05+0.00032531i,-5.6836e-05-0.00051325i,0.00015778-0.00073199i,0.00015633-0.00060297i,-0.00030073+6.6919e-06i,-0.00059979+0.0003297i,-0.00045411+0.00045514i,-4.7886e-05+0.00050815i,-0.0001279+0.00064241i,-0.00033095+0.00077108i,-0.00083333+0.00044562i,-0.00076569+0.00070095i,1.4525e-05+0.0013053i,8.5973e-05+0.0011403i,-0.00040897+0.00042341i,0.00019735+0.00041277i,0.0003152+0.00022197i,-0.00028268-0.0009511i
-0.0002755+0.0023434i,-0.00013773+0.002841i,0.00028939+0.0028782i,0.00092458+0.0017155i,0.00097393-6.452e-05i,0.00040246-0.0016546i,-0.00013394-0.0015165i,0.00017481-0.00056543i,0.000264-0.0001265i,0.00040985+0.00061535i,0.00088966+0.00088135i,0.00076602-4.6805e-05i,0.00022267-0.00028373i,-0.0004488-0.00061502i,-0.00071779-0.001156i,-3.658e-05-0.00051011i,0.00079749+0.00016475i,0.00081795+0.00030857i,0.00077494+0.00047818i,0.00039799+0.00077142i,-4.0699e-05+0.0010638i,-0.00032865+0.0009676i,-0.00058073+0.00027038i
0.0027371-0.0014654i,0.0024121-0.0019138i,0.0014212-0.002228i,-0.00070086-0.0018099i,-0.0012978-0.0012071i,-0.0010448-0.00043729i,-0.00092279-0.00034692i,-0.00011496-0.00057148i,0.00020737-0.00079863i,-0.00024365-0.00063069i,-0.00052942+0.00028144i,-9.9079e-05+0.00074178i,0.00061766+0.00025057i,0.00026183+7.1933e-05i,-0.00032883+0.00061156i,0.00018569+0.00067986i,-5.7937e-05+0.00024834i,-0.00058463+8.4928e-05i,-0.00031782+0.00012671i,0.00027021+0.00053197i,0.00027479+0.00029618i,0.00014887+0.00052009i,-0.00018887+0.0009944i
-0.0011779+0.00079483i,-0.0022941+0.00055651i,-0.0034188+0.00065583i,-0.0021115+0.00064085i,-0.00027523+6.0322e-05i,-1.3057e-05-0.0007495i,-0.00027658-0.00095966i,-0.00057139-0.00093539i,1.9635e-05-0.00061066i,0.00033957-0.00077827i,0.0003347-0.00047391i,0.00024247+2.2473e-05i,0.00011954+9.6435e-06i,6.8019e-05+0.00068448i,0.00011347+0.00090729i,6.2635e-05-0.00012349i,0.00021205-0.00023593i,0.0010732+0.00049281i,0.0011829+0.00017061i,0.00044857-0.00049934i,0.00031197-0.00027235i,0.00053322+0.00060702i,-0.00050726+0.00067708i
-0.0017494+0.00022041i,-1.6826e-05+0.0017975i,0.00054871+0.0025255i,0.00032343+0.0015932i,0.00075732+0.0001699i,0.0010844-0.0010446i,-0.0002757-0.0012105i,-0.00094864-0.0013105i,-0.00029359-0.0011746i,0.00022549-0.00097755i,0.00047926-0.00099654i,0.00037559-0.00063522i,9.2255e-05-0.00035608i,-0.00010574-0.00071059i,-6.0393e-05-8.8354e-05i,-0.00043125+0.00012446i,-0.00043375-0.0011455i,0.00045305-0.0013703i,0.0001704-0.00035601i,-0.00021759+0.00025744i,0.00031562+0.00041044i,0.00057838+0.0002771i,0.00021094-0.00010843i
0.0018108+0.0015108i,0.0010921+0.0014526i,0.00065424+0.00069322i,0.00053017-5.9591e-05i,0.00053091-0.00067224i,0.00014397-0.0014548i,-0.00049791-0.0012174i,-0.0011507+5.8662e-05i,-0.0014055+0.00052256i,-0.0010086+0.00031887i,-0.00028726+0.00025058i,0.00015958+0.00034301i,0.00021838+0.00048938i,0.00031266+2.7244e-05i,0.00017253-0.00039647i,-0.00038836-3.2776e-05i,-0.00059952-0.00013813i,-0.00032286-0.00027611i,0.00010802-0.00056578i,0.00051019-0.0010959i,0.00079925-0.00066196i,0.00011373-0.00026412i,-0.00068445-0.00035146i
-0.0013048+0.00054276i,-0.00058018+0.00067511i,-0.0014196+0.0014649i,-0.0022882+0.0010988i,-0.0022008+0.00026802i,-0.0019655-0.00037468i,-0.0016925-0.00049365i,-0.0010943+1.115e-05i,-0.00022418+0.00025341i,0.00015222-0.00039686i,4.7444e-07-0.00036326i,-1.5299e-05+7.075e-05i,-0.00028092+0.00027484i,-0.0004771+0.00081419i,0.00013035+0.00037829i,7.1718e-05-0.00034651i,0.00030308-0.00063718i,0.00050106-0.00022828i,0.00053027-0.00037207i,8.2358e-05-7.4873e-05i,-0.00021921+0.00066252i,0.0004757+0.00041438i,0.00039423+0.00038543i
-0.0010649-8.3085e-05i,-0.0015321-0.0015371i,-0.0016784-0.0016284i,-0.0015531-0.00045216i,-0.0014963-0.00089689i,-0.0011953-0.0009258i,-0.00039693-0.0006981i,-0.00026416-0.0008588i,-0.00078978-0.00080092i,-0.0012769-0.00081503i,-0.0010972-0.00085653i,-0.00088274-0.00021639i,-0.000829+0.00066134i,-0.00078133+0.00083168i,-0.00071401+0.00022578i,-0.00048236-0.00016891i,-0.00036338-0.00039137i,-3.9423e-05-0.0004053i,0.00056024+0.00010376i,0.00086262+0.00053343i,0.00069363+0.00028691i,0.00043751-0.000606i,-0.000332-0.0010402i
0.0005634-0.00081437i,0.00039498-0.00044013i,-0.00085263-0.00088029i,-0.0015272-0.0014296i,-0.0013565-0.00079424i,-0.00052428-0.0001307i,0.00028389-0.00017947i,0.00024209+0.0004824i,6.3497e-05+0.0014947i,-0.00054263+0.0013565i,-0.00070463+0.00037117i,0.00042963-0.00033774i,0.0011349+0.00010512i,0.00066149+0.00066577i,0.00014719+0.00035857i,7.2508e-05-0.0009337i,0.0003312-0.0013093i,-2.8904e-05-0.0007682i,-0.00010514-0.00040193i,0.00052888+0.00021519i,0.00050251+0.00047584i,-6.9477e-05+0.00057743i,-0.00017107+0.0003464i
0.0022713+0.0017582i,0.0021262+0.0016799i,0.001337+0.00065809i,0.00015341-0.00074626i,-0.00027613-0.0014713i,-0.0012754-0.00076601i,-0.0021939+0.00029543i,-0.0019887+0.00037008i,-0.00073139+0.0001047i,0.00024318+0.00023244i,0.00012752+6.717e-05i,-1.5152e-05+0.00019524i,0.00022797+0.00067993i,-0.00027959+0.00090719i,-0.00052804+0.0003137i,-0.0002316-0.00032329i,0.00022101-0.00079266i,0.00018873+8.6491e-06i,0.00027558+0.0009442i,0.0003332+0.00026343i,0.00042309-0.00023565i,0.00062398+2.1832e-05i,0.00033709-0.00033659i
0.00046445-4.3905e-05i,0.00031479-0.00056476i,-0.00040177-0.0016656i,-0.0016054-0.0017848i,-0.0016098-0.0013278i,-0.00049194-0.00029254i,0.00012867-3.1648e-05i,-0.00076704-0.00039299i,-0.0011036-7.9524e-05i,-0.00094224+0.00092919i,-0.00089136+0.001249i,-0.0015773+0.00026948i,-0.0016422-5.2619e-05i,-0.0010791+0.00020359i,-0.00055461+0.00024914i,0.00014148-0.000343i,0.00020415-0.00147i,5.2422e-05-0.0013083i,-0.00010143-0.00018604i,-5.3637e-05+0.0006319i,-9.1787e-06+0.00096672i,-0.00061235+0.00069155i,-0.00068938+0.00022429i
-0.00084536+0.0014186i,-0.00083115+0.0012802i,-0.00046308+0.0017519i,-0.0010057+0.0019179i,-0.0004379+0.00063906i,0.00034361-0.0010678i,0.00032458-0.00053044i,0.00032174+0.00021838i,0.0006328-0.00032431i,0.00020741-0.00098268i,-0.00023604-0.00078825i,0.00037846+0.00041446i,7.9327e-05+0.00095234i,-0.00055547+0.00056564i,-0.0002432+0.00034162i,-0.00015468+0.00043708i,-0.00011827+0.00023293i,-0.00026295-0.00014368i,-0.00034355-0.00088896i,0.00027311-0.0012644i,-5.5545e-05-0.00051323i,-0.00077444-0.00011928i,-0.000545-0.00036404i
