-0.0049351-0.000569i,-0.0040426-0.00023577i,-0.0036459+0.0031255i,-0.0024007+0.0045934i,-0.00072006+0.0027343i,-0.00025486+0.00037644i,-0.0005312-0.00045747i,0.00018724+2.2114e-05i,0.00091478+0.00025951i,0.00087802+0.00036311i,0.00035786+0.00025183i,-2.9506e-05-0.0002066i,-9.1699e-05-0.00048239i,-2.254e-05-0.00083689i,0.00035479-0.0012504i,0.00057358-0.00051771i,0.00028403+0.00029234i,0.00014727+0.0002395i,0.00023949+0.00068841i,-0.00017804+0.00053384i,-0.00072948+0.00042601i,-0.00085389-0.00019424i,-3.585e-05-0.00045877i
0.0011994+0.0017432i,0.0015413+0.001202i,0.0015299+0.00067319i,0.0011414-0.00048369i,0.00021044-0.0016449i,-0.00076683-0.0012279i,-0.00060108-0.0014407i,-0.00044408-0.0012397i,-0.00080538-0.00032608i,-0.00030199-0.00014102i,0.00030691+0.00027762i,0.00087494+0.00089771i,0.001111+0.00098574i,0.00093349+0.00071356i,0.00068168+0.0010431i,0.00047212+0.001094i,0.00031917+0.0010508i,0.0002495+0.00070359i,0.00047048+0.00040051i,1.621e-05+0.00054997i,-0.00025217-5.9252e-05i,-0.00020929-0.0002226i,-0.00027718+1.0231e-05i
-0.00051883-0.00093928i,-0.00071362-0.00096084i,-0.0015109-0.00025495i,-0.0020786+0.00030959i,-0.00054949-3.9118e-05i,0.00067023-0.00047782i,0.00085783-0.00065026i,0.001194-0.00034696i,0.0012042-4.2368e-06i,0.00021103-0.00014569i,-0.00019631-0.0001725i,0.00012586+0.00050423i,0.00015489+0.00050689i,1.398e-05+1.8903e-05i,0.00035336+0.0004841i,0.00010513+0.00078404i,0.00021148+0.00064605i,0.00040081+0.00087095i,0.00013339+0.00047385i,0.0010805+0.00011286i,0.0013692+0.00058677i,0.00011346+0.00034061i,-0.00062193-0.00021644i
-0.0012937+0.00065635i,-0.0014542+0.0011077i,-0.00069123+0.00091402i,-0.00045723+0.00023515i,-0.00093874-0.00079072i,-0.001167-0.00091591i,-0.0014301-0.0009009i,-0.0015622-0.00067716i,-0.0013319+0.00012951i,-0.00067686+0.00076852i,-0.00085014+7.4369e-05i,-0.00011021-0.00081879i,0.00096788-0.00065991i,0.00042003-0.00099878i,8.322e-05-0.00067648i,9.6616e-05+0.00044817i,0.00016974+0.00046451i,0.00085507-0.00029248i,0.0012034-0.0007262i,0.00031804-0.00028712i,-0.00035981+0.0005841i,-0.00074151+0.00037666i,-0.00038264-0.00027915i
-0.00080636-0.00066153i,-0.00067285+9.4447e-05i,0.00011453+0.00068467i,0.00071467+0.00021888i,0.00066853-0.00067257i,-0.00021221-0.00107i,-0.00025775-0.00029331i,-3.0612e-05+0.00022027i,0.00061725+0.00019149i,0.00033111+0.00013644i,-0.00074007-0.00069911i,-0.00086603-0.00073739i,0.00018948+0.00023958i,0.00077028+0.00080498i,-0.00011863+0.00076878i,-0.0010186+0.00055089i,-0.0013484-0.00042805i,-0.0009587-0.0011127i,0.00011085-0.00064148i,0.00072716-0.0001871i,0.00028848+0.00042072i,0.00016264+0.0012533i,0.00032013+0.0011465i
-0.00016886-0.0001603i,-0.00065824-0.00034869i,-0.00064572-0.00020336i,-0.00086797+1.219e-06i,-0.0013076-0.00043745i,-0.0012928-0.0010007i,-0.0011062-0.001444i,-0.00050079-0.0014436i,1.8183e-05-0.00065525i,-5.816e-05+3.267e-05i,-0.00037992+0.00042571i,-0.00089436+0.00069474i,-0.00080385+0.0010228i,-0.00012914+0.00034131i,0.00026939-0.0008194i,0.00033806-0.00081315i,0.00039702-0.00010022i,0.00089346+0.0002484i,0.00093439+0.00021064i,0.0003271-0.00047168i,-9.068e-05-0.00058594i,5.7107e-05-0.00031146i,0.00051507+0.00014327i
0.002181-0.0012251i,0.0013998-0.00053277i,0.00028888+0.00011633i,-0.00035169+8.5112e-06i,-0.0005504-5.8916e-05i,1.5166e-06+0.00064679i,0.00032976+0.00085556i,-2.9746e-05+0.00029297i,-2.5046e-05-8.8884e-06i,-3.2009e-05+0.0001212i,-6.8244e-05+0.00061283i,-0.00029527+0.00058073i,-6.0539e-07+0.0003157i,0.00033308+0.00016517i,5.9016e-05-0.00032256i,0.00016009-2.5934e-05i,0.0002219+0.00037149i,0.00046447-0.00010206i,0.00080148-0.00014661i,0.00062183+0.00052967i,-7.5291e-05+5.8993e-05i,-2.3349e-05-0.00018513i,0.0001292+0.00052203i
0.00028266+0.0034045i,0.0009226+0.0030172i,0.00045783+0.0024213i,-0.00082596+0.0013253i,-0.00085947+0.00016826i,-0.00056424-0.00036981i,-0.00037424-0.00065432i,-8.7429e-05-0.00057586i,0.00036797-0.00040128i,0.00060064-0.00029201i,-0.00012537-0.00040911i,-0.0012311-8.4056e-05i,-0.001732-0.00029251i,-0.0013743-0.00092993i,-0.00078305-0.00016462i,-0.00048064+0.00031367i,-0.00090896+0.00019156i,-0.00080244-0.0004101i,0.00036625-0.00040495i,0.00094931+0.00017202i,0.00096119+0.00026544i,0.00030486+0.00050506i,8.1919e-05+0.0011402i
-0.002165+0.0003087i,-0.001795+0.00035337i,-0.0019825+0.0010043i,-0.0020613+0.0014745i,-0.0011548+9.3225e-05i,-0.00048558-0.0008354i,-0.0011079-0.00070736i,-0.0010259-0.00025569i,-0.00030927-0.00031946i,-0.00014529-0.00021009i,8.3133e-05+0.00059464i,0.00032532+0.00017033i,0.00044054-0.00010497i,-1.3566e-05-0.00012686i,-0.00013741-0.00031283i,-2.9442e-05-1.7296e-05i,3.922e-05-0.00014146i,0.00044267-0.00034716i,0.00032101+0.00021136i,0.00011848+0.00041472i,0.00014799-0.00031756i,0.00042402-0.001039i,0.00074868-0.00063184i
-0.00074699-0.00075162i,-0.00024128-0.00035703i,-0.00032544-0.00040636i,0.00013839-0.00040677i,1.6087e-05-0.00039566i,-0.00026413+6.8906e-05i,-0.00028432+0.0004206i,-0.00063046+0.00074335i,-0.00061646+0.00050155i,-0.0004483-0.00084909i,-0.00083628-0.00082961i,-0.00048503+3.0603e-05i,-0.00019709-1.0049e-05i,-0.0010245+0.0003305i,-0.00078883+0.00031039i,-0.00049054-0.00031632i,-0.00016498-0.0004589i,0.00074866-0.00035908i,0.0008004-0.00031291i,-5.5113e-05-5.3573e-05i,-0.00028175-0.0003115i,-9.7571e-05-0.0002064i,0.00035696+0.00031248i
0.0005682-0.0016824i,0.00090388-0.0021779i,7.4554e-05-0.00082285i,-0.00079155-4.8752e-05i,-0.001276+0.00063858i,-0.00059293+0.0013562i,-7.3354e-05+0.0012768i,-0.00057934+0.00071366i,-0.00090769+0.00086632i,-0.00082976+0.00086706i,-0.00054238+0.0005751i,-0.00043056+0.00055506i,-0.00020277+0.00038055i,0.00033943-8.6216e-05i,0.00041854-0.0005281i,0.00026276-5.843e-05i,0.00060594+0.00021418i,0.00070171-4.2014e-06i,0.00082862-0.00066626i,0.00067257-0.00057102i,5.5325e-06-0.00012456i,-0.00015543-0.00019427i,-0.00015407-0.00026739i
0.0014056+9.4248e-05i,0.00020078+0.00020061i,0.00029445-0.00070905i,-0.00045592-0.0013031i,-0.0013057-0.0013394i,-0.00083424-0.00072875i,-0.0010179+3.0023e-05i,-0.0016491-0.00021913i,-0.00081507+0.00014502i,0.00058207+0.00083251i,0.00089651+0.0010436i,-5.5357e-05+0.00073342i,-0.00094676+0.00070445i,-0.0010782+0.00063267i,-0.00028109+0.00067767i,0.00060921+0.00068959i,0.00099507-6.01e-06i,0.00063749-0.0006398i,0.00034235-0.00042433i,0.00020313+0.00031532i,0.00042264-0.00028072i,-6.87e-05-0.0011895i,-0.00040799-0.00052107i
0.0026725-0.00019581i,0.0023462-0.0012765i,0.00098885-0.0017485i,-0.00051664-0.0011383i,-0.0014059-0.0011482i,-0.0016178-0.0015244i,-0.0002-0.0014139i,0.0006394-0.00089499i,-0.00013315-0.00023065i,-0.00099615-6.2411e-05i,-0.001038-0.00028805i,-0.00061781-0.00033564i,-0.0001745-0.00033628i,0.00026133+0.0001504i,0.00033709-8.97e-06i,8.6151e-05-0.00066039i,0.00013477-0.00029913i,-0.00050711-5.0991e-05i,-0.00050193+2.295e-05i,8.4064e-05+0.00032854i,0.00055658-8.2456e-05i,0.00090494-0.00037483i,0.00080487-0.00063617i
-0.0011529+0.0016369i,-0.0020904+0.0014049i,-0.0014934+0.0018162i,-0.00044817+0.00079769i,-0.0001866-0.00093707i,-0.00034633-0.0020024i,-9.4151e-05-0.0017324i,-0.00031404-0.00015496i,-0.00058497+0.00032333i,2.4063e-05-0.00046668i,0.00011852-0.00050892i,-0.00027259-0.00011749i,-0.00040752-0.00087208i,0.0002273-0.0013769i,0.00021459-0.00011566i,-0.00052928+0.00051092i,0.00020698+0.00016825i,-4.8794e-05-0.00033649i,-0.00032041-0.00060855i,0.00056126-9.9087e-05i,0.00068847-0.00039777i,0.0005072-0.00053078i,0.00061111+2.6433e-05i
