-0.0023843+0.00018174i,-0.00094637-0.0010168i,-0.0020985-0.0016567i,-0.0017381-0.00079546i,-0.0009361+0.00122i,-0.00037635+0.0029765i,-0.00013301+0.002935i,0.00083227+0.0017465i,0.0021207+0.0013384i,0.0015643+0.0010075i,0.00054745+0.00031927i,-3.5185e-05+9.4704e-05i,-0.00075055-0.00019341i,-0.0010472-0.00050381i,-0.00048167-0.00025958i,-6.6926e-05+0.00071331i,-0.00050331+0.0015035i,-0.00052001+0.00091664i,2.4254e-05+0.00021135i,0.00026532+0.00040544i,0.00015269+0.00051067i,0.00040991+0.00051206i,0.00055268+0.0005503i
-0.00093924+0.001278i,-0.00013054+0.00090675i,0.0010611-0.00045828i,0.00061935-0.0012563i,0.00020131-0.00042737i,0.00039706+0.00032577i,-0.00033056+0.00094982i,-0.0009613+0.0015025i,-0.00067756+0.00055723i,-0.00043782-0.0010028i,-0.00047999-0.00078811i,-0.00059232-0.00046573i,8.865e-05+0.0002048i,0.00041417+0.001412i,-6.2779e-05+0.001265i,-0.00041235+0.00064346i,-0.00059618+0.000599i,-0.00063094+0.00055893i,0.00042621+0.00019008i,0.0011111-0.00050637i,0.00084927-0.0005786i,0.00052634-0.00055594i,9.7619e-05-0.00098303i
0.0024195-0.00097969i,0.0015839-0.0023345i,8.4399e-05-0.0020252i,-0.0006262-0.00091547i,-0.00013978+0.00011039i,-0.00029916+0.0003877i,-0.00064981+0.00042389i,-0.00067573+0.00040312i,-0.00015198-0.00011779i,0.00076293-0.00017436i,0.00073732+0.00021449i,0.00023268+6.5026e-05i,3.272e-05+0.00047074i,0.0002143+0.00041862i,2.6854e-05+0.0003153i,-0.00023122+0.00042006i,0.0002493-0.00017606i,0.00034796+0.00011694i,0.0003203+0.00060828i,0.00047004+0.00021397i,0.00018918+0.00019549i,-0.00036573-7.7973e-05i,0.00029304-0.00012565i
0.0014637+0.0018231i,0.0024722+0.00095613i,0.0016851-0.00052i,0.00048254-0.00084194i,-0.00024101-0.0002008i,-3.8067e-05+0.00055097i,0.00039773+0.0010853i,0.0010355+0.0014345i,0.00094568+0.0017873i,6.8517e-05+0.00080871i,0.00016331+3.2476e-05i,0.00034524-9.7732e-05i,0.00028756-0.00043402i,0.00022765-0.00021175i,0.00037058+0.00025102i,0.00077108-0.00011576i,0.00034156-0.0001958i,-0.00015115+0.00017909i,9.8532e-05+0.00022018i,-0.00029374+0.00010058i,-0.00075942-7.125e-05i,7.653e-05+0.00015049i,0.00042911-8.7941e-05i
-0.0025985-2.1123e-05i,-0.0024929+0.00069154i,-0.0017308+0.0019016i,-0.00070849+0.0020921i,-0.00043344+0.00093887i,-0.00022789+0.00061601i,-0.00032205+0.00079149i,-0.00010596+0.0002832i,0.00082964-0.00026787i,0.0013924-0.00019067i,0.0016112-0.00023402i,0.0010852+0.00012424i,9.3687e-05+0.00011485i,0.00049752-0.00047111i,0.00068108+0.0001911i,-0.000101+0.00044166i,-0.00011565-0.00024464i,0.00050622+9.9646e-05i,0.00073274+0.00044689i,0.0004469+0.000401i,0.00034024+0.00040841i,0.00077642+0.00033511i,0.00076332+0.00038783i
-0.00070239-0.0010682i,0.00039313-0.0014151i,0.00083194-0.0023383i,-0.00051494-0.0022267i,-0.00080685-0.00084569i,-3.0498e-05+0.00062399i,0.00059112+0.0011479i,0.00093888+0.00042883i,0.00074206-0.00062786i,0.00010538-0.001079i,-1.2913e-05-0.0010278i,0.00055787-0.00067959i,0.00081308-0.00050478i,0.00019692+0.0002205i,0.00022448+0.00052211i,0.0005296-9.2335e-05i,0.00069343-0.00055977i,0.00074762-0.00083698i,4.5901e-05-0.00024631i,-0.00055499+0.00035821i,-0.00047695+0.00014586i,-0.00032381-0.00016135i,3.9429e-05-1.4431e-05i
0.00129+0.00064552i,0.0019822+0.00081479i,0.0013693+0.00014284i,0.0007428-0.0012967i,0.00010797-0.00060362i,6.1934e-05+0.00064168i,0.00039519+0.00079139i,0.00025695-2.7906e-08i,0.00076235+0.00010949i,0.00096109+0.00061285i,0.00031469+0.00036221i,-0.00014155-0.00022739i,-0.00021221-0.0004128i,-0.00038869-0.00049775i,-0.00023462-0.00027769i,-0.00018496-0.00039222i,1.9287e-05-0.00049007i,-0.00011342-0.00042482i,-0.00027953-0.00036246i,0.00029433-0.00072035i,0.00039754-0.0010694i,-4.8567e-06-0.00073614i,0.00060083-0.00017187i
0.0016834+0.0013039i,0.0015983+0.0001589i,0.0012773-0.0017714i,0.00049994-0.0021703i,0.00017624-0.0014907i,1.3278e-05-0.00032567i,0.00013892+0.00051568i,0.00036902+0.00072214i,-0.00039686+0.0010105i,-0.00094766+0.00074714i,-0.00017285+0.00045534i,0.0006012+6.7216e-05i,-0.00010335-0.00056429i,-0.00017423-0.0004053i,0.00030958+0.00030058i,0.00054808+0.00077294i,0.0005797-4.4065e-05i,0.00046081-0.0010203i,0.00052225-0.00011484i,0.00064753-0.00013389i,0.00060969-0.00096321i,0.00019056+0.00012909i,-0.00046026+0.0011244i
-0.0021055-0.00053679i,-0.0018141-0.00041701i,-0.00090848-0.0006229i,-0.00052653-0.00035861i,-0.00031702-0.00051119i,-4.1921e-05+0.00056749i,-2.8566e-05+0.0017031i,0.0002278+0.0010316i,0.00026111+0.00029293i,-0.00042218+0.00027458i,-0.00062999-0.00018511i,-3.061e-05+0.00028586i,0.0010206+0.00090182i,0.0010151+0.00085842i,3.0852e-06+0.0010149i,0.00026747+0.00089421i,0.00086305+0.00055088i,0.00038654-0.00022836i,2.0091e-05-0.00040859i,-0.00070305-0.00021771i,-0.00098079-0.00034479i,-0.00039593-0.00065874i,-0.00021526-0.00087845i
0.00086753-0.00039662i,0.0013233-0.00059592i,0.00095725-0.00073414i,-0.00037578-0.00053633i,-0.0012398+0.00010644i,-0.0010522+0.00054657i,-0.00082027+0.0013402i,-0.00021508+0.0010306i,0.00031294+0.00029911i,-0.00019049-7.7024e-05i,-0.00039929-0.00037085i,0.00016559-0.00043023i,0.00012998+0.00010869i,-0.00080975+0.00026945i,-0.0013855-0.0003578i,-0.00066678+5.3483e-05i,0.00036961+0.00055804i,0.00026515+6.68e-05i,-0.00067537+0.00053396i,-0.00083674+0.0014694i,-0.00058882+0.0011397i,-1.0059e-05+0.00056721i,0.00026492-8.6418e-05i
0.0017723+0.0010058i,0.001718+0.0005888i,0.0014769-7.6034e-07i,0.00097967-0.0011276i,-0.0001696-0.0011973i,0.00063292+0.00033032i,0.0005085+0.00081282i,-0.00060733+0.00026666i,-0.00055003-0.00016258i,-0.00061012-0.00085812i,-0.00058533-0.0005129i,6.2314e-05-2.824e-05i,3.8356e-06-0.00029356i,-0.00032438+0.00012333i,-7.7189e-05-4.7238e-05i,-9.2849e-05-0.00064693i,2.3556e-05-0.00049651i,0.00036252+0.00048971i,0.00010385+0.0010567i,-0.00026841+0.00023045i,8.6825e-06-2.6098e-05i,0.0005832+0.00016693i,0.00048551+3.4509e-05i
-6.1771e-05+0.00056091i,-0.00073506+0.0010351i,-0.00027836+0.00097964i,0.00054161+0.00014967i,8.6741e-05+0.00010046i,-0.00030348+0.00010786i,-0.00084395+0.00033465i,-0.00074427+0.00047978i,0.0004375-2.8664e-05i,0.00083924-0.00038992i,0.00047327-0.00061603i,0.00030593-0.00022662i,-5.5283e-06-0.00031655i,0.00024366-0.00062199i,0.00032409-0.0002598i,-0.00023895-0.00042414i,-8.8661e-05-0.00097234i,0.00088241-0.0010068i,0.0011874+9.9492e-05i,0.00037387-2.7431e-05i,-0.00045606-0.0010294i,-0.0008897-0.0018645i,-0.00031212-0.0014215i
0.00069929+0.0013472i,-0.00032306+0.00098107i,-0.00032699+1.6981e-05i,-0.00068459-0.00040576i,-0.0015415-0.00014007i,-0.0010516-0.00010168i,-0.00028326-0.00013669i,0.00015478+0.00012392i,0.00026764+0.0003257i,-0.00082754-8.1675e-05i,-0.00077839-0.00013905i,0.0003586-0.00020288i,0.00027228+0.0003387i,-0.00018688+0.00052316i,0.0002197-0.00015762i,0.00032901-0.00033447i,-0.00040552+2.9245e-06i,-0.00066778-0.00029721i,-0.00018598-0.00060877i,-2.0721e-05+0.000198i,4.7651e-05+0.00053i,0.0006747+0.0002015i,0.00063351+8.7214e-05i
0.0011668-0.0014766i,0.0014119-0.002031i,0.001163-0.0021984i,-0.00039737-0.0010678i,-0.0016648+0.00053305i,-0.0012096+0.00087142i,0.00016191+0.00079806i,0.00062456+0.00086618i,0.00018677+0.00078525i,-0.00064277+0.00073721i,-0.0012357+0.00069589i,-0.0010346-6.7269e-05i,-0.00036526-0.00040763i,1.7342e-05+0.00020409i,0.00025895+0.00054788i,-0.00011118+0.00065895i,-0.00081379+0.00019332i,-0.00050164-0.00043373i,0.00022309+9.549e-05i,0.00083564+0.00061678i,0.001133+0.00038316i,0.00072464+8.6064e-05i,0.00028067-0.00074196i
0.0033324-0.0019124i,0.0021067-0.0019726i,0.00014827-0.0023772i,-0.00068541-0.0022024i,-0.0008152-0.0017271i,-6.1433e-06-0.00097699i,5.2862e-05+0.0002062i,0.00053042+0.00056253i,0.00085112-0.00013632i,-0.0002715-0.00094064i,-0.0004583-0.00077148i,-0.00031562-0.00078503i,-0.00030219-0.00063095i,-0.00048565+0.00019283i,-0.0010055+0.00063638i,-0.0013885+0.00029523i,-0.0010729-0.00022102i,5.1323e-05+0.00017179i,0.00077393+0.00075622i,0.00014304+0.00013742i,-0.00021963+0.00015824i,-4.6627e-05+0.00073004i,-0.00017132+0.00075995i
7.1037e-05+0.0029912i,-8.9098e-06+0.0029484i,0.00031823+0.0011578i,0.00077074+0.0004074i,0.0005237+0.00032702i,5.406e-05-0.00023496i,-0.00024661+0.0003052i,-0.00077721+0.00096684i,-0.0004991+0.00069122i,0.00015446-0.00013673i,0.00021549-0.00073323i,-0.00040138-0.00039125i,-0.0012098+0.00046331i,-0.00078836+0.00015112i,0.00016189-0.00034594i,0.00026485+0.00020328i,0.00042141+0.00027712i,0.00023767+7.8599e-06i,-0.00026519-6.4748e-05i,-0.000452+0.00010099i,-0.00040988+4.3174e-05i,0.00017093-5.0814e-05i,0.00016747-1.7349e-05i
-0.00035691-0.0016976i,-0.00081219-0.0015925i,-0.002008-0.0011626i,-0.0031758-0.00081482i,-0.0025869-0.0011287i,-0.0015567-0.00054392i,-0.0011178-1.4792e-05i,-0.00046773+0.00038145i,-0.00032311+0.0011879i,-0.00059095+0.0017184i,1.4635e-05+0.0013076i,0.00034915+0.001143i,0.00064895+0.001069i,0.0013421+0.0010179i,0.0010025+0.00073327i,0.0002975+0.00058269i,0.00026801+0.0007545i,0.0010421+0.00027444i,0.0010394-0.00027992i,0.00026646+3.4328e-05i,0.00020703+0.00051913i,0.00057869+0.00049903i,8.1373e-05-6.1497e-05i
0.001552-0.003312i,0.0015554-0.0026552i,0.0012247-0.0015584i,-0.00016299-0.0010871i,-0.0012573-0.00075102i,-0.00063214-7.5092e-05i,0.00017029+0.00043514i,0.00069714+0.00060774i,0.001211+0.00066968i,4.8003e-05+0.00019966i,-0.00058701+0.00046688i,0.00018688+0.00095572i,0.00050281+0.00095184i,0.00079362+0.0013514i,0.00059785+0.0011809i,-9.5721e-05+0.00049795i,-0.0005552+0.00036265i,-0.00048997+0.00074475i,-0.00031469+0.00068897i,8.8747e-05-6.9734e-05i,0.00029242-0.000975i,0.00018625-0.0011992i,2.4399e-05-0.00026554i
-0.0012493-0.0006635i,-0.00087662-0.00038069i,-0.0014989+0.00023852i,-0.0017421-7.6699e-05i,-0.0012094-0.00058736i,-0.0008657-0.00033851i,-0.00064812+0.0009161i,-0.00067189+0.0013135i,-0.00039103+0.00090353i,-0.00044323+0.00068054i,-0.00036398+0.00025291i,0.00038268-0.00032581i,0.0011306+0.00031185i,0.0011414+0.00032521i,0.00074339-8.3855e-06i,0.00041847-0.00012051i,0.00078154+6.3023e-05i,0.00084105+0.00035407i,-9.8585e-05+4.9195e-05i,-0.00053759-0.00037574i,-0.00020945-0.0004198i,0.00044595-9.9888e-05i,0.00037359-5.4541e-05i
0.0013529+0.0017837i,0.001979+0.001398i,0.0021521-8.0157e-06i,0.00066604-0.00072251i,-0.00062612-0.00042074i,-0.0004343-1.9222e-06i,-0.00079863+0.00027465i,-0.00048745+0.00025679i,9.5575e-05-0.00010459i,-0.00018798-0.00036134i,-0.0005952+0.00010842i,-0.00057461+0.00043194i,-0.00061541+0.00014208i,-0.00057976-0.00017336i,9.9802e-05-0.00031471i,0.00022793-6.2254e-05i,-0.00038689+3.6412e-05i,-0.0005509+4.5128e-05i,0.00012188-0.00036586i,0.00034952-0.00061167i,-0.00038744-0.00040387i,-0.00078384-0.00059492i,-0.00042893-0.00066654i
