-0.00062896-0.0010951i,0.0005572-0.0016951i,7.9221e-05-0.001608i,-0.0015438-0.0013788i,-0.0017599-0.0006968i,-0.0012112+0.00074511i,-0.00041381+0.0014591i,0.00038925+0.00099521i,0.0011798+0.00047573i,0.0017034+0.00048067i,0.0015309+0.00016741i,0.00018248-0.00037902i,-0.00043383-0.00057341i,5.5304e-05-0.00082344i,-0.00024966-0.00076904i,-0.00047947-0.0010879i,-0.00021849-0.00096211i,0.00019499-0.00060511i,0.00070258-0.00037318i,0.0010588+0.0001811i,0.00080909+0.0002063i,0.00012343-0.00035403i,-8.4944e-05-0.00027026i
0.001065+0.00055716i,0.001323+0.0017712i,0.00022551+0.001423i,0.00028543+0.00019098i,0.00057273+0.00065821i,0.00010455+0.0006244i,-1.4885e-05+0.00082984i,0.00073065+0.00065451i,0.00082061-0.00016982i,0.00052537-0.00017039i,0.00053083+0.00051312i,0.00049907+0.00082975i,0.00026163+0.00047177i,0.0002475-0.00052397i,0.00031695-0.0009363i,0.00024772-0.00095907i,-9.7439e-05-0.00095465i,-0.00024417-0.00019487i,-0.00029312-2.1652e-05i,-0.00029573-0.00070083i,0.00027027-0.00091852i,0.00069553-0.00078493i,0.0012023-0.0011583i
-0.0015911+0.00056544i,-0.0022197+0.0014885i,-0.0026349+0.0011485i,-0.0011777-5.7848e-05i,3.1753e-05-0.00049716i,-0.00015136+0.00017977i,0.00018667-0.00052164i,0.00056706-0.00052688i,0.00015157-0.00039917i,-0.00021228-0.00029649i,-0.00046164-9.3136e-05i,-0.00067633-0.00011138i,-0.00050195-0.00015187i,-6.7796e-05-0.00022107i,0.00061537+0.00011103i,0.0011204+0.0002794i,0.00071886-0.00034534i,-0.00011838-0.00060565i,-5.701e-05-0.0002227i,0.00032684-0.00026263i,0.00092615-0.00061114i,0.0010423-0.00046869i,-0.00016296-0.00017679i
-0.00013781-0.0035964i,-0.00090322-0.0034283i,-0.0017049-0.0024832i,-0.0016403-0.0018101i,-0.0017273-0.0011437i,-0.0018807+0.00015449i,-0.00082569+0.00014444i,0.00087815-0.00015441i,0.0014769+0.0001101i,0.0007684+0.0004439i,-0.0001719+0.00012091i,-0.00027465-0.0005948i,0.00053994-0.00068139i,0.001706+8.9285e-05i,0.0022029+0.00081148i,0.001749+0.0006351i,0.00093729-0.00033674i,0.00052109-0.00065209i,0.00056791-0.00040118i,0.00073582+9.1092e-05i,0.00039298+0.00088888i,6.4526e-05+0.00058553i,-0.00051373-0.00059481i
-0.0011853-0.0013157i,-0.00089014-0.0014343i,-0.0012186-0.0014067i,-0.0014122-0.00057836i,-0.00045121+0.00020379i,0.00072619+0.00042384i,0.0004735+7.3861e-05i,-0.00024493-5.7616e-05i,-0.00053074+0.00011535i,-0.00015118+0.00010715i,0.00049632-6.0615e-05i,0.00099011+3.0788e-05i,0.00095556-5.8034e-05i,0.00049764-0.00010108i,0.00051955-0.00011162i,0.00041732-0.00069571i,-0.0003242-0.0011393i,-0.00018597-0.00087695i,0.0004352-0.00062377i,0.0014527-0.00032228i,0.0011066+2.2382e-05i,-2.641e-05+0.00038457i,-0.00037743-0.00050115i
0.0012195+0.001148i,0.00065299+0.00084718i,-0.00015724+5.3801e-06i,-0.00076976-0.0013716i,-0.0015446-0.00253i,-0.0018671-0.0021033i,-0.0017161-0.00093234i,-0.00045517-0.00058101i,0.0012405-0.00034852i,0.00068287-0.00040178i,-0.00064277-0.00014988i,-0.0010869+0.00025023i,-0.00086537-0.00024065i,-8.7954e-05-0.00036742i,0.00033764+0.00027023i,-1.0494e-05+0.0003264i,0.00014678-0.00013494i,0.000533-0.00010138i,0.00067253-0.00010679i,0.00078106-0.00044489i,0.00053107-0.00011339i,1.2385e-05-0.00012131i,0.00034143-0.00048859i
-0.0014612-0.0025169i,-0.0014032-0.0017785i,-0.001543-0.0013549i,-0.0010203-0.0012359i,-0.00062434+2.8502e-05i,-0.00073599+0.0012655i,-0.00091676+0.001221i,-0.00033269+0.00011958i,0.00060968-0.00028498i,0.0003495-0.0002033i,-0.00027455-0.00038481i,-1.9443e-05-0.00014615i,0.00020286+0.00027916i,-0.00019901+0.00029088i,-7.6048e-06+0.00012803i,7.6866e-05+0.00025633i,-0.00010563+0.00041392i,-0.00015548+0.00022708i,0.00086359-0.00066383i,0.0011247-0.00038821i,0.00064839-0.00054727i,0.00062926-0.00046447i,0.00039+0.00011368i
0.0021187-0.00039525i,0.00044005-0.0014536i,-0.00016287-0.0022743i,-0.00039928-0.0028588i,-0.00049484-0.0026749i,-0.00059541-0.0010293i,-0.00038629-0.00010185i,0.00069012-0.00010447i,0.0014114-0.00068462i,0.0011498-0.0011808i,2.4174e-05-0.00059168i,-0.00049484-7.6369e-05i,-0.00055394+4.4739e-05i,-0.00045975-3.1214e-05i,0.00043432-0.00048785i,0.00074711-0.00028624i,0.00029783+0.00030049i,0.0001263-6.5707e-05i,6.9836e-05-0.00026232i,-0.0005772+0.00026051i,-0.0010544+0.00072195i,-0.00059316+0.00051157i,-0.00042132-0.00038891i
0.00073042+0.00078107i,0.0019203+0.0010073i,0.0028027+0.00042371i,0.0021032-0.0004725i,0.000845-0.00045114i,-0.00043741-0.00033632i,-0.00060299+0.00066076i,-6.5469e-05+0.0012261i,0.00021351+0.00046718i,0.00044576+0.00059644i,0.00018273+0.00028495i,-2.3105e-05+0.00011748i,0.0002562+0.00055685i,0.00059751+1.6365e-05i,0.0013026-0.00079492i,0.0013824-0.00054495i,0.00071474+6.3848e-05i,-0.00030436+0.00053183i,-1.9742e-05+0.00059506i,0.00081939+0.00072588i,0.00065796+0.00071932i,1.0216e-05+4.1719e-05i,-0.00040931-0.00038675i
0.0014813-0.0013492i,0.0018572-0.0017202i,0.0024664-0.0026397i,0.00093696-0.0025874i,-0.00052551-0.001978i,-0.0010217-0.00015947i,-0.00078043+0.0015403i,0.00030632+0.0018676i,0.00080149+0.00090607i,-0.00057403-0.00027611i,-0.0011611-0.00039042i,-0.00043206+0.00066975i,0.00040558+0.00098431i,0.00032777+0.00058897i,-0.00029016+3.3855e-05i,-0.00038268+0.00033444i,0.0003373+0.0010349i,0.0009016+0.00057891i,0.00015974-0.00028254i,-0.00026501-0.00039371i,0.0003188-0.00044616i,0.00079862-0.0004983i,0.00014938-0.0011335i
0.00039482+0.00055547i,-0.00094921+0.00039725i,-0.0017372+0.00034462i,-0.0017827-0.00033556i,-0.0012993-0.0005414i,-0.00079064-1.0017e-05i,-0.0012904-0.00038492i,-0.0012644-0.00072261i,-0.00034553+4.6774e-05i,0.00031808+0.00080379i,5.4813e-05+0.0010788i,0.00016844+0.00037034i,-0.00012767+8.6586e-05i,-0.000691-0.00021898i,-3.4854e-05-0.00025376i,0.00032579-6.2279e-05i,3.8138e-05+0.00027679i,-0.0002564+0.00089723i,-0.00021947+0.00048362i,0.00063958-0.00045919i,0.00063151-0.00066719i,1.3537e-06-0.00055154i,-9.9705e-05-0.00062112i
0.00054816-0.0011861i,-3.3913e-05-0.0013806i,-0.00048528-0.0012706i,-0.0010271-0.0010901i,-0.0011496-0.0006064i,-0.0013806-0.00064332i,-0.00069993-0.00058019i,0.00017336+0.00083248i,0.0011687+0.0014953i,0.00098086+0.0005224i,-0.00033379+8.5184e-05i,-0.00082355+0.00043844i,-0.00043154+0.00011448i,0.0001013-8.1732e-05i,0.00010899-4.0654e-05i,0.00017119-0.00034737i,0.00029458-0.00055796i,0.00044319-0.00023175i,0.00042869-0.00022598i,0.00040071-0.00057284i,0.00083076-0.00042314i,0.00053225-0.00041902i,0.000298-0.00086915i
-0.00047728-0.0020361i,-0.0010911-0.0020452i,-0.0012423-0.0018254i,-0.00019506-0.0021983i,-0.00064755-0.0010676i,-0.0012294-0.00071032i,-0.00024649-0.00087988i,1.4534e-05-0.00023806i,-0.00045879+7.2408e-05i,2.8533e-05+8.7452e-05i,0.00070626-5.5459e-05i,0.00075893+5.4526e-05i,0.00053471+0.00065182i,4.5551e-05+0.00068516i,0.00024244-3.4513e-05i,0.00054967-0.00032214i,-6.7708e-05-0.00054168i,-5.7003e-05-0.001176i,0.00019839-0.0012985i,0.00026998-0.00095165i,0.00042381-0.00070662i,0.00092832-0.0005238i,0.0011934-0.00022868i
-0.0015134-0.0029177i,-0.00015775-0.0021371i,-0.00031242-0.0014115i,-0.0005452-0.0011713i,-0.00014433-0.00037357i,0.00037658+0.00023913i,-0.00047837-0.00013368i,-0.0011524-0.00024179i,-0.00049035+0.00040894i,0.00029717+0.00068443i,0.00052265+0.00033883i,0.00017019-5.2297e-05i,0.00018566-0.00076932i,0.00079804-0.0014429i,0.0012899-0.00067259i,0.0016459+0.00033974i,0.0010199+0.001052i,0.00054722+0.00073753i,0.00037566+0.00012442i,-0.0010258+0.00013417i,-0.0015164-8.9591e-05i,-0.00065574-0.00022587i,-5.6637e-05-0.00025615i
0.0013326+0.0030247i,0.002114+0.0031223i,0.0017944+0.0029047i,0.0015715+0.0012321i,0.00082715-0.0014652i,0.00017899-0.0017339i,-9.4067e-05-0.00044623i,-0.00050628+0.00083432i,-0.00010262+0.0010369i,0.0004728+2.573e-05i,0.00038002-0.00081524i,3.8115e-05-0.00074901i,-0.0005668-0.0005943i,-0.00076476-0.00063883i,-0.0001724-0.00093685i,-0.00015331-0.0011869i,-0.00018531-0.00027162i,-0.00015464+0.00070964i,-0.00031143+0.00067888i,-1.0753e-05+0.00084876i,0.00055431+0.00046056i,0.0011765+0.00011978i,0.0012517+0.00062713i
0.00046515+0.0013648i,0.00084349+0.00099739i,0.00073605+0.00042097i,0.0011882-0.0005817i,0.00097661-0.00075285i,7.4326e-05+0.00065339i,-1.1665e-05+0.0010589i,-7.4297e-05+0.00012426i,9.6097e-05+0.00010626i,0.00051841+0.00038062i,0.00062324-0.00029036i,0.00017782+0.00038408i,-9.2003e-05+0.0017621i,2.4523e-05+0.0013384i,-0.00024642+0.0003053i,-0.0003877+0.00010292i,4.5452e-05-0.00033506i,0.00022143-0.00039171i,5.2757e-05+0.00027327i,0.00027541-0.00029819i,0.00024516-0.00030247i,0.00060297+0.00051625i,0.00020272+6.7018e-06i
-0.0015612-0.0003095i,-0.0019912-0.0011448i,-0.0010028-0.0021178i,-8.5391e-05-0.0026311i,0.00032658-0.0017907i,-0.00068821-0.00069828i,-0.00090865-5.3145e-05i,-9.9122e-05+0.00043049i,5.8463e-05+0.00063715i,0.00030841+0.00049787i,9.4003e-05+0.00021131i,-0.00065669+0.00013583i,-0.0010144+0.00031021i,-0.0014802+2.1604e-05i,-0.0013334-0.00058203i,-0.0012977-0.00039791i,-0.00099595+0.00012293i,-0.00011439+0.00051674i,-0.00038517+0.00031925i,-0.00040146+0.00048965i,0.00032214+0.0008498i,0.0004112+0.00065808i,8.5847e-06-1.5131e-05i
0.00089432+0.0012673i,0.0017646+0.0018145i,0.0015941+0.0021671i,0.0017518+0.00093201i,0.0018763-0.0010807i,0.0007824-0.0021823i,-0.00053742-0.0012831i,-0.0007826-0.0007722i,-0.00032594-0.00082899i,0.00062596-0.00088826i,0.0012083-0.001108i,0.00045018-0.00036206i,7.5578e-05+0.00013212i,-0.00018788+0.00016349i,-0.00066991+7.7343e-05i,-0.0006367+0.00011528i,-0.00077183+0.00028177i,-0.001018+0.00025569i,-1.7076e-05+0.00020345i,0.0002874-0.00012636i,-0.00025533-0.0003116i,-3.4437e-05+0.00033412i,0.00039531+0.00049167i
-0.00080128+0.0016647i,-0.00064505+0.00152i,-3.7621e-05-0.00042311i,0.00024611-0.0013186i,0.00091511-0.00051737i,0.0012809-4.9329e-05i,0.00060055+0.00042822i,-8.8709e-05+0.00048923i,2.3227e-05+0.00036181i,8.4415e-05+0.000173i,-0.00010726-0.00052438i,-0.00068122-0.0011187i,-0.00030545-0.00069485i,0.00071664+0.00031277i,0.00096268+0.00015597i,0.00070116-8.6184e-05i,0.00024504-3.1186e-05i,-0.00014154-0.00033701i,-1.6523e-05-0.00023193i,0.00079993+0.00029124i,0.0010613+0.0004693i,0.00085275+0.00030358i,0.0007776-0.00040026i
0.00065495-0.0025348i,-0.00036207-0.0037105i,-0.00084234-0.0042739i,-0.0014716-0.0032712i,-0.0024861-0.00223i,-0.0023338-0.0012423i,-0.0010529-5.8282e-05i,-0.0003176+0.00020803i,0.00010384-0.00023814i,0.00056182-0.00086413i,0.0004796-0.0011785i,0.0003329-0.00087142i,9.0714e-05-0.00068253i,5.2146e-05-0.00019839i,0.00055396+0.00098447i,0.00075123+0.00076127i,-0.00013123-9.5395e-05i,-0.00018984-0.00063567i,0.00025344-0.00051424i,-0.00043623-0.00072107i,-0.00045485-0.00085115i,7.2634e-05+5.5157e-05i,0.0001275+0.00036484i
0.000469+0.00052192i,0.0014164+0.0008638i,0.0023918+0.0019253i,0.0023759+0.0012472i,0.001533-0.00016112i,-2.2066e-05-0.00020415i,-0.00048847+0.00038983i,5.8437e-05+0.00048105i,0.00066549+0.00045947i,0.00068524-0.00033915i,0.00072064-0.00076984i,0.0012018-0.00033198i,0.00088748-0.00040098i,0.00058894-0.0010863i,0.00044069-0.0006593i,0.00025015+0.0005826i,7.8196e-05+0.00046821i,0.00014489+0.0001643i,0.0003397+0.00032073i,0.00013889+0.0002056i,0.0002517+0.00030691i,0.00038404+0.00014655i,0.00061543-0.00031731i
0.0024151+0.0012999i,0.0021861+0.00024025i,0.0010391-0.00045932i,-2.7902e-05-0.001767i,-0.00054328-0.0020629i,-0.0011979-0.0012193i,-0.001145-1.6441e-05i,-0.00097988+0.00076946i,-0.00068714+0.00044608i,0.00010777+0.00013488i,0.0007676-7.2406e-05i,0.00025789-0.000117i,-0.00026638-0.00061737i,-0.00048765-0.00084995i,-0.00038626-0.0007834i,-0.00021145-0.00046499i,-0.00064409-0.00029668i,-0.00061201-0.00040609i,-0.00010534-0.00032598i,0.00059342-0.00012679i,0.00094541-0.00016251i,0.0014252-0.00038671i,0.0013021-0.0003777i
-0.00031548+0.0013395i,0.00022462+0.0007405i,3.5406e-05+0.00026913i,-2.9141e-05+0.0003972i,-4.1728e-05-0.00034468i,-0.0012707-0.0012346i,-0.0015835-0.00064772i,-0.00057921+0.00051741i,-0.00013265+0.00097398i,0.00040561+0.0005603i,0.0009756+0.00051527i,0.00080752+0.00063835i,0.00063993+0.00050688i,0.00022794-0.00018124i,-0.00044266-0.00069756i,-0.00021123+0.00057741i,0.00013786+0.00092526i,0.00017399-0.0001908i,-0.00075696-0.00033928i,-0.00079006+0.00065238i,0.00014479+0.0012797i,0.00053242+0.00052218i,0.00060148+0.00027322i
0.00017002+0.0012912i,0.0011186+0.0015787i,0.0015849+0.00056738i,0.0016075-0.00066329i,0.00036498-0.00076117i,-0.0011654-0.00045919i,-0.0013136+0.0002231i,-0.00070595+0.00029355i,-0.00047404-1.4448e-06i,-9.0474e-05-0.00038872i,-0.00011093-0.00098159i,-0.00044384-0.00086574i,-6.8818e-05-0.00068148i,4.9518e-05-0.00042583i,0.00013194-0.00029325i,0.00043386-0.00096922i,0.00047578-0.0012809i,0.00011344-0.00052556i,-0.0004374+9.1451e-05i,0.00032914+0.00056673i,0.00085532+0.00013494i,0.0001293-0.00022481i,-0.00013571+6.7797e-05i
0.0029142-0.00016594i,0.002873-0.00027693i,0.00052239-0.0016672i,-0.0010974-0.0035604i,-0.0013843-0.0034244i,-0.0017278-0.0018142i,-0.0013532-0.00059398i,-0.00056314-0.00043734i,0.00015962-0.0001633i,0.00023271-0.00048612i,-0.0005284-0.0010239i,-0.00056541-0.00014741i,-0.00052795+0.00047707i,-0.00039878+0.00040524i,5.1346e-05+0.00020165i,-0.00032051+0.00014504i,-0.00055134-0.00017078i,-0.00057828+0.00012534i,-0.00056233+0.00075185i,-0.00039196+2.3078e-05i,-3.9282e-05-0.0010241i,-0.00017195-0.0011621i,-0.0007388-0.00039952i
-0.00060034-0.00037987i,-0.00090602-0.00095975i,-0.0018853-0.0011845i,-0.0017377-0.00025889i,-0.00053339+0.00079936i,0.00033804+0.00092632i,-0.00012827+0.000696i,-0.00058478+0.00036122i,-0.00010203+0.00023688i,0.00035692+0.00042927i,0.00039918-3.2462e-05i,8.7754e-05-0.00013714i,0.00037569+0.00030587i,0.0012063+0.001062i,0.00071647+0.0010451i,0.00028899+0.0010215i,0.00030227+0.001103i,0.00036636+0.00034431i,0.00094613-0.00036399i,0.0014456-0.00066801i,0.0014418-0.00021255i,0.00077594+0.00056113i,-9.7496e-05+0.0006441i
0.0025642-0.00023051i,0.002048-0.00076304i,0.00091056-0.00077236i,-0.00034103-0.00092431i,-0.0005012-0.0016039i,-0.00039386-0.0016814i,0.00033443-0.00013565i,0.0010114+0.00041772i,0.00075311-0.0003525i,-0.00015392-0.00014006i,-0.00063365+0.00053757i,-0.0004579+0.00044271i,-0.00015126+0.00092707i,0.00032022+0.0010769i,0.00076349+0.0007784i,0.00066746+0.00054795i,0.00016304+0.00014387i,-0.00036148-3.0063e-05i,-0.00026915+0.00021849i,-0.00012648+0.0013074i,-0.0006695+0.0013123i,-0.0015011+0.00052102i,-0.00082454+0.00025651i
9.8277e-05+0.000209i,-0.00097458+0.00016976i,-0.0010946-0.00087484i,-0.0013354-0.0013086i,-0.0015775-0.00067329i,-0.00089703+0.00038907i,-0.00039958+0.00088348i,-0.00024499+0.00041509i,0.00030135-0.00037252i,0.00057538-0.00093149i,3.2982e-06-0.00034323i,-0.00061282+0.00071959i,-0.00010743+0.00049856i,0.00019789+0.00031983i,-0.00055688+0.0011404i,-0.00077796+0.0012285i,-1.6728e-05+0.0001548i,0.00053508-0.00059423i,0.00021244+0.00021695i,0.00041492+0.00071471i,0.00077035+0.00073001i,-0.00030032+0.00041571i,-0.00074862-3.0434e-05i
-0.00097381+0.00077941i,-0.00036652+6.7696e-05i,-0.00026438-0.00033288i,-0.00031487-0.00084542i,3.7625e-05-0.0013384i,-0.000582-0.0010823i,-0.0010474-0.00069569i,-0.00067348-0.00017326i,-0.00030266+0.00035457i,-0.00052121+0.00053279i,-0.00092956+0.00060269i,-0.00083669+0.00035448i,-0.00018937-0.00038334i,0.00030436-0.00070727i,0.00020034-0.000176i,-0.00040413+0.00065196i,-0.00021752+0.00080965i,0.0004795+0.00038235i,0.00040658+0.00038377i,0.00068917+0.00071206i,0.0006014+0.0010895i,0.00061684+0.00057466i,0.00084523+0.00014774i
0.00074139-0.0013693i,0.00076557-0.0025672i,0.00088782-0.0035713i,0.0017563-0.0029933i,0.0017087-0.0012851i,-4.3753e-06-9.3033e-05i,-0.00067412+0.00035158i,-2.8362e-05+0.00024226i,0.00032775+0.00016475i,-4.2285e-05-0.00012786i,6.8714e-05-5.0642e-05i,-0.00035481-9.3056e-05i,-0.00090105-0.001043i,-0.00023462-0.00093217i,0.00032383-0.00038039i,-4.7346e-05-0.00051345i,-0.0002018+9.9071e-05i,5.1702e-05+0.00058548i,0.0001292+0.00050403i,-0.00058401+0.00050395i,-0.0011182-5.4098e-06i,-0.00074804+1.5678e-05i,-0.0006065+0.00076523i
-9.8278e-07+0.00020618i,0.0019069+0.000213i,0.0016018-0.0005673i,0.0009112-0.00068457i,0.00016221-6.4853e-05i,-0.00024598+0.00017638i,0.00013557-5.8889e-05i,0.00053847-8.8244e-05i,0.00035313-0.00018472i,-0.00013957-0.00062305i,-0.00015926-0.00025761i,-0.00010114+4.9585e-05i,-0.00018806+0.00039989i,0.00034139+0.00046773i,0.00053053+9.3253e-05i,5.7288e-05-0.00026933i,-5.4089e-05-0.00070628i,0.00039652-0.00067927i,0.00042632+5.0628e-05i,0.00016793+0.00026737i,0.00060509-7.1983e-06i,0.00057899-0.00025495i,0.00027733-0.00034497i
2.7404e-05+0.0011895i,-0.00014807+0.0019873i,-0.00012697+0.0016662i,0.00028087+0.001098i,-4.0212e-05+0.00091397i,-0.00058577-2.7917e-05i,-0.0010401-0.00029391i,-0.0012882-3.0912e-05i,-0.00070555-0.00050738i,0.00014977-0.00013045i,0.00075082+6.9462e-05i,0.00048353-0.00052035i,-0.00049658-0.00039849i,-0.00078642-9.7643e-05i,-0.00071911+3.2789e-05i,-0.00028831-0.00013954i,0.00031595-0.0001505i,0.00028172-0.00010552i,0.00040337+0.00026383i,0.00092574+0.00067627i,0.0009054+0.00049037i,5.6922e-06+2.0678e-05i,-0.00060436+0.00053412i
0.00040466-0.00065407i,0.0015576-0.00082397i,0.0020736-0.0012515i,0.00099023-0.0022126i,-0.00027324-0.0017883i,-0.00074982-0.00036465i,-0.00072893-0.0001049i,0.00012863-0.00029231i,0.00053667+8.13e-05i,0.00042129+0.00056481i,0.00097727+0.00030004i,0.0011186+3.2616e-05i,0.00065446+0.00059156i,0.00085125+0.00098025i,0.00094658+0.00012227i,0.0004667-0.00033722i,-0.00025553-2.3259e-05i,-0.00041072-0.00035197i,0.0002628-0.00058123i,-0.00011404+0.00018598i,-0.00032208+0.00015457i,-0.00020036-0.00021251i,-0.00038563+0.00023576i
0.00023477+0.0011368i,0.00064808+0.0018934i,-0.0007606+0.0015444i,-0.0010835-0.00061577i,-0.00088677-0.0017239i,-0.0020406-0.0011507i,-0.0020554-0.00040073i,-0.001099-0.00021328i,-0.00044315-4.5897e-05i,-0.00015956-0.00028809i,-0.00021418-0.00064418i,-0.00012273-0.00055166i,-0.00040782-0.00044763i,-0.00076101-0.0004427i,-0.00046486-0.00088097i,5.7503e-05-0.0004963i,0.00057971+0.00036804i,0.00077215+0.00018977i,0.00064542+1.4604e-05i,0.00010011-0.00038956i,-0.0002165-0.0006068i,0.00042739-0.00050586i,0.0010368-0.00059327i
0.00039526+0.00058051i,0.0010825+0.00047828i,0.00031507+9.0933e-05i,-0.00017862-0.00062046i,0.00023812-0.00010643i,0.00088824+0.00016768i,0.00027047-0.00045182i,1.5748e-05-9.8013e-05i,0.0004809-6.3186e-05i,0.00011918-0.00028499i,-0.00039658-0.0004113i,-0.00023277-0.0004265i,6.4761e-05-0.00020749i,0.00015498+0.00027188i,0.00032549+0.00016652i,0.00055566-0.00043133i,0.00030154-0.00013493i,0.00031397+0.00036937i,0.00038978+0.00023583i,9.2233e-05+0.00084369i,-0.00076599+0.0018026i,-0.00082322+0.00047689i,-0.00057511-0.0001676i
0.0016261+0.0011305i,0.00040768+0.00045531i,0.0016183-0.0013677i,0.0020677-0.0023159i,0.00083449-0.0018287i,3.154e-05-0.000274i,5.2971e-05+0.00015681i,0.00047295-0.0004846i,-3.9539e-05-0.00027022i,0.00013728-0.0003026i,0.00049691-0.00088174i,0.00030068-0.00073444i,0.00066951+2.3404e-05i,0.00084863+0.00028783i,0.00042626+0.0002373i,0.0007095+0.00050227i,0.0013045+0.00064861i,0.00052437+0.00040959i,0.00041903+0.00011989i,0.00075762+5.0694e-05i,0.00065611+0.00022859i,0.00068978+0.00013015i,5.8646e-06-0.00010363i
-0.0007701+0.0004387i,-0.0022269-1.8576e-05i,-0.00199-0.0013099i,-0.00059423-0.0022753i,-0.00036598-0.0014859i,-0.00067426-0.00070668i,-0.00024664-0.00010479i,-0.00017072+5.3557e-05i,-4.6832e-05+0.00052998i,0.0003322+0.00068483i,-7.6993e-05-9.8293e-05i,-0.00075266-0.00064209i,-0.0002374-0.00056407i,5.8855e-05-0.0003019i,0.00013091-0.00055793i,0.00046368-0.00071866i,0.00060559-0.00045741i,0.00082825+6.8774e-05i,0.00053404+0.00042862i,0.00042314+0.00026863i,0.0009327-5.1038e-05i,0.0011293-0.00057199i,0.0011803-0.001096i
0.0020975+0.00053281i,0.0017284+0.00080894i,0.0008866+0.00061517i,0.0008116-4.3966e-05i,0.0005098-0.0012007i,-0.00081364-0.0014262i,-0.0011191-0.00011006i,-0.00027319+0.00063722i,4.5782e-06+0.00054466i,0.00042518+0.00013421i,0.0010188-0.0004489i,0.00078711+9.6325e-05i,0.00035113+0.00028706i,7.6961e-05-0.00051518i,-0.00025964-0.00049168i,-0.00037753-0.00062807i,0.0001362-0.0010739i,0.00040232-0.0010734i,0.00073588-0.00054651i,0.001427-0.00011808i,0.001346+0.00038106i,0.00044117+0.00025965i,-7.4725e-05-0.00040426i
0.0014285+0.0014691i,0.0027264+8.5636e-05i,0.0037076-0.001809i,0.0031979-0.0031489i,0.0014111-0.0030228i,0.00023478-0.0010769i,-0.0005488+0.0011547i,-0.00081012+0.00089596i,9.78e-05-3.6808e-06i,0.0014879-0.00028204i,0.0010187-0.00054569i,5.1363e-05-0.00080538i,-0.00028699-0.00013621i,-0.00057852+0.00016496i,3.5013e-05+0.0001667i,0.00025788+8.005e-05i,-0.0002252-0.00024122i,-0.00022912-0.00027083i,0.00015262-6.9585e-05i,0.00035591+0.0002063i,0.00019377+0.00024763i,-0.00068013-0.00051516i,-0.00055718-0.00074148i
0.0011995-0.0034147i,-0.00066367-0.0032461i,-0.0012169-0.0015334i,0.00047402-0.00051551i,0.0010989+0.00034621i,0.00010345+0.0014191i,6.321e-05+0.0012633i,0.0009633+0.00013126i,0.0017486+9.5863e-05i,0.0011467-0.00030734i,1.668e-05-0.0011196i,-0.00014982-0.0007014i,-0.00038598-0.00022728i,-0.00043338-0.00051362i,7.7978e-05-0.00053452i,-0.00025215-2.0274e-05i,-0.00054592-0.00027962i,0.00052685-0.00060593i,0.0008767-0.00052684i,0.00073225-0.00023152i,0.00043512-0.00011823i,0.00020492+3.6311e-05i,0.00017442-0.00032686i
0.00050709+0.0011249i,0.00028515+0.0022844i,-0.0008184+0.00099305i,-0.00036217-0.00097829i,-6.6392e-05-0.00045564i,-0.00040126+0.00028728i,-0.00023288-0.00024797i,-0.00071438-0.00029134i,-0.00069678+0.00040931i,0.00033476+0.00039653i,0.00029256-0.00021488i,-0.0011887-0.00065404i,-0.0018839-0.00060525i,-0.00097461-0.000802i,-5.1395e-05-0.00032309i,-0.00066754+0.00071871i,-0.00041883+0.00049177i,0.0004989+0.00023822i,0.00018595+0.00077143i,-0.00017504+0.00044307i,0.00034411+0.00049956i,0.00051734+0.00085278i,0.00018003-7.1282e-05i
0.0015672-7.8781e-05i,0.0018732+0.00065724i,0.0016942+0.0014183i,0.0011919+0.0012946i,0.00030622+0.00073976i,-0.0005567+0.00022412i,-0.00080264+0.00036025i,-0.00053605+0.0010602i,5.25e-05+0.0010878i,0.0006466+6.5426e-05i,0.00073609-0.00056979i,0.00081698-0.0014133i,0.00067998-0.0016478i,-6.7439e-05-0.0016292i,-0.00015015-0.0019709i,-0.00052994-0.0014526i,-0.00063743-0.00079441i,-0.00035585-0.00012691i,-9.8212e-05+0.00027319i,0.00048657-0.00015838i,0.00085199-0.00018008i,0.00057456-0.00026823i,0.00025303-0.00022969i
-0.00074326+0.00024648i,-0.00076588+0.00029614i,-0.00043561+0.00071963i,-0.00032222+5.3002e-05i,1.8983e-05-0.00077486i,5.1783e-05-0.00035659i,3.5754e-05+4.7631e-05i,-0.00064972-0.0001007i,-0.0011254-0.00013532i,-0.0005007+0.00010918i,0.00014603-0.00028001i,0.00051537-0.0015839i,-0.00014284-0.0016404i,-6.4954e-05-0.0010737i,0.00042114-0.0010295i,0.00046345-0.0012419i,0.0010101-0.00050851i,0.0007626+0.00041773i,-0.00099082+0.0003935i,-0.0012282-9.4834e-05i,0.0002288-0.00039397i,0.00080239-2.3743e-05i,0.00050776-9.4012e-05i
