-0.00062896-0.0010951i,0.0005572-0.0016951i,7.9221e-05-0.001608i,-0.0015438-0.0013788i,-0.0017599-0.0006968i,-0.0012112+0.00074511i,-0.00041381+0.0014591i,0.00038925+0.00099521i,0.0011798+0.00047573i,0.0017034+0.00048067i,0.0015309+0.00016741i,0.00018248-0.00037902i,-0.00043383-0.00057341i,5.5304e-05-0.00082344i,-0.00024966-0.00076904i,-0.00047947-0.0010879i,-0.00021849-0.00096211i,0.00019499-0.00060511i,0.00070258-0.00037318i,0.0010588+0.0001811i,0.00080909+0.0002063i,0.00012343-0.00035403i,-8.4944e-05-0.00027026i
0.00080118-0.0021235i,-0.00026268-0.0021097i,-0.00097874-0.0028043i,-0.00088031-0.0029135i,-0.00080761-0.0017589i,-0.00022904+0.00014687i,0.00016602+0.00093024i,-0.00048392+0.00073742i,-0.00039952+0.0006957i,-0.00011557+0.00042561i,0.00027237-0.0002087i,0.0004807-8.4362e-05i,0.00046305+0.00015765i,0.00043667+0.00049619i,2.8484e-05+0.00060951i,-0.00025713+0.00026741i,-0.00043739-0.00029958i,0.0002699-0.00079875i,-0.0002398-0.00033215i,-0.00080052+0.00045796i,-0.00027453+0.00036138i,-6.9801e-05+0.00023386i,0.00034709+0.0004462i
0.0017751+0.0015907i,0.0030831+0.00075369i,0.0029958+0.00063765i,0.0016701+0.00025854i,0.00035653-0.00035969i,-0.00030928-0.00038733i,-0.000365-0.00029098i,-0.000347-0.00041167i,0.00036431-0.00048556i,0.00096624-0.00086609i,0.00022735-0.0012873i,-0.00056197-0.0012166i,-0.00031889-0.00091857i,-0.00041797-0.0011216i,-0.00025731-0.0016911i,-0.00048013-0.0010103i,-0.00099801-0.00030286i,4.1447e-05-0.00024292i,0.00077057-5.0459e-06i,0.00056673+0.0002221i,-0.00022986+0.00019371i,-0.00072846+0.00077557i,-0.00020968+3.0182e-05i
0.0011778-0.00045853i,0.00050893-0.00063123i,-0.0011733-0.0010628i,-0.0015323-0.00080623i,-0.00020527-0.00040925i,0.00089748+0.00030207i,0.00012706+0.00072252i,-0.00019989+0.00056959i,-0.00021761-0.00017872i,-0.00077-0.00025509i,-0.00097671+7.6716e-06i,-0.00080245+0.00029381i,-0.0012486-9.3612e-07i,-0.0012518-0.00045302i,-1.3005e-05+1.9787e-05i,0.00015066+0.00039204i,-0.00038178-0.00036941i,0.00014086-0.00085977i,0.00068371-0.00076813i,0.0005355-3.2544e-05i,8.293e-05+0.0004111i,6.6642e-06+0.00017307i,-5.6122e-05+0.00035851i
-0.0012529+0.0010445i,0.00086159+0.00071364i,0.0017996+0.0015618i,0.0015653+0.00077052i,0.0017866+1.0626e-05i,0.0013396+0.00018333i,-0.00051483+0.00059611i,-0.0014698+0.00026068i,-0.00054028-2.9565e-05i,0.00042043+0.00041864i,0.0013557+0.00023497i,0.0018673-0.00090006i,0.00068705-0.0011344i,8.1223e-05-0.00052812i,0.00043699-0.00015021i,5.7061e-06+0.00010708i,-0.00035034+0.00081154i,-0.00014908+0.00039216i,-0.00029605-0.00038681i,-0.00080964-4.9384e-05i,-0.00013254+0.00063651i,1.7576e-05+0.0010363i,-0.00048791+0.00045028i
0.001186+0.0015603i,0.00071134+0.00026869i,0.00055844-0.00081688i,0.00024304-0.0013879i,-0.0012853-0.0014717i,-0.0023003-0.00067162i,-0.0019733-0.00012146i,-0.000867-5.5072e-05i,0.00027296-0.00038194i,0.00070832-0.00098393i,0.00065145-0.0013933i,9.8994e-05-0.0014644i,-0.00038891-0.00055849i,-0.00017164+0.00013083i,-0.00010856-0.00054638i,-0.00034883-0.0012379i,-0.00089346-0.00068559i,-0.00058138+0.00050888i,5.7692e-05+0.00056181i,0.00019533+0.00025219i,5.4883e-05+0.00054984i,0.00015075+0.00038416i,0.00042909+0.00041599i
-0.00048556-0.0011587i,0.0010365-0.00045788i,0.00084626+5.5303e-05i,-0.00041481+0.00013738i,-0.00070106-0.00018706i,-0.00024353-0.00027517i,-0.00098278+0.000511i,-0.0013251+0.0011541i,-0.00053619+0.00048211i,0.00017149-0.00046189i,0.0012835-0.00041033i,0.00115-6.1231e-05i,0.00029236-0.00023195i,2.2598e-05-0.00029699i,0.00023586+0.0002463i,0.0004094+0.00016868i,0.00010075+0.00013597i,0.00010181-0.00038334i,-0.00056723-0.00088011i,-0.00085301-2.3426e-05i,0.00025425+0.00025697i,0.00050818+0.00046893i,0.00031017+0.0011712i
0.0007233+0.0021452i,0.00047061+0.0028492i,0.00071078+0.0023713i,0.00083064+0.00052882i,0.00081722-0.0003861i,0.00081686+0.00014655i,0.00077338+0.0010113i,-9.2134e-05+0.00083753i,-0.0010562+0.00024055i,-0.0005889-0.00058599i,0.00095469-0.00054453i,0.0010696-0.00049733i,0.0002391-0.00038741i,0.00022593+0.00012954i,2.0262e-05-0.00095421i,0.00076343-0.0007337i,0.0014965+0.00065561i,0.0010176+0.00071561i,0.00015974+0.00050126i,-0.00072026+0.00036075i,-0.00029739+0.00047117i,0.00088711-4.7503e-05i,0.0014017-0.00066699i
-2.0425e-05-0.00030138i,-0.00088986-0.0017701i,-0.0018493-0.0037255i,-0.0015278-0.0039964i,-0.0011532-0.0023951i,-0.00055825-0.00069455i,0.00032105+3.679e-05i,0.00056112-0.00031781i,0.00023563-0.00069733i,-5.6016e-05-0.00038886i,-0.00057441+0.0005359i,-0.00081716+0.00030713i,-0.00029146-0.00043929i,0.0004945-7.2302e-05i,0.00077768+4.6832e-05i,0.00032299+6.4063e-05i,-0.00012298+0.00017126i,0.0002066+0.00025045i,-0.00016757+0.00051121i,-0.00055931+0.00092379i,-0.00035024+0.00080582i,0.00025639+0.00051454i,-0.00022774+0.00045382i
0.0008191-0.0015215i,0.0012468-0.0017311i,0.0010603-0.0009327i,0.00024035-0.00047707i,-0.00078531-1.2945e-05i,-0.001422+2.2834e-05i,-0.0009229+5.813e-05i,-0.00027326+6.7056e-05i,-0.00089642-0.00049867i,-0.001698-0.00055259i,-0.0011196-0.00028888i,6.5484e-05-9.4162e-05i,0.00063775+0.00116i,0.00053569+0.0015147i,0.00047835+0.00075376i,0.00014395+0.00028483i,-0.00027669+1.5062e-05i,-4.7338e-05-0.00028531i,0.00016084-0.00029961i,0.00074829-0.00031463i,0.001099-0.0005336i,0.0007262-8.6835e-06i,0.00073136+0.00079158i
0.0010564+0.0016023i,0.0006002+0.0012162i,0.00035566-0.00040325i,-0.00059734-0.0020772i,-0.00042202-0.0023607i,-0.00013582-0.00074692i,-5.4992e-06+0.00043824i,0.00070255-0.00014559i,0.00098262-0.0010481i,0.00045503-0.00073882i,-0.00041054-0.00011959i,-0.00031344+0.00033878i,0.00023095+0.00076288i,0.00048887+0.00046972i,0.00048259-0.00021087i,0.00021414-0.00052106i,0.00027065-0.00015159i,7.6323e-05-0.00023121i,-0.00067078-0.0005928i,-0.00081165-0.00044396i,-0.00013628+0.00014743i,0.00015841+0.00072301i,0.00017687+0.00060414i
