-0.0034733-0.00030147i,-0.0030362-0.00010394i,-0.0036574-0.0004035i,-0.0025083-0.00032827i,-0.0015743+0.0012063i,-0.00098436+0.0021336i,-0.00011877+0.0016251i,3.0421e-07+0.0011113i,5.3509e-05+0.0010688i,0.00031779+0.00084682i,0.00060895+0.00030133i,0.00035257-0.00059606i,0.00016578-0.00042387i,0.00031907+0.00064385i,0.00020245+0.00081041i,-0.00043873+0.00020643i,-0.00040209+0.00024927i,0.00024345+0.00099778i,0.00070899+0.00018474i,0.00066164-0.0014067i,-8.541e-05-0.0010936i,-0.00022458+0.00015333i,0.00016123+0.00077652i
0.00034801+0.00028549i,0.00053847-0.00039842i,0.0014549-0.00062318i,0.0018226-0.00043449i,0.0013819-0.00039394i,0.00055484+7.8537e-05i,0.00038628+0.00036959i,0.00097261+8.6606e-05i,0.0013992-0.00012666i,0.0011133-0.00019125i,-0.0002333-0.00048111i,-0.00094737-0.001389i,-0.00058583-0.0011904i,-0.00038799-0.00010675i,-0.00021963+0.00011654i,-0.00028936+0.00027881i,0.00010394+0.0001119i,0.00077484-0.00031281i,0.00036642-0.00049813i,-0.00084638-0.00088521i,-0.0014757-0.0012721i,-0.0010509-0.00073309i,0.00045635+0.00021867i
-0.0013063-0.00014943i,-0.0014259-0.00052388i,0.00013437-0.00017126i,0.00044709-2.369e-05i,0.0001641-0.00072737i,0.00058253-0.00073777i,0.00045259-0.00067303i,-0.00030631-0.00066595i,-0.00073374+0.00057803i,-0.00036576+0.00096375i,0.00030591+0.00011673i,-0.00023126+2.8913e-06i,-0.00020156+0.00041062i,-7.4092e-06+0.00064725i,-0.00055225+0.00014481i,-0.00047846-0.00028288i,-0.00014332+0.00061691i,0.00053041+0.0012758i,0.00085138+0.00019761i,0.00028435-0.00046421i,-0.00039444-0.00016068i,-2.5499e-06+0.00017759i,0.00024793-4.6573e-05i
2.3688e-05+0.00020167i,-0.00039112+0.00055884i,0.00026745-1.4346e-05i,0.00036957+6.9244e-06i,0.0002559+0.00062766i,0.00020132+0.0010355i,-0.000139+0.0010846i,-0.00089959+0.00045711i,-0.001028-0.00054291i,-0.00051944-0.00026835i,0.00014099+0.00030239i,0.00050912-0.00036798i,-0.00013884-0.00078972i,-0.00014546-3.1163e-05i,0.00047173+0.0009398i,0.00056523+0.00066583i,0.00041947+0.00048419i,0.00018471+0.00092697i,0.00031602+0.00066799i,0.00043843-0.00051848i,0.00013508-0.0012659i,0.00012289-0.00054051i,0.00041972-0.00097293i
-0.00044914-0.001141i,-0.00051916-0.00081068i,-0.00077289-0.00083979i,-0.00030212-0.00071846i,0.00029474-0.00027645i,-2.1802e-05+0.00057707i,-0.00016596+0.0010947i,-0.00014395+0.00091252i,-0.00076508+0.00029969i,-0.00094335-0.00010659i,-0.00053485-0.00026262i,-0.00039305+8.3025e-05i,-0.00065636+0.00023382i,-0.00034742-0.00030363i,0.00014649-0.00089904i,1.7527e-05-0.00042903i,0.00025505+0.00018488i,0.00075616-1.3211e-05i,0.00070585+2.2315e-06i,0.00017929+0.00054209i,-0.0005815+0.00041336i,-0.0010309+0.00044429i,-0.0010405+0.0011438i
-0.00050121+0.0024337i,-0.00050007+0.0017038i,0.0016184+0.0015848i,0.0021528+0.00030348i,0.0014739-0.00076352i,9.3148e-05-0.00064884i,-0.00031861+0.00033262i,-0.00045123+0.00072648i,-0.00059887+0.00062259i,-0.00040173+0.00038967i,-1.2094e-06-0.00046444i,0.00068934-0.00023411i,0.00013787+0.00062453i,-6.2846e-05-5.0163e-05i,-0.00045796-0.00069743i,-0.00075675-0.00042362i,-0.00026216-0.00044464i,0.00013474-0.00011177i,0.00036772-9.8342e-05i,0.0001013-0.00052062i,0.00011496-0.00035702i,0.00039267-0.00016433i,6.5465e-05+7.1462e-05i
0.00026374-1.5826e-05i,0.00084413+0.00020432i,0.0013449+0.00029571i,0.00079633-6.6726e-05i,-0.00031022-0.00033176i,0.00019068-0.00030756i,0.0010409+0.00017546i,0.00053468+6.1352e-05i,0.0001908-0.00073034i,0.00045338-0.00031252i,0.00063427-2.3069e-05i,0.00056027-0.00057557i,-0.00010463-0.00032007i,-0.0003537+0.0002758i,-0.00020725-3.9756e-05i,-0.00022031-0.00034443i,-0.00031095-0.00026112i,0.00024506+0.00046815i,0.00098216+0.00077428i,0.001024-0.00028926i,0.00045433-0.00014082i,-0.00010636+0.00050345i,-0.00030433+3.029e-05i
0.00060724-0.00049539i,-0.0002009-0.00047248i,-9.6496e-05-0.000447i,0.0012945-0.00031611i,0.0021436-0.0001386i,0.0016357+0.00024848i,0.00046461+0.00012921i,0.00017549+0.00010335i,-1.279e-05+0.00087887i,0.00018285+0.00023915i,0.00089753-0.00093632i,0.00014021-0.00087964i,-0.00066052-0.00089832i,3.7961e-05-0.0004106i,0.00043989-5.0645e-05i,0.00041234-0.00096959i,0.0010608-0.00088969i,0.0011014-8.6127e-05i,0.00039668+0.0004052i,-0.00029574+0.00036946i,-0.00052603+0.0001503i,0.00019834+1.6708e-05i,0.00037027-0.00087081i
-0.0015612+0.0011577i,-0.0018151-0.00064613i,-0.0012093-0.0002499i,0.00083304+0.00064487i,0.0024031+0.00099481i,0.0017618+0.0011951i,2.8856e-05+0.00081798i,-0.00088115+0.00019624i,-0.00091081-0.00038409i,-0.00076122-0.00054385i,-0.0008425-0.00027425i,-0.00046276-0.00038412i,0.00024332-0.00065842i,-0.00010735-0.00017089i,-0.0011488+0.00023315i,-0.0005919+0.00062406i,0.0011601+0.0013179i,0.0007697+0.00073586i,-0.00046998+0.00012548i,-0.00072701+0.00016716i,-0.00093655-0.00016627i,-0.0010305+5.4545e-05i,7.2448e-05+0.00029105i
0.00036682+8.6851e-06i,0.00030225+0.00048143i,0.0021075-0.0001179i,0.0023716-0.0001719i,0.00078444+0.00028347i,0.00027033+0.00025251i,-0.00032763+2.5464e-05i,-0.00081902-0.00072754i,0.00016107-0.00084014i,0.00063337-0.00048733i,0.00039198-0.00067427i,7.0801e-05-0.00049692i,-0.00038945-0.00051866i,-0.00030768-0.00028751i,-0.00027412+0.00031245i,-0.00064107+0.00069781i,-0.00049582+0.00062698i,-0.00033348+0.00036913i,-0.00024207+4.373e-05i,9.0622e-05-0.00076522i,-0.00012789-0.0010848i,-0.00010733-0.00073272i,-2.6994e-05-0.00052511i
-0.001523+0.0006081i,-0.0022997+3.9435e-05i,-0.0026846+0.0012713i,-0.0013016+0.0020672i,-0.0002767+0.0022058i,-2.7654e-05+0.0010002i,0.00066318-0.00018023i,-0.00019296+0.0001137i,-0.00034605+0.00015211i,0.000534+1.1267e-05i,0.00023577-0.00033933i,0.00031165-0.00056714i,0.0013525+0.0001012i,0.00099247+0.00041102i,0.00042746+0.00034436i,0.00037374+0.00068593i,-0.00017351+0.00071265i,-0.00065756+0.00030188i,-0.00074043-0.00027628i,-0.00043197-0.00051586i,-9.9082e-05-0.00064582i,-0.00020484-0.00028026i,-0.00069513+0.00065842i
