-0.001408+0.00085734i,-0.0021538+0.00055193i,-0.0028135+0.00016828i,-0.0021956-0.00037078i,-0.00064523-0.00013177i,0.00061505+0.00017462i,0.0013297+0.00095604i,0.0006921+0.0016672i,-2.8709e-05+0.0010386i,0.00016854+0.00014231i,-1.9028e-06+0.00051276i,-0.00045115+0.00079816i,0.00018006-0.00016831i,0.001402-0.0002743i,0.0010366+0.000512i,0.00055825+0.00056649i,0.00056724-0.00033471i,0.00068109-0.0013583i,3.2645e-05-0.0017788i,-0.00050222-0.0009655i,-0.00046546+0.0004751i,6.3203e-05+4.5597e-05i,0.00040614-0.00057674i
0.0013051-0.0018237i,0.0020747-0.0034026i,0.00095996-0.0049108i,-0.00079453-0.0039963i,-0.0011241-0.0025718i,-0.00035464-0.00085222i,0.00099261-0.00075281i,0.0021142-0.0016452i,0.0016423-0.0010685i,0.00071678-0.00013339i,0.00018998+0.00074534i,-0.00021812+0.00077595i,-0.00038684+0.00012268i,-0.0005132+0.00016597i,7.8054e-05-4.92e-05i,0.00088721-2.8659e-05i,0.00038542-9.7307e-05i,0.0002634-7.6486e-05i,0.00087052+0.00038758i,0.00065351-0.00023195i,0.00053354-0.00068749i,6.5551e-05-0.00073117i,-0.00069672-7.8656e-05i
0.0011781-0.00038148i,0.00097368-0.0011964i,0.00053988-0.0017975i,0.00013938-0.0025653i,-0.00012205-0.0023503i,-0.00065781-0.0016317i,-0.00042948-0.0011093i,0.00022271-0.00099028i,0.00049773-0.0008041i,0.00032748-0.00038342i,-0.00031414+0.00015299i,-0.00047878+0.00045938i,-0.00051571+0.00069284i,-0.0011298+0.00038628i,-0.0012225+0.00017774i,-0.0012059+0.0012587i,-0.00087769+0.0012964i,-0.00086253+0.00057163i,-0.00089368+0.00078971i,-0.0001739+0.00091727i,0.00034659+0.00026323i,-0.00019275-0.00043704i,-0.00041897-0.00085522i
0.00084318-0.0027625i,0.00044577-0.0037405i,-0.00053736-0.0036384i,-0.00154-0.0024874i,-0.0015502-0.0010274i,-0.00014298+0.00047846i,0.001271+0.00047844i,0.0016076-0.00033383i,0.0010203-0.00024747i,0.00066592-0.00028592i,0.0007112-0.00055471i,0.00061649-0.00034109i,0.00070137+4.3152e-05i,-0.00016857+0.00030252i,-0.00090657+0.00083581i,-0.00021037+0.0013045i,-0.0001638+0.00086406i,-0.00036441+0.00033419i,-0.00034391+0.00044926i,-0.00036028-0.00020212i,0.00029154-0.0009838i,0.00034248-0.00044499i,0.00021411-7.5812e-05i
-0.00092895+0.00055871i,-0.00053436+8.2862e-05i,0.00061077-0.00035751i,0.0010839-0.00053365i,0.00085674-0.0019864i,0.00090296-0.0019739i,0.0012243-0.0010226i,0.0018858-0.00027291i,0.0013769+0.0004009i,0.00097165+0.0010753i,0.0013486+0.00074029i,0.0006772-7.606e-06i,-0.00017038+0.00036528i,-0.00056497+0.00037521i,-0.00053132+0.00037586i,3.6821e-05+0.00020949i,-0.00036072+5.5324e-05i,-0.00040377+0.00020976i,-0.00018555+0.00031075i,2.8134e-05+0.00018195i,7.4759e-05+0.00059603i,0.00017332+0.0021181i,-0.00012971+0.0014101i
0.0015317-0.00093297i,0.00055441-0.0014758i,-0.00094378-0.0024817i,-0.002034-0.0023878i,-0.001859-0.0013848i,-0.00038357-0.00024401i,0.00069074+0.0003916i,0.00083648+0.0005674i,0.00066108+0.0003254i,0.0003427+0.00041821i,-3.6763e-05+0.00048746i,-0.00048959+9.6922e-05i,-0.0006305+0.00025599i,-0.00092952+0.00094078i,-0.0003952+0.0012582i,1.7242e-05+0.00078323i,-0.00014272-0.00011988i,-0.00019716+0.0002062i,-0.00010388+0.00074988i,0.00049805+0.00077213i,0.00012989+2.789e-05i,-0.00053425+1.9148e-05i,-0.00046431+0.00018867i
-0.0015638-0.00084681i,-0.00078497-0.00070217i,-0.00068851-0.00094916i,-0.00089574-0.0016333i,0.00021044-0.0019977i,0.0013976-0.0018982i,0.0011746-0.0015065i,0.00083866-0.0015618i,0.00031628-0.00079675i,-0.00022527+0.00025322i,-0.000174+0.00014611i,-0.00013098+0.00017431i,0.00012087+6.9621e-05i,0.00049956-0.00033995i,0.0004486-0.00018657i,-8.5503e-05-0.00025629i,-0.00041283+0.00010491i,-0.00091693+0.00015915i,-0.00055322+0.00010688i,-0.0004371+0.00030984i,-0.00058571-6.9774e-05i,-0.0004956-0.00034269i,-0.00042642-0.00029869i
-0.00078172-0.00064789i,-0.00073573-0.0023697i,-0.00092159-0.002978i,-0.0010694-0.002256i,-0.00013491-0.0014028i,0.0010384-0.00043317i,0.0011607+0.00025942i,0.00085223+0.00047984i,0.00068058+0.00061204i,0.00032059+0.0003773i,0.00017165+0.00024294i,0.00091674+0.0007691i,0.0014421+0.0015204i,0.0014305+0.0014489i,0.00095984+0.00036154i,0.00043468-0.00079506i,0.00065068-0.00075009i,0.00078708+0.00011327i,3.846e-05+0.0007287i,-0.00053956+0.00011409i,-0.00077441-0.00070501i,-0.00067158-0.0010531i,3.5758e-05-0.00062582i
0.00012189-0.00022376i,0.00050962-0.000547i,0.00066027-0.0015802i,0.00089609-0.0023959i,0.00093776-0.0021769i,0.0014199-0.0011467i,0.0018525-0.00030131i,0.00090722+9.6788e-05i,-2.4031e-05+0.00072471i,-0.00060568+0.00097349i,-0.00057991+0.00080471i,-0.00029643+0.00011885i,-8.0487e-05-0.00044384i,0.00040408-0.00094917i,0.00019024-0.0011355i,-0.0003052-0.00043936i,-0.00045793-0.00016777i,-0.00026115-9.8527e-05i,-0.00039763+0.00026661i,-0.00037689+0.00032104i,-0.00040143-0.00019568i,-0.00059389-0.00047209i,-0.00088017-0.00034301i
0.0015543+0.00069526i,0.0020419+8.0199e-05i,0.0018109-0.00097525i,0.0010879-0.0023281i,-0.00014782-0.0021228i,-0.00081627-0.0013587i,2.9295e-06-0.0013048i,0.0012696-0.00079971i,0.00088949+2.8057e-05i,0.00012094-0.00038893i,-0.00011269-0.00022367i,-0.00059172+0.0005795i,-0.00069262+0.00075221i,-0.00042058+0.00028235i,0.0002681-1.382e-05i,0.00038683-0.00013185i,0.00012518-0.00046183i,-0.00022639-0.0010238i,-0.00040103-0.00025644i,-0.00051296+0.00064854i,-2.5141e-05-2.9299e-05i,0.0001462-0.00067176i,-0.00023766-0.00072731i
0.00070642+0.0014111i,0.00085807+0.0011337i,0.0010458+0.00034621i,0.0012922-0.00069991i,0.00095472-0.0007955i,0.00049427-0.0010314i,0.00065835-0.0015117i,0.00083075-0.0011412i,-4.3205e-06-0.00094195i,-3.5388e-06-0.0014182i,0.0003364-0.00077276i,3.961e-05-0.00056955i,0.00013505-0.00086763i,3.4929e-07-9.6609e-05i,-0.00058333+0.00062604i,0.00035139+0.00067556i,0.0010059+0.00010374i,0.00037611-0.00089688i,0.00046943-0.00042476i,0.00078025-9.0101e-05i,0.0006825-0.00042236i,-0.00036031+0.0001201i,-0.00062711-0.00015289i
-0.0013365+0.0016513i,-0.00091027+0.0015165i,-0.0010898+0.0010353i,-0.0004452+0.00094747i,0.00032946+0.00022126i,0.00046028-0.0010913i,0.0010056-0.0011378i,0.00085062-0.00092719i,0.00019225-0.00061788i,0.00017273+0.0001666i,0.00026786+0.00016417i,0.0002547+4.6055e-05i,-0.00027151-4.0557e-05i,-0.00069209-0.00041344i,-5.9044e-06+1.7567e-05i,0.00064004+0.00012329i,0.00022023+3.9289e-05i,0.00053567+5.4912e-05i,0.0004327+0.00018214i,-0.0002787+0.00012457i,-0.00015051-3.8379e-05i,0.00049725-0.00020358i,0.00055049-0.00043454i
-0.00081508-0.00078459i,-0.00049292-0.000705i,-0.00088582-0.0012283i,-0.0011356-0.0006075i,-0.0001027-0.00013632i,0.0013192-0.00019975i,0.0024936-0.00076804i,0.0025941-0.0010976i,0.0013029+5.4376e-05i,0.0001815+0.00078612i,-0.00016877+0.00063102i,-0.00020927+0.00041158i,1.3575e-06-2.9517e-05i,0.0002147-0.00033264i,0.00030687-0.0001906i,0.0004193-0.00010972i,0.00023665-0.00013759i,1.2912e-05-0.00097826i,0.00027642-0.0013138i,0.00047806-0.00051813i,0.00081776-0.00031911i,0.00078947-0.00032733i,7.5563e-05-0.00020136i
-0.00058396+0.00015003i,0.00017917+0.00094909i,0.00136+0.00028073i,0.00084577-0.00046874i,-0.00011158-0.00072331i,0.0010066-0.00080344i,0.0017712-0.0011733i,0.0012875-0.0016429i,0.0007555-0.0010466i,0.00015699-0.00012554i,7.8278e-05+0.00034623i,0.0010647+0.00051128i,0.0016095+0.00015614i,0.00070399-0.0003267i,0.00037964-0.00044656i,0.00030017-0.00080257i,-0.00043413-0.00069802i,-0.0008378+1.4349e-05i,-0.00042084+0.00039373i,0.0005628+0.00046685i,-1.8271e-05-0.00028066i,-8.9869e-05-0.00065595i,0.00029485+0.00031712i
-0.00016465-0.0012504i,-0.00093255-0.0008783i,-0.0012235-0.00082918i,-0.00073801-0.00062972i,7.5495e-05-4.0812e-05i,0.0010616+8.9364e-05i,0.0011163-0.00027697i,0.00018777-0.0006371i,-0.00044663-0.00082985i,-0.0002656-0.00056167i,5.1126e-05-7.42e-05i,0.00019648+0.00096574i,0.00033048+0.0016851i,0.00092719+0.0021354i,0.00074738+0.0015995i,-0.00012711+0.00035081i,9.3604e-05-0.00012486i,-1.5016e-05-0.00035699i,0.00031767-0.0004579i,0.00053955-0.00018251i,-0.00016092-0.00022485i,-0.00029755-4.3993e-05i,-5.5566e-07-0.00041774i
-0.00049671-3.8382e-05i,0.00010941+0.00014043i,0.00019584+0.0005113i,0.00020476-0.00013863i,-0.0001053-0.0010088i,-0.00025037-0.0016842i,0.00033618-0.0015811i,0.00098016-0.0013569i,0.0010923-0.0012724i,0.00081691+0.00026945i,1.6114e-06+0.0013497i,0.00032685+0.0009784i,1.1951e-05+0.00068073i,-0.0007456-6.8119e-05i,-0.00061719-0.0005989i,-0.00017862-3.5235e-05i,0.00071715+0.00095211i,0.0010912+0.0011731i,0.00029559+0.00065967i,-0.00029383-0.00021411i,-0.00056178-0.0009013i,-0.00057938-0.0007907i,-0.00018562-0.00038403i
-0.0003067+0.000442i,-0.00022597+0.00038759i,0.00027359+0.0010161i,0.0010865+0.00077691i,0.0011218-0.00022881i,0.00064323-0.00012645i,0.00070737+3.2618e-05i,0.0011855+0.00040505i,0.0010847+0.0010822i,0.00087311+0.00072324i,0.00036319-0.00020771i,-3.6525e-05-2.4604e-05i,0.00022606+0.00061519i,0.00064561+0.00015007i,0.00027296-0.00042329i,8.1251e-05-0.00020099i,-0.0002678+0.00027244i,-0.00058554+0.00029834i,-0.00049767+0.00013737i,-0.00041946+0.0001007i,4.8141e-05-1.3122e-05i,0.00071989+0.00035817i,0.00029475+0.0003787i
-0.00077919-0.0019866i,-0.00018495-0.001721i,-0.00034111-0.0011869i,-0.0014661-0.00097218i,-0.0020142-0.0014186i,-0.00074286-0.00041388i,0.0011663-0.00016313i,0.0014294-0.001245i,0.00083535-0.0010191i,0.00067095+0.00028513i,4.4653e-05+0.00047626i,-0.00044267+7.9467e-07i,-0.00090349+0.00046275i,-0.00057259+0.00029949i,0.00050748-0.000456i,0.00077237-0.00050448i,0.00065499-4.9902e-05i,0.00048283-4.0322e-06i,0.0003188-0.00078595i,0.00028299-0.0015344i,0.00037343-0.0017398i,0.0006954-0.0014236i,6.0964e-05-0.00048705i
-0.00036297-0.00088083i,6.2033e-05-0.00092305i,-4.9304e-05-0.0010916i,-0.00068455-0.0022786i,-0.00020322-0.0016791i,0.0012219-0.00035125i,0.0015433-0.00042082i,0.0015882-0.0003477i,0.0011316+0.00071308i,0.00056776+0.00070548i,-0.00013707+0.00032452i,-0.00098573+0.00015749i,-0.00075972+0.00026169i,6.7765e-05+0.00024034i,0.00074015-0.00025131i,0.001256-0.00084275i,0.00097912-0.0010211i,0.00052115-0.00038676i,0.00083474+5.5054e-05i,0.0010454+0.00023614i,0.00033719+0.00039415i,-0.00075017+1.8892e-05i,-0.0003289-0.0002068i
0.0015313-0.0008039i,0.00064927-0.0014975i,-0.00060038-0.002117i,-0.0007124-0.0024602i,2.3169e-05-0.0022664i,0.00093332-0.0020654i,0.0017421-0.0015225i,0.0010413-0.00064296i,0.00048723+5.2876e-05i,0.00079427-0.00011184i,0.00047674+0.00061565i,-0.00015458+0.0013241i,-0.00060751+0.00087157i,-0.00029865+0.00041977i,0.00041711-0.0001598i,0.0009264+0.00019335i,0.0009197+0.00055029i,0.00084959+0.0001875i,0.00051575-0.00013921i,0.00024192-0.00022774i,0.00016374-3.9798e-05i,5.3503e-05-0.00024994i,6.8919e-05+0.00029139i
0.00094525-0.00086179i,0.0013534-0.0025942i,0.001405-0.0027003i,0.0010808-0.0018882i,0.00034055-0.0015278i,0.0010213-0.0015676i,0.0021356-0.0011332i,0.0014131-0.0006248i,0.00041436-0.00089297i,0.00028675-0.00081694i,0.00035657-6.7536e-05i,-0.00034405+0.000353i,-0.00048743+0.00075815i,2.9072e-05+0.0004934i,0.00087139-9.0126e-05i,0.00099944+0.00020319i,0.00043338+0.00078373i,0.0001305+0.00031807i,-0.00024386-0.00013372i,-0.00087969-0.00015287i,-0.0011028-0.00023626i,-0.00039182-0.00059817i,0.00048986-0.0010111i
0.00092488+0.00072339i,0.0032288-0.00082292i,0.0035034-0.0020969i,0.001325-0.0018138i,-0.00015415-0.00081702i,-6.1525e-05-5.2831e-05i,0.00083465+0.00043099i,0.00092163-0.00027232i,0.00048524-0.00089373i,0.00094683-0.00036021i,0.0004875+0.00044567i,-0.00029559+0.00021314i,0.00030229-0.00030658i,0.0011178+0.0006413i,0.0011026+0.00097327i,0.00037212+0.00044634i,-0.00081046+0.00028136i,-0.001157-0.0006i,-0.00058235-0.00087435i,-0.00030293+0.0001916i,-0.00030222+0.00076855i,-0.0004423+0.0001294i,-0.0010521-0.00044802i
0.00045367+0.00010696i,0.00072024+0.00032757i,0.0011961+0.00065664i,0.00019927+0.00022761i,-0.00093089-0.00057135i,-0.00082873-0.00092739i,0.00046535-0.00064017i,0.0015108-0.00011538i,0.0011687-0.00049839i,0.00077293-0.00032783i,-2.2152e-05+0.00018206i,-0.00063356+0.00017671i,-0.00068762+0.00032918i,-0.00096534+0.00071277i,-0.00083017+3.3243e-05i,-0.00041654-0.001044i,-0.00057806-0.00059912i,-0.00047676+0.00031228i,-0.00027876-0.00028913i,0.00045559-0.00024176i,0.00068851+0.00055787i,-0.00021129+0.00036407i,-0.00020651-9.1007e-06i
-0.0012297+0.00013335i,-0.0013135-0.00055711i,-0.00064523-0.00143i,0.00040548-0.0011841i,0.00077227-0.00037929i,0.0010028-0.00011277i,0.0013355-4.4695e-05i,0.0012387+0.00050979i,0.00055073+0.00081514i,-5.6531e-05+0.0009399i,0.00038432+0.00027712i,0.0009624+0.00017262i,0.00023964+0.00056016i,-0.00048008-0.00018881i,0.00049202-0.00071211i,0.00075217-0.00055124i,0.00023807-0.00026194i,0.00089806-7.0981e-05i,0.0013386-0.00058324i,0.0010969-0.00066376i,0.001215-0.00011686i,0.0011106-0.0008253i,0.00083456-0.0011478i
