0.00086091-0.00063949i,0.0015445-0.0018978i,0.0024486-0.0020066i,0.0014128-0.0014727i,0.00028483-0.0011137i,0.00011324+0.00041448i,0.00055015+0.0017066i,0.0014367+0.0019675i,0.0018429+0.0009732i,0.0012517-0.00027317i,1.2671e-05-0.0012046i,-0.00077195-0.00076406i,-0.00068116-0.00039947i,9.4344e-05-0.00035965i,0.00076503+0.00050976i,0.00058295+0.00035028i,0.0010723-0.00028308i,0.0012457-0.00077555i,0.00064176-0.00043977i,-0.00025207+0.00036089i,-0.00042279+0.00011904i,-0.00011026-0.00024842i,-0.00048679+0.00010774i
-0.0022643-0.00097013i,-0.0024326-0.00030473i,-0.0028267+7.3989e-06i,-0.0017376+0.0010221i,5.4616e-05+0.0014296i,0.0012473+0.0010728i,0.00096792+0.0006413i,0.00027781+0.00050885i,0.00060746+0.00050789i,0.0002185+0.00053844i,-0.00045299+0.00078878i,5.4535e-05+0.00087669i,0.00027325+0.00033595i,8.4809e-05+0.00012664i,-2.7512e-05+9.1408e-05i,5.4416e-05-0.00054733i,0.0010587-0.00014445i,0.0011283+0.00059598i,0.00057694+0.00031719i,0.00053441+0.00016657i,0.00028118-0.00022552i,-0.00019425-0.00055626i,-0.00036728-0.00080622i
-0.0013942+0.0020246i,-0.0017865+0.0015371i,-0.001825+0.0026028i,-0.0011332+0.003369i,0.00058659+0.0022292i,0.0014549+0.00079888i,0.00078127-4.651e-06i,0.00074266+6.8727e-05i,0.00063765+0.00057016i,0.00022609+0.0014771i,-0.00033503+0.0018053i,-0.00070773+0.0012915i,-0.00019928+0.00042752i,0.00039486+9.4731e-05i,0.00077078-0.0004906i,0.00054007-0.00077674i,0.00033421-0.0002821i,-6.067e-05-0.00021846i,-0.00085217+0.00013996i,-0.001409+0.00050143i,-0.0013301+0.00020066i,-0.0011468-0.00069759i,-0.0010554-0.00095334i
-0.0030932+0.0015648i,-0.0018294+0.0014884i,-0.00045031+0.0018634i,0.00042536+0.001492i,0.00071949+0.00081529i,0.00047867-0.00076676i,0.00016491-0.0018256i,-0.00040216-0.0011077i,-0.00025019+0.00027132i,0.00017222+0.0010402i,0.00031309+0.00073694i,0.00085787+0.00063483i,0.00093776+0.0010128i,0.00089077+0.0001324i,0.0009136-0.00081702i,0.00041089-0.00074181i,0.00035998-0.00010755i,0.00084293+8.1118e-05i,0.00072247-0.0002559i,-0.00014071-0.00013813i,-0.00030952+0.00045362i,0.0002284+0.00066847i,0.00046295+0.00030944i
-0.0014629+2.2138e-05i,-0.001161-0.0004408i,-0.0011758-3.1508e-05i,-0.00055872+0.00061259i,0.00035359+0.00028542i,0.0010244-0.00026681i,0.00094736+0.00072558i,5.5394e-05+0.0016992i,-0.00039085+0.0011163i,-0.00048513+0.00072597i,-0.00082142+0.00020062i,-0.0013441+0.00026061i,-0.0012844+0.00050324i,-0.00088158+0.00010941i,-0.0010618+0.00089316i,-0.00091999+0.0011603i,-0.00044928+7.8733e-05i,-0.00027717-0.00023806i,-0.00013099+0.00056979i,-0.00019322+0.00053156i,-0.0002034-0.00040514i,-0.0003342-0.00088413i,-0.00036966-0.00054947i
0.0020336-0.00077926i,0.001921-0.0008473i,0.0010872-0.00085155i,0.0018925-0.000374i,0.0027434-0.00061823i,0.0022642-0.0011774i,0.0016884-0.00039648i,0.0007505+0.00054111i,0.00025887+0.00028669i,0.0001377-0.00045894i,-0.00014954+2.3555e-05i,0.00074044+0.00074659i,0.0015139+0.00031926i,0.0011537+0.00024501i,0.00023257-0.00015079i,5.871e-05-5.1683e-05i,0.00072664+2.4947e-05i,0.00036283-4.2158e-05i,-0.0002936-0.00010982i,-0.00010488-0.00064032i,-8.2513e-05-0.00076873i,-0.00021908-0.00066911i,-0.0004847-0.00039072i
8.7424e-05+0.0010958i,0.00019223+4.1062e-05i,0.00018621+0.0011609i,0.00023734+0.0012321i,0.0012346+0.00037405i,0.0011063+0.00069687i,0.00018143+0.00067371i,0.00064593+0.00043319i,0.0010115+0.00056494i,0.00041105+0.0010727i,0.00020577+0.00095264i,-0.00014197+0.00043802i,-0.00035696+0.00059771i,-0.00041191+0.0012068i,-0.00076295+0.00096193i,-0.00020303+0.00010077i,0.00072732+0.00015255i,0.0010522+0.00036937i,0.00090547+0.00025653i,6.3124e-05-0.00032882i,-0.0006184-0.00038486i,5.0635e-05+0.00033632i,0.00063161-8.415e-05i
-0.0023396+0.0014479i,-0.0014284+0.0015943i,-0.00057176+0.00095521i,-0.00068983+0.0014039i,-0.00029148+0.0018983i,0.00030035+0.00087944i,0.00054819-0.0002745i,0.00016096-0.00033368i,-0.00020561-0.0001927i,0.000101-0.00064372i,0.00012785+0.00019912i,-6.7142e-05+0.00072249i,0.00041749+1.3362e-05i,0.00076539-0.00037978i,0.00051176+0.0002789i,0.00022565+0.00092213i,-0.00023331+0.00064199i,-0.00036723+0.00045198i,-0.00026425+0.00032091i,-0.00018394-0.0001673i,-0.00023634-0.00010522i,-0.00070101+0.00025035i,-0.0003335-5.6947e-06i
-0.0011827-0.0026633i,-0.0016694-0.0017648i,-0.00090933-0.0010784i,-0.00023706-6.2645e-05i,0.00020506+0.00082858i,0.0003145+0.00082443i,-0.00065261-0.00014452i,-0.0009075-0.00032668i,0.00028142-0.00064606i,0.00070423-7.0284e-05i,3.2327e-05+0.00069872i,-0.00033232+0.00035742i,-0.00050122-0.00067162i,-0.00083264-0.0010574i,-0.00031625-0.00012903i,9.579e-05+0.00080797i,0.00032329+0.0006729i,0.000514+0.00018348i,0.00046433+9.086e-05i,0.00017359-0.00013541i,0.00020431-0.00046178i,0.00038022-0.0002847i,-2.8897e-05+0.00040279i
-0.00099823-0.00068377i,-0.0012343-0.00056632i,-0.0019317-0.00035725i,-0.0012237-0.0011619i,-0.00035525-0.0011994i,0.00012772-0.0012656i,0.00035743-0.0013304i,-0.00028482-0.00029098i,-0.00047302+0.00085056i,0.00045775+0.0010335i,0.00031573+0.00049158i,-0.00077842+0.00017218i,-0.00086213-0.00014218i,-0.00084151-0.00084349i,-0.00092603-0.00021088i,7.3293e-05+0.00056328i,0.00043663+0.00017128i,-2.8525e-05-0.00024848i,0.00029721-0.00020185i,0.0007535+1.8326e-05i,0.00033529-0.0002836i,-0.0001893-6.2555e-06i,-0.00029972+0.00030034i
-0.00088722-0.000237i,7.6751e-05-0.00048659i,0.001087-7.474e-05i,0.0017859+0.00027367i,0.0011923+0.00085659i,4.0924e-05+0.001426i,-0.00017668+0.00068547i,0.000106+0.00021361i,-5.4055e-05+0.000333i,-0.00041588+0.0011267i,-0.00045535+0.0015126i,4.5446e-05+0.00072709i,0.00030278-0.00032849i,-0.00079765-0.00060642i,-0.00087925-2.1895e-05i,-0.00044047+8.0411e-05i,-6.9049e-05+0.00066145i,-0.00013733+0.0013473i,-0.0005694+0.00024927i,-0.00055555-0.00046826i,-6.5872e-05-0.00036591i,-6.1231e-05-0.00080074i,-0.00042968-0.0011043i
0.0011603+0.0010029i,0.00082598+0.0019846i,0.00079801+0.0019284i,0.0010512+0.0013365i,0.0010864+0.0007174i,0.00093939+0.00040351i,0.0011181+0.00035149i,0.0003112+0.00070167i,-0.00012258+0.0013317i,-0.00029538+0.00071815i,-0.00026602-0.00038321i,0.00021256-0.00036843i,-0.00015852-0.00062211i,-0.00069929-0.00096434i,-0.00086078-0.00019941i,3.0318e-06+0.00060642i,0.00043912+0.00054459i,3.2071e-05+0.00010036i,-0.00011603-0.00033844i,0.00027138-0.00035342i,0.00068194-0.00043983i,0.00072929-0.00065649i,0.00066981+0.00013995i
-0.0022114-0.00055839i,-0.0011716+0.00017892i,-0.0020533+0.0011068i,-0.0020072+0.0016689i,-0.00061926+0.0017574i,0.00026847+0.0012572i,0.0008152+0.00028476i,0.0010936+0.00017984i,0.00042286+0.00077747i,-4.378e-05+0.00097086i,1.6724e-05+0.00076445i,0.00014122+0.00031408i,0.0004462+0.00040174i,0.00068021+0.00039195i,0.00014415-0.00031921i,0.00014734-0.00025293i,0.00022161-0.00016533i,-0.00053955-0.00017464i,-0.00084802-8.1617e-05i,-0.00074798-0.00040791i,-0.00043549-0.00029523i,-0.00057142-0.00010831i,-0.0011209+0.00018376i
-1.0334e-05+0.00062665i,0.00033894-0.00036816i,0.00090796-0.00065522i,0.00063459-7.8341e-05i,-0.00023487-0.00027099i,-0.0004272-0.00089707i,-0.0003782-0.00071147i,-8.0919e-05+0.00024526i,0.00074627+0.00042675i,0.0010742+0.00030679i,8.3987e-05+0.00040454i,-0.0010309+0.00024558i,-0.00058019-8.4905e-05i,0.0005614+0.00019969i,0.00057687+0.00080897i,0.00011097+0.00064134i,5.0057e-05+0.00057278i,4.8176e-05+0.0010971i,-0.00029687+0.00054477i,-0.00013637-0.00061869i,0.00023689-0.00060493i,0.00011287+0.00032518i,-0.00035144+0.00096977i
0.0016701-0.00046829i,0.0012868-0.00084028i,0.0023076-0.0014826i,0.0030552-0.0015497i,0.0016511-0.0013151i,0.00091048-0.00093004i,0.0010685-0.00042839i,0.00031562-0.00017578i,-0.00045491+0.00042021i,-0.00068028+0.00076709i,-0.00030454-4.4324e-05i,-0.00073029-0.00035585i,-0.0012107-0.0002942i,-0.0011348-0.0004095i,-0.00013323-0.00037768i,1.716e-05+4.6864e-05i,-0.00048943+0.00035142i,-0.00038722+1.4054e-05i,0.00045481-0.00032075i,0.00044363-0.00060772i,-0.0001367-0.00087125i,-0.00049978-0.00086784i,-6.6463e-05-0.00049528i
0.00013887+0.0012159i,0.00078621+0.0030748i,0.001091+0.0032472i,0.00090757+0.0018102i,0.001142+0.0011546i,0.001314+5.1715e-05i,0.00051927-0.00022726i,-0.00011902+0.00033379i,-0.00024347+0.00048735i,-0.00054609+0.00059435i,-0.00085079+0.0008111i,-0.00050654+0.00028546i,9.2543e-07+0.00034233i,-6.6343e-05+0.00073149i,1.3105e-05-1.5626e-05i,0.00033133-0.00089143i,0.0007254-0.0011685i,0.00065779-0.00091768i,0.00047264-0.00028575i,-0.00022894-0.00032952i,-0.00062901-0.00036535i,0.00015309-0.00091859i,-0.0002319-0.00090825i
-5.1258e-05+0.00062123i,-0.00019759+0.0012284i,-0.0009595+0.0014993i,-0.00081412+0.0017817i,0.00037716+0.0014708i,0.0012679+0.00045027i,0.0011875-0.00014668i,0.00040797-0.0003068i,0.00054991+0.00030554i,0.00095701+0.00070579i,0.00053107+0.0007714i,4.5431e-05+0.0010508i,-0.00012862+0.0015458i,-6.1364e-05+0.0011591i,0.0001004+0.00042284i,0.00013346+0.000282i,-0.00014019+0.00038007i,-0.00012149+7.3718e-05i,0.00028796+0.0004361i,0.00017161+0.00050007i,-0.00011641+0.00023446i,-0.00014802+0.00034235i,-1.9234e-05+0.00030558i
0.0007283+0.0011744i,0.0013015+0.00065105i,0.0026812-0.00045617i,0.0019608-0.00064496i,0.0011651-0.000634i,0.00099877-0.00067297i,0.0002112-0.00058526i,0.00053117+0.00022485i,0.00091598+0.00098856i,0.0005937+0.00059655i,-3.9764e-05+0.00030552i,0.00028468+0.00079074i,0.00076935+0.0010801i,-0.00035745+0.00067286i,-0.0013449+0.0001935i,-0.0012059-1.2847e-05i,-0.00023262-0.00022356i,-3.3052e-06+3.0588e-05i,-0.00028712+0.00033143i,-0.00032667+0.00019913i,-0.00053761+0.00015596i,-6.8306e-05+0.00024071i,0.00037432-5.1967e-05i
