0.00086091-0.00063949i,0.0015445-0.0018978i,0.0024486-0.0020066i,0.0014128-0.0014727i,0.00028483-0.0011137i,0.00011324+0.00041448i,0.00055015+0.0017066i,0.0014367+0.0019675i,0.0018429+0.0009732i,0.0012517-0.00027317i,1.2671e-05-0.0012046i,-0.00077195-0.00076406i,-0.00068116-0.00039947i,9.4344e-05-0.00035965i,0.00076503+0.00050976i,0.00058295+0.00035028i,0.0010723-0.00028308i,0.0012457-0.00077555i,0.00064176-0.00043977i,-0.00025207+0.00036089i,-0.00042279+0.00011904i,-0.00011026-0.00024842i,-0.00048679+0.00010774i
-0.00022161+0.00039623i,0.00073535+0.0011828i,0.00071964+0.001781i,0.00033083+0.001686i,0.00014776+0.0017274i,0.00022007+0.0021803i,0.00051747+0.0017389i,0.00088095+0.0014386i,-3.4824e-05+0.0016708i,-0.0017171+0.00058581i,-0.0034476-0.0017702i,-0.0043035-0.0023965i,-0.0033077-0.0015506i,-0.002253-0.0013446i,-0.0023011-0.00094422i,-0.0023439+0.00045898i,-0.0010882+0.0013295i,0.0003127+0.0010935i,0.00080433+0.0010664i,0.00057015+0.00020694i,0.00033172-0.00052541i,0.00026615+0.0001155i,0.0011831+0.00017367i
-0.00032649-0.0013818i,-0.00071407-0.001889i,-0.00065084-0.0023309i,-0.00064457-0.00057115i,-0.00046646+0.0013931i,0.00026873+0.00119i,0.00024136+0.00037431i,-0.0011703-1.3939e-05i,-0.0029525+0.00027787i,-0.0036383+0.00097423i,-0.004054+0.0016466i,-0.0029171+0.0024401i,-0.00032102+0.0029087i,-4.2589e-05+0.0018506i,-0.0003323+0.0011781i,0.00051273+0.0012511i,0.00084317+0.00040677i,-4.4524e-05-0.00031249i,0.00044547-0.0009057i,0.0012423-0.00084349i,0.00031231-0.00068817i,-0.00026823-0.00031454i,-0.00026224+0.00053331i
9.6614e-05+0.0022903i,-0.0013001+0.0032628i,-0.0017766+0.0040998i,-0.00070129+0.0038285i,0.00068742+0.0019262i,0.0011407+6.8238e-05i,-0.00037463+2.7315e-05i,-0.0019374+0.0007464i,-0.0024713+0.0011389i,-0.0024+0.0018384i,-0.001776+0.0030005i,-0.00049407+0.0038874i,0.0007609+0.0030158i,0.0009269+0.0019022i,0.00059976+0.0014943i,0.00035996+0.00094033i,4.5163e-05+0.00044571i,0.00021951-0.00026065i,0.00044562-0.00071979i,0.0001738-0.00037846i,-0.00022497-0.000169i,-0.00090766+6.4217e-05i,-0.0016415+3.6132e-05i
0.0015903-5.0435e-05i,0.0029089-0.0012856i,0.0037727-0.0016784i,0.0029907-0.0012302i,0.0010314+2.2219e-05i,-7.7917e-05+0.00081212i,0.00058041+0.00083758i,0.0012997+0.0005664i,0.00076847+0.00047784i,-6.906e-05+0.00079305i,0.00045679+0.00071375i,0.0018546+1.0639e-06i,0.0015302-0.00056727i,0.00034434-0.00041629i,0.00045587-0.00046284i,0.00073452-0.00088258i,0.00031031-0.00078731i,7.4877e-05-0.00053022i,0.00037837-0.00023185i,-0.0001679+8.3414e-05i,-0.00019311-0.00031547i,2.0497e-05-0.0010079i,0.00013508-0.00078679i
0.0026655+0.0018767i,0.0027692+0.0029589i,0.003628+0.0036591i,0.0033693+0.0025213i,0.0024441+0.0011838i,0.0015857+0.00044211i,0.0010351+0.00042622i,0.00074976+0.00076586i,0.0012592+0.00096631i,0.0026423+0.00050734i,0.0038766-0.0011909i,0.003989-0.0025046i,0.0033083-0.0029479i,0.0022734-0.0031253i,0.0010695-0.0029993i,0.0002503-0.0027761i,0.00025974-0.0022974i,0.0005868-0.0012358i,-0.00063185-0.00050552i,-0.0017282+0.00021422i,-0.0014378+0.00025989i,-0.001105+4.4642e-05i,-0.00072227+0.00038593i
0.00092695+0.00063687i,0.00021641+0.00081928i,-0.00073787+0.00047396i,-0.0003359+0.00084799i,-9.4566e-05+0.0010654i,-0.0010936+0.00074717i,-0.0009239-2.9067e-06i,4.4139e-05+0.00010855i,0.00087052+0.00032329i,0.0014754-0.00094496i,0.0015246-0.0024558i,0.00097092-0.0025361i,0.00054876-0.001953i,0.0010625-0.0014867i,0.00049831-0.00057409i,-0.00054101+0.00011014i,-0.00062686+8.4408e-05i,-0.00048899+0.00040173i,-2.649e-05+0.0012591i,0.00041773+0.0018873i,7.9285e-05+0.0017933i,-2.4566e-05+0.0014402i,0.00045766+0.00048747i
0.0015741+0.0020319i,0.0014823+0.00053444i,0.0029385+0.0011022i,0.0024705+0.0010836i,0.0016314+7.091e-05i,0.00065474-0.00032836i,0.00047147-4.7787e-05i,0.00046502+0.00048448i,-0.00019013+0.00031789i,-0.0014156-0.00071059i,-0.0035213-0.00066663i,-0.0042578+0.00043003i,-0.0029136+0.0010371i,-0.0017841+0.00068379i,-0.0016702+0.00027854i,-0.00078082+0.0013033i,0.0001588+0.0015211i,8.5e-05+0.00073652i,-0.0010104-4.4157e-06i,-0.0010953-0.0010376i,-1.1304e-05-0.00034983i,0.0001184+0.00016481i,0.00073694+0.00029965i
0.00049832-0.001811i,0.0014228-0.0008902i,0.0015456-0.00056925i,0.00066608-0.00074451i,-3.2101e-05-0.00016654i,0.00046064+0.00032714i,0.00084614+0.00022949i,-0.00028056+0.00066095i,-0.002366+0.00093742i,-0.0043587+0.00056007i,-0.0057654+0.0013958i,-0.0043343+0.0027721i,-0.00114+0.0023429i,-0.00075574+0.00083262i,-0.0010466+0.00016286i,0.00079691-0.00010925i,0.0014367+0.00017807i,0.0007371+7.5546e-05i,0.00020327-0.0010349i,-4.4668e-05-0.0017797i,-5.2103e-05-0.0018357i,-0.00018862-0.0011372i,0.00020745-0.00031715i
-0.0007481-0.0014081i,-0.0012822-0.0029147i,-0.001444-0.0027394i,-0.0014989-0.00034457i,-0.0010251+0.0014556i,-0.00053283+0.0020782i,-0.00068061+0.0010543i,-0.0017644+0.00092957i,-0.0029684+0.0021314i,-0.0032878+0.0032187i,-0.0016814+0.0037229i,0.00097987+0.0028972i,0.0026404+0.0013526i,0.0023689+0.0010464i,0.0020692+0.00035723i,0.0022927-0.00074185i,0.0012802-0.0013952i,8.2936e-05-0.0015217i,-0.00076286-0.0010741i,-0.00015512-0.00042553i,0.00056298+0.00034494i,-0.00027485+0.00036497i,-0.0015051-0.00025224i
-0.00089941+0.0013383i,-0.00027897+0.0023072i,-0.0005729+0.0025611i,-0.00043359+0.0020715i,-0.00095807+0.0013269i,-0.0019924+0.00061231i,-0.0013241+0.00051084i,-0.00094222+0.0015345i,-0.0018141+0.0025453i,-0.0013351+0.0029608i,-4.2611e-05+0.0028423i,0.00050342+0.0019129i,0.00059781+0.0011487i,0.00068494+0.00097074i,0.00099313+0.00057231i,0.00076238-0.00035335i,0.00037708-0.00046854i,-0.0005433+2.9594e-05i,-0.0013773+0.00016439i,-0.00067921-0.00051898i,0.00083679-0.0016424i,0.0014207-0.0014149i,0.00013515-0.00024587i
0.00063809+0.00032909i,0.00071257-0.00016995i,0.0018234-7.3294e-05i,0.0020448+0.0010979i,0.0019413+0.0014072i,0.0012113+0.0010539i,0.00040639+0.001105i,0.00097754+0.0012839i,0.0013821+0.0013416i,0.0016805-6.1023e-05i,0.0016007-0.0022945i,0.00028767-0.0026336i,-0.0010583-0.0017586i,-0.001486-0.0017385i,-0.0015557-0.0018598i,-0.0019783-0.0016106i,-0.0020787-0.00014751i,-0.0010493+0.00022682i,3.6357e-05-0.0006039i,0.00035484-0.00078636i,0.0002126-0.00010116i,-0.001205+0.00047591i,-0.0016035+8.9396e-05i
0.0041594-0.001157i,0.0035723-0.00098757i,0.0042733-0.0016165i,0.0032041-0.001702i,0.0014032-0.00055512i,0.00053891+8.681e-05i,0.0003654-6.2227e-05i,0.0006823-0.00019797i,0.00061352-0.00079213i,-7.0215e-05-0.0032553i,-0.0012263-0.0054711i,-0.002283-0.0052358i,-0.0018837-0.0039754i,-0.0011205-0.0026394i,-0.0014902-0.00090184i,-0.0018447+0.00072618i,-0.0011398+0.001255i,-0.00033985+0.00076137i,0.00026121-1.2034e-05i,0.00078342-0.0003984i,0.0010325-8.9926e-05i,0.00087714+0.00038509i,5.1016e-05+0.0011152i
0.00080382-0.00088693i,-0.0010633-0.00051777i,-0.0016934-0.00028131i,-0.002491+0.0011714i,-0.0023404+0.0017371i,-0.0013403+0.0016671i,-0.00086886+0.00069463i,-0.00012628-0.00061201i,-0.00093999-0.0013085i,-0.0020462-0.0013576i,-0.002737-3.7624e-05i,-0.0026034+0.0015225i,-0.0013593+0.0014198i,-0.0010109+0.00059068i,-0.00089343+0.00069074i,-2.6397e-05+0.0011537i,0.00056573+0.00075957i,0.00020222+0.00022788i,-1.9713e-05+7.4691e-05i,-0.00012121-0.00091417i,-0.00046999-0.0015855i,0.00023988-0.0011938i,0.00062968-0.00097538i
0.0034624+0.0021869i,0.0033774+0.0024012i,0.0030043+0.0010022i,0.0015997-0.0013597i,0.00061439-0.0013031i,-0.00092429-0.00011806i,-0.00078253+0.0003534i,-0.0001111+0.00061097i,-0.0010601+0.00048724i,-0.002368+0.00062553i,-0.0031166+0.0021582i,-0.0024013+0.0044353i,0.00011571+0.0034266i,0.0013248+0.0010639i,0.00040505+0.001141i,0.00074471+0.0010563i,0.00030753+0.00030431i,-0.00072051+0.00036182i,-0.00040836+0.0010647i,0.00015696+0.0014892i,0.0002248+0.00084928i,-0.00016176-0.00035205i,-0.00011812-0.0012812i
0.0041098+0.0015118i,0.0042706+0.0026254i,0.0040874+0.001739i,0.0026384+0.00021394i,0.0011605-0.001191i,0.00072829-0.0012938i,0.00035398+4.65e-06i,-0.000151+0.0013582i,-0.00088559+0.0021234i,-0.00049002+0.0022984i,0.00025053+0.0025251i,0.0010228+0.0022938i,0.0011946+0.0012472i,-0.00011998+0.00027378i,-6.6015e-05+6.854e-05i,0.0012615-9.5391e-05i,0.00090686-0.00021242i,6.0687e-05+0.0004798i,-8.7636e-05+0.0010829i,0.00017099+0.00047433i,0.00042041-0.0006704i,0.00052193-0.00097811i,3.6778e-05-0.0004009i
0.0017179-0.0018075i,0.00044259-0.0023213i,-4.2893e-05-0.0024218i,-0.00032248-0.00078753i,7.0098e-05+0.0012248i,0.00080642+0.0015691i,0.00072256+0.00092515i,-0.00034398+0.0016015i,-0.00081231+0.0023527i,-0.00019444+0.0019862i,0.0013769+0.0012084i,0.0025279+0.0001959i,0.0017915-0.00055107i,0.0014736-0.0006864i,0.0017486-0.0005425i,0.00090094-0.00082212i,-0.00045748-0.00075156i,-0.00054115-0.00079156i,-7.523e-05-0.00080817i,-0.00062365-0.0012178i,-0.00075826-0.0018594i,0.00046225-0.00078792i,0.0018329+0.00066738i
9.6372e-05+0.0017375i,0.00036439+0.0017599i,0.001041+0.0033841i,0.0012977+0.0030707i,0.0020196+0.0019889i,0.0016518+0.0015587i,0.00081832+0.00099418i,-0.00021546+0.0013701i,-0.0001185+0.0020847i,0.001427+0.0016504i,0.0017576+0.00049236i,0.00045993-0.0002126i,0.00042741-0.00027056i,0.00090059-0.00055866i,-1.1034e-05-0.00027902i,-0.00099948+0.00043498i,-0.0011344+0.00023926i,-0.00078781-0.00070627i,-0.00053475-0.0018191i,-7.2303e-05-0.0014232i,-0.00017586-0.00012332i,-0.00030628+0.0004254i,0.00087342+0.0005507i
0.00082663-0.00096306i,5.9724e-05+4.5354e-05i,-0.0016108-3.482e-05i,-0.0025815-0.0005685i,-0.0027806+0.00045343i,-0.0020258+0.0013998i,-0.00099614+0.0010643i,-0.00036488+0.0006222i,-4.5826e-05+0.00011294i,-0.00066596-0.00099562i,-0.0027087-0.002294i,-0.0044735-0.002169i,-0.0035736-0.00050897i,-0.0021763+4.5078e-05i,-0.0022897+0.00027583i,-0.001989+0.0010585i,-0.00036326+0.00087469i,0.00048911-0.00041142i,0.00063612-0.00091466i,0.00083089-0.00068568i,0.0012823-0.0006455i,0.0015155-0.00022932i,0.0016782+0.00046454i
-0.0041245-0.00069315i,-0.0042639-0.00047392i,-0.0029308-2.0699e-05i,-0.001774+0.0016742i,-0.0011859+0.0032747i,1.3143e-05+0.0024051i,0.00012343-5.0066e-05i,-0.00097155-0.0014748i,-0.0021216-0.0011421i,-0.0028826-0.00063554i,-0.0038697-0.00071626i,-0.0042538-0.00048494i,-0.0031054+0.00094422i,-0.0021356+0.0013114i,-0.00096852+0.00097679i,0.000837+0.0010472i,0.0018027+0.00091785i,0.0016536+0.00048768i,0.00060228+0.00074874i,-1.2838e-05+0.00048338i,4.9644e-05+0.00019057i,0.0002355+0.00026025i,0.00047613+0.00023351i
-0.002213+0.000942i,-0.002476+0.00013452i,-0.0032649-0.00095951i,-0.0019708-0.00059658i,-0.00031762+0.00058172i,0.0010912+0.00048558i,0.0011144-0.00076278i,-0.00032173-0.0009691i,-0.001391-0.00018641i,-0.001745+0.00045653i,-0.00064307+0.0010584i,0.00075351+0.0022221i,0.0010926+0.002414i,0.0004686+0.0011809i,0.00045431+0.00090203i,0.00046544+0.00069636i,-0.0011062+0.00019941i,-0.0013947+0.00042973i,-0.00066052+0.001662i,-0.00097043+0.002203i,-0.0011764+0.0010118i,-0.0014687+0.00032793i,-0.0017884-1.1811e-05i
0.00026571+0.0025587i,0.00095597+0.0030172i,0.00066937+0.0023576i,-0.00081718+0.0016064i,-0.0013269+0.0024671i,-0.00042048+0.0031598i,0.00053036+0.0015011i,-5.7305e-06+0.00049064i,-0.0011218+0.0015471i,-0.00061502+0.0026395i,0.00073256+0.0033014i,0.0013072+0.0024361i,0.00096475+0.00039505i,0.00021738-0.00070528i,-0.00033357-0.00087839i,-0.00010682-0.0012399i,0.00014067-0.0015245i,0.00068278-0.0010226i,0.0008867+0.00012626i,0.00060185+1.1124e-07i,0.00040855-0.00039463i,-1.5165e-05-0.00072263i,-0.00065669-0.0010866i
-0.0043544+0.00042868i,-0.0056375+0.00062615i,-0.0040211+0.0016629i,-0.001634+0.0042919i,0.00027559+0.0040112i,0.0012703+0.0017204i,0.00089748+0.00094177i,-0.00015232+0.0017408i,-0.00067191+0.0027909i,-0.00049808+0.0026899i,0.00015164+0.001309i,-5.3185e-05-0.00073731i,-0.00078352-0.0014023i,-0.00060751-0.00034221i,-0.00041117-0.00023505i,-0.0011013-0.0008422i,-0.001191-0.00062672i,-0.00071605-8.512e-05i,-0.0013709-0.00056422i,-0.001481-0.0011554i,-0.0013847-0.0007472i,-0.0019227-0.00067395i,-0.0011222-0.00072343i
0.00054254-0.0012775i,0.00079175-0.0034475i,2.6118e-05-0.0038446i,-0.00016448-0.0024233i,0.00043162-0.0013141i,0.00092489-0.00094692i,0.0010259+4.0597e-05i,0.00028023+0.00096205i,-0.00025672+0.0012627i,0.00075172+0.00050659i,0.0018591-0.0010911i,0.0012689-0.0018887i,0.00011199-0.00089197i,-2.0007e-05-0.0001279i,-0.00017133-0.00060522i,-0.00081128-0.00028017i,-0.00056949+8.135e-06i,-0.00063136-0.00074035i,-0.0014429-0.00058994i,-0.0013399+0.0002036i,-0.0010236+0.00042511i,-0.00091343+0.00014351i,-0.00020561-0.00070674i
0.0014204+0.00087703i,0.0028935+0.001292i,0.0019808+0.0013912i,-9.9912e-05+0.0011388i,-0.00078078+0.00097198i,4.8141e-05+0.0014153i,0.0005874+0.0011882i,0.00026577+0.00055187i,-0.00022824+0.00077901i,-0.00068292+0.00042596i,-0.0014543+0.00024905i,-0.0015024+0.0018803i,0.00028894+0.0022557i,0.0010857+0.00037083i,0.00083192-0.00042875i,0.00096746+8.4763e-06i,0.00054056-0.00018706i,-0.00033466-0.00069539i,-0.00099326-0.00096308i,-0.0013509-0.0015567i,-0.0007616-0.0015527i,0.00029971-0.000996i,0.00078623-0.00031371i
0.0027702+0.0011138i,0.0024498+0.0017543i,0.0026512+0.0013954i,0.0021379+0.0016484i,0.00069072+0.0021298i,0.00028224+0.001393i,-0.00046261+0.00086667i,-0.0015497+0.0010986i,-0.0018383+0.00086564i,-0.0019632+0.00033753i,-0.0027505+0.001817i,-0.0029891+0.0037943i,-0.0007497+0.003238i,0.00012794+0.0012882i,-0.00078297+0.00084967i,-0.00022749+0.00082481i,-0.00062942-0.00016495i,-0.0014642-0.00052628i,-0.0014953-0.00051002i,-0.0012183-0.0001635i,-0.00028548-8.3419e-05i,0.00031551-0.00026455i,0.00087223-0.00076368i
0.0006987+0.00029507i,-0.00096531-0.00021975i,-0.0010239-0.001186i,0.00014754-0.00034207i,-0.00019582+0.00022561i,-0.00088923-0.00018854i,-0.0011857-0.00053234i,-0.0016554-0.0011022i,-0.0017111-0.00052585i,-0.0023334+0.00091534i,-0.0028243+0.0013297i,-0.0016997+0.0019067i,-0.00023115+0.0013258i,0.00046731+0.00033518i,0.00088696+0.00027632i,0.0013486+0.00016724i,0.00084559+0.00014406i,-0.00010377+0.00025529i,0.00015223+8.6319e-05i,0.0016058-0.00013687i,0.0015836-0.00030465i,0.0010239+2.5184e-05i,0.00039969+0.0006562i
0.00020285+0.00043269i,-0.0003497+0.00037515i,-0.001574+0.00114i,-0.0017492+0.0021322i,-0.0011971+0.0024686i,-0.0011649+0.0016127i,-0.00090957+0.00015959i,-0.0013209-0.00014399i,-0.0017486+0.00029718i,-0.0012338+0.00091926i,-0.00068413+0.00086804i,0.0001146-0.00016885i,0.00081848-0.0010818i,0.00026046-0.00055767i,-0.00087402+0.00026373i,-0.00033133+0.00054555i,0.00034092+0.001013i,-4.492e-05+0.0010513i,0.00027015+0.00027653i,0.00069476-0.00049618i,-7.2595e-05-0.00044499i,3.6351e-05-0.00022021i,0.00068314+5.47e-06i
-0.00019292+0.002092i,-0.00023723+0.0033423i,0.00080595+0.0047532i,0.0025553+0.0039451i,0.0030906+0.0032895i,0.0017666+0.0017223i,0.0011876+0.00046631i,0.00071999+0.00074913i,-0.00080717+0.0019894i,-0.0015468+0.0022812i,-0.0016755+0.0014553i,-0.0026265+0.0014743i,-0.00244+0.0017234i,-0.00074686+0.0022954i,-0.00098898+0.0020659i,-0.0017009+0.0014335i,-0.0014211+0.00062844i,-0.00066058+0.00037586i,-0.00010364+2.9384e-05i,0.0001385-0.00019232i,0.00020156+0.00039204i,0.00020639+0.00052251i,0.00010553+0.00037168i
0.0014512-0.00064653i,-0.00054332-0.0011528i,-0.0011167-0.002443i,-0.0010398-0.0023569i,-0.0011843-0.0018445i,-0.00025738-0.0012765i,0.00049401+4.8537e-05i,0.00030375+0.0016012i,-6.6162e-05+0.0011961i,-0.00048856-0.0008505i,-0.0018349-0.0024939i,-0.0040285-0.0024273i,-0.0036088-0.00060701i,-0.0017203+0.00040852i,-0.0014453+0.00038884i,-0.0018254+0.000388i,-0.0012663+0.00085804i,-0.00090967+0.001131i,-0.00035099+0.00092365i,0.00047389+0.00095947i,0.0006219+0.00065755i,-0.00015621+0.00052647i,-0.0014888+0.00031649i
0.00023746+0.0014148i,0.00072018+0.00018188i,0.0005774+0.0023107i,7.4434e-05+0.0031481i,0.00012576+0.0025411i,0.00072817+0.0012559i,0.00064304+0.00092011i,0.0001047+0.001304i,-1.9054e-05+0.00057796i,0.00043584-0.0010836i,-0.0002659-0.0021867i,-0.00043856-0.0023622i,0.00042514-0.0017717i,0.0001377-0.0012982i,-0.00016877-0.0017986i,0.00012326-0.0017362i,-0.00055944-0.0013756i,-0.0016739-0.00054261i,-0.0020418+0.00053353i,-0.001337+0.00047887i,-0.001+0.0002006i,-0.0012731-0.0003892i,-0.0010213-0.00038899i
0.0028581+0.0021955i,0.0040326+0.0033528i,0.0039322+0.0039927i,0.0025192+0.0032109i,0.0015066+0.0025391i,0.0013809+0.0015983i,0.0012375+0.0010833i,0.00073316+0.0010621i,-4.6284e-05+0.00012516i,6.7971e-05-0.00034806i,0.0010784+0.0008275i,0.0022377+0.0023331i,0.0027416+0.0011125i,0.0025581-0.0015306i,0.0016672-0.0016521i,0.00058749-0.00064224i,-0.00044345-0.00088534i,-0.0014389-0.00020225i,-0.0016118+0.00045039i,-0.0010686-2.7595e-05i,-0.00039085+0.00024703i,0.00014022+0.00055262i,-0.0001606-4.7957e-05i
0.00070221+0.0016214i,-0.00016369+0.0027072i,4.6594e-05+0.0026495i,-0.00029493+0.0009503i,1.8617e-05+0.00032944i,-3.5664e-05+0.0002732i,-0.00061534-9.311e-05i,-0.00029554-0.00063248i,0.00024445-0.00074583i,0.00082661-0.00039566i,0.0012289+0.00075491i,0.0018608+0.0013914i,0.0021461+0.0010604i,0.0017122+0.00040574i,0.0012923+0.00024063i,0.00096113-8.638e-05i,0.00060668-0.00078714i,0.00049998-0.0011608i,0.00015203-0.00098317i,0.0007238-0.0014234i,0.0014446-0.0014684i,0.00040425-7.7563e-05i,-0.00012208-0.00013485i
0.0009-0.0008112i,-0.00066987-0.0022605i,-0.00042619-0.0039641i,-0.00064593-0.0024029i,-0.0018928-0.00010941i,-0.002188+0.00082138i,-0.0020575-0.0001477i,-0.0016302-0.00084562i,-0.00071295+2.5387e-05i,-0.00082333+0.00097862i,-0.00099095+0.00057085i,-0.0012486-0.00049997i,-0.0014197-0.0019416i,-0.0010035-0.0017825i,-0.00046128-0.0008553i,-0.00059254-0.0012866i,-0.0007542-0.0017069i,-0.00045934-0.0015798i,-3.7094e-05-0.0013182i,0.0001315-0.00073312i,6.7244e-06-0.00044371i,-0.00043352-0.00026613i,-0.00019225-0.0004606i
0.0012834-0.0021731i,0.0032017-0.0018649i,0.0029925-0.00060688i,0.0014317-3.7435e-05i,0.00041502-0.00021985i,-0.00045228-0.00024273i,-0.00016223-0.00035297i,0.00072229-0.00050657i,0.00044959+0.00030782i,-0.00031825+0.0015178i,-0.00075767+0.00069782i,-0.0008739-0.0011254i,-4.2404e-05-0.00050162i,0.00077656+0.00053188i,0.001249+0.00093689i,0.00090811+0.001237i,0.000427+0.0008727i,-0.00066225+0.00012468i,-0.00092238-7.194e-05i,-0.00043533+2.8268e-05i,-0.00067489-0.00043393i,-0.00052588-0.00050023i,0.00040684-0.00038531i
0.0023158+0.00034154i,0.002316+0.0018396i,0.0016655+0.0025778i,0.00075062+0.0017345i,-0.00047118+0.00089887i,0.00045743-8.9556e-05i,0.002179-0.00080814i,0.0025605-0.0003363i,0.0014795+0.0011059i,-0.00027686+0.0018672i,-0.0014075+0.0015903i,-0.0016371+0.0018978i,-0.00069171+0.0030346i,0.0006683+0.0028552i,0.00087285+0.0024073i,0.00066737+0.0025642i,0.00047669+0.0014056i,0.00033786+0.00011959i,0.00051142-0.00063654i,0.00032218-0.0010969i,0.00033351-0.0010486i,0.0007479-0.00038492i,0.00071574+0.00057459i
8.1579e-05-0.0010303i,-0.0011257-0.0011018i,-0.0014329-0.0018138i,-0.001123-0.00013015i,-0.00051306+0.0021913i,0.00052656+0.0025652i,0.0016931+0.0026658i,0.0018322+0.0024333i,0.00026476+0.0020692i,-0.002589+0.0019059i,-0.0046552+0.0014752i,-0.005262+0.0027041i,-0.0038522+0.0039369i,-0.0018555+0.0024516i,-0.0016234+0.0010239i,-0.0012661+0.001102i,0.00011364+0.0011367i,0.0008433+0.00047102i,0.001012-1.9826e-05i,0.00049427-0.00013874i,0.00021982+0.00011449i,0.00062062+0.00033191i,0.00024702-0.00010612i
-0.0013106-0.001339i,0.00013052-0.00097527i,0.00070933-0.00021275i,0.0012439+0.00034887i,0.0011702-0.0002838i,0.0010706-0.00063018i,0.0011794+0.00032038i,0.00045159+0.0021126i,-0.0015072+0.0029645i,-0.0032613+0.0010834i,-0.0030265-0.0014045i,-0.0013288-0.0018921i,-0.00053601-0.0018664i,-0.00037926-0.0016505i,-0.00014149-0.00086516i,6.0913e-05-0.00021696i,0.00049886+0.0003983i,0.00056779+0.0011447i,0.00057342+0.0015969i,0.00018092+0.001418i,-0.00021971+0.0010202i,-0.00026703+0.00073571i,0.00016169-0.00022317i
0.0023342-0.001372i,0.0028759+0.00012258i,0.0020983-0.00051498i,-0.00014076-0.00067399i,-0.0016344+0.0013295i,-0.0015436+0.0025747i,-0.0015396+0.0032155i,-0.002358+0.0030829i,-0.0034422+0.00061056i,-0.0037356-0.0022641i,-0.0020476-0.0026086i,0.0011901-0.0022911i,0.0021307-0.0019422i,0.0011851-0.0011645i,0.00090192-0.00060629i,0.00049176-0.0006418i,-0.00039361-0.0010417i,-0.00059017-0.0013372i,-0.00013024-0.00082989i,-0.00044927-0.00088539i,-0.00065862-0.0016053i,3.8705e-05-0.0013934i,-0.00048826-0.00046951i
-0.0016267+0.001556i,-0.0011475+0.0019573i,-0.0018939+0.0010687i,-0.0022708+0.00053823i,-0.00071044+0.0013927i,0.00054452+0.0018154i,-0.00080567+0.0011845i,-0.0022608+0.00013052i,-0.0021956-0.00062435i,-0.0013772-0.00081305i,-0.00044712-0.00019325i,0.00026563+6.1126e-05i,-0.00010311+1.9838e-05i,-0.00096042-0.00013769i,-0.00081533-0.00046707i,-0.00060966-0.00084925i,-0.0011171-0.00076038i,-0.001522-0.00028203i,-0.0013727+0.00013357i,-0.00035012+0.00032698i,7.9107e-05+0.00017738i,-0.00037269-0.00018307i,-0.00040902-0.00018213i
-0.0036504+0.00019521i,-0.0025487-0.00093281i,-0.0024525+0.00043038i,-0.0021455+0.0018094i,-0.0012322+0.0010335i,-0.00069626-0.00014051i,-0.00087573-0.0014404i,-0.0018968-0.0022621i,-0.0016002-0.0014825i,-0.0004794+0.00041539i,-0.00051723+0.0013414i,-0.0015219+0.00054405i,-0.0022609-9.496e-05i,-0.0015021+0.00069805i,-0.00081379+0.00049709i,-0.00095222-9.3307e-05i,-0.0005293+0.00053716i,-0.00021465+0.0013791i,0.0010191+0.0016293i,0.0022227+0.0011315i,0.0016571+4.1792e-05i,0.00069074-0.0006919i,0.00025339-0.00072919i
0.0034209-0.00028252i,0.0041671+0.00022834i,0.003918+0.001188i,0.0023734+0.00090704i,0.00046718+0.00025739i,-0.00059183-0.00052061i,-0.00072838-0.0024595i,-0.0001658-0.0038115i,0.0014088-0.0032494i,0.0021356-0.0019655i,0.0012074-0.0014464i,-0.00026273-0.0012159i,8.8002e-05-0.00069081i,0.0013157-0.00091989i,0.0012912-0.00063675i,0.0008045-9.8202e-05i,-0.00010776-0.00036658i,-0.0011079+0.00016004i,-0.00085779+0.0008301i,0.00025425+0.00098532i,0.00045561+0.00049702i,0.00022161+0.00049408i,0.0002209+0.0011857i
0.0024106+0.0031863i,0.0029165+0.0032253i,0.0022619+0.0025449i,0.00059616+0.001901i,-1.3126e-05+0.0011889i,0.0013708-0.00045024i,0.0025385-0.0019391i,0.0023561-0.0027503i,0.0031044-0.0016114i,0.0039031+2.6859e-05i,0.0037282+0.0011151i,0.0032815+0.0033401i,0.0030497+0.0038266i,0.0022246+0.0027933i,0.00073268+0.0023299i,0.00053228+0.0019152i,0.00081057+0.0010412i,-4.5789e-07-0.00057844i,-0.00027496-0.00071458i,-5.3368e-07+3.0859e-05i,0.00083468+7.8093e-05i,0.0011374-4.1744e-05i,0.0010273+0.00013274i
-0.0023457-0.0015498i,-0.0027802-0.0027183i,-0.0010384-0.0031499i,-0.00024814-0.0013833i,-0.00017864-1.9218e-05i,0.001957-5.999e-05i,0.0039778-0.00034835i,0.0050902+0.00075911i,0.0038113+0.0025214i,0.00059128+0.003285i,-0.0012014+0.004441i,-0.00082654+0.0049932i,0.00035577+0.0033873i,0.00033593+0.0015209i,-0.00020872-0.00023584i,0.00044227-0.00098779i,0.00050835-0.0010568i,0.00041021-0.00075978i,0.00049981+0.00014109i,-0.00031531+0.00017976i,-0.00013363-0.00058744i,-0.00077144-0.00096972i,-0.0015037-0.00018658i
