-0.0020159+0.00058171i,-0.0014704-0.00015387i,-0.0024141+8.2489e-06i,-0.0025671+0.00074544i,-0.001607+0.0010791i,-0.00052782+0.0011842i,-0.00080504+0.0017366i,-0.0014375+0.0018315i,-0.0004292+0.0015237i,0.00091808+0.0011141i,0.00087641+0.0006816i,0.00088775+0.0006172i,0.0007996+0.0008294i,0.00015022+0.00073557i,0.00036914+0.00077178i,8.775e-05+0.00016434i,-0.00025076-0.00042372i,-0.00032197-0.00096223i,-0.00013851-0.00076879i,-0.00025337-0.00069298i,-0.00089065-0.00058481i,-0.00086451-2.1768e-05i,-0.00032935+0.00029685i
0.00019616+3.3709e-05i,-4.1442e-05+0.0010646i,-0.00098409+0.0014607i,-0.00090556+0.0011889i,0.00074777+0.00078231i,0.0013793+0.00073919i,-1.9613e-05+0.00061819i,-0.0010592+0.00086755i,-0.00050328+0.0013145i,-0.00032503+0.00099926i,-0.00022736+1.3454e-05i,-0.00013221-0.00013559i,-0.00067251+0.00026888i,-0.00052785+4.9927e-05i,0.00010567-0.00059619i,-4.8435e-05+0.00026139i,-4.8054e-05+0.00088863i,0.00038384+0.00070112i,0.00075132+0.00040973i,0.0001751-0.00010499i,-0.00038586-0.00017276i,0.00025171+0.00055854i,0.0010193+0.0010872i
0.00090015-0.00066129i,0.00048475-0.0011589i,0.00033695-0.0017872i,0.00030643-0.00093058i,4.1864e-05-0.00018938i,-0.00014912+6.0264e-05i,-0.00064524+0.00085127i,-0.00098125+0.001157i,-0.00073032+0.00099598i,-0.00025343+0.00047542i,-1.7637e-05+1.5246e-07i,-0.00049452-0.00051294i,-0.00038896-0.00080693i,-0.00028737-0.00039557i,-0.00088522+8.5735e-05i,-0.0013042+0.00039235i,-0.00082155+0.00045846i,0.00040335+0.00035823i,0.0011829+0.00019844i,0.00062273-0.00038821i,-0.00012167-0.00059706i,-0.00082319-0.00033438i,-0.0013126-0.0001892i
-0.0004009+0.00033175i,-0.00034911+7.4197e-05i,0.00032707-6.9687e-05i,0.00018021-0.0003597i,0.00023552-0.00084298i,0.0010269-0.00078601i,0.00063304-0.00023478i,7.8651e-05-7.8448e-05i,8.5808e-05-0.0004218i,-0.00058688-0.00023146i,-0.00068039+0.00024255i,-0.00050479+0.00017548i,-0.00029338+0.00013332i,0.00040854+0.0006889i,0.00034094+0.00089512i,-0.0001269+0.0012142i,-0.00018083+0.0014245i,-1.9065e-05+0.00082897i,0.0004712-0.00030839i,0.0011151-0.0012893i,0.00067774-0.00093423i,-0.00023655+0.00011746i,-0.00024374+0.00040291i
-0.00062097+0.0017557i,0.00021487+0.0013057i,0.0011348+0.00089242i,0.0011317+0.00078182i,0.00084041+0.00073355i,-0.00024106+0.00012621i,-0.0017884-0.00010895i,-0.0016822+0.00015312i,-0.00080972+0.00030393i,-3.0067e-05+0.00097191i,0.00014663+0.0009824i,3.774e-05+1.3736e-05i,0.00027241-0.00032004i,0.00031552+0.00017613i,-0.00010646-0.00019661i,-0.00026834-0.00075538i,-0.00021408-0.00072032i,-0.00033125-0.00075937i,2.0865e-05-0.00051158i,0.00018961+6.2595e-05i,6.1124e-05-6.4841e-05i,-0.00020115-0.00048124i,-0.00045167-0.00020827i
-4.7717e-05-0.0011034i,-0.00084191-0.00091326i,-0.0012827-0.0011221i,-0.00065369-0.00058203i,-0.00038033+1.2874e-05i,-0.0002546+8.0463e-06i,-0.00063533+0.00022887i,-0.0011673+0.00036131i,-0.0010466-4.4195e-05i,-0.00065025-0.00022897i,-7.3184e-06-0.00010716i,0.00014396+0.00014524i,-0.00043299+0.00019627i,-4.6037e-05-6.5123e-06i,-0.00015046-0.00016633i,-0.00098708+0.00041352i,-0.00058159+0.00043696i,0.00063631-0.00036865i,0.00067575-0.00021142i,-0.00033597+0.00012408i,-0.00091719+0.00010351i,-0.00058233+0.0002339i,-0.00010254+0.00053795i
0.001221+0.0015917i,0.0011975+0.00087561i,0.0016673+0.0010144i,0.0025763+0.0010742i,0.0022407+0.00045765i,6.3557e-05-0.00039217i,-0.0014401-0.00093013i,-0.00057908-0.00016593i,-2.7191e-05+8.3075e-05i,0.00010002-0.0004216i,0.00026156-0.00044489i,0.00022566+8.706e-06i,1.1705e-06+0.00036482i,-0.00041682+0.00013078i,-0.00047568-0.00055675i,-0.00029824-0.00033319i,-0.0012544-8.1892e-05i,-0.0016905-4.645e-05i,-0.00080783-0.0002293i,2.1186e-05-0.00042848i,0.00022131-0.00021421i,3.1731e-06+2.5033e-05i,-0.00019614+5.1379e-05i
9.8978e-05-0.00033106i,0.00051788-0.00075155i,0.00044192-0.0012849i,-0.000171-0.0013332i,0.00010198-0.0010203i,0.00028431-0.0012317i,-0.00097497-0.0011854i,-0.0016129-0.00066363i,-0.0012223+0.00017139i,-0.0006471+0.00022453i,-0.00027494+3.1255e-05i,0.00016882+0.00028029i,0.0003866+0.00025168i,0.00022283-4.3174e-05i,8.4585e-05-0.00012421i,-0.00020397+0.00045492i,-5.4567e-05+0.00084142i,0.00028961+0.00054799i,0.00051819+0.00055903i,1.7065e-05+0.0014796i,-0.00070028+0.0014265i,-0.00043769+0.00053966i,-0.00035399-8.3468e-05i
-0.00090762+0.00048878i,-0.00052044+0.00019147i,0.00083872+0.00046662i,0.0023682+0.0011494i,0.0018565+0.00083885i,0.00031112+0.00014345i,-0.00038053-0.00035948i,-0.00086462-6.5772e-05i,-0.0010786+0.00048195i,-0.00085082+0.00033622i,-0.00081634+0.00048265i,-0.000462+0.00068937i,0.00012274+0.00039638i,0.00031371+0.00049678i,0.0001075+0.00090261i,-0.00015437-0.00010606i,4.5156e-05-0.00058884i,0.00026915-9.8022e-05i,-0.00036423+0.00013646i,-0.00087147-0.00020227i,-0.00042309-0.00078465i,0.00028121-0.00037917i,0.00046254+0.00063448i
0.00079676-0.00026516i,0.00079291-0.0013271i,0.00045032-0.0012892i,-0.0006641-0.00081549i,-0.0011464-0.00072866i,-0.0014056-0.00081247i,-0.00094556-0.00055104i,-0.00078088-0.00026937i,-0.0010934-0.00013069i,-0.0011188+0.00025991i,-0.0012323+0.00076264i,-0.00064181+0.0008837i,0.00049965+0.00033125i,2.6417e-05-0.00014857i,-0.00082047-0.00020297i,-0.00030491-0.00041397i,-0.00014578+3.5384e-05i,0.00015632+0.00056106i,0.00037639+0.0002028i,-0.00035145-9.9298e-05i,-0.00036123-0.00043937i,0.00025362-0.00040944i,-2.6349e-05+0.00045239i
-0.00044535+1.8123e-05i,-0.00013122-0.00052611i,-0.00010891-0.0016467i,0.00026098-0.0010403i,0.00094458-0.00062503i,0.00073556-0.00024635i,-0.00089877-5.921e-05i,-0.0020014-0.00039892i,-0.0016877+0.0001108i,-0.0014443+0.00055559i,-0.00091047-0.00031086i,-0.00029223-0.00064928i,-0.00021417-0.00036379i,0.00025759-0.00047155i,0.00021343-0.00027439i,0.00012246-0.00016076i,-0.0002098+0.00027202i,-0.00013353+0.00034964i,0.00026122-0.00095973i,0.00047103-0.0011309i,-4.1611e-05-0.00026532i,-0.00054018-0.00012246i,0.00020527-0.00069376i
