-0.0002976+4.5953e-05i,-0.0014242-0.00067098i,-0.0028078-2.674e-05i,-0.0027345-0.00013779i,-0.002124+0.00029643i,-0.0012195+0.0019843i,0.00022622+0.0027317i,0.00049497+0.0017204i,0.00052454+0.00082832i,0.00062849+0.00082112i,0.00028108+0.00021489i,0.00041447+0.00014268i,-3.3483e-05+6.7446e-05i,0.00032448-0.00020319i,0.0012879+0.00027695i,0.00097707-0.00022746i,0.0008948-0.0011714i,0.00061583-0.00073004i,-6.2005e-05-0.00010558i,-0.00046145-0.00034355i,0.00014172-0.00044025i,0.00020232+4.1635e-05i,-0.00041775-8.3574e-05i
-0.00098922-0.0025759i,-0.00066322-0.0023047i,-0.0010784-0.0024721i,-0.0013326-0.0013335i,-0.0014349+2.003e-05i,-0.00073361+0.0010603i,3.7564e-05+0.0015064i,-0.00051006+0.0010942i,-0.001739+0.00070885i,-0.0017644+0.00023921i,-0.00048979-0.0003481i,8.4052e-05-0.0001741i,-0.00077013+0.0010787i,-0.00094772+0.0011539i,-3.625e-05+0.00063517i,0.00087706+0.00063505i,0.0006458+0.00063386i,-0.00014196-1.7439e-05i,-0.00036524-0.00090093i,-0.00025442-0.0017592i,-0.00082712-0.0015265i,-0.0015253-0.00083892i,-0.0009721+0.00018335i
-0.0012265-0.000708i,-0.0016071-1.1538e-05i,-0.0022057+0.00048471i,-0.0025912+0.00071036i,-0.0022764+0.00022097i,-0.0011899+0.00097482i,0.00038878+0.0014011i,0.0018222+0.0009008i,0.0010435+0.00023428i,-0.00021287-0.00025142i,0.00038197+0.00022328i,0.00080458+0.00024696i,0.00015889-0.00022806i,-0.0007467-0.0002999i,-0.0006669+0.00021832i,-6.7548e-05-4.0207e-05i,-3.3743e-05-0.0010696i,0.00018037+0.00015022i,0.0003669+0.0012561i,0.00022291+0.00067706i,-0.00014557-0.00014266i,-9.5497e-05+0.00039768i,-0.00034507+0.00092436i
-0.0016262-0.0015095i,-0.0016842-0.0018369i,-0.0023591-0.0020502i,-0.0026214-0.0017527i,-0.0016662+3.1154e-05i,-0.0002423+0.0011425i,0.00036996+0.0003756i,0.0002405-0.00015129i,-0.00044267+0.00029236i,-0.00051421+0.00026559i,-2.834e-05+0.00012911i,0.00025155+0.00025312i,0.00025216+0.00049541i,0.00023782+0.00066021i,0.00071489+0.00048359i,0.00092239+0.00014784i,0.00052031+0.00028151i,-7.4675e-06+0.00039663i,-0.0010344-0.00014156i,-0.00092321-0.00029432i,9.661e-05-6.0399e-05i,0.00050611-5.3637e-05i,7.7242e-05-1.4419e-05i
-0.00096373+0.00064447i,-0.0013957+0.00031918i,-0.0024467+0.0009247i,-0.0023453+0.0022627i,-0.0014593+0.0023516i,-0.00076845+0.0018372i,-0.00030501+0.0014791i,-0.00022483+0.00076968i,-0.00025398+4.6202e-05i,-0.0004051+2.2389e-05i,-2.8459e-05+0.00010939i,7.5454e-05+0.00067196i,-0.00059893+0.00050515i,-0.00076514-0.00010623i,-0.00093564-0.00039287i,-0.00049606-0.0003766i,0.00051844-0.00020752i,0.00097861+0.00028209i,6.8028e-05+0.0012546i,-0.00061274+0.00099866i,-0.0002728+0.00036767i,2.0016e-05+0.00010474i,-0.00038687+2.6784e-05i
-6.7468e-05-0.0027644i,-0.0018683-0.0022961i,-0.0029601-0.0015876i,-0.002416-0.0011131i,-0.0019115+0.00018119i,-0.0010868+0.0016097i,-0.00012648+0.001838i,-8.5839e-05+0.0015001i,-0.00017477+0.00015168i,-0.00055853-0.00086785i,-0.0012209-0.00028203i,-0.0010154+0.0004829i,-0.00041111+0.0011877i,-0.00010015+0.0019422i,-0.00016549+0.001206i,-4.8048e-05+0.00027856i,0.00036897-0.00036813i,5.5836e-05-0.00032584i,-2.1689e-05-9.8064e-06i,0.00041966+2.905e-05i,0.00042807-0.00032538i,0.00018253-0.00056469i,-0.00012225-0.00056959i
-0.00064947-0.0005432i,-0.0013246-0.0015577i,-0.0016265-0.0031478i,-0.0016498-0.0025931i,-0.00096893-0.00046912i,-8.629e-05+0.00069601i,0.00011519+0.00077968i,0.00023334+0.0010098i,-0.00055174+0.0010349i,-0.0016002+0.00033638i,-0.0012745-0.00019888i,-0.00021525-0.00021179i,0.00034981-1.6649e-06i,0.00035861-0.000389i,0.00076826-0.00044722i,0.0010261-5.2762e-05i,0.0006488-0.00048305i,-0.00010355-0.00035765i,-9.5801e-05+0.00063593i,-0.00036522+0.00093195i,-0.00044841+0.00087789i,-0.00035765+0.00061821i,-0.0010024+0.00012114i
-0.0014378-0.0011567i,-0.0019866-0.00062721i,-0.0026324-0.0012526i,-0.0027803-0.0011405i,-0.0022703+0.00037619i,-0.0010046+0.0012399i,0.0007015+0.0010618i,0.0015114+0.0010988i,0.001205+0.00062838i,3.5295e-05+0.00077535i,-0.00071462+0.001005i,-0.00055481+0.00069106i,-0.00066426+0.0001284i,1.176e-05-7.0758e-05i,0.00047782+0.00022952i,0.00059368+0.00014492i,0.00080299+0.00068494i,-0.00041505+0.00083568i,-0.00062664+1.8407e-07i,-0.00021952-3.6129e-05i,-0.00064355+0.00023132i,-0.00080702+0.00043324i,-0.00059873+0.00073332i
-0.00085845-0.00014506i,-0.00091726+0.00015693i,-0.00062816+0.00072707i,-0.00050399+0.00057948i,-0.00058571+0.00011357i,-0.00036739+0.00051169i,-4.0342e-05+0.00060291i,0.00017329-0.0002446i,0.00090013-0.00037676i,0.00094469+0.00011051i,7.6485e-07+0.00040043i,-0.00111+0.00018395i,-0.0008203-0.00038151i,-0.00024734-0.0013245i,0.00016166-0.0014136i,0.00034466-0.00026769i,-0.00054351-3.9439e-05i,-0.00067594+0.00014295i,-0.00054381+0.00077593i,-0.00057055+0.00050421i,-0.00027031-7.143e-05i,3.5848e-05+5.8933e-05i,0.00037863+0.00041231i
-0.00072745+4.7449e-05i,-0.00067365+0.001278i,-0.0016955+0.0023037i,-0.0017559+0.0018685i,-0.00072571+0.0014876i,-0.00076376+0.0014124i,-5.4861e-05+0.001071i,0.00051532+0.00032876i,0.00051196-0.00018915i,-0.00020156-1.2811e-05i,-0.00081794-0.00038977i,-0.00051278-0.00048913i,0.00010377+4.0038e-05i,0.00019895-0.00018644i,0.00059266+6.8973e-05i,0.00047186+0.00063134i,0.00083244+0.0002344i,0.00047693-9.0191e-05i,-0.00073217-0.00047462i,-0.00041783-0.0004567i,0.00050217-0.00055062i,0.00089313-0.00062915i,-8.471e-05+0.0001515i
-0.0035724-0.0012229i,-0.0038349-0.0010228i,-0.0040757-0.00088969i,-0.0027229-0.0011744i,-0.0005494-0.00049376i,0.00030419+0.00063368i,0.00078884+0.00048934i,0.00080923+0.00013453i,-0.00025467-6.3622e-05i,-0.00077536-0.00038063i,-0.00047532+0.00010993i,7.7497e-05-0.00020108i,0.00044371-0.00055486i,0.00089862-0.00039484i,0.00089418-0.00074192i,0.00051707-0.00028894i,0.00071493-0.00035411i,0.0010878-2.3129e-05i,0.00041719+0.00089307i,-0.00027997+0.00042971i,9.6529e-05-0.00013513i,0.00033379-4.5228e-05i,0.00027825+0.00039406i
