-0.0032918+0.00026434i,-0.0021292+0.00036379i,-0.0018964+0.0013829i,-0.0020182+0.002493i,-0.0016779+0.0033528i,-0.00084928+0.0029244i,-0.00053577+0.0013846i,-0.00063481+0.0011147i,-0.00066341+0.001779i,-0.00048219+0.0014985i,0.00013716+0.0002501i,0.0004184-0.0010384i,-0.00051279-0.00074769i,-0.0012671-5.9267e-05i,-0.00092082+0.00011073i,0.00022243+9.166e-05i,0.00035128+0.00047376i,-2.081e-05+0.00065175i,0.00041358-0.0001275i,0.00085541-2.7845e-05i,0.00048145+0.00035076i,-0.00058812+3.3057e-05i,-0.00055876-0.00086461i
-0.0003983-0.00043148i,0.0012644+0.00034537i,0.0016008+0.0011621i,0.0017866+0.0018114i,0.0012976+0.0022957i,0.00047003+0.001807i,0.00020799+0.0012468i,-0.00031846+0.0011345i,-0.00055566+0.00042703i,-0.00021467-0.00053628i,0.00013624-0.00035079i,0.0002934-8.8247e-05i,0.00010968-0.00031935i,0.00028219-0.00064863i,0.0007839-0.00076691i,0.0010234-0.00027581i,0.0010798-0.00046804i,0.00035755-0.00092673i,-0.0010269-0.00028646i,-0.0014488+0.00035321i,-0.001305+0.00042019i,-0.00061662+2.1388e-05i,7.7366e-05-0.00038507i
-0.00098597+0.0018813i,-0.00042412+0.0017464i,-0.00030064+0.0013294i,0.00022796+0.00072901i,0.00040245+0.00056144i,0.0003314+0.00081357i,-0.00032725+0.00039045i,-0.0017685+0.00041991i,-0.0014834+0.0011301i,0.00024498+0.0016753i,0.00055418+0.0017111i,0.00059139+0.00098531i,0.00061556+0.00056922i,0.0001098+0.0009073i,-8.792e-05+0.0010867i,-8.2951e-05+0.00043989i,0.00024775+0.0005945i,5.3602e-05+0.00033585i,-2.232e-05-0.00074367i,0.00027176-0.00046522i,0.00036809+0.0002221i,0.00042705+0.00072746i,-8.1654e-05+0.00058641i
-0.0010943-0.00048995i,-0.0012929-0.00081739i,-0.0012919-0.00022719i,-0.0011989+0.00056838i,-0.00073958+0.001525i,-0.00046309+0.00071767i,6.5846e-05-0.00019817i,3.2495e-05+0.000431i,-0.00020276+0.00019457i,-8.6239e-05+0.00027181i,-0.00061355+0.00067571i,-0.00072976+0.0004354i,-0.00028802+0.00051685i,0.0004629+0.00024846i,0.00078875+3.9219e-06i,0.00026456+0.00018181i,-0.0002772+0.00031288i,-0.00013456+0.00039771i,-0.00028114+0.00083394i,-0.0010051+0.00023638i,-0.00079946-0.00016526i,-0.0005448+0.00024186i,-0.00064484-6.4269e-05i
-0.00026377+8.9144e-05i,-0.0002836-0.0001149i,-0.00090068+0.00072912i,-0.0013389+0.0012785i,-0.00047933+0.0010901i,0.00021667+0.0014085i,-0.00015373+0.0018213i,-0.00045208+0.0016366i,-3.7367e-05+0.0012837i,4.5746e-06+0.00045064i,-0.00065874+6.0311e-05i,-0.00034526-0.00044587i,0.00038873-0.0010195i,0.00095306-0.00059725i,0.0010684+0.00011373i,0.00066845+0.00038843i,0.00033256+0.00055603i,-0.00072266+0.00022728i,-0.00081919-9.5758e-05i,0.00011117-0.0002078i,0.00015709+0.00010311i,-0.00056642+0.00011406i,-0.00076896-0.00024241i
-0.0010926-0.00099958i,-0.0014289-0.00088462i,-0.0017392+0.00012264i,-0.00063653+0.0009114i,0.00062716+0.001348i,-9.9882e-05+0.0015138i,-0.0012761+0.0006746i,-0.0013452+0.00015992i,-0.00069704+0.00063272i,-0.00011917+0.00081445i,1.7372e-05+0.00062008i,-1.6938e-05-0.00026257i,-0.00022003-0.00040294i,-0.00058567+0.00028826i,-1.3716e-05+0.00025368i,0.00095641+5.9449e-06i,0.00062975+0.00011197i,5.5542e-05+0.00015735i,-0.00026604+0.00047239i,-0.00018208+0.00054581i,-0.00035718+0.00075433i,-0.0001734+0.00042037i,-8.8583e-05-0.00056969i
0.00032557+0.00060577i,-0.0006932-0.00023769i,-0.001852-0.00076608i,-0.0022291-0.00043345i,-0.0022169+0.00049204i,-0.002301+0.0014767i,-0.0023653+0.0014736i,-0.0018303+0.00074394i,-0.00027963+0.00042345i,0.00048714+0.00083481i,0.00028594+0.0012041i,-0.00046518+0.00025893i,-0.00075903-0.00047235i,-0.00070999+4.8208e-06i,-0.00020544+0.00036051i,0.00033409-2.0423e-05i,0.00013859-1.5224e-05i,-0.00039714+0.00028178i,-0.0011785+0.00076855i,-0.0013572+0.0010942i,-0.00051893+0.00098818i,-1.0501e-05+0.00065694i,-0.00018246+0.00014554i
-0.00012538-0.0011297i,-4.736e-05-0.0012629i,-0.0009688-0.00062662i,-0.0020805-0.00031003i,-0.0015399+0.00041111i,0.00043826+0.0014026i,0.0011471+0.0018296i,8.176e-05+0.0010902i,-9.4232e-05-7.2796e-05i,0.00014671-0.00056542i,-6.5057e-05-6.5598e-05i,0.00077365+0.00047699i,0.0010026-5.02e-06i,0.0003369-0.00051817i,0.00041462-0.00058102i,0.00036411-0.00035001i,-2.7247e-05-0.00026769i,3.0858e-05-0.00030088i,-0.00024138+0.00025464i,-0.00065785+0.00060196i,-0.00061282+0.00065652i,-0.0004405+0.00070814i,-0.00041215+0.00017163i
0.00098471+0.00089834i,0.0010204-0.00025933i,0.0015778-0.00028861i,0.0010969+0.00014958i,-0.00050044-0.00015039i,-0.00091836+0.00044136i,-0.00019132+0.0015313i,5.037e-05+0.0012476i,0.0003896+0.00063521i,0.00054999+0.0010527i,-0.00013397+0.00087997i,-0.00057741+0.0004515i,3.915e-05+0.00042786i,-5.1536e-05+0.00030457i,-0.00084397-0.00020201i,-0.0006634-0.00027479i,-0.00013946+0.00010371i,-0.00042694+0.00026315i,-3.1872e-05+0.0002911i,-3.7966e-05-0.00024028i,-0.00044939-0.00038893i,-0.0004831+0.00010408i,-0.00028519+0.00062429i
0.00013457-4.4703e-05i,-0.00015975-0.00036267i,3.262e-05-0.0010029i,-0.00017439-0.00096435i,-0.00037865-5.7417e-05i,-0.00067076+0.0015342i,-0.00071848+0.0023047i,-0.00038056+0.00090123i,-0.00028627-7.4894e-05i,-0.00070608+0.00093724i,-0.00014092+0.0011673i,0.00022411-0.00040515i,-5.3698e-05-0.0010416i,-9.0549e-05-0.00032757i,3.4759e-05-6.8909e-05i,0.00015378-0.00037483i,-0.00027667-0.0003749i,-0.00011139+0.00021416i,0.00011727+0.00058204i,5.5651e-05+0.00086464i,4.9531e-05+0.00094017i,0.00013766-4.0257e-05i,9.2024e-05-0.00083711i
0.00049541+0.0015999i,0.00047668+0.0016112i,-0.0003635+0.0016217i,-0.00097575+0.0018603i,-0.00079167+0.00059256i,-0.00097056-2.879e-06i,-0.0017063+0.0007086i,-0.0013528+9.6456e-05i,-0.00059262-0.00023085i,-0.00070689+0.00073413i,-0.00060463+0.00074157i,-0.00020479-0.0001793i,0.00025531-0.00048976i,0.0011767-0.00011329i,0.0010604+0.00083938i,0.00051482+0.00094434i,0.00057473+0.00024385i,0.00057596-0.00048058i,5.8297e-05-0.00082141i,-0.00040431-0.00098597i,-0.00017225-0.00047035i,-0.0004886-0.00058605i,-0.00070165-0.00071152i
0.00039489-0.0003973i,0.0019925-4.4359e-05i,0.0023212-0.00034459i,0.0011632-0.00084673i,0.0010911-0.00081564i,0.00071902-0.00023733i,4.1979e-05+0.00086171i,-0.00038038+0.00099795i,-0.00011284+0.00052551i,0.0007815+0.00062632i,0.00079678+0.0011293i,-0.00056707+0.0001282i,-0.00073888-0.00083425i,-9.4558e-05-8.7994e-05i,-0.00031049+0.00061866i,-0.00046153+0.00068702i,-0.00028061+0.0004406i,-9.9041e-05+0.00073705i,-0.00020891+0.00080625i,-0.00051297+0.00041951i,0.00016419-0.00010064i,0.00027536-0.00033146i,-0.00012096-0.00031961i
-0.001266+0.00071499i,-0.0016227+0.001337i,-0.0019549+0.0023519i,-0.00087586+0.0024089i,0.0001053+0.0016272i,0.0002013+0.00094784i,4.621e-05+0.00069656i,-0.00036574+0.00030178i,-0.00019933+0.00054857i,2.5062e-05+0.0011956i,9.7138e-05+0.00054297i,0.00023998-0.00036219i,0.00020299-9.5129e-05i,8.0795e-05-0.00012071i,-0.00022712-0.00037259i,0.00027989-0.0002582i,0.00079911-4.9904e-05i,0.00072713+0.00083183i,0.0005853+0.00089199i,-4.5943e-06+7.1848e-05i,-0.00057298+0.00020546i,-0.00035725+0.00077747i,0.00011156+0.000472i
0.0002162+0.00043097i,0.00038596+0.0012121i,-0.00018536+0.001415i,-0.00079507+0.0011175i,-0.0004149+0.0012238i,-0.00071992+0.0017017i,-0.00079693+0.0015207i,-0.00025293+0.00064356i,0.00061309+0.00041164i,0.0010724+0.00031324i,0.00043322+0.00014202i,0.00048977+0.00074204i,0.00032559+0.00019602i,-0.00071063-0.00072008i,-0.00065254-0.00040647i,-0.00013904+0.00052123i,3.7357e-05-3.4911e-05i,-9.2055e-05-0.00073758i,-0.00045879+0.00059005i,0.00021166+0.0013444i,0.000667+0.0011246i,0.00044581+0.00032679i,-0.00033405+0.00052214i
-0.00050861-0.00015407i,-0.00081685-5.1712e-05i,-0.0012246-0.00031689i,0.00024062+0.00066063i,0.0011962+0.0016812i,0.001005+0.00093405i,0.00073955+0.00038665i,0.00014615+0.00073466i,-0.00026209+0.00091724i,-0.00038706-0.00037288i,-0.00059224-0.0012887i,-0.00087828-0.0013141i,-0.00032236-0.00047465i,0.00026137-0.00011229i,0.00051162+0.00043926i,0.00071801+0.00083876i,0.00021667+0.00021633i,0.00038476-0.00024261i,0.00057405+0.00073185i,0.00031458+0.0015595i,0.00025272+0.00076236i,-6.4672e-06+0.00034184i,7.1462e-05+0.00025974i
0.00063803-0.00046237i,0.00056082-0.0013745i,0.00093564-0.0019722i,0.00025174-0.0025976i,-0.00138-0.0020664i,-0.0025144-0.0013039i,-0.0016233-0.00049302i,-0.0011045+0.00061431i,-0.0013946+0.00082452i,-0.0011187+0.00021676i,-0.00033818-0.00010123i,-0.00016144-3.545e-05i,-0.00033825-0.00024339i,-0.00030905-0.00031249i,0.00016051-3.1447e-05i,0.00047999-8.5976e-05i,-8.1382e-05-0.00059764i,-0.00021717-0.0011916i,0.00019018-0.00077468i,0.00035241-0.00036352i,0.00042009-0.0004534i,-0.00040344-0.00063912i,-0.001087-0.00047546i
0.00049486-3.7592e-05i,-0.0013988+0.00021835i,-0.0013668-0.00049291i,-0.0011597-0.00089027i,-0.0013669-2.9567e-05i,-0.00088808+0.0016324i,-0.00034762+0.0013487i,0.00027683+0.0003547i,0.0004647+0.00047386i,0.0004604+0.00098279i,0.00015384+0.0010814i,-0.00015002+0.00080576i,-0.00080286+0.0011045i,-0.00055865+0.00078908i,0.00037432+7.8469e-05i,0.00043716-0.00025195i,0.0008244-0.00021116i,0.00070478-0.0006032i,6.2492e-05-3.3098e-05i,0.0003081+0.00048083i,0.0010111+7.8107e-05i,0.00081635-0.00019666i,-3.3236e-05-0.00025969i
