0.0028552+0.00096379i,0.0027219-0.00034116i,0.0010727-0.0013309i,-0.0012101-0.0019488i,-0.0020762-0.00062333i,-0.0018624+0.0016238i,-0.00075749+0.0028958i,-0.00031952+0.0025426i,0.00032678+0.0010582i,0.0011438+0.00024129i,0.0015029-0.00016505i,0.00086701-0.00028493i,3.0491e-05+6.3419e-06i,-0.00054348-0.00011871i,-0.00054646-0.00056908i,-0.00023927-0.00034351i,5.3415e-05+5.19e-05i,0.00037157+0.00066407i,0.00012045+0.00036916i,-0.00034899-0.00052238i,7.4572e-05-0.00036644i,0.00025861-0.00010246i,0.00012573-0.00034956i
0.0014064+0.00098053i,0.00036975+0.00014912i,0.00030681-6.8176e-05i,-0.00018459-0.00011308i,0.00029923+0.00019531i,0.00042068-0.00041238i,0.00054774-0.0002168i,0.00084619+0.00056742i,4.8019e-05+0.00071514i,-0.00013636+0.00026537i,-0.00017345-8.7859e-05i,-0.00060774+8.4897e-05i,-0.00060719-4.2222e-05i,-0.00055098-0.00037851i,-0.00071754-0.00039639i,-0.00040116-0.00078874i,-0.00048072-0.00048701i,-0.00098542-0.00022266i,-1.2979e-05-0.00089414i,0.00028566-0.0015885i,-0.00048537-0.0013947i,-0.00042577-0.00020218i,-0.00039127+3.6562e-05i
0.00028744+0.0013921i,0.00094342+0.0011924i,0.0016331+0.00074532i,0.0021836+0.0006576i,0.0015308+0.00021825i,0.00039248-0.00012837i,0.00078749-0.00036979i,0.0013651-0.00029617i,0.00095731+0.00030809i,-0.00014606-4.3404e-05i,-0.00021058-0.001141i,0.00036002-0.0011009i,0.00012078+0.00017234i,1.2026e-05+0.00074994i,-0.00022527+0.00020295i,-0.00043494+0.00052534i,-0.00053919+0.00054151i,0.0001647-5.9818e-05i,0.00085521+0.00018238i,0.00059276-5.2553e-05i,0.00025938-0.00019112i,-3.9219e-05+0.00019456i,-0.00069656+0.00048405i
0.00047451-0.001071i,-0.00081667-0.0016883i,-0.0010411-0.0011834i,0.00045117-0.00044468i,0.00042033-2.6184e-05i,0.00035586+0.00082897i,0.00062814+0.00093648i,0.00096717+0.00072213i,0.00097653+0.00068828i,-0.00017717-7.1968e-05i,-0.0007542-0.0008196i,-0.00057325-0.00036951i,-0.00030203+0.00029875i,-0.00066071+0.0007026i,-0.00035508+0.00048266i,0.00011896+0.00054432i,-0.00048766+0.00074365i,-0.00050599+0.00088311i,-0.00012785+0.00053809i,0.00046757-0.00020976i,0.00073869-0.00018409i,0.00081569+0.00024256i,0.00060747+3.2535e-05i
-0.0019462-0.0010986i,-0.0016804-0.00037181i,-0.0011904+0.00089704i,-0.0007326+0.002254i,-0.00011357+0.0024583i,0.00089503+0.0015182i,0.0012827+1.3938e-05i,0.00097304-0.0012707i,0.00038262-0.00096445i,-0.00035262+0.00010701i,4.1276e-05+0.00080517i,0.0011185+0.0013483i,0.0015682+0.0012041i,0.0011136+0.00028118i,0.00071362+0.00022042i,0.00016434-5.7398e-05i,-0.00023422-0.00079819i,0.00020239-0.00046047i,0.00026154+0.00062688i,-0.00050382+0.0010233i,-0.00069761+0.00059055i,-0.00036244+9.7011e-05i,-0.00037578+4.9874e-05i
0.00023414+0.0014991i,0.00118+0.0018358i,0.0016718+0.0014248i,0.0013072+0.0011592i,0.0011914+0.0014236i,0.0009108+0.0010354i,0.0005135+0.00031329i,-1.0389e-05+0.00018201i,-0.00041479-0.00030125i,0.00022586-0.00043487i,0.00038915-0.000237i,7.642e-05-0.00016086i,0.00046526-4.6409e-05i,9.6546e-05-0.00056635i,-2.0491e-05-0.0010256i,-3.9157e-05-0.00088236i,5.6541e-05-0.00044769i,0.00077299-0.00032231i,0.00073234+0.00017201i,0.0007341+0.00075802i,0.00036814+0.00041764i,-0.00011833-0.00027054i,-0.00010573+0.00029854i
-0.0017647-0.00091276i,-0.00098494-0.0011187i,-0.0015899-0.00079154i,-0.0014771-9.2549e-06i,-0.00039308+0.0007555i,0.00012018+0.0012693i,0.0010327+0.0013855i,0.0011722+0.0012358i,-7.6645e-05+9.088e-05i,-0.00069698-0.00052422i,-0.00047251-0.00058511i,9.3792e-05-0.00040961i,0.00035322-0.00034849i,0.0005335+0.00047298i,-4.9481e-05+0.0012537i,-0.00066644+0.0010814i,-0.00048075+0.00039184i,0.00035113-0.0001744i,0.00014823-0.00035754i,-0.00048691-0.00047357i,-0.00022537-0.00054914i,5.7581e-06-0.00059402i,-0.00042741-0.00078641i
0.00051062+0.00082602i,0.0007045+2.0099e-05i,0.00065875-0.00061441i,0.00094334-0.00061268i,0.0010092-0.00045367i,0.0001189-0.00045939i,-0.00022711+0.00012914i,-9.8636e-05+0.00054717i,0.00034002+0.00063579i,-2.361e-05+0.0009051i,-0.00015312+0.0004798i,0.00051937-2.054e-05i,0.00040464-2.6847e-05i,-0.00042074+0.00011588i,-0.00048471-1.3736e-05i,6.911e-05-0.00026394i,0.00030008-0.00017498i,0.00014715-2.9256e-06i,0.00012126-0.0003033i,0.00015252-0.00076517i,0.00015081-0.00047182i,0.0003873-0.00034767i,9.5733e-06-0.00047896i
-1.0299e-05+0.0027485i,0.00062731+0.0020785i,0.00034056+0.0019976i,0.00065498+0.00076378i,0.00092391-0.00089403i,0.00033863-0.0014928i,-0.00025512-0.00094229i,-0.00065302-0.00028647i,-0.00012586+0.00031088i,0.00079575-1.4225e-05i,0.00066997-0.00066484i,0.00035455-0.00047119i,0.00023737-0.00051879i,-4.488e-05-0.00085974i,-0.00051568-0.00064595i,-0.00073458-0.00090938i,-0.00053231-0.0013206i,-5.132e-05-0.00018777i,5.1323e-05+0.00022859i,-0.00032859-0.00042736i,0.0001876-0.00094481i,7.2165e-05-0.00063991i,1.0113e-05-5.8087e-05i
-0.0010572+0.0007856i,-0.00035065+0.0011752i,-0.00049007+0.0014787i,0.00014863+0.0014429i,0.0011689+0.0017017i,0.0020151+0.0014436i,0.0021113-1.0999e-05i,0.00082366-0.00037072i,-4.4733e-05+0.00038194i,-0.00033589+0.00069335i,-0.00062719+0.00073292i,-0.0005583-0.00013341i,-0.00031951-0.00087864i,-0.00016943-0.00049837i,-8.8506e-05+0.00010433i,-0.00021821-0.00022843i,3.756e-05-4.3424e-05i,0.00049591+0.00025857i,0.00029895-0.0002598i,0.00049459-0.00027854i,0.00069389+0.0001121i,0.00066959-0.00025514i,0.0010695+0.00016132i
-0.0013312+0.00099691i,-0.0014758+0.0010066i,-0.00018926+0.00088238i,0.0010361+0.0010614i,0.00089619+0.00098413i,0.0004849+0.0011549i,-0.00050032+0.00082605i,-0.0002625+0.00050051i,-0.0001832+0.00057914i,-0.00049856+0.00030322i,0.00021123+0.00016746i,0.00054909+0.00067604i,-0.00023685+0.0012433i,-0.00091657+0.0012669i,-0.00044962-0.00020083i,0.00023435-0.00092937i,0.00036914-0.00064409i,3.4748e-05-0.0011942i,-0.00065157-0.001324i,-0.00095031-0.00083133i,-0.00088622-0.00075825i,-0.00079313-0.00058062i,0.00013692-0.00069794i
-0.00063726-0.0018568i,-0.0014987-0.0022411i,-0.0015125-0.0018466i,-0.0015381-0.00034632i,-0.0014667+0.00045773i,-0.00095217+0.00059112i,-0.00010353+0.00095128i,0.00071155+0.00146i,0.001154+0.0011654i,0.00036115+0.00028167i,9.7823e-05-0.00035126i,0.00059034-0.00053319i,0.00085386-0.00029458i,0.00083263+0.00050203i,0.00046757+0.00040035i,-0.0002798-0.00014311i,-0.00025824+6.3166e-05i,0.00081406-0.00013718i,0.00089349-0.00053007i,0.0002654+2.5546e-05i,-5.9719e-05+0.00070252i,5.4815e-05+0.00079449i,9.0313e-06+0.00065672i
-0.00014995+0.00078788i,0.00042934+0.00094845i,0.0010121+0.0012572i,0.00047387+0.0012899i,-0.00065908+0.00079412i,7.4218e-05+0.00045824i,0.0011912+0.00074291i,0.0014329+0.00081282i,0.0015893+0.00043033i,0.00088697-2.4249e-05i,0.00018518-0.0001778i,-0.00016205+0.00030833i,-0.00089048+0.00054007i,-0.00062334+0.00058292i,0.0003754+0.00080787i,0.00037871+0.00062606i,-0.00028022+0.00034966i,-0.0013286+0.00046716i,-0.0009593-0.00010522i,3.5882e-05-0.00053725i,-3.8095e-05+0.0004728i,-0.00010881+0.0009428i,6.1169e-05-0.00027562i
-0.00076115+0.00094488i,-0.0012874+0.00073595i,-0.0010835+0.0007632i,-0.0011854+0.00010757i,-0.00059179-0.00036799i,0.00066592+0.00026152i,0.00097332+0.00045559i,0.0010742-0.0003817i,0.00043966-3.1281e-05i,-0.00073876+0.00067131i,-0.00020846-0.00032343i,0.00080697-0.0010561i,0.0008957-0.00054771i,0.00049981-0.00067122i,0.00078869-0.00097245i,0.00042593-0.00036147i,-0.00048274+0.00022332i,-0.00030802+0.0007237i,-4.1857e-05+0.0005603i,-0.00086996-0.0004154i,-0.00097988-0.00018392i,0.00050279+0.00040817i,0.00081086-0.0002296i
