0.0031771+0.00068635i,0.0037971-0.0008563i,0.0026706-0.0021979i,0.0013409-0.0022258i,-7.7731e-05-0.0021016i,-0.0019911-0.0011071i,-0.0022485+0.00080729i,-0.00080678+0.0015917i,0.00073309+0.00084149i,0.0014456-0.00012937i,0.00082682-0.00042249i,-0.00032629-0.00091551i,-0.00050843-0.00098598i,-0.00081646-0.0003962i,-0.0018494-0.0003341i,-0.0017774-0.00039871i,-0.00068228-0.00065544i,0.00010577-9.8161e-05i,0.0004571+0.00049692i,5.7444e-05+8.1753e-05i,-0.00035495-0.00055948i,-0.00056561-0.0009964i,-0.00027362-0.00067865i
-0.0038183-0.0028412i,-0.0042446-0.002701i,-0.0039032-0.00042144i,-0.0024041+0.00077333i,-0.00056802+0.00038805i,0.00035921-0.00069055i,-0.00022114-0.0017917i,-0.0011478-0.0018176i,-0.0018752-0.00069364i,-0.0010971-1.0264e-06i,-9.8289e-05+1.9771e-05i,0.00083044+0.00039663i,0.001912+0.0014979i,0.0017284+0.0014426i,0.00093833+0.0012869i,0.0003708+0.0012897i,0.00021012+0.00025962i,0.00054115-7.0458e-06i,0.00071892+9.2862e-05i,0.0002059+0.00013799i,-0.00069468+0.00010928i,-0.00051818+0.0007871i,-0.00021266+0.0013227i
-0.00068849-0.0018926i,-0.0010626-0.0024568i,-0.00098811-0.0011174i,0.00036947-0.00020531i,0.00069819-0.00021424i,-0.00021498-0.0001301i,-0.0013301+0.00041719i,-0.0015303+9.7517e-05i,-0.00026016-0.00067049i,0.00023745-0.00074689i,0.00026962+0.00010743i,8.1049e-05+0.00057642i,-0.00014882+0.00052423i,-0.00032404+0.00027454i,-0.001-1.4054e-05i,-0.000973-0.00021853i,-8.6238e-05-0.00038544i,0.0006325-0.00098318i,0.00071839-0.0010964i,0.00024073-0.00045823i,2.7851e-05-0.00024955i,0.00030169-0.00031766i,0.00018236-0.0001747i
-0.00017538+0.0012823i,0.00036952+0.0010697i,0.00096185+0.0011205i,0.0013943+0.001406i,0.0017386+0.0012853i,0.0020401+0.00043798i,0.00097365-0.00082687i,-0.00022185-0.00049862i,-0.00046062+0.00037574i,-0.00066595+0.00019948i,-0.00048946-1.4013e-05i,8.4508e-05+8.9556e-05i,0.00025183-0.00040952i,0.00087615-0.00096759i,0.0015805-0.00068022i,0.0012244+8.1641e-05i,0.00022113-6.2386e-05i,-0.00023626-0.00080114i,-0.00026844-0.00096083i,6.6828e-08+0.00019301i,8.7664e-05+0.00078857i,0.00045594+0.00056323i,0.00058701+0.00090082i
-0.001185+0.002069i,0.00037419+0.0015288i,0.00080548+0.00072901i,0.00072271-0.00040067i,0.00073735-0.00040471i,2.4009e-05-0.0002016i,-0.00106-0.00033616i,-0.0013724-0.00053008i,-0.00086436-0.00061133i,-0.00069295-0.00041068i,-0.00038356-3.816e-05i,-0.00074152-0.00039986i,-0.00047516-0.00022404i,0.00044487+0.00021941i,3.6326e-05+0.00042893i,-0.00044936+0.0001871i,-0.00032337+3.2261e-05i,-0.00029508-0.00029676i,0.00028896-0.00038591i,0.00058986-0.00016118i,5.1886e-05-0.00017065i,-9.4223e-05-0.00071544i,0.00012918-0.00074018i
-7.6334e-05-0.00076605i,-0.00018672-0.00057164i,-0.00017943-0.0002275i,0.00045946-0.00018899i,0.00073955-0.00062207i,0.00055325-0.00064181i,0.00010961-0.00060258i,6.0879e-05-0.00095838i,-0.00025677-0.00051211i,-0.00075561+1.5933e-05i,-0.00038701+0.00029199i,-9.2783e-05+0.0012511i,0.0002827+0.0010585i,0.00013955+0.00096733i,0.00020838+0.00037316i,0.0010104-0.00065041i,0.00027267-0.00030742i,7.4552e-05-0.00024769i,0.00087624-0.0005405i,0.0007765-0.00010698i,0.00026832+0.00039902i,0.00037126+0.00031566i,0.00038098+2.9702e-05i
0.00062596-8.6784e-05i,0.0001774-0.00015995i,-0.0015572-0.0003876i,-0.0013772-0.00074303i,9.7189e-05-0.0012255i,0.00011662-0.00095851i,1.7458e-05-0.0010571i,0.00030417-0.0010216i,-0.00036589-0.00053243i,-0.00086146-0.00045333i,-0.00073309-0.00060786i,-0.00018528-8.6535e-05i,0.00036398+0.00033867i,0.00071998+0.00033402i,0.0010031+0.0008682i,0.00088723+0.0015855i,0.00042811+0.0013911i,0.00012912+0.00083979i,0.00074288+0.00029766i,0.00047528+0.00020561i,5.5832e-05+0.00019346i,0.00051796-4.2872e-05i,0.00036724-9.1085e-05i
-0.0020833+0.00052748i,-0.0013022+0.00081984i,-2.9324e-05+0.0011268i,0.00093646+0.00074097i,0.0011197-0.00037464i,0.00033227-0.0011502i,-0.00034977-0.0020619i,-0.00033517-0.0018643i,-0.00065659-0.00097279i,-0.0013393-0.00048854i,-0.0006642+0.00019219i,0.00014283+0.0006914i,0.00072625+0.00029311i,0.0012339+0.00030975i,0.00077156+0.00068151i,-1.0578e-05+0.0002244i,0.00033372-0.00036991i,0.00042198-0.00011194i,-0.0011813+0.00012572i,-0.0013147+7.3783e-05i,0.00013842+0.00049615i,0.00061185-0.00014887i,0.00028125-0.0010344i
-0.00017371-0.00094666i,-0.0004617+0.00049968i,-6.0945e-05+0.00063571i,4.0066e-05-0.00051064i,5.6854e-05-0.00061003i,0.00025097-0.00085846i,-0.00033003-0.0016122i,-0.00038761-0.00093507i,2.4852e-05-9.4394e-06i,0.00038005-0.00040802i,-7.9245e-05-0.00033547i,-0.00018548+3.3397e-05i,0.00087278-0.00012269i,0.0010649-0.00014313i,0.00034225-5.7115e-05i,0.00010863-5.3229e-05i,3.7676e-05+0.00068387i,-1.4215e-05-0.00014799i,3.3055e-05-0.0014553i,-0.00051068-0.00022432i,-0.00068885+0.00082541i,-0.00033234+0.00010177i,4.5576e-05-0.00010762i
-0.0012447-0.0002531i,-0.00093506+0.0015886i,-0.00034503+0.0030329i,0.00027494+0.0016808i,0.00046981+0.00010594i,0.00014959-0.00048862i,-3.2155e-05-0.0013857i,-0.0005132-0.0011443i,-0.00099632-0.00078225i,-0.0011444-0.0013088i,-0.0010407-0.0006899i,-0.00010962+0.00038007i,0.0010378-0.00030277i,0.0013918-0.00086408i,0.0012026+0.00044795i,0.00046464+0.0013887i,1.4349e-05+0.00051356i,0.00015159-6.4124e-05i,0.00017479+7.3479e-05i,-0.0001064+0.00035041i,-0.00032131-0.00054943i,0.00060235-0.00098668i,0.0010871+0.00028585i
-0.0013722-0.0017939i,-0.0017985-0.0012681i,-0.0013932+0.00011481i,-0.00075876+0.0004349i,0.00021372+0.00032139i,0.000649+0.00052841i,0.00016445+0.00039628i,-0.00045672-0.00028252i,-0.00043931-0.00036134i,-0.00072218+0.00013818i,-0.00025333-0.00038588i,0.00063294-1.7185e-06i,0.0002113+0.00082571i,-0.00042584+0.00069932i,-0.00050905+0.00041217i,0.00012186+7.5465e-05i,0.0003266+0.00051458i,0.00029735+0.00048615i,0.00021371-0.00028254i,-0.00029387-0.00027295i,-0.00018173+0.00081981i,0.00023994+0.00088856i,7.7037e-05+0.00020238i
