-0.0032886-0.00038311i,-0.0029387-0.00084816i,-0.0031507-0.00074459i,-0.0031019-0.00033786i,-0.0019689+0.00084538i,-0.00088232+0.0019359i,-0.00042428+0.0012481i,0.0001749+0.00061313i,0.00034809+0.00090622i,5.4067e-05+0.0013492i,0.00040372+0.0015339i,6.3269e-05+0.0016116i,-0.0006029+0.00079395i,-3.3507e-05-0.00072835i,-0.00015599-0.00076927i,-0.00021626-0.00023798i,-3.0704e-05+0.00077073i,-0.00054658+0.0021637i,-0.00059424+0.0016067i,0.00050692+0.00024685i,0.00087985+8.3588e-05i,1.7314e-05+0.00057708i,8.3107e-06+6.7431e-05i
0.0020496+0.00079134i,0.0016124+0.00026193i,0.00010929-0.00037451i,-0.0011197+0.00033931i,-0.0011784+0.00098031i,-0.00025349+0.0012255i,-6.1862e-05+0.0008735i,-0.00052483+0.00018586i,-0.0010782-0.0002365i,-0.00066955+6.2795e-05i,2.4132e-05-9.2019e-05i,0.00012249+6.6202e-05i,5.1433e-05+0.00059759i,-9.4561e-05+0.00060468i,9.3536e-05+0.00047126i,0.00034804-0.00031132i,0.00062516-0.00078914i,0.00090326-0.00071853i,0.00087272-0.00015101i,0.00028097-0.0002336i,-0.00097129+0.0001977i,-0.0013186+0.00040362i,-0.00084629-9.4865e-05i
-0.0018947+0.0017521i,-0.00091267+0.0025745i,-0.00066255+0.001802i,-0.00069771+0.0010102i,-8.4758e-05+0.00096175i,0.00027803+0.00087298i,-0.00016742+0.00028725i,-0.00027909+0.00025567i,-0.00038572+0.0011026i,-0.0006043+0.001236i,-0.00030204+0.00040067i,-0.00010686-0.00034266i,0.00025705-0.00028526i,0.00067417-0.0001979i,0.00020102+0.00015738i,-7.9752e-05+0.00094661i,0.00029336+0.0010641i,0.00028785+0.00039553i,-0.00022507+0.00010448i,-0.00070197+0.00044564i,-0.0008566+0.00023294i,-0.00054705+3.1865e-06i,6.2437e-06-0.00014591i
0.00019589-0.0030466i,0.0003266-0.0032501i,-0.00070102-0.0020951i,-0.0012693-0.00032613i,-0.0011946+0.00037552i,-0.0010707+0.00052927i,-0.0011761+1.8169e-05i,-0.0012593-0.0006024i,-0.00094488-0.00022761i,-0.00066199+0.00072904i,-0.00012166+0.0014487i,0.00029958+0.0009196i,0.00088219+1.3923e-05i,0.00084335+0.00023652i,0.00071913+0.00038771i,0.00099276-9.8121e-07i,0.00060007+0.00036811i,-0.00036873+0.00091599i,-0.00086826+0.00083997i,-0.00068538+0.00083575i,3.9438e-05+0.00093197i,0.00060954+6.7112e-05i,0.00049548-0.00083737i
0.0024238+0.00018574i,0.0021716+0.00060057i,0.0013041+0.0005231i,3.6113e-05-0.00016538i,-0.00059004-0.00066313i,-0.0012094-0.00094652i,-0.0010809-0.00061687i,1.3129e-07-0.00013609i,0.00052083-0.00018618i,0.00036386+0.00039138i,0.00054121+0.00053994i,0.00051718+0.00067939i,0.00086251+0.0010759i,0.00051668+0.00077272i,-0.0007295-9.4506e-05i,-0.00086735-0.00026832i,-0.00093553+2.8853e-05i,-0.00058084+0.00022692i,-0.00047878-8.1947e-05i,-0.00053731-0.00085434i,-0.00033536-0.0010535i,-0.00029897-0.00052724i,-0.00038176-0.00030572i
-0.00081613-0.001341i,-0.00085431-0.00064443i,-0.00116+4.6507e-05i,-0.00051035+0.00036569i,-0.00022259+0.00074447i,-0.00018821+0.0010784i,-1.4373e-05+0.00050863i,9.5507e-05-0.00027037i,-0.00019046-0.00013979i,-0.00035372+0.00012383i,0.00063487+0.00018349i,0.00085038+0.00014104i,0.00056974+0.00017863i,0.001049+0.0003i,0.00032788+2.4829e-05i,-2.844e-06-0.00020752i,0.00032822-0.00074347i,0.00070358-0.0011053i,0.0014117-0.00052061i,0.00067431-0.00038194i,0.00040209-0.00060222i,0.00090879+0.00016663i,0.00095742+0.00074677i
0.0022108-0.0011588i,0.0017607-0.0020296i,0.001443-0.0013652i,5.3523e-05-0.00027889i,-0.00080954-0.00016232i,-0.00098949-1.2949e-05i,-0.0010787+0.00023577i,-0.001046+0.00073188i,-0.0011551+0.00033578i,-0.0011661+0.00053862i,-0.00039839+0.00098385i,-0.00013622+0.0010404i,-0.00026928+0.0011108i,-1.0299e-05+0.0014409i,0.00017252+0.00081996i,0.00047209-0.00029211i,8.7687e-05-3.2221e-06i,-0.00020164+0.00021939i,0.000133+9.7658e-05i,0.00056867-0.00049891i,0.00077661-0.00064024i,0.00024508-0.00049065i,3.3641e-06-0.00069193i
0.0017608+0.00083113i,0.0010615+0.00058085i,0.001462+0.00044992i,0.0011968-0.00029099i,-0.00062731-0.00096923i,-0.00078525-0.00122i,-0.00013087-0.00098051i,0.0003553-0.00080149i,0.00039633+0.00036101i,4.0854e-05+0.00082299i,-0.00010519+0.00045301i,2.0078e-05+0.00071219i,-0.00011734+0.00061637i,-0.00015708+0.00011754i,0.0001323+0.00083151i,0.00019791+0.00074221i,-0.00011082-0.00021412i,-0.00048393+0.00013844i,-0.0003303+0.00041198i,0.00011362+0.00035497i,0.00039411+0.00065278i,0.0013939+0.00059418i,0.0012329-5.5677e-06i
0.00049736-0.00057948i,0.0012359-0.0017955i,0.00036094-0.0010858i,-0.00047574-7.7834e-05i,-0.00037727-0.00022827i,-0.00074329-4.5628e-05i,-0.00073807-0.00097106i,-0.00049685-0.001947i,-0.00027926-0.00024349i,-0.0005803+0.0012196i,-0.00036375+0.00092118i,0.00021877+0.00097726i,0.00031013+0.00089558i,0.00090234+0.00067699i,0.0006812+0.0011739i,5.363e-05+0.001105i,0.00019272+0.00061863i,0.0002913+2.7476e-06i,-0.00037595-0.00022645i,-0.00063646+0.00034072i,-0.00019181+0.00034108i,0.00055495-0.00010266i,0.0013382-2.2096e-05i
0.0012052+0.00029123i,0.0024664+7.9683e-05i,0.0018613-0.00029653i,-0.00029924-0.00061776i,-0.00083365-0.00035822i,-0.00074611+0.00023308i,-0.0016856+0.00013793i,-0.0016828-0.00018693i,0.00014267+0.00035924i,0.0012261+0.00048962i,0.0010718+0.00050712i,0.00015897+0.00094756i,-0.00089216+0.0012043i,-0.00037932+0.00091109i,0.00027757+0.00012743i,0.00060414-0.0001123i,0.001047-0.00037176i,0.00091181-0.00035463i,0.00050967-0.00033431i,0.00026087-0.00074931i,-0.0003124-0.0008182i,-0.00038306-0.00068818i,-2.5563e-06-0.00018831i
-0.00034991+0.00030674i,-0.00034464+0.00043494i,-0.00079885-6.5411e-05i,-0.00052777-0.00073298i,-0.00068616+2.548e-07i,-0.0017313+0.00037412i,-0.0014179-0.00033766i,-0.00082936-7.5084e-05i,-0.00032962+0.0001642i,0.00042076-0.00051828i,0.00055887-4.7906e-05i,0.00034475+0.00056157i,0.00023124+0.00058602i,0.00053123+0.00011145i,0.00069165+4.8058e-05i,-3.3463e-05+0.00066885i,-0.00023975+0.00024212i,0.00063509-0.00050352i,0.00092631-0.0007614i,0.0009457+0.00010348i,0.0014071+0.00064985i,0.0010044+0.00065581i,-0.00011626+0.00040907i
