-0.0032886-0.00038311i,-0.0029387-0.00084816i,-0.0031507-0.00074459i,-0.0031019-0.00033786i,-0.0019689+0.00084538i,-0.00088232+0.0019359i,-0.00042428+0.0012481i,0.0001749+0.00061313i,0.00034809+0.00090622i,5.4067e-05+0.0013492i,0.00040372+0.0015339i,6.3269e-05+0.0016116i,-0.0006029+0.00079395i,-3.3507e-05-0.00072835i,-0.00015599-0.00076927i,-0.00021626-0.00023798i,-3.0704e-05+0.00077073i,-0.00054658+0.0021637i,-0.00059424+0.0016067i,0.00050692+0.00024685i,0.00087985+8.3588e-05i,1.7314e-05+0.00057708i,8.3107e-06+6.7431e-05i
-0.0031042-0.00031289i,-0.0036654+0.001594i,-0.003111+0.0030198i,-0.0022399+0.0031029i,-0.0012742+0.0021462i,0.00062631+0.00021548i,0.001262-0.00082588i,0.0010243-0.0014914i,0.00042844-0.00061911i,0.00010072+0.00085616i,0.00046027+0.00129i,0.00046966+0.0006153i,-0.00014721-0.00045402i,-0.00022185-0.0003051i,3.638e-05-2.2572e-05i,8.2468e-05+0.00032241i,0.00017023+0.00010922i,-0.00013851-0.00029651i,0.00011394-0.00021541i,0.00034333-4.4536e-05i,0.0001603-0.00026762i,0.00030467-0.00027338i,0.00011538+0.00017694i
0.00064074-0.0031425i,-0.0012349-0.0039469i,-0.0025197-0.0035503i,-0.002694-0.00090456i,-0.0027674+0.00063098i,-0.0022551+0.00061074i,-0.0013707-0.00048385i,-0.00066489-0.0010035i,-0.00013049-0.00074067i,0.00014708-0.00030108i,-1.9246e-05+0.00038383i,-0.00033155+0.00062544i,-0.00010503-7.0757e-05i,0.00043841-0.0008089i,-0.00015652-0.00031825i,-0.0005308+0.00044002i,-0.00016067+0.0010429i,-0.00010681+0.00096042i,0.00065609+0.00052507i,0.0011822+0.0010119i,0.0011075+0.00018824i,0.0007197-0.00095046i,0.00056662-0.00036513i
0.00056957+0.00071813i,0.00080177+0.0001357i,0.001024-0.00071865i,0.0010945-0.00066137i,0.00038882-0.00074123i,0.00014915-0.00093639i,0.00038439-0.0011805i,0.00014685-0.00088573i,-0.00020604-0.00048815i,-0.00032625-0.00049449i,-0.00029228+0.0004025i,0.00025234+0.0007355i,0.00020776+0.00049513i,-0.00030693+0.00087049i,-0.00044465+0.00095485i,-0.00018557+0.00031551i,0.00014776+0.0004427i,-0.00020832+0.00031487i,-0.00042481-0.00017258i,8.4442e-05-0.00069691i,0.00016987-0.00053679i,0.00069374+0.00020206i,0.0010531-7.3267e-06i
-0.00039351+0.00020339i,0.00026037+0.0019537i,0.00025799+0.0018074i,-0.0016783+0.0010812i,-0.0024253+0.00075889i,-0.0023312+0.00013122i,-0.0014697-0.00052192i,-0.00023867-0.0011173i,4.3537e-05-0.001084i,-4.7925e-05-0.00037264i,-0.00029523+0.00042186i,-0.00069984+0.00053362i,-0.00087089-0.00011304i,-0.00042593-0.00011999i,-0.00059498+0.0010286i,-0.00044518+0.0011132i,-0.00019446+0.00096051i,-0.00073349+0.0012439i,-0.00051959+0.00076602i,0.0004162+0.00017092i,0.0010524-0.00060385i,0.0013283-0.00085517i,0.001097-2.7724e-07i
0.0018043-0.0011254i,0.0015831-0.00017945i,0.001439-0.00021058i,0.00048312-0.0019102i,-0.00068667-0.0016601i,-0.00059669-0.00041357i,0.00023855-0.00049552i,0.00055157-0.00091597i,-0.00014769-0.00084986i,-6.7228e-05+7.8141e-05i,-3.6277e-05+0.00058782i,-9.1955e-05+0.00014788i,0.00060582+0.000145i,0.00089099+0.00086109i,0.00052073+0.0011938i,0.0003429+0.0006278i,0.0002403+0.00012361i,-0.00043072+0.00059826i,-0.00037398+0.0004501i,0.00043993-0.00021554i,0.00050997+0.00013129i,0.00073276+0.00018765i,0.00032315-4.1331e-05i
-0.00023711-0.0011951i,-0.00089115-0.0010161i,-0.00087331-0.0004595i,-0.00059379+0.00029699i,-0.00083849+0.00018923i,-0.00077682+0.00023292i,-0.00089845+0.00017366i,-0.00083213+9.4066e-05i,-0.00049255+0.00016144i,-0.00037585-3.9266e-05i,-0.0002487+0.00092837i,-0.00053438+0.001117i,-0.00055643+0.00053435i,2.1877e-05+0.00051157i,0.00019379+0.00068165i,0.00032018+0.00057525i,-0.00013458+0.00073891i,-0.00045025+0.00075462i,-0.00026812+0.0010243i,0.00017072+0.0012294i,0.00037156+0.00064495i,0.00047612+0.00011428i,0.00024111+0.00010363i
0.0026245+0.00012464i,0.0026952-0.00053398i,0.00090369-0.0021237i,-0.0010134-0.0017082i,-0.0013516-0.00063272i,-0.0012091-0.00050726i,-0.0012161-0.0010131i,-0.00017426-0.00099459i,0.00074957-0.00044481i,-0.00011238+0.00070287i,-0.00077582+0.001117i,-0.00068051+0.00067642i,-0.00089245+0.0003193i,0.00016678+0.00059684i,0.00086471+0.00091124i,0.00036711+0.00081458i,0.00033814+0.0008746i,-8.2357e-05+0.001014i,-0.00060048+0.0013503i,-0.00040823+0.0013942i,-0.00014233+0.00059737i,0.00031576+2.4106e-05i,0.0011377-0.00031094i
0.00024839-0.0016633i,-0.00011365-0.00054457i,-0.0009753+0.00018366i,-0.0018346+0.0013976i,-0.0015562+0.002347i,-0.00054112+0.0027042i,-9.0423e-05+0.0019868i,-0.00014506+0.00075358i,0.0001238-0.00011445i,-6.6025e-05+0.00017851i,-0.00054604+0.00082076i,0.00020479+0.00046633i,0.00053898+0.00011114i,0.00050443-4.3572e-05i,0.0006596-0.00076976i,0.0010408-0.00010379i,0.0013477+0.00082991i,0.00072826+0.00011514i,0.00081345-0.0001568i,0.00049888-4.3489e-05i,-7.0666e-05-3.8489e-05i,0.00060931-0.00060347i,0.00087028-0.00035461i
-0.0013298-0.0012234i,-0.0014097-0.00052384i,-0.00074465-0.00018285i,-0.00042067+0.000419i,-0.00063959+0.0013555i,-0.00021107+0.00091063i,0.00047713-0.00065167i,0.00033673-0.0013585i,-8.2538e-05-0.0013556i,-0.00044282-0.00037257i,6.3237e-05+0.00037837i,0.00015176+0.00020315i,-0.0002088+0.00065293i,-0.0005383+0.00055906i,-0.00035524+0.00030053i,0.00047484+0.0010373i,0.0004515+0.00195i,0.00060079+0.0018543i,0.00035328+0.0015853i,-0.00011409+0.0007299i,-0.00023171-0.00025855i,-3.3086e-05-0.00025868i,-0.00017662+0.00050194i
-0.0015482-0.0014334i,-0.0017473-0.001771i,-0.0015093-0.0013866i,-0.0018258-0.00015806i,-0.0014373+0.00047998i,-0.00010868-0.00067704i,-0.00022909-0.0017066i,-0.0010207-0.00095598i,-0.00091841+3.985e-05i,-9.5603e-05+0.0002513i,0.00057739-0.00012788i,0.00057463-0.00027203i,0.00044357+0.00011029i,2.6333e-05+0.00027036i,0.00015278+2.9867e-05i,0.00035001-0.00011908i,0.00022004+0.00055328i,0.00021362+0.0010164i,0.00013102+0.00030652i,0.0002766-0.00021816i,0.00017459+5.9294e-05i,-0.00026514+0.0006986i,-0.00025673+0.00095917i
0.00039034-0.0023487i,-0.00042498-0.0026313i,-0.0010785-0.001255i,-0.0022131-0.00050676i,-0.0017594-0.00059501i,-0.0003969-0.0002982i,-7.4429e-05-0.00041048i,-0.00039742-0.00097027i,-0.00027512-0.00087273i,0.00052019-0.00038467i,0.00075775+0.00065453i,-0.00027581+0.00081462i,1.3835e-05+0.00011674i,0.00096348+0.00013848i,0.00069116+0.0003702i,0.00039553+0.0007341i,0.00033926+0.0017979i,-0.00032846+0.0015375i,-0.00071411+0.00038899i,-0.00036742+9.1336e-05i,0.00044151-0.00018223i,0.0010572+5.9445e-05i,0.00074456+0.00027505i
0.0033436+0.0021294i,0.0055527+0.0013129i,0.0053298-0.00032269i,0.0036614-0.0010734i,0.0013523-0.00079036i,-6.87e-05-0.0015781i,-0.00085147-0.0017337i,-0.0010904-0.0010523i,-0.00018817-0.00068577i,0.00075835-7.7774e-05i,0.00027648+0.00051058i,-0.00057842+0.00046574i,-0.0011296+0.00027552i,-0.0010734+0.00088316i,-4.9639e-05+0.0010337i,0.0012053+0.00037653i,0.0014113+0.00047666i,0.0006553-0.00012379i,-0.00027091-0.00052872i,-6.8501e-05-0.00011027i,0.00018946-0.00044592i,0.00031418-0.00020155i,0.001017+0.00098817i
-0.0022247+0.0013043i,-0.0011203+0.0020634i,-2.3416e-05+0.0014969i,-0.00062233+0.00031591i,-0.0003906-0.00019938i,3.0569e-05-0.00038372i,0.00011547-0.0004165i,8.4534e-06-0.00059237i,0.00020439-0.00046973i,0.00069616+0.00063182i,0.0012012+0.0013629i,0.00095376+0.0010805i,-0.00028418+0.0010469i,-0.00096123+0.0012253i,-0.00071228+0.001141i,-0.00065762+0.00081269i,-0.00089106+0.00036156i,-0.00086651-3.2946e-05i,-0.00020615-0.00038973i,0.00047043-0.00021807i,0.00073977-9.2852e-05i,0.00060706-0.00044574i,0.00012047-0.00038687i
-0.00029813-0.0030814i,-0.0020106-0.0031069i,-0.0032455-0.0014832i,-0.0036758-0.00027729i,-0.002705+0.00065339i,-0.001749-1.8545e-05i,-0.00051334-0.00062074i,0.00010035-0.00037096i,0.00016632-0.00050546i,-0.00028275-0.00047063i,-0.00020862+0.00033663i,0.00034814+0.0012094i,-1.6996e-05+0.00080621i,-0.00035601+0.00023758i,4.7622e-05+0.00050087i,0.00012374+0.00062632i,-3.7677e-05+0.00072715i,-0.00030646+0.00045379i,-0.00015692+0.00012954i,0.00053382-0.00013666i,0.00056604-0.00015779i,0.00084629-0.00041485i,0.0012648-0.00053251i
0.00086417-0.00098417i,0.00028604-0.0015139i,-0.0011974-0.0017852i,-0.0020925-0.0013068i,-0.0015559-4.5029e-05i,-0.00079378-0.00017552i,0.00027032-0.001151i,0.00029114-0.0011805i,1.9161e-05-0.0012626i,0.00039149-0.0012779i,0.00035194-3.5383e-05i,-8.9185e-06+0.0011547i,-0.0004465+0.0011948i,5.3605e-05+0.00086349i,0.0007123+0.00062916i,0.00071938+0.00020326i,0.0001754-0.00077506i,-0.00059281-0.0012141i,-0.00093059-0.00045597i,-0.00054029-0.00015452i,-3.0479e-05-7.7128e-05i,-0.00030808+0.00036383i,-0.00053448+0.00041044i
-0.0011166+0.00064915i,-0.0017479+0.00060569i,-0.0019362+0.00072254i,-0.0010484+0.00039318i,0.00048233+0.00017588i,0.00051593-0.00022902i,-0.0003445-0.0011539i,-0.00071554-0.0014915i,-0.00029688-0.00094956i,-0.00014142-0.00045332i,-0.00014656+0.00025846i,-0.00053037+0.00053961i,-0.00039917-0.00044101i,0.00030762-0.0012035i,0.00082747-0.00027954i,0.00081236+0.00069236i,0.00033789+0.00054453i,3.7981e-05+0.00082112i,0.00021402+0.00067668i,0.00044097-3.7083e-05i,0.00039669-3.2804e-05i,0.00010806-0.00016284i,-2.8409e-05+2.2301e-05i
-0.00020209-0.00019369i,-0.00036411-0.00013619i,-0.00053679-0.0002304i,-0.0014028+9.0568e-05i,-0.0014873+0.0013216i,-0.00013807+0.0012679i,0.00042797-0.00046992i,0.00043251-0.00044245i,0.00061138+0.00066247i,-0.00036636+0.0013584i,-0.00062818+0.00083479i,0.00082524+2.2554e-05i,0.0013992+0.00056188i,0.00067577+0.0011189i,-0.00012047+0.00051517i,-0.00090254+0.0001755i,-0.00043245+0.00056825i,0.00021789+2.2969e-05i,8.1672e-05-0.00030942i,0.00023935-5.6198e-05i,0.00016459-0.00036108i,2.9332e-05-0.00094583i,0.00010891-0.0003095i
5.0759e-05-0.0013637i,-0.00082616-0.00014527i,-0.0023138-0.00083544i,-0.0035392-0.0011862i,-0.0030697-0.0007628i,-0.0022046-0.00019917i,-0.0010802-0.0004213i,-0.0001856-0.00069124i,-0.00036227-0.00027389i,-0.0012378+0.00018565i,-0.0015016+0.00079029i,-0.00078513+0.00027184i,-0.00022455-7.727e-05i,0.00070473-9.2068e-05i,0.0014937-0.00012892i,0.0011468+0.00010637i,0.00014167+0.00045683i,-0.00023667+0.00046525i,-0.00010952+0.00023576i,-0.00031346+0.00029573i,0.00013037+0.0001374i,0.00085133-0.00036812i,0.0006973+3.4253e-05i
0.0011426-0.00082462i,0.0023632-0.00066608i,0.0034126+0.00080324i,0.0020613+0.0017889i,0.00024547+0.0014474i,-0.0002418+0.00030546i,-0.00039357-0.00061584i,0.00011176-0.001308i,0.00038521-0.0013865i,3.3989e-05-0.000572i,-0.0001304+0.00040605i,0.00018093+0.0015014i,0.00044068+0.0015195i,4.6002e-05+0.00070481i,-1.5474e-05+0.00066497i,-0.00064507+0.0009252i,-0.0010393+0.0012997i,-0.00020359+0.0011512i,0.00018408+0.00015338i,0.00030846+0.00051757i,0.00034403+0.00088842i,0.00087656+4.7321e-05i,0.00069161-4.1127e-05i
-0.0010209-0.0002232i,-0.0013978+0.00080388i,-0.0022174+0.0010721i,-0.0023893+0.00014079i,-0.0013349-0.00033536i,0.00024604-0.00050844i,0.0007553-0.0012476i,-8.7483e-05-0.0010368i,-0.00056147-4.9087e-05i,0.00017658+0.00022615i,8.6257e-05+0.00021816i,-3.1649e-06+0.00080671i,0.00019764+0.00078178i,0.00038352+3.4371e-05i,-0.0004865+0.00045757i,-0.0011263+0.0012168i,-0.00073479+0.0015066i,0.00014665+0.0014097i,0.00031657+0.00075462i,-0.00057898+0.00049077i,-0.00077079+0.0003773i,3.3661e-05+0.00010647i,0.00029154-0.00029285i
-0.001569-0.0011466i,-0.0018377-0.0014792i,-0.0025933-0.0010106i,-0.0033894-0.00012808i,-0.0026808+0.00037844i,-0.0010622+2.8197e-05i,-0.00079172-0.00069539i,-0.00050789-0.0020011i,1.7248e-05-0.0012589i,-0.00019065+8.1517e-05i,-0.00023501+0.00023742i,-4.2473e-05+6.3976e-05i,0.0004367+5.0994e-05i,0.00027662-0.00012844i,-0.00057199-6.9317e-05i,-0.00025506+0.000591i,-0.00073343+0.0010838i,-0.0013681+0.00035326i,-0.00073962-0.00074648i,-0.00071164-0.00044038i,-0.00033257-0.00033065i,0.00051316-0.00029632i,0.0007901-1.0493e-05i
0.0024228-0.0024643i,0.0028329-0.0020705i,0.0021549-0.0012489i,0.00073785-0.00024777i,-0.00057304+0.00090113i,-0.00033564+0.00043985i,0.00013365-0.00039641i,0.0002857-0.00070826i,-0.00011616-0.00066655i,-0.00095199+6.0823e-05i,-0.0010644+0.00066209i,-0.00045999+0.0001033i,0.00082209+0.00020159i,0.0016345+0.0011102i,0.0010874+0.0011662i,0.00038575+0.00076917i,-0.00032938+0.0013177i,-0.00022086+0.0010577i,0.0002253+9.5817e-05i,0.00023219-0.00019288i,0.00024068-0.0002241i,-0.00018071-2.3039e-05i,-0.00034038+0.00027754i
0.00089999+0.0032857i,0.0028177+0.0036329i,0.0027874+0.0022818i,0.001088+0.00046313i,0.00033195-0.00012245i,0.0010807-0.0010616i,0.0010318-0.0015431i,-0.0001791-0.0013509i,-0.00078625-0.0011586i,-0.00029174-0.00067935i,-0.00028253+0.00026744i,-0.00055719+0.00068816i,-0.00033402+0.00095442i,-0.00061017+0.0012591i,-0.00079714+0.0017053i,-0.00014356+0.00082915i,0.00023172+0.00022441i,2.1803e-05+0.0014653i,3.4573e-05+0.0015833i,0.00023455+0.00046961i,0.00030445-0.00053098i,0.00025432-0.001035i,6.6423e-05-0.00040802i
-0.00046361+0.00064676i,-0.00012869+0.0011901i,-3.0641e-05+0.0016436i,-0.00085093+0.0014034i,-0.0012469+0.001009i,-0.00065829+0.00024629i,-1.606e-05-0.00068535i,0.0008923-0.00090779i,0.0010092-0.00057603i,0.00013303-9.7177e-05i,7.3885e-05+0.00051036i,-0.0003402+0.0010525i,-0.00092824+0.00091996i,-0.00032767+0.00010347i,5.8269e-05+0.00049704i,0.00030929+0.00083575i,0.00024791+0.00080434i,-0.00012546+0.0009098i,-0.00012257+0.00097307i,0.00037286+0.00069265i,0.00031798-1.3991e-05i,1.486e-05-0.00018482i,-0.00065421+0.00033139i
-0.0024484-4.2346e-05i,-0.001892-0.0012585i,-0.0010543-0.0005432i,-0.00044639+0.00075251i,0.00077122+0.00073047i,0.000569-0.00027671i,-0.00041966-0.000766i,-0.00048098-0.0004522i,1.6715e-06-0.00018819i,-9.5654e-05+0.00019804i,-2.8956e-05+0.00084843i,-4.9968e-05+0.00023777i,0.00025354-0.00053058i,5.8504e-05-0.00027287i,-0.0010888+0.0001584i,-0.0011408+0.00061624i,-0.00071888+0.0013028i,-0.00065933+0.0015911i,-0.00031742+0.0014294i,0.00028835+0.0006839i,0.00027558-0.00058523i,0.0001191-0.00068621i,0.0001966-0.00025533i
0.0031572+0.00058781i,0.004102-0.00020121i,0.0026815-0.00036923i,0.0013152-0.00036663i,-5.1826e-05-0.00022448i,-0.00025212-0.0012312i,0.00028401-0.0019164i,0.00053745-0.0014436i,0.00074242-0.00052658i,0.00055411-0.00031742i,0.00015788-0.00015824i,-0.00036807+0.00019326i,-0.00094986+2.9091e-05i,-0.00041182-0.00029874i,0.00049957+0.00028806i,0.00084916+0.0012083i,0.00063535+0.0010942i,0.00061036+0.00088955i,0.00053462+0.00094035i,0.00029246+0.00066092i,0.00021044+0.00049493i,0.00045383+0.00018851i,0.00083363-0.00023167i
0.0017595+0.0028154i,0.001995+0.0031218i,0.0020999+0.0021368i,0.00064886+0.00073823i,-0.00048186-0.00048247i,-0.00025702-0.0008355i,0.00019887-0.00084138i,0.00011187-0.00052968i,-0.00048829+0.00035128i,-0.00098391+0.00069605i,-0.0010159+0.0004846i,-0.0010333+0.0002874i,-0.0010749-6.1073e-06i,-0.00039835+8.0952e-05i,0.00031873+0.00077907i,0.00014086+0.0010183i,-0.00044583+0.00093759i,-0.00031488+0.0011367i,0.00077671+0.0011488i,0.0010463-0.00023383i,0.00028667-0.0010807i,-1.9667e-05-0.00020368i,-0.00018064-7.9655e-05i
-0.00050029-0.0031847i,-0.0019942-0.0029501i,-0.0025136-0.003219i,-0.0026521-0.0030121i,-0.0032423-0.0022965i,-0.0022832-0.0015891i,-7.171e-05-0.00071137i,0.00074673-0.00096293i,0.00038527-0.0016882i,-0.00013128-0.00097838i,5.2368e-06+0.00073782i,0.00041596+0.0019252i,0.00024726+0.0015443i,0.00040251+0.00097534i,0.0011347+0.00075359i,0.0013016+0.00020511i,0.00044722+0.00050985i,-0.00046404+0.00071438i,-0.00054466+2.9019e-05i,-6.6759e-05-0.00015278i,0.00014216+9.5824e-05i,0.00044831+0.00015281i,0.00085894-0.00027496i
0.001902+0.00086084i,0.0028177+0.00029628i,0.0025241+7.2486e-05i,0.00077332-0.00050675i,8.3841e-05-0.00063247i,4.582e-05-0.00066965i,-0.00018572-0.0007867i,-9.1101e-05-0.0011177i,5.7886e-05-0.0013716i,9.3252e-05-0.00081839i,0.00038885-0.00016646i,-4.2726e-05-5.0606e-05i,-0.00036785+0.00032269i,-3.5161e-05+0.00091515i,-6.6147e-05+0.0011475i,-0.00026988+0.0015421i,-0.00041408+0.0013026i,-0.00013893+0.00069458i,0.00035398+0.00071491i,0.00047017+0.00064206i,0.0002363+0.0002344i,0.00026575+0.00019434i,2.4603e-05+0.00030422i
0.00026349+0.0017417i,0.00053066+0.002103i,0.00026896+0.0015712i,0.00013225+0.00063711i,0.0006773-0.00031785i,0.00057184-0.00082509i,8.2404e-05-0.00074348i,-0.00034232-0.00047714i,-0.00062917-0.00015434i,-0.00033655-0.00027373i,-0.00038309-0.00047534i,-0.00043929-6.9644e-05i,-0.0007638+0.00020166i,-0.00094-0.00016884i,-0.00024915+0.00023642i,0.00040422+0.0011392i,0.00043677+0.001452i,-0.00039106+0.0010311i,-0.00090135-0.00016965i,-0.00012613-0.00089906i,0.00021455-0.0008513i,0.00015825-0.00019601i,0.00032943+0.00049683i
-0.0023131-0.0020276i,-0.0026008-0.0013561i,-0.0033459-0.00048957i,-0.0038584+0.00037132i,-0.0030891+0.00079389i,-0.0014649+0.00077757i,-0.00014662-5.6536e-05i,3.4543e-05-0.0012352i,-0.00067124-0.0013406i,-0.0008661-0.00016242i,-0.00053517+0.00028488i,-0.00034852-0.0004927i,0.00044934-0.00084208i,0.00094774-0.00054776i,0.00049706+0.00015271i,-0.00064621+0.00042799i,-0.00069369-8.1704e-05i,0.00081715+0.00016018i,0.00088461+0.00066512i,0.00032775+0.00037682i,0.0011537+3.73e-05i,0.0013073+0.00034983i,0.00051313+0.00062035i
-9.8e-05-0.0020176i,-0.001524-0.0019573i,-0.0025547-0.0015013i,-0.0020889-0.00069029i,-0.00071879-0.00048828i,9.6208e-05-0.00078363i,-2.8018e-05-0.00063964i,0.00017515-0.00064088i,-0.00032301-0.00059718i,1.9662e-05+0.00055308i,0.00094559+0.00020674i,0.0016228-0.0014654i,0.0012008-0.0012853i,5.5586e-05+0.00025283i,-0.00029423+0.00077047i,0.00062827+0.00032813i,0.00084242+0.0011094i,0.00018083+0.001303i,0.00011812+0.00054905i,-0.00020961-7.8097e-05i,9.214e-06-0.00072954i,0.0012543-0.00073522i,0.0014386-4.6857e-05i
0.0027494-0.00075506i,0.0018637-0.002581i,-1.6263e-05-0.003144i,-0.0020313-0.0016076i,-0.0022244-0.00069158i,-0.0011108-0.00044232i,-0.0013645-1.7619e-05i,-0.0014575-4.4396e-05i,-0.0007994-0.0002902i,0.00016668-0.00060343i,0.00088825+0.00067412i,0.0007483+0.002013i,0.00074049+0.0018087i,0.00096818+0.00065203i,0.00027675-8.215e-05i,-0.00075497+0.00052879i,-0.0011602+0.00070454i,-0.00040037+0.00040091i,0.00027561+0.00027061i,-0.00015535+0.00043715i,-0.00053738+0.00030961i,-6.0258e-05+0.00014976i,-0.00034524+8.4184e-05i
0.00082098+0.0023629i,0.0014313+0.0027222i,0.0013191+0.0011806i,-0.00050298-0.00041516i,-0.0021198-0.00079105i,-0.0016839-0.00017102i,-0.00061306+2.1695e-05i,8.069e-05-0.00040053i,0.00032406-0.00061103i,-4.4865e-06-0.00050109i,-0.00063464+0.0012025i,-0.001252+0.0020663i,-0.00029122+0.00084743i,0.0003733+0.00037011i,-0.00019303+0.0011222i,0.00027255+0.0019426i,0.00069072+0.0019329i,0.00083785+0.0012888i,0.00099116+0.00016806i,0.00054482-0.00043664i,0.00037102-0.00094646i,0.00037072-0.00012448i,0.00042347+0.0009986i
0.00065073-0.00051446i,0.0016276-0.00049371i,0.00050656-0.00084924i,-0.0005871-0.0013844i,-0.00070082-0.0013942i,-0.00020067-0.0014746i,0.00038553-0.0014976i,0.00039771-0.00046587i,-0.00013619+0.00052765i,-0.00043657+0.00057798i,-0.00029737+0.00097573i,-6.7336e-05+0.00071903i,-0.00019142-5.497e-05i,-0.00057371+0.00091937i,-0.00035544+0.0015425i,-0.00071696+0.00042876i,-0.00097438+0.00042921i,-0.00058533+0.00097091i,-0.00032876+0.00012244i,5.7233e-06-0.0010729i,0.00061227-0.00074157i,0.00078745+0.00061081i,0.0009198+0.0005543i
0.0033109-0.0011034i,0.0028329-0.0023701i,0.0015304-0.0026131i,-2.8138e-05-0.0027399i,-0.00019177-0.0031493i,-0.00015723-0.0028566i,-0.00023101-0.0014979i,6.6662e-05-0.00047598i,0.00070595+1.9197e-05i,0.00071256-0.00010963i,0.00011553-0.00036915i,-0.00011733+0.00048061i,0.00016252+0.0013238i,0.00061235+0.0015553i,0.0006768+0.0013507i,0.00028571+0.00083862i,-1.4015e-05+0.00068085i,-0.00065127+0.0013445i,-0.0010831+0.0014184i,-0.00028135+0.00044581i,0.00066159-0.00021593i,0.00034591-5.0061e-05i,0.00016373+0.00010894i
0.0013712+0.0015002i,0.0017165+0.0015105i,0.00062525+0.0001437i,-0.0015266-0.00063448i,-0.0012622-0.00073653i,-0.00042902-0.0012425i,-0.00068337-0.0012995i,-0.00020691-0.00072993i,0.00038842-3.5721e-05i,0.00068139+0.00027512i,0.00062714+0.00018674i,6.5471e-05+0.00045017i,-0.00049151+0.0014893i,-0.00038255+0.0020554i,1.5044e-05+0.0016434i,-6.7245e-05+0.00090548i,-0.0004103+0.001005i,-0.0007537+0.0010459i,-7.042e-05+0.0001592i,0.0010751+0.00025481i,0.0009338-0.00012292i,7.8394e-05-0.00074007i,-0.00032161-5.8606e-05i
0.0010824-0.0010388i,0.00071758-0.002767i,0.0012496-0.0032389i,-0.00018241-0.0020572i,-0.0016788-0.0011931i,-0.0020091-0.00076397i,-0.0015778-0.00042674i,-0.00026734-0.0001819i,0.00046542-0.00027191i,0.00032524-0.00075874i,-0.00051396-0.00036572i,-0.001076+0.00046281i,-0.0009187+0.00076264i,-0.00011266+0.00092565i,0.00097905+0.0012456i,0.00090534+0.0011615i,-2.8753e-06+0.00082073i,-0.00031997+0.0007709i,-8.6375e-05+3.7579e-05i,2.6539e-05-0.0012217i,2.5159e-05-0.0013734i,0.00040761-0.00074013i,0.00083341+5.32e-05i
0.0039837-0.003352i,0.0015445-0.0039953i,-0.0005289-0.0057454i,-0.0016738-0.0044517i,-0.0028976-0.0022127i,-0.0025359-0.00053286i,-0.00092659-0.00095243i,0.00088017-0.0021627i,0.00094583-0.0019384i,3.3704e-06-0.00096189i,-0.00070155-0.00045653i,-0.0015002+2.7455e-05i,-0.00085974+0.00028897i,0.00063466+0.00071451i,0.00056979+0.0011606i,3.7968e-05+0.0008918i,-0.00011949+0.00018836i,-0.00015548-1.4505e-05i,0.00037375+0.00047261i,0.00063322+0.00066166i,0.00014859+2.2922e-05i,-0.0003865-0.00065374i,0.00053982-0.00091197i
0.0018653-0.00069749i,0.00096777-0.0011013i,0.00082753-0.00058996i,-0.00054663+0.00067611i,-0.0029241+0.00031928i,-0.0034539-0.0014639i,-0.0017514-0.0014066i,-0.00074047-0.00058404i,-0.00060778-0.0006368i,-0.00098769-0.00085375i,-0.0018399-0.00073242i,-0.0013791-0.00011379i,-0.00026822+0.0010597i,0.0002016+0.0011671i,-0.00016422+0.00040414i,-0.00032306+0.00023732i,-0.00059529+0.00075951i,-0.00033761+0.00074371i,5.7991e-05+0.00068153i,0.00068695-1.119e-05i,0.0010605-0.00099138i,0.00044684-0.00042769i,0.00010641-0.0001302i
0.0030132-0.0010383i,0.0031414-0.0012381i,0.0027211-0.0018147i,0.0010781-0.0022815i,-0.00051815-0.0020419i,-0.00030009-0.0012585i,0.0010315-0.0005916i,0.0012483-0.00023191i,0.0007435-0.00016305i,-0.00018893-0.00026054i,-0.00061874+0.00010145i,-0.0002317+0.00040379i,-0.00010698+7.7101e-05i,-0.00063805-5.1534e-05i,-0.00027748+0.0004712i,0.00057646+0.00085144i,0.00032356+0.0011683i,-0.00040068+0.0011479i,0.00012476+0.00065746i,0.00041553+0.00081656i,-0.00038587+0.0013166i,-9.0843e-05+0.0010418i,0.00055552+0.00072493i
0.0010475+0.00064561i,0.00082853+0.0014793i,0.00034797+0.0010353i,-0.00064911-0.00061163i,-0.0009236-0.000817i,-0.00069426-1.4777e-05i,0.00016798-0.0001654i,0.00075255+3.0186e-05i,0.0004439+0.00084419i,0.00014751+0.00098553i,0.00021926+0.00096382i,-0.00020932+0.00043881i,-0.00061701-0.00067512i,-0.00014734-0.00014434i,0.00014649+0.0011826i,0.00023839+0.0017031i,0.0008561+0.0014223i,0.00019096+0.00059769i,-0.000686+3.8814e-05i,2.8727e-05-0.00011037i,0.00041162-3.764e-05i,0.00054038+0.00027943i,0.00079508+0.00024422i
