-0.002289-0.00064858i,-0.0014509-0.0017364i,-0.0021997-0.00030473i,-0.0032936+0.00070012i,-0.0021603+0.0024331i,-0.00055383+0.0029193i,0.00014519+0.0020916i,0.0009474+0.0020278i,0.0014814+0.0018999i,0.0020883+0.0010146i,0.0017895-0.00014121i,0.00059873-0.00090666i,6.0277e-05-0.00067801i,-0.00065742+1.7632e-05i,-0.0011546+0.0004925i,-0.00104+0.00088433i,-0.00037086-0.00010813i,0.0003512-0.00030559i,8.4545e-05+0.00039055i,0.00025305+0.0010024i,0.00073379+0.0010147i,0.0005791+0.00033593i,0.00021668-0.00038246i
-0.00043329+0.00018857i,-7.2217e-05+0.00022285i,-0.00036851+0.00099776i,-0.00051414+0.0020302i,-7.1306e-05+0.0023959i,0.0010394+0.0015595i,0.0013332+0.00030788i,0.00057524+0.00036827i,-0.00027095+0.00064706i,0.00030211+0.00039248i,0.0010273-0.00022103i,0.00078391-0.0002987i,0.00024057-0.0001388i,-2.0393e-05-4.3019e-05i,0.00012246+0.00012625i,0.00027513-0.00016909i,-4.8631e-05+0.00018967i,-9.7284e-05+0.00012888i,-0.00016062-0.0010781i,2.7232e-05-0.00094522i,0.00051195-0.00047653i,0.00025135-0.00054106i,0.00028032-0.00036275i
9.8107e-05+0.0013939i,-0.00090178+0.002874i,-0.0014817+0.0045337i,-0.0014227+0.0038981i,-0.00097888+0.0020345i,-0.00023653+0.0015261i,-0.00036808+0.0013796i,-9.3909e-05+0.00094294i,0.00076875+0.0013587i,0.0013786+0.0013168i,0.0014121+0.00092381i,0.00079485+0.00088745i,0.00065438+0.00083027i,0.00032968+0.00044824i,-0.0010477+0.00010062i,-0.001558+0.00013564i,-0.00036724+0.00037142i,0.00066583+0.00028419i,0.00030398-0.00020195i,0.00030087-0.00067562i,0.00020678-0.0011329i,-0.00023602-0.00080483i,-0.00035671-0.00037387i
-3.5666e-06-0.00089978i,-0.0012003-0.0011814i,-0.0030166-0.0013772i,-0.003938-0.0004158i,-0.0030518+0.00060906i,-0.001551+0.0010285i,-0.00070344+0.001562i,-0.00028387+0.0011445i,-0.00033443+0.00011475i,-0.00042404-0.00038821i,-0.00067814+0.00015923i,-8.8018e-05+0.00039176i,0.00086833+0.00092569i,0.00033951+0.00075829i,-0.00021003+0.00035036i,-0.00024751+0.00042901i,-1.2508e-05+9.4081e-05i,8.6981e-05+1.3759e-05i,0.00025841-6.9022e-05i,-0.00035163+7.588e-05i,-0.0007436+3.114e-06i,-0.00036086+0.00049796i,-0.00020187+0.0007504i
0.00026576+0.00038823i,-0.0021054+0.00025034i,-0.0026967+0.00085846i,-0.0029403+0.0011891i,-0.0033299+0.0012199i,-0.0025466+0.001189i,-0.0010355+0.0011434i,-0.00050232+0.00099089i,0.00011762+0.00048503i,0.00035958-0.00024773i,0.00017384-0.00050986i,-0.00035361-9.2485e-05i,-0.00051982+0.00044391i,-0.00034539+0.00064128i,-0.0003863-0.00016731i,-0.0012573-0.001048i,-0.0014875-0.0011333i,-0.00085176-0.00039701i,-0.00086293-7.4204e-05i,7.8654e-05+0.00047152i,0.0010887+0.00073003i,0.00063054-0.00042408i,0.00013428-0.00071213i
-0.00035495-0.0010737i,-0.0001124-0.00056815i,-0.00056198+0.00034582i,-0.0017419+0.0023272i,-0.001701+0.0038776i,-0.0011803+0.0034422i,-0.00074609+0.0020677i,-0.00016856+0.001179i,0.00063685+0.00082464i,0.00040484+0.00023443i,-8.5137e-05+0.00056476i,0.00024518+0.00027965i,0.00014244-0.00052532i,-0.00012331-0.00044604i,7.6644e-05-0.00036632i,6.0937e-05-0.0002357i,-0.00045925+0.0002459i,-0.00039687+0.00086559i,8.6601e-05+0.00069466i,0.00079447-0.00044059i,0.00049681-0.00040648i,-0.00032033-6.2957e-05i,-0.00018623-0.00066319i
-0.00076999-6.3618e-05i,-0.0011248-0.0012652i,-0.0017866-0.001118i,-0.002419-0.00028538i,-0.0020357+0.0004783i,-0.002461+0.0007041i,-0.0023196+0.0013145i,-0.0012263+0.0016472i,-0.00032392+0.00089117i,0.00018258+0.00073399i,0.00059063+0.0007931i,0.00073253+0.00053138i,0.00068091+0.00075892i,7.5348e-05+0.0014573i,-0.0004632+0.0013986i,-0.00055376+0.0010529i,-0.0001233+0.00050838i,0.0011603+0.0003097i,0.0012677-2.7355e-05i,0.00029089-0.00054796i,-0.00021311-0.0012481i,9.523e-05-0.00099946i,5.9344e-05-0.00042101i
0.00018683-0.00021233i,-0.00085701+0.00015668i,-0.002589+0.0017862i,-0.0032389+0.0034578i,-0.0022647+0.0033132i,-0.00049007+0.0022187i,-2.4268e-05+0.0012287i,-0.0003485+0.00027111i,-3.2429e-05-0.00014654i,0.00086281+0.00010895i,0.0013404+0.00016394i,0.0014726+0.00012284i,0.0003697+0.00033806i,-0.00033378+5.0145e-05i,0.00036889-0.0001462i,-0.00010732+6.0064e-05i,-0.00089377+0.0003441i,-0.00052557+0.00022931i,0.00046252-0.00033338i,0.00097216-0.00060055i,0.00049783+4.9036e-05i,-7.8839e-05+0.00043659i,-0.00023204-0.00069932i
0.00058718-0.00073031i,-9.8325e-05-0.00051763i,-0.00062294+0.00037547i,-0.0020635+0.0014783i,-0.0024368+0.0011796i,-0.0012536+0.0008101i,-0.00058368+0.0012873i,-0.00042772+0.0010138i,-0.00040294+0.00060497i,-0.00033712+0.00059898i,0.00085747+0.00055311i,0.0012329+0.00055893i,0.0010926+0.00043068i,0.000892+0.0004094i,0.00049941+0.00061146i,0.00019709+0.0010599i,-8.5908e-05+0.00036271i,0.00045471-0.00045997i,0.00037571-0.00050806i,-0.00059314-0.00078019i,-0.00038742-0.00047467i,3.1617e-05-4.9557e-05i,-5.6906e-05+0.00030281i
0.00039531+0.0003693i,-0.00087899+0.00017528i,-0.0022279+0.0011733i,-0.002394+0.0013942i,-0.00087571+0.00082907i,0.00047552-0.00021238i,0.00066333+4.3182e-05i,0.00081641+0.0009055i,0.0010747+0.00064804i,0.00044751-6.7123e-05i,9.1138e-05+0.0001065i,-0.00047906+0.00061183i,-0.00061022+0.00042068i,0.00038517-5.1509e-05i,9.2562e-05+0.00010272i,-0.00040624+0.00051194i,-0.00011853+0.00018567i,3.8554e-05-0.00020056i,-0.00060225-0.00035895i,-0.00048565-0.00048372i,9.9745e-05-0.00025256i,-0.00035136-6.4049e-05i,-0.00033203+0.00028037i
0.00077159-0.00050635i,-1.3488e-05+5.5559e-05i,-0.0026126+0.00042748i,-0.0035296+0.0018475i,-0.002114+0.0024893i,-0.0011619+0.0010377i,-0.00056342+0.00018958i,-0.00030516+0.00047504i,-0.00030257+9.2045e-05i,0.00029279-0.00010589i,0.00042557+0.00075802i,0.00017989+0.0010485i,0.00025873+0.00078408i,7.9063e-05+0.00033478i,-0.00053621+5.5707e-05i,-0.00052736+0.00062498i,-0.00086512+0.00095586i,-0.0017974+0.00052029i,-0.0013513+0.00013173i,-0.00033332-0.00036081i,0.00068006-6.4847e-05i,0.00056478+0.0003973i,8.7512e-05+0.00053323i
