-0.00036238+0.00061427i,6.827e-05-0.00026691i,-9.6587e-05-0.00023956i,0.00021364-0.0006657i,0.00011186-0.00087492i,-0.00029923+0.00022009i,-0.00041665+0.00058672i,-0.00038747+0.0011885i,0.00013234+0.0015547i,0.0010645+0.00072371i,0.0010849-6.4572e-05i,0.00080613-0.00062849i,0.00069498-0.00050723i,-0.00046276+0.00022099i,-0.00065655+0.00013603i,0.00048388+0.00027631i,0.00066439+0.00046307i,0.0005963+0.00015417i,0.00064515+0.00087008i,0.00046549+0.001081i,-0.00022833+0.00012809i,-0.00014265-0.00025592i,0.00021156-0.00047931i
0.0010437+0.0003321i,0.0012003+0.00012301i,0.001142+0.00099212i,0.00072456+0.00096794i,0.00081478+2.6387e-05i,-0.00013791-0.0012229i,-0.0011187-0.0006706i,-0.00070304+2.1497e-05i,0.00073796-3.4335e-06i,0.0018622+0.00065999i,0.0016573+0.00092294i,0.00055018+6.9391e-05i,-0.00035818-0.00069199i,-0.00017331-0.00024547i,-0.00074023+0.00047485i,-0.0012108-2.3985e-05i,-0.00067882-0.00098568i,0.00012278-0.00074286i,2.6701e-05-1.3182e-05i,-0.00035145+9.3898e-05i,0.00016598+0.00011599i,0.00019928+1.4974e-05i,-0.00026794-0.00037662i
0.0016327+0.0012822i,0.0016489+0.0014479i,0.0018488+0.0010253i,0.0015473-0.00030725i,0.00044597-0.00086867i,0.00011238-0.00063631i,0.0003607-0.00049451i,0.00082016-0.00027392i,0.00094478+0.00016298i,0.0016502+0.0004885i,0.001447+0.00011073i,0.00024973-0.00022034i,3.8791e-05-0.0009567i,0.00051127-0.0016362i,0.00074756-0.00095337i,0.00040035+0.0001691i,0.00058644+0.00016987i,0.00062331-0.00049665i,0.00043563-0.0010546i,0.00096735-0.00069509i,0.0010702-0.00036039i,0.00019642-0.00020204i,-0.00010181+0.00051936i
-0.00030951-0.0013849i,-0.0011051-0.00015592i,-0.0019953-0.0015865i,-0.0016882-0.0019391i,-0.0011765-0.00098258i,-0.00083334-0.00032278i,-0.00051363-5.1394e-05i,-0.00029162+0.00040478i,0.00017544+0.0007795i,0.00038932+0.00015854i,0.0003873-0.00071763i,0.00047855-0.001507i,0.00073352-0.0014722i,-0.00039409-0.00037402i,-0.001214+0.00020787i,-0.00042881+0.0001716i,-0.00023713+0.00035254i,0.00030631+0.00049505i,0.00046924+0.00066974i,-0.00011342+0.00026355i,-0.00021053-0.00011098i,-0.00020538+4.7467e-05i,-0.00025294-0.00020535i
-0.00061314-0.0019084i,-0.0013331-0.0024524i,-0.00065348-0.0016023i,-0.00014855+0.00022116i,-0.00063604+0.0010194i,-0.00068865+0.00076927i,0.00045129+4.3774e-05i,0.0011054+0.00010728i,0.001062+0.00020901i,0.00027225-0.00025056i,7.1961e-06-0.00081745i,0.00025908-0.00052063i,-3.3254e-05-9.9067e-05i,-0.00013752-0.00029098i,-0.0003737+0.0002448i,-0.00015186+0.00064424i,-0.00024601+0.00053221i,-0.00057582+0.00020467i,7.2847e-05+0.00048427i,-4.5487e-05+0.00050907i,-0.00037509-0.0003057i,-0.00044524-6.471e-05i,-0.00018605-0.00023438i
-0.00041145-0.0011097i,-0.001045-0.00087565i,-0.0022917-0.0011957i,-0.001832+0.00017302i,-0.00083957+0.00043398i,-0.00079068-8.8323e-06i,-0.00069985+0.00048786i,-0.00040276+0.00071103i,1.706e-05+0.00046633i,2.9347e-05+0.00042383i,-0.00031335+0.00020129i,6.6429e-05-0.00057807i,0.0001333-0.0010701i,-0.00040466-0.00074924i,-0.00018555-0.00012113i,-0.00016955-0.00024282i,-0.00020429-9.6691e-05i,0.00016171+0.00035274i,-0.00040463-0.00041538i,-0.00056163-0.00059694i,-0.00029943+0.00041923i,-0.00017205+0.00049429i,-0.00018417+0.00032538i
0.0011019-0.00052225i,0.0010345-0.00048397i,0.0010627-0.00069505i,0.0007028-0.00068551i,8.7687e-05-0.00065267i,-0.00033119-0.00075099i,-0.00076348-0.00051454i,-0.00085079-0.00032697i,4.065e-05-0.00032785i,0.0016322-0.00054498i,0.0017977-0.0010538i,0.00081634-0.0013944i,0.00028245-0.00058318i,-0.00061933+0.00024061i,-0.0012012+0.0004107i,-0.00069468+0.0010102i,-0.00021332+0.0010315i,-0.00041982+0.00071548i,-0.00063327+0.0006701i,-4.5977e-05+0.00053688i,-5.5052e-05+0.00049047i,-0.00046392+0.00042284i,0.0003209+2.6711e-05i
0.00053209-0.00041338i,0.00095185-0.0002512i,0.0012774-0.00051153i,0.0013521-0.00092732i,0.0013601-0.00079361i,0.00048089+0.00038456i,-0.00011357+0.0011767i,-2.9384e-05+0.00095678i,0.00060631+0.0005294i,0.0010861+0.00044611i,0.0012191+6.6124e-05i,0.00094084-0.0002913i,4.5431e-05-0.0011426i,-0.00041578-0.0013418i,-0.0010483-0.0011684i,-0.0010353-0.0010732i,-0.00030263-0.0003064i,-0.00072419+0.00043976i,-0.00085459+0.00050157i,-0.00023795+0.00046837i,-0.00012256+0.00081212i,-0.00058857+0.00072792i,-5.1106e-05+0.00079796i
0.00010104+0.00021574i,0.00073866+0.00012918i,0.00077598-0.00022584i,0.00020461-7.3291e-06i,4.5733e-05-0.00025206i,-0.00011241-9.9694e-05i,-0.00019676+0.00042769i,-3.6078e-05+0.00068793i,0.00072709+0.0005798i,0.00091358+0.00021292i,0.00066293-0.00069895i,0.00057001-0.0015421i,0.0011675-0.0014272i,0.00069505-0.00064141i,-0.00017738-0.00028133i,1.1433e-05-0.00065113i,-0.00011709-0.00075603i,2.5738e-05-0.00023001i,0.00019338+0.00066046i,-0.00049181+0.0001311i,-0.00072708-0.00038932i,-0.00052041+6.1131e-05i,9.2939e-06+0.00036863i
0.00062746-0.00093455i,0.0002757-0.00048364i,-0.0010252+6.3336e-05i,1.9391e-05+0.00049139i,0.00091055+0.00043636i,0.00021885-0.00012772i,-1.9841e-05+4.7978e-05i,-7.9968e-05+0.00046602i,1.265e-05+0.00052043i,0.00096116+0.00018856i,0.0019475-0.00015535i,0.0012031-0.00029042i,0.0001846-0.00053701i,0.00027058+0.00053041i,-0.00020682+0.0013897i,-0.00046384+0.0005568i,0.00011757+0.00030455i,-0.00012542+0.00080027i,0.00010412+0.00062795i,0.0006108+0.00067638i,-1.7022e-05+0.00060079i,-0.00065751+0.00038909i,-0.00039746-2.625e-05i
-0.00079934+8.5682e-05i,-0.0011014-0.00029444i,-0.0012585-0.00031877i,-0.0007667-0.00017346i,-0.00046516+4.1958e-05i,-0.00084263+1.8292e-06i,-0.00018175+0.00011827i,0.00087936+3.7772e-05i,0.00079331-0.00047594i,0.0013028-0.00055949i,0.0016066-0.00031642i,0.0006885-0.0010698i,-0.00012316-0.00092314i,-0.00020681-7.2389e-05i,-0.00020426+2.0625e-05i,-0.00013794+0.00048017i,-0.00022759+0.0011728i,-0.00047639+0.0012348i,-0.00068001+0.00058157i,0.0002268+0.00016143i,0.00099151+0.00024699i,0.00090345+0.00031518i,0.00044482+0.0002913i
0.00086248+0.00094471i,0.00066888+0.00028912i,0.0011409-0.00014041i,0.0010338-0.00040263i,9.3076e-05-6.9237e-05i,-0.00064096-6.8307e-05i,-0.00092235-0.00068126i,-0.0008481-8.938e-05i,-0.00029118+0.001253i,0.00028882+0.0012056i,0.0006314+0.0004305i,0.00070397-0.00033352i,0.00066054-0.00078154i,0.00052254-0.00054331i,-0.00032472-5.5767e-05i,-0.00019707+0.00032078i,0.00034718+0.00037469i,0.00042416+0.00044897i,0.00051309+0.00078531i,0.00066515+0.0010318i,0.00021666+0.0014403i,0.00016206+0.001721i,0.00032774+0.00094364i
-0.0019842+0.0014981i,-0.0020091+0.0017404i,-0.0021685+0.0023287i,-0.0011067+0.0019499i,0.00050409+0.0012499i,0.00065873+0.00039513i,0.00037218-0.00054951i,0.00037667-0.00032494i,0.00024336+0.00054357i,0.00040444+0.0007614i,0.0004866+0.00091312i,0.00086666+0.0011923i,0.0010519+0.0010113i,0.00019894-9.491e-05i,0.00021236-1.4422e-05i,0.00083818+0.00027398i,0.0011556+4.9399e-05i,0.00094533-0.00019129i,0.0001859-0.00033053i,-0.00059008-0.00030645i,-0.00043274-0.00046499i,-0.00022054-0.00037121i,-0.00020771-0.00046592i
-0.0012007+0.00091657i,-0.001778+0.0016259i,-0.00083454+0.0018618i,0.00011932+0.0011043i,-0.00014736+0.00030147i,-0.00055986-0.00083819i,-0.00035095-0.00088544i,5.6929e-05-0.00081923i,0.00042196+0.00013935i,0.00030694+0.00048155i,0.00073651-0.00046904i,0.0015596-0.00055534i,0.0014622+2.2124e-05i,0.00076448-0.00042961i,-0.00083119-0.00058002i,-0.001469-0.00034487i,-0.00036112+0.00068484i,0.00056082+0.0017719i,0.00033026+0.0012235i,0.00019643+2.8994e-05i,4.4266e-05-0.00035403i,0.00036422-0.00030956i,0.00078749-0.00025754i
-0.0013646-0.0011858i,-0.00084974-0.0016895i,-0.0013014-0.00093449i,-0.0012289-0.00064853i,-0.00062479-0.0010513i,-0.00073747-0.00081531i,-0.00084038-6.2143e-05i,-8.6698e-05+0.00096391i,0.0012561+0.0015276i,0.001673+0.0008175i,0.0011899+0.00028232i,0.00080689-2.8458e-06i,0.00058934+0.00026396i,-0.00021249+0.00085626i,-0.0010666+0.00061139i,0.00016062+0.00079982i,0.00025088+0.00064447i,5.3368e-05+0.00036836i,0.00058312-0.00011236i,0.0004255-9.489e-05i,-3.5015e-05+0.00019361i,-0.00051585-0.00057626i,-0.00053081-0.0010551i
0.0017655-0.00033071i,0.0012606+4.6741e-05i,0.0009862+0.0004044i,0.00072304+0.00052548i,-0.00054943+0.0010712i,-0.0013878+0.00090504i,-0.00082787-0.00040952i,0.00059594-0.00031089i,0.0013071-8.5691e-05i,0.00087813-0.00048324i,0.00053336-0.00082893i,0.0007513-0.00039617i,0.00068989-0.00021789i,7.4307e-05-0.00084931i,-0.00029447-0.00022395i,-0.00059525+0.00025479i,-0.00089224-8.1926e-05i,-0.0007407-0.00046091i,-0.00029542-0.0001679i,0.00022337+3.9214e-05i,0.00048432+9.9685e-05i,8.8305e-06+0.00043803i,-0.0011423+0.00065799i
0.0012784+0.000667i,0.0013829+0.0011226i,0.0014194+0.0026388i,0.00086292+0.0022804i,0.00020706+0.0011457i,-6.3725e-05-5.1111e-05i,-0.00042818-0.00062219i,-0.00038967+4.5046e-05i,0.00036729+0.0009992i,0.00081445+0.00078879i,0.0013508-0.00020975i,0.0017692-0.00083154i,0.0016278-0.0006581i,0.0009065-0.00024122i,0.00032862-0.00011607i,-0.00045025-0.00073475i,-0.0009465-0.0015019i,-0.0003707-0.00044684i,0.00034377+0.000902i,0.00030506+0.0009049i,8.3893e-05+0.00053375i,-0.00037428+0.00078092i,-0.0008982+0.0010603i
2.0617e-05+0.00080593i,-8.6258e-05+0.00057816i,-0.00011589+0.0002851i,5.638e-05+0.00014133i,0.00049302+0.00043494i,0.00055201+0.00029031i,-0.0001684+0.00048797i,-0.00070151+0.001039i,0.00031309+0.0012261i,0.00086797+0.00068283i,0.00066325-0.00014848i,0.00050213-0.00089366i,0.0010777-0.0013242i,0.00057873-0.00085608i,-0.00083599+0.00021593i,-0.00038748+0.0010421i,-5.3255e-05+0.0012507i,-0.00038218+0.00066572i,-7.9052e-05-4.8451e-05i,-0.00028347-6.2277e-06i,-2.0311e-05+0.0001111i,0.001307+0.00035776i,0.0015244-0.00040369i
0.0007182+0.00091465i,0.0011091+0.00089529i,0.00165+0.001102i,0.0010665+0.00034476i,0.00090918-0.00066495i,0.001026-0.00036472i,-0.00017849-0.00025304i,-0.00077904+0.00045787i,-0.00019129+0.001645i,0.00028641+0.0017428i,0.0006077+0.0009583i,0.00052074+0.00011029i,0.00021557-0.00080648i,-0.00026031-0.00074094i,0.00017782+0.00060785i,0.00059714+0.0009998i,0.00037263+9.9828e-05i,0.00066116-0.00014839i,0.00035018+0.00015651i,-0.00026185+0.00016771i,-0.00042311+0.0003008i,-0.00018232+0.00021998i,0.00015541-0.00019763i
-0.00010085-0.0013057i,-0.00088953-0.00075261i,-0.000767-0.00037893i,2.7466e-05+0.00053433i,-0.00051944+0.0013583i,-0.0011661+0.00090223i,-0.00035324+0.00031391i,0.00064706-0.0002514i,0.0010223-0.00085069i,0.00071214-0.00013096i,1.7621e-05+0.00022729i,1.6002e-05-0.00010876i,0.00028984-0.00055378i,1.0568e-05-0.0010322i,-0.00025615-0.00080554i,0.00048634-0.00054247i,0.0011412-2.1811e-05i,0.00040748+0.00072854i,-7.5589e-05+0.00066964i,-0.00034007-0.00031745i,-0.00020335-0.00074814i,3.6959e-05-0.00021448i,0.0005221-4.7284e-05i
-0.00073055+0.0019369i,-0.00053406+0.0017971i,-0.0010074+0.0020599i,-0.00085615+0.00065121i,-0.00056946-0.00097629i,-0.00070683-0.001634i,-0.00054522-0.0008352i,-0.00013315+0.00079512i,8.7874e-05+0.0015444i,0.00052479+0.0013153i,0.0010571+0.00064981i,0.0011019-0.00014116i,0.00081363-0.00070726i,0.00018268-0.00022192i,-0.00071434+0.00030753i,-0.00028984+0.00059966i,0.00053832+0.00097299i,0.00058035+0.00057335i,-0.00012378+0.00011001i,-0.00029872-0.00014398i,-1.9236e-05+0.00025099i,0.00019232+0.00065252i,0.00048047-0.00017143i
-0.0013239-0.00052329i,-0.0013342-2.642e-05i,-0.0027682+0.00045818i,-0.002522+0.0013326i,-0.00068092+0.0010651i,0.0001561+0.00047183i,-5.1717e-05-3.8297e-06i,-0.00010476-0.00026254i,-0.00014232+0.00011628i,0.00059663-0.00011118i,0.0012319-9.6289e-05i,0.0010678+0.00061986i,-6.0335e-05+0.0007578i,-0.00095949-0.00021197i,-0.00020754+4.309e-05i,0.00045834+0.00055708i,0.00026667+0.00038383i,9.8432e-05+0.0007421i,0.00026448+8.3555e-05i,0.00043113-0.00079933i,6.8732e-05-0.00062338i,-0.00027225-6.3547e-05i,-0.00025258+0.0001992i
