-0.0033492-0.0031019i,-0.003661-0.0028496i,-0.0034954+0.00032721i,-0.0028495+0.0031144i,-0.002081+0.0038156i,-0.00095213+0.0031966i,-0.0001389+0.0020612i,8.5846e-05+0.0020419i,0.00054642+0.002389i,0.0011845+0.0015316i,0.0011943+0.00034973i,0.00029266-0.0004387i,0.00045166-0.0013i,0.00082584-0.0012696i,0.00052738+0.00035392i,0.00077297+0.0011102i,0.00071657+0.00027664i,-0.00049661-0.0011007i,-0.0010912-0.0019414i,-0.0004817-0.001283i,-0.00011276-0.0002725i,-1.6595e-05-0.00042766i,-1.5784e-05-0.00092716i
0.00072483-0.0017878i,-0.00045974-0.00048934i,-0.0018539+0.0015687i,-0.0014993+0.0021807i,-0.0014003+0.0017123i,-0.00088069+0.0013154i,-5.8951e-05+0.0013388i,0.00065521+0.00099766i,0.00040484+0.00019733i,0.00033211-0.00054268i,0.0005058-0.00063598i,0.00029737+0.0002403i,0.00059871+0.00052418i,0.0001317+0.0001476i,-0.00040049+8.3279e-05i,-2.1657e-05-0.0001812i,0.00019513+0.00017653i,0.00065565+0.00039845i,0.00050905-0.00037584i,-4.1995e-05-0.0013538i,-0.0005716-0.00078957i,-0.00042189+6.1936e-05i,0.00017928-0.00014866i
-0.00065754+0.0019974i,-0.00046385+0.0030759i,-0.00073625+0.0020549i,-0.00026966+0.0017426i,0.00047946+0.0018263i,0.00033323+0.0012538i,0.00029814+0.0011134i,0.00052504+0.0014181i,0.00091906+0.0012568i,0.0008387+0.00084163i,0.0007245+0.00067793i,0.00061823+0.0010357i,0.00088188+0.0011075i,0.00093511+0.00040808i,0.00062311-0.00038815i,0.00030526-0.00054351i,-0.0003181-0.00034222i,0.00047982-0.00015488i,0.00089876-3.297e-05i,-0.00023035+9.5835e-05i,-0.00026639+0.00012678i,-0.00029524-1.5374e-05i,-0.00063802-0.00046629i
-0.0021239-0.0004335i,-0.0018848+3.2113e-05i,-0.0022766+0.00066262i,-0.002001+0.0016998i,-0.0013964+0.0025532i,-0.00013391+0.0020206i,0.0003086+0.00078185i,1.8808e-05+0.00065458i,-0.00019406+0.0010924i,-7.9316e-05+0.00082233i,0.00027683+0.00058652i,0.00017286+0.0004368i,0.00016963-0.00020038i,0.00059214-0.00044314i,0.00079541-0.00014652i,0.00047637+0.00042553i,0.00036107+0.00058886i,-0.00024674+0.00018004i,-0.00068907-0.00012635i,-0.0005945+0.0002212i,-0.001165-1.1937e-06i,-0.00063063-1.7193e-05i,0.00047687+0.00031526i
-0.0018582-0.00094858i,-0.002215-0.00024323i,-0.0018191+0.00051452i,-0.0010425+0.0015195i,-0.00076957+0.0014108i,-0.00082738+0.00097269i,-0.00068191+0.0003081i,-2.5038e-05+0.00033361i,0.00014622+0.00057562i,0.00017726-1.3025e-05i,0.00056836-0.00013697i,0.00067437+0.00053482i,-0.00030458+0.00055598i,-0.00072061-4.8342e-05i,-0.00049828-0.00024971i,-0.00016958-0.0006311i,-2.0027e-05-0.00073919i,0.00058024-0.00012079i,0.0010256+0.00044213i,0.00055617+0.00082199i,-0.00042708+0.00044529i,-0.00028203+9.5771e-05i,-0.00020692+0.00084573i
0.00038168-0.001303i,0.00015452-0.0014796i,-0.00039831-0.00032159i,-0.00050629+0.0010891i,5.8446e-05+0.0013521i,0.00047333+0.00080831i,0.00085096-7.0122e-05i,0.00089722-0.00068993i,0.00065152-0.00029619i,0.00084234+0.0003729i,0.00067339+0.00056348i,0.00047241+0.00087526i,0.00053369+0.0014936i,0.00021407+0.0010295i,2.2903e-05-6.7507e-05i,0.0005529-0.00064722i,0.00066089-0.00035044i,3.9133e-05+0.0004301i,5.6984e-05+0.00016006i,6.3753e-05-0.00055334i,0.00012461-0.00054484i,-0.00021189-0.00030427i,-0.00029196+0.00068894i
0.0006529-0.00013364i,0.00053595-5.8781e-05i,-0.00016451+0.00076038i,-0.00034576+0.00027771i,-0.00039311-0.00042408i,-0.00095868+5.1371e-05i,-0.0008298+0.00048584i,-0.00026018+0.0017436i,-0.00010342+0.0019581i,-0.00014622+0.00078575i,0.00013715-5.2165e-05i,0.00035245-0.0008183i,0.00045462-0.0004952i,0.00076539-0.00026904i,0.00088124-0.00023065i,0.00030659-0.0002707i,-0.00025791-0.00046052i,-0.00051975-0.00014257i,-0.00044362+0.00028501i,-0.00063761+0.00024931i,-0.00052707-5.0352e-05i,0.00065739-7.1904e-05i,0.0014139-9.8445e-05i
-0.00079996-0.00020471i,-0.0014514-0.00024701i,-0.0013822-0.00037288i,-0.00069562-0.00039443i,-0.00079463+0.00028958i,-0.00062776+0.001049i,0.0010631+0.0014874i,0.00070875+0.0012811i,-0.00012816+0.00122i,-0.00028639+0.00093832i,-0.00054834+0.00023314i,-0.00018854-3.0184e-05i,0.00012232+9.9175e-05i,9.7809e-05+6.6137e-05i,0.00025087+4.7706e-06i,0.00039845+0.00043654i,0.00045798+0.00079156i,0.00021419+0.0012149i,-0.00038187+0.00078369i,-9.6137e-05+4.8372e-05i,0.00025873+9.1971e-05i,-0.00014917+0.00040381i,0.00017369+0.00032627i
-0.00086538-0.0009416i,-0.00034001+0.0001195i,-0.001103+0.00066785i,-0.0018216+0.00097509i,-0.0016593+0.00090762i,0.00033593+0.00079322i,0.0014882+0.0006135i,0.0010132+0.00038807i,0.00056733+0.00026379i,2.568e-05-5.1494e-05i,-0.00039519+0.00027228i,-9.8389e-05+0.0010317i,9.0144e-05+0.001099i,1.0954e-05+0.0012551i,0.00018251+0.0012247i,-0.00012496+0.0003099i,-0.00052715+0.0001064i,-0.00072943+0.00074319i,-0.00010262+0.00025865i,0.0002716+2.4673e-05i,-0.00022256-0.00013009i,-0.00015629-0.00021203i,0.00018358-0.0005267i
0.0013194-0.00041021i,0.00012495-0.00069643i,0.00042573-0.0003943i,0.00022781-0.00014818i,-0.00080389-0.00076857i,-0.00090301-0.00028369i,-0.00014031+0.0019048i,0.00054496+0.002451i,0.00047409+0.00019995i,2.3692e-05-0.00115i,-5.7783e-05-0.00032463i,0.00054044+0.00032065i,0.00085291+0.00020958i,0.00079868-0.00024651i,0.0013944-0.0011197i,0.0015088-0.00083132i,0.00057274+0.00025978i,-0.00010799+0.00015237i,0.00044062-0.00054794i,0.00033529+0.00012818i,-0.00013345+0.00058923i,0.00013881+0.0003973i,-2.7193e-06+0.00016021i
0.00020651+0.0024125i,-0.00014137+0.0026085i,-0.00023831+0.0037264i,0.0005236+0.0026452i,0.00079824+0.00028503i,0.00066455-0.00014498i,0.00040856+0.00088484i,-0.0004803+0.0012562i,-0.00049745+0.0003955i,0.00012343+0.00017759i,-1.8011e-05+0.00023287i,-0.00062858-0.00053447i,-0.0010004-0.00050854i,-0.00086246-6.943e-05i,0.00030795-0.00042868i,0.00066121-0.00042161i,9.2307e-05-0.00025362i,2.6774e-05+0.00044724i,-0.00041833+0.0012035i,-0.00061573+0.00044096i,0.00016604-0.00025518i,0.00056423-0.00021542i,0.00027681+0.00034056i
