-0.0013936+0.0013197i,-0.0010176-0.00011651i,-0.0018944-0.00099902i,-0.0014467-0.00086354i,-0.0010923+0.00032128i,-0.00085319+0.00099354i,0.00059841+0.0012081i,0.0021295+0.0017637i,0.0019228+0.001819i,0.00074296+0.00062296i,-0.00036447-0.0004122i,-0.00084711-0.001481i,-0.00079519-0.0014159i,-0.0012159-0.00068472i,-0.00057843-0.00052379i,0.00035733-0.00024225i,0.00025086+0.0002799i,0.00016894+9.122e-05i,0.0001079-0.00027718i,0.00016736-0.00074547i,0.00057487-0.0012913i,-6.7087e-05-0.00064114i,-0.00071426+9.4812e-06i
-0.0013964-0.0015634i,-0.0013511-0.00098816i,-0.0027571-0.00070125i,-0.0026268-0.00046258i,-0.0014544+0.0004257i,-0.0012139+0.00047286i,-0.0012345-0.00011479i,-0.00043931-0.00053705i,0.00034581-0.00082796i,0.00020401-0.00012193i,-0.00090213+0.00066106i,-0.0012111+0.00022417i,-0.00054383-0.00082256i,-0.00026504-0.001096i,-0.00092903-0.0008943i,-0.00081734-0.00086878i,-0.00033544-4.6683e-05i,-0.00055773+0.00019858i,-0.00060049-0.00028591i,-0.00054053-0.00029798i,0.00018765-0.00049036i,0.00030884-4.9515e-06i,-0.00061056+0.00030682i
-0.00014172+0.00037404i,0.00045528+0.00037948i,0.00047315+0.00028053i,0.00068355-0.0012902i,0.00079801-0.0017457i,0.00069812-0.00027094i,0.00075728+0.00073754i,0.0011757+0.00038108i,0.0012029-0.00015688i,5.6509e-05-0.0001633i,-0.00021185+2.982e-05i,0.00020558+0.0008968i,0.00022145+0.00056583i,-3.0735e-05-0.00015143i,-0.00044267+3.5447e-05i,-0.00012267+0.00036738i,0.00043895+0.00069005i,0.00040783+0.00035385i,-0.00022876-0.00023057i,-0.0002961-0.00023698i,0.00021787+0.00015795i,0.00054525+0.00053706i,0.00038808+0.00077493i
0.00034372-0.0018399i,0.00034165-0.0010499i,-8.593e-05+0.00026705i,-0.00089865-0.00070425i,-0.0012164-0.0012229i,-0.00056098-0.00013537i,0.00024266+0.00016776i,0.00079396-0.00066605i,0.00033994-0.0014772i,-0.00032715-0.00056949i,-0.00046029+0.00076501i,-0.00030749+0.00095087i,-0.00029484+0.00061916i,4.5799e-05+7.7861e-05i,0.0002996-0.0003718i,3.2914e-05+0.00020889i,-7.9816e-05+0.0005983i,0.00027433+0.00013793i,0.00037152-0.00029419i,0.00012514-0.00073497i,0.0003614-0.00083253i,0.00060084-0.00053177i,0.00050888-0.00014387i
0.0004687+0.0013854i,0.0011215+0.0012185i,0.0010908+0.00095365i,0.0009666+0.00069198i,0.0013835+1.5487e-05i,0.001029-0.00057196i,0.0002401-0.00076267i,0.00044462-0.00075873i,0.00076187-0.00079325i,0.0010948-0.0010593i,0.00090142-0.00076762i,-2.5582e-07+5.6341e-05i,-0.0005327+0.00026577i,-0.00048766+0.00010287i,-0.00089492-0.00029352i,-0.0011014-0.00053485i,-0.00031778-0.00034209i,0.00042344-0.00038302i,0.00058423-3.6046e-05i,0.0001239+0.00023303i,0.00012476-0.00043035i,0.00011843-0.00065567i,-0.00028952+0.00010038i
0.0013818-0.0013488i,-0.00010721-0.0017308i,-0.00055036-0.0031785i,-0.00065284-0.0027346i,-0.00059323-0.0014573i,0.00027402-0.00037722i,0.0010102-0.00058319i,0.0011548-0.0010274i,0.00059627-0.00097818i,0.00052138-0.00069356i,0.00076645-3.6475e-06i,0.00057187+0.00027517i,0.00031369-0.00057404i,4.0752e-05-0.00081225i,-0.00019558-0.00067419i,-0.0001773-6.9306e-05i,-0.0003083+0.00081626i,-0.00050683+0.00028064i,0.0002433-0.00054913i,0.00083077+0.00013874i,0.00063435+0.00058179i,8.2919e-05+0.00042185i,-0.00047633+0.00070607i
0.00025287+0.00043497i,0.00055948+0.00020316i,0.0014672-0.0001603i,0.0014846-0.00047309i,0.00033435-0.00094185i,-0.00047339-0.0012391i,0.00045123-0.00029498i,0.00072553+0.00020827i,0.00029954-0.00041155i,6.3728e-05-0.0008043i,-0.00026998-0.00015129i,-0.00055856-7.4491e-06i,-0.00022424-0.00016947i,0.00029814+0.00050406i,5.0894e-06+0.00035095i,0.00027711+0.00028128i,0.00022597+0.00051966i,0.00028635+3.2781e-05i,0.00099681-4.4852e-05i,0.00026687+0.00039544i,-0.0009333+0.00022381i,-0.00073491-0.00027269i,0.00050624-0.00011797i
-9.8578e-05-0.0020131i,-0.00013668-0.0018838i,0.00079882-0.001235i,0.0009109-0.0010423i,0.00028326-0.00057986i,-5.2551e-05-0.000209i,0.00012721-0.00057171i,0.00051368-0.0008379i,0.00046693-0.00015154i,-2.5368e-05+0.00032945i,-0.00029895-0.00011552i,0.00026138-0.00030212i,0.00095486+0.00029964i,0.00058843+0.00035142i,-0.00070716-7.9902e-05i,-0.0011559-0.00018823i,-0.00085906+0.00013101i,-0.0003418+3.7473e-05i,-0.00021778-0.00050291i,0.00037872-0.00077341i,0.00061569-0.00071729i,-0.00047812-0.00030174i,-0.00091652-1.4256e-05i
-0.00047633-0.00060144i,-0.00058746+6.7507e-05i,-0.00056834-0.00027756i,-6.0182e-05-0.00028466i,0.00022647-0.00011629i,0.00033309-0.00031366i,7.0411e-05-0.00032208i,-0.00032125-0.00013162i,-0.00071973-0.00040347i,-0.00094667-0.00020354i,-0.00080129-0.00035716i,-0.00017507-0.00040014i,0.00061601-0.00075202i,0.00085551-0.00083824i,5.4644e-05-0.00051516i,-0.00072659-0.00051599i,-0.00051978+0.00012289i,-0.00026312+0.0010754i,-0.00012139+0.00083748i,0.00046547+0.00026887i,0.00099777+0.00049774i,0.00027879+0.00057548i,-0.00097506-2.9446e-06i
2.1344e-05+0.0013239i,-0.00034931+0.00091533i,1.534e-05+0.00092814i,0.00056344+0.00072944i,0.00085122+0.00029625i,0.00089821+0.0002846i,0.00090523+0.00042867i,0.0012092-0.00051439i,0.0017192-0.00093448i,0.001512-0.00038877i,3.0337e-05+0.00027479i,-0.0010116-0.00014497i,-0.0015296-0.00019395i,-0.0012195+0.00040493i,-0.00038088-0.00060003i,-0.00019714-0.00086546i,-0.0002242-2.7044e-06i,0.00011972+0.00049681i,0.00026936+0.00026923i,-4.5369e-05+0.00018348i,-0.00023748+0.00040077i,-0.00017006+0.00039637i,1.9021e-05+0.00026586i
-0.00035434+0.00070814i,0.00070446+7.5739e-06i,0.0013518-0.00026399i,0.00094151-0.00034441i,-0.00032022-0.00038528i,-0.00087457-0.00072783i,-0.00010414-0.00098888i,0.00064831-0.0018387i,0.00091952-0.0021014i,0.00051298-0.0012779i,-1.9986e-05-0.00052831i,0.00030922+0.00021617i,0.0002138+0.00056434i,2.0385e-05+8.2838e-05i,-2.2787e-05-4.8991e-05i,-0.00078788-2.5522e-05i,-0.00085636+0.00044336i,-0.00065313+0.00045042i,-0.00056719-0.00077177i,0.00025276-0.0011271i,0.00011182-0.00083218i,-0.00035569-0.0011724i,-1.8284e-05-0.0012688i
